"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.78793e-02	-7.54416e-04	8.04558e-04	-1.05585e-04	-4.29560e-02	-1.71961e-02	-5.14970e-01	0.00000e+00	1.36400e-01
-4.01375e-04	2.62566e-05	-1.93365e-05	-7.10605e-05	-3.49333e-01	-1.39730e-01	-5.14918e-01	2.24940e-03	1.36400e-01
4.23666e-03	3.36793e-05	1.88607e-04	-8.88742e-05	-2.33721e-01	-9.34906e-02	-5.14761e-01	4.49391e-03	1.36400e-01
1.18802e-02	6.38479e-05	5.31667e-04	-9.95442e-05	-2.92964e-01	-1.17191e-01	-5.14499e-01	6.72854e-03	1.36400e-01
1.50298e-02	1.43817e-04	6.62079e-04	-1.00757e-04	-3.00871e-01	-1.20354e-01	-5.14131e-01	8.94828e-03	1.36400e-01
1.83599e-02	1.85201e-04	8.06369e-04	-1.01862e-04	-3.50970e-01	-1.40396e-01	-5.13659e-01	1.11483e-02	1.36400e-01
2.09239e-02	2.68180e-04	9.03920e-04	-1.00141e-04	-4.31262e-01	-1.72513e-01	-5.13086e-01	1.33239e-02	1.36400e-01
2.23699e-02	3.20886e-04	9.55521e-04	-9.89024e-05	-4.78735e-01	-1.91503e-01	-5.12413e-01	1.54711e-02	1.36400e-01
2.33594e-02	3.80145e-04	9.81453e-04	-9.66248e-05	-5.62534e-01	-2.25023e-01	-5.11645e-01	1.75860e-02	1.36400e-01
2.36556e-02	4.26049e-04	9.76950e-04	-9.51471e-05	-6.18555e-01	-2.47432e-01	-5.10831e-01	1.95633e-02	1.36400e-01
2.36293e-02	4.57732e-04	9.61158e-04	-9.43668e-05	-6.71368e-01	-2.68557e-01	-5.10015e-01	2.13464e-02	1.36400e-01
2.33873e-02	4.86609e-04	9.34543e-04	-9.38158e-05	-7.21636e-01	-2.88664e-01	-5.09196e-01	2.29845e-02	1.36400e-01
2.29460e-02	5.02936e-04	9.03131e-04	-9.41112e-05	-7.56638e-01	-3.02665e-01	-5.08372e-01	2.45101e-02	1.36400e-01
2.24616e-02	5.17993e-04	8.69226e-04	-9.45565e-05	-7.94910e-01	-3.17973e-01	-5.07542e-01	2.59462e-02	1.36400e-01
2.18882e-02	5.26445e-04	8.33703e-04	-9.56471e-05	-8.23027e-01	-3.29220e-01	-5.06704e-01	2.73094e-02	1.36400e-01
2.12884e-02	5.31952e-04	7.97886e-04	-9.70258e-05	-8.49808e-01	-3.39932e-01	-5.05858e-01	2.86125e-02	1.36400e-01
2.06586e-02	5.34464e-04	7.61763e-04	-9.87393e-05	-8.73045e-01	-3.49226e-01	-5.05000e-01	2.98654e-02	1.36400e-01
1.99964e-02	5.33495e-04	7.25708e-04	-1.00799e-04	-8.92289e-01	-3.56924e-01	-5.04131e-01	3.10762e-02	1.36400e-01
1.93503e-02	5.31369e-04	6.90867e-04	-1.03198e-04	-9.10143e-01	-3.64065e-01	-5.03249e-01	3.22512e-02	1.36400e-01
1.86949e-02	5.26911e-04	6.56800e-04	-1.05983e-04	-9.24690e-01	-3.69884e-01	-5.02352e-01	3.33957e-02	1.36400e-01
1.80438e-02	5.21065e-04	6.23663e-04	-1.09077e-04	-9.37479e-01	-3.74999e-01	-5.01440e-01	3.45143e-02	1.36400e-01
1.73769e-02	5.13242e-04	5.90841e-04	-1.12380e-04	-9.48321e-01	-3.79336e-01	-5.00510e-01	3.56106e-02	1.36400e-01
1.67266e-02	5.04494e-04	5.59450e-04	-1.16119e-04	-9.57037e-01	-3.82822e-01	-4.99562e-01	3.66878e-02	1.36400e-01
1.60869e-02	4.94833e-04	5.29187e-04	-1.20218e-04	-9.64354e-01	-3.85748e-01	-4.98595e-01	3.77487e-02	1.36400e-01
1.54387e-02	4.83744e-04	4.99420e-04	-1.24601e-04	-9.69892e-01	-3.87963e-01	-4.97607e-01	3.87955e-02	1.36400e-01
1.48039e-02	4.71994e-04	4.70851e-04	-1.29414e-04	-9.73930e-01	-3.89578e-01	-4.96597e-01	3.98302e-02	1.36400e-01
1.41737e-02	4.59387e-04	4.43156e-04	-1.34607e-04	-9.76599e-01	-3.90646e-01	-4.95564e-01	4.08545e-02	1.36400e-01
1.35487e-02	4.46022e-04	4.16335e-04	-1.40229e-04	-9.77785e-01	-3.91120e-01	-4.94507e-01	4.18700e-02	1.36400e-01
1.29281e-02	4.31932e-04	3.90354e-04	-1.46292e-04	-9.77730e-01	-3.91098e-01	-4.93425e-01	4.28779e-02	1.36400e-01
1.23057e-02	4.16966e-04	3.64995e-04	-1.52791e-04	-9.76361e-01	-3.90550e-01	-4.92317e-01	4.38792e-02	1.36400e-01
1.16853e-02	4.01306e-04	3.40362e-04	-1.59796e-04	-9.73770e-01	-3.89513e-01	-4.91182e-01	4.48750e-02	1.36400e-01
1.10626e-02	3.84843e-04	3.16323e-04	-1.67282e-04	-9.70019e-01	-3.88013e-01	-4.90018e-01	4.58660e-02	1.36400e-01
