"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.89707e-02	-4.93569e-04	1.12342e-03	-8.42442e-04	-4.42049e-01	-1.76843e-01	-5.00000e-01	0.00000e+00	0.00000e+00
3.68037e-03	2.58134e-04	2.05983e-04	-2.37455e-04	-6.93489e-01	-2.77405e-01	-4.99947e-01	2.24938e-03	0.00000e+00
8.95161e-03	3.03102e-04	5.03118e-04	-2.91558e-04	-6.17743e-01	-2.47107e-01	-4.99788e-01	4.49373e-03	0.00000e+00
1.48007e-02	3.56485e-04	8.31191e-04	-2.98121e-04	-7.12159e-01	-2.84876e-01	-4.99521e-01	6.72789e-03	0.00000e+00
1.63039e-02	4.20401e-04	8.95725e-04	-2.74882e-04	-7.46319e-01	-2.98540e-01	-4.99148e-01	8.94671e-03	0.00000e+00
1.84342e-02	4.58680e-04	1.00007e-03	-2.71430e-04	-8.29937e-01	-3.31989e-01	-4.98669e-01	1.11452e-02	0.00000e+00
1.98559e-02	5.20678e-04	1.05387e-03	-2.44099e-04	-9.22110e-01	-3.68858e-01	-4.98087e-01	1.33187e-02	0.00000e+00
2.05363e-02	5.56080e-04	1.06804e-03	-2.32607e-04	-9.91462e-01	-3.96599e-01	-4.97406e-01	1.54629e-02	0.00000e+00
2.10130e-02	5.96244e-04	1.06659e-03	-2.11021e-04	-1.08640e+00	-4.34575e-01	-4.96627e-01	1.75740e-02	0.00000e+00
2.10085e-02	6.23197e-04	1.03977e-03	-1.96466e-04	-1.15218e+00	-4.60886e-01	-4.95802e-01	1.95472e-02	0.00000e+00
2.08450e-02	6.41189e-04	1.00737e-03	-1.84666e-04	-1.21552e+00	-4.86221e-01	-4.94975e-01	2.13264e-02	0.00000e+00
2.05164e-02	6.54918e-04	9.66830e-04	-1.72529e-04	-1.26996e+00	-5.07999e-01	-4.94145e-01	2.29608e-02	0.00000e+00
2.00764e-02	6.59986e-04	9.24096e-04	-1.65513e-04	-1.31154e+00	-5.24629e-01	-4.93311e-01	2.44826e-02	0.00000e+00
1.95990e-02	6.63388e-04	8.80156e-04	-1.56772e-04	-1.35281e+00	-5.41138e-01	-4.92470e-01	2.59146e-02	0.00000e+00
1.90369e-02	6.60587e-04	8.34769e-04	-1.51224e-04	-1.38354e+00	-5.53429e-01	-4.91622e-01	2.72736e-02	0.00000e+00
1.84589e-02	6.55669e-04	7.90048e-04	-1.45163e-04	-1.41232e+00	-5.64938e-01	-4.90765e-01	2.85721e-02	0.00000e+00
1.78532e-02	6.47579e-04	7.45973e-04	-1.40181e-04	-1.43582e+00	-5.74337e-01	-4.89898e-01	2.98201e-02	0.00000e+00
1.72240e-02	6.36833e-04	7.02588e-04	-1.35500e-04	-1.45539e+00	-5.82165e-01	-4.89019e-01	3.10255e-02	0.00000e+00
1.65838e-02	6.23955e-04	6.60423e-04	-1.30729e-04	-1.47234e+00	-5.88946e-01	-4.88127e-01	3.21948e-02	0.00000e+00
1.59407e-02	6.09287e-04	6.19848e-04	-1.26298e-04	-1.48561e+00	-5.94253e-01	-4.87221e-01	3.33333e-02	0.00000e+00
1.52968e-02	5.93075e-04	5.80885e-04	-1.21559e-04	-1.49670e+00	-5.98688e-01	-4.86300e-01	3.44453e-02	0.00000e+00
1.46468e-02	5.75225e-04	5.43325e-04	-1.16644e-04	-1.50526e+00	-6.02113e-01	-4.85362e-01	3.55346e-02	0.00000e+00
1.39988e-02	5.56174e-04	5.07396e-04	-1.11545e-04	-1.51157e+00	-6.04638e-01	-4.84406e-01	3.66044e-02	0.00000e+00
1.33576e-02	5.36171e-04	4.73276e-04	-1.06084e-04	-1.51622e+00	-6.06495e-01	-4.83431e-01	3.76573e-02	0.00000e+00
1.27194e-02	5.15136e-04	4.40818e-04	-1.00107e-04	-1.51904e+00	-6.07623e-01	-4.82435e-01	3.86957e-02	0.00000e+00
1.20970e-02	4.93529e-04	4.10573e-04	-9.33065e-05	-1.52047e+00	-6.08196e-01	-4.81419e-01	3.97215e-02	0.00000e+00
1.14889e-02	4.71403e-04	3.82417e-04	-8.56224e-05	-1.52060e+00	-6.08247e-01	-4.80380e-01	4.07365e-02	0.00000e+00
1.09058e-02	4.49403e-04	3.56542e-04	-7.73244e-05	-1.51953e+00	-6.07818e-01	-4.79317e-01	4.17421e-02	0.00000e+00
1.03448e-02	4.27609e-04	3.32650e-04	-6.87227e-05	-1.51753e+00	-6.07019e-01	-4.78230e-01	4.27397e-02	0.00000e+00
9.79731e-03	4.05837e-04	3.10276e-04	-5.99624e-05	-1.51473e+00	-6.05896e-01	-4.77117e-01	4.37302e-02	0.00000e+00
9.25570e-03	3.83800e-04	2.89172e-04	-5.08869e-05	-1.51135e+00	-6.04547e-01	-4.75977e-01	4.47148e-02	0.00000e+00
8.71785e-03	3.61390e-04	2.69305e-04	-4.11683e-05	-1.50756e+00	-6.03029e-01	-4.74811e-01	4.56941e-02	0.00000e+00
8.19087e-03	3.38899e-04	2.50929e-04	-3.05730e-05	-1.50347e+00	-6.01394e-01	-4.73615e-01	4.66689e-02	0.00000e+00
7.69338e-03	3.17177e-04	2.34527e-04	-1.92214e-05	-1.49925e+00	-5.99706e-01	-4.72390e-01	4.76398e-02	0.00000e+00
7.24064e-03	2.97052e-04	2.20300e-04	-7.65285e-06	-1.49505e+00	-5.98026e-01	-4.71135e-01	4.86073e-02	0.00000e+00
6.84254e-03	2.79197e-04	2.08153e-04	3.34154e-06	-1.49109e+00	-5.96438e-01	-4.69849e-01	4.95717e-02	0.00000e+00
6.48146e-03	2.63155e-04	1.97126e-04	1.29393e-05	-1.48754e+00	-5.95018e-01	-4.68531e-01	5.05335e-02	0.00000e+00
6.13949e-03	2.48361e-04	1.86372e-04	2.04787e-05	-1.48455e+00	-5.93824e-01	-4.67181e-01	5.14929e-02	0.00000e+00
5.79890e-03	2.34148e-04	1.75208e-04	2.56404e-05	-1.48221e+00	-5.92887e-01	-4.65797e-01	5.24501e-02	0.00000e+00
5.43480e-03	2.19462e-04	1.62882e-04	2.83977e-05	-1.48053e+00	-5.92216e-01	-4.64378e-01	5.34052e-02	0.00000e+00
5.04305e-03	2.04039e-04	1.49377e-04	2.90051e-05	-1.47950e+00	-5.91802e-01	-4.62925e-01	5.43583e-02	0.00000e+00
4.63043e-03	1.88033e-04	1.35041e-04	2.78543e-05	-1.47907e+00	-5.91629e-01	-4.61435e-01	5.53096e-02	0.00000e+00
4.20361e-03	1.71602e-04	1.20214e-04	2.52963e-05	-1.47916e+00	-5.91668e-01	-4.59910e-01	5.62590e-02	0.00000e+00
3.77744e-03	1.55276e-04	1.05420e-04	2.16419e-05	-1.47969e+00	-5.91877e-01	-4.58347e-01	5.72066e-02	0.00000e+00
3.36071e-03	1.39362e-04	9.09751e-05	1.70935e-05	-1.48048e+00	-5.92192e-01	-4.56747e-01	5.81521e-02	0.00000e+00
2.95178e-03	1.23730e-04	7.69113e-05	1.17737e-05	-1.48136e+00	-5.92544e-01	-4.55108e-01	5.90956e-02	0.00000e+00
2.53968e-03	1.07887e-04	6.29969e-05	5.72651e-06	-1.48217e+00	-5.92868e-01	-4.53431e-01	6.00370e-02	0.00000e+00
2.10216e-03	9.09449e-05	4.85682e-05	-1.45851e-06	-1.48267e+00	-5.93070e-01	-4.51714e-01	6.09761e-02	0.00000e+00
1.62497e-03	7.24557e-05	3.29923e-05	-1.08276e-05	-1.48248e+00	-5.92993e-01	-4.49957e-01	6.19127e-02	0.00000e+00
1.10429e-03	5.23942e-05	1.58976e-05	-2.34157e-05	-1.48133e+00	-5.92534e-01	-4.48160e-01	6.28467e-02	0.00000e+00
4.97476e-04	2.88913e-05	-3.65066e-06	-3.94112e-05	-1.47953e+00	-5.91811e-01	-4.46322e-01	6.37778e-02	0.00000e+00
-2.33872e-04	4.23375e-08	-2.59967e-05	-5.79862e-05	-1.47715e+00	-5.90857e-01	-4.44442e-01	6.47058e-02	0.00000e+00
-1.02847e-03	-3.17692e-05	-4.91827e-05	-7.78245e-05	-1.47381e+00	-5.89521e-01	-4.42520e-01	6.56305e-02	0.00000e+00
-1.80479e-03	-6.31906e-05	-7.10222e-05	-9.77920e-05	-1.46961e+00	-5.87841e-01	-4.40556e-01	6.65517e-02	0.00000e+00
-2.59339e-03	-9.55685e-05	-9.20900e-05	-1.17567e-04	-1.46454e+00	-5.85814e-01	-4.38549e-01	6.74690e-02	0.00000e+00
-3.42137e-03	-1.29889e-04	-1.13327e-04	-1.38102e-04	-1.45755e+00	-5.83015e-01	-4.36499e-01	6.83822e-02	0.00000e+00
-4.18182e-03	-1.61295e-04	-1.33003e-04	-1.60598e-04	-1.44766e+00	-5.79059e-01	-4.34406e-01	6.92910e-02	0.00000e+00
-4.75601e-03	-1.84722e-04	-1.48571e-04	-1.83958e-04	-1.43498e+00	-5.73988e-01	-4.32269e-01	7.01950e-02	0.00000e+00
-5.10669e-03	-1.98926e-04	-1.58488e-04	-2.04702e-04	-1.41955e+00	-5.67815e-01	-4.30087e-01	7.10941e-02	0.00000e+00
-5.23891e-03	-2.04514e-04	-1.61943e-04	-2.18521e-04	-1.40102e+00	-5.60404e-01	-4.27861e-01	7.19879e-02	0.00000e+00
-5.19410e-03	-2.03715e-04	-1.58609e-04	-2.20878e-04	-1.37990e+00	-5.51955e-01	-4.25591e-01	7.28760e-02	0.00000e+00
-5.02257e-03	-1.98797e-04	-1.49082e-04	-2.09573e-04	-1.35685e+00	-5.42735e-01	-4.23275e-01	7.37581e-02	0.00000e+00
-4.73075e-03	-1.89715e-04	-1.34128e-04	-1.85781e-04	-1.33273e+00	-5.33089e-01	-4.20914e-01	7.46339e-02	0.00000e+00
-4.40430e-03	-1.79749e-04	-1.16434e-04	-1.53323e-04	-1.30871e+00	-5.23479e-01	-4.18508e-01	7.55031e-02	0.00000e+00
-4.12891e-03	-1.71924e-04	-9.94689e-05	-1.18562e-04	-1.28450e+00	-5.13796e-01	-4.16056e-01	7.63653e-02	0.00000e+00
-3.81988e-03	-1.61809e-04	-8.38272e-05	-8.92298e-05	-1.26056e+00	-5.04220e-01	-4.13559e-01	7.72201e-02	0.00000e+00
-3.43257e-03	-1.47098e-04	-6.99717e-05	-6.90326e-05	-1.24003e+00	-4.96012e-01	-4.11015e-01	7.80673e-02	0.00000e+00
-3.10929e-03	-1.34115e-04	-6.03862e-05	-5.81628e-05	-1.22460e+00	-4.89840e-01	-4.08425e-01	7.89065e-02	0.00000e+00
-2.86220e-03	-1.23399e-04	-5.54875e-05	-5.82503e-05	-1.21122e+00	-4.84488e-01	-4.05789e-01	7.97374e-02	0.00000e+00
-2.48374e-03	-1.06267e-04	-5.06342e-05	-6.44198e-05	-1.19635e+00	-4.78537e-01	-4.03107e-01	8.05595e-02	0.00000e+00
-1.99884e-03	-8.48176e-05	-4.30507e-05	-6.53784e-05	-1.17999e+00	-4.71996e-01	-4.00378e-01	8.13726e-02	0.00000e+00
