"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.87100e-02	-7.94294e-04	8.41934e-04	-7.07543e-05	-9.75989e-02	-3.90539e-02	-5.14970e-01	0.00000e+00	2.64000e-02
-3.12900e-04	2.50271e-05	-1.52875e-05	-2.25794e-05	-4.20244e-01	-1.68097e-01	-5.14918e-01	2.24940e-03	2.64000e-02
4.58926e-03	3.24989e-05	2.04677e-04	-2.77386e-05	-2.99208e-01	-1.19685e-01	-5.14761e-01	4.49391e-03	2.64000e-02
1.26724e-02	6.45411e-05	5.67625e-04	-3.19832e-05	-3.62414e-01	-1.44971e-01	-5.14499e-01	6.72854e-03	2.64000e-02
1.60933e-02	1.49652e-04	7.09752e-04	-3.04421e-05	-3.74004e-01	-1.49608e-01	-5.14131e-01	8.94828e-03	2.64000e-02
1.96681e-02	1.94497e-04	8.64754e-04	-2.96332e-05	-4.30427e-01	-1.72179e-01	-5.13659e-01	1.11483e-02	2.64000e-02
2.24393e-02	2.83225e-04	9.70648e-04	-2.58678e-05	-5.19628e-01	-2.07860e-01	-5.13086e-01	1.33239e-02	2.64000e-02
2.40531e-02	3.40807e-04	1.02885e-03	-2.30709e-05	-5.75078e-01	-2.30041e-01	-5.12413e-01	1.54711e-02	2.64000e-02
2.52009e-02	4.05816e-04	1.06050e-03	-1.93996e-05	-6.69198e-01	-2.67689e-01	-5.11645e-01	1.75860e-02	2.64000e-02
2.56370e-02	4.57344e-04	1.06069e-03	-1.63404e-05	-7.34708e-01	-2.93893e-01	-5.10831e-01	1.95633e-02	2.64000e-02
2.57361e-02	4.94266e-04	1.04891e-03	-1.40235e-05	-7.96669e-01	-3.18678e-01	-5.10015e-01	2.13464e-02	2.64000e-02
2.56142e-02	5.28515e-04	1.02583e-03	-1.18488e-05	-8.56093e-01	-3.42448e-01	-5.09196e-01	2.29845e-02	2.64000e-02
2.52862e-02	5.49890e-04	9.97667e-04	-1.04217e-05	-8.99567e-01	-3.59837e-01	-5.08372e-01	2.45101e-02	2.64000e-02
2.49146e-02	5.70148e-04	9.66791e-04	-9.07940e-06	-9.46507e-01	-3.78613e-01	-5.07542e-01	2.59462e-02	2.64000e-02
2.44552e-02	5.83766e-04	9.34273e-04	-8.17795e-06	-9.82983e-01	-3.93203e-01	-5.06704e-01	2.73094e-02	2.64000e-02
2.39696e-02	5.94519e-04	9.01337e-04	-7.46888e-06	-1.01811e+00	-4.07254e-01	-5.05858e-01	2.86125e-02	2.64000e-02
2.34568e-02	6.02375e-04	8.68089e-04	-6.95480e-06	-1.04970e+00	-4.19890e-01	-5.05000e-01	2.98654e-02	2.64000e-02
2.29130e-02	6.06821e-04	8.34853e-04	-6.65877e-06	-1.07725e+00	-4.30910e-01	-5.04131e-01	3.10762e-02	2.64000e-02
2.23915e-02	6.10336e-04	8.02931e-04	-6.47572e-06	-1.10349e+00	-4.41407e-01	-5.03249e-01	3.22512e-02	2.64000e-02
2.18659e-02	6.11705e-04	7.71869e-04	-6.45694e-06	-1.12649e+00	-4.50604e-01	-5.02352e-01	3.33957e-02	2.64000e-02
2.13503e-02	6.11914e-04	7.41801e-04	-6.53815e-06	-1.14781e+00	-4.59134e-01	-5.01440e-01	3.45143e-02	2.64000e-02
2.08218e-02	6.10296e-04	7.12031e-04	-6.70862e-06	-1.16733e+00	-4.66942e-01	-5.00510e-01	3.56106e-02	2.64000e-02
2.03200e-02	6.08118e-04	6.83903e-04	-6.97627e-06	-1.18485e+00	-4.73950e-01	-4.99562e-01	3.66878e-02	2.64000e-02
1.98378e-02	6.05371e-04	6.57068e-04	-7.31063e-06	-1.20115e+00	-4.80470e-01	-4.98595e-01	3.77487e-02	2.64000e-02
1.93533e-02	6.01471e-04	6.30789e-04	-7.70394e-06	-1.21587e+00	-4.86358e-01	-4.97607e-01	3.87955e-02	2.64000e-02
1.88942e-02	5.97363e-04	6.05943e-04	-8.14657e-06	-1.22930e+00	-4.91727e-01	-4.96597e-01	3.98302e-02	2.64000e-02
1.84511e-02	5.92858e-04	5.82183e-04	-8.62541e-06	-1.24161e+00	-4.96650e-01	-4.95564e-01	4.08545e-02	2.64000e-02
1.80269e-02	5.88141e-04	5.59554e-04	-9.14134e-06	-1.25268e+00	-5.01080e-01	-4.94507e-01	4.18700e-02	2.64000e-02
1.76221e-02	5.83290e-04	5.38042e-04	-9.68828e-06	-1.26280e+00	-5.05126e-01	-4.93425e-01	4.28779e-02	2.64000e-02
1.72303e-02	5.78176e-04	5.17412e-04	-1.02600e-05	-1.27190e+00	-5.08767e-01	-4.92317e-01	4.38792e-02	2.64000e-02
1.68590e-02	5.73110e-04	4.97855e-04	-1.08475e-05	-1.28009e+00	-5.12042e-01	-4.91182e-01	4.48750e-02	2.64000e-02
1.65055e-02	5.68055e-04	4.79258e-04	-1.14375e-05	-1.28745e+00	-5.14985e-01	-4.90018e-01	4.58660e-02	2.64000e-02
1.61728e-02	5.63177e-04	4.61675e-04	-1.20260e-05	-1.29397e+00	-5.17596e-01	-4.88826e-01	4.68529e-02	2.64000e-02
1.58584e-02	5.58436e-04	4.44996e-04	-1.26094e-05	-1.29977e+00	-5.19915e-01	-4.87604e-01	4.78364e-02	2.64000e-02
1.55603e-02	5.53812e-04	4.29139e-04	-1.31926e-05	-1.30486e+00	-5.21949e-01	-4.86350e-01	4.88169e-02	2.64000e-02
1.52829e-02	5.49502e-04	4.14188e-04	-1.37849e-05	-1.30928e+00	-5.23720e-01	-4.85065e-01	4.97947e-02	2.64000e-02
1.50246e-02	5.45493e-04	4.00072e-04	-1.43886e-05	-1.31310e+00	-5.25248e-01	-4.83747e-01	5.07703e-02	2.64000e-02
1.47868e-02	5.41870e-04	3.86796e-04	-1.50023e-05	-1.31634e+00	-5.26544e-01	-4.82396e-01	5.17439e-02	2.64000e-02
1.45593e-02	5.38294e-04	3.74063e-04	-1.56079e-05	-1.31906e+00	-5.27630e-01	-4.81011e-01	5.27157e-02	2.64000e-02
1.43589e-02	5.35416e-04	3.62285e-04	-1.62165e-05	-1.32128e+00	-5.28518e-01	-4.79591e-01	5.36858e-02	2.64000e-02
1.41681e-02	5.32621e-04	3.50985e-04	-1.68066e-05	-1.32305e+00	-5.29224e-01	-4.78135e-01	5.46542e-02	2.64000e-02
1.39969e-02	5.30306e-04	3.40391e-04	-1.73935e-05	-1.32439e+00	-5.29762e-01	-4.76642e-01	5.56212e-02	2.64000e-02
1.38501e-02	5.28682e-04	3.30588e-04	-1.79933e-05	-1.32534e+00	-5.30143e-01	-4.75112e-01	5.65866e-02	2.64000e-02
1.37154e-02	5.27309e-04	3.21249e-04	-1.86032e-05	-1.32593e+00	-5.30379e-01	-4.73545e-01	5.75504e-02	2.64000e-02
1.35993e-02	5.26453e-04	3.12514e-04	-1.92433e-05	-1.32619e+00	-5.30480e-01	-4.71938e-01	5.85126e-02	2.64000e-02
1.35016e-02	5.26133e-04	3.04347e-04	-1.99218e-05	-1.32612e+00	-5.30452e-01	-4.70293e-01	5.94730e-02	2.64000e-02
1.34202e-02	5.26282e-04	2.96679e-04	-2.06417e-05	-1.32574e+00	-5.30302e-01	-4.68608e-01	6.04315e-02	2.64000e-02
1.33549e-02	5.26913e-04	2.89484e-04	-2.14067e-05	-1.32505e+00	-5.30027e-01	-4.66883e-01	6.13880e-02	2.64000e-02
1.33003e-02	5.27829e-04	2.82625e-04	-2.22082e-05	-1.32405e+00	-5.29625e-01	-4.65117e-01	6.23423e-02	2.64000e-02
1.32574e-02	5.29080e-04	2.76109e-04	-2.30446e-05	-1.32270e+00	-5.29087e-01	-4.63309e-01	6.32942e-02	2.64000e-02
1.32244e-02	5.30609e-04	2.69884e-04	-2.39161e-05	-1.32098e+00	-5.28398e-01	-4.61460e-01	6.42434e-02	2.64000e-02
1.31974e-02	5.32267e-04	2.63855e-04	-2.48210e-05	-1.31884e+00	-5.27541e-01	-4.59568e-01	6.51897e-02	2.64000e-02
1.31735e-02	5.33947e-04	2.57960e-04	-2.57536e-05	-1.31622e+00	-5.26494e-01	-4.57634e-01	6.61330e-02	2.64000e-02
1.31522e-02	5.35632e-04	2.52190e-04	-2.67077e-05	-1.31305e+00	-5.25225e-01	-4.55656e-01	6.70728e-02	2.64000e-02
1.31259e-02	5.37013e-04	2.46391e-04	-2.76540e-05	-1.30921e+00	-5.23691e-01	-4.53635e-01	6.80089e-02	2.64000e-02
1.30943e-02	5.38085e-04	2.40567e-04	-2.85922e-05	-1.30462e+00	-5.21851e-01	-4.51569e-01	6.89411e-02	2.64000e-02
1.30516e-02	5.38605e-04	2.34613e-04	-2.95350e-05	-1.29918e+00	-5.19678e-01	-4.49459e-01	6.98690e-02	2.64000e-02
1.29939e-02	5.38405e-04	2.28484e-04	-3.04676e-05	-1.29281e+00	-5.17128e-01	-4.47304e-01	7.07923e-02	2.64000e-02
1.29196e-02	5.37417e-04	2.22175e-04	-3.13563e-05	-1.28532e+00	-5.14135e-01	-4.45105e-01	7.17107e-02	2.64000e-02
1.28293e-02	5.35661e-04	2.15705e-04	-3.22160e-05	-1.27658e+00	-5.10637e-01	-4.42859e-01	7.26239e-02	2.64000e-02
1.27177e-02	5.32919e-04	2.08994e-04	-3.29920e-05	-1.26653e+00	-5.06616e-01	-4.40568e-01	7.35315e-02	2.64000e-02
1.25820e-02	5.29059e-04	2.02024e-04	-3.34956e-05	-1.25516e+00	-5.02068e-01	-4.38231e-01	7.44331e-02	2.64000e-02
1.24224e-02	5.24081e-04	1.94848e-04	-3.36709e-05	-1.24245e+00	-4.96985e-01	-4.35848e-01	7.53286e-02	2.64000e-02
1.22311e-02	5.17657e-04	1.87353e-04	-3.36518e-05	-1.22838e+00	-4.91359e-01	-4.33418e-01	7.62174e-02	2.64000e-02
1.20150e-02	5.10065e-04	1.79676e-04	-3.34547e-05	-1.21297e+00	-4.85194e-01	-4.30942e-01	7.70993e-02	2.64000e-02
1.17921e-02	5.02068e-04	1.72110e-04	-3.27843e-05	-1.19646e+00	-4.78591e-01	-4.28419e-01	7.79738e-02	2.64000e-02
1.15733e-02	4.94133e-04	1.64822e-04	-3.13059e-05	-1.17933e+00	-4.71738e-01	-4.25849e-01	7.88407e-02	2.64000e-02
1.13621e-02	4.86410e-04	1.57869e-04	-2.91743e-05	-1.16188e+00	-4.64757e-01	-4.23232e-01	7.96996e-02	2.64000e-02
1.11493e-02	4.78520e-04	1.51089e-04	-2.71302e-05	-1.14419e+00	-4.57682e-01	-4.20567e-01	8.05500e-02	2.64000e-02
1.09355e-02	4.70511e-04	1.44437e-04	-2.57791e-05	-1.12645e+00	-4.50585e-01	-4.17855e-01	8.13918e-02	2.64000e-02
1.07493e-02	4.63611e-04	1.38287e-04	-2.50285e-05	-1.10925e+00	-4.43703e-01	-4.15096e-01	8.22244e-02	2.64000e-02
1.05903e-02	4.57789e-04	1.32714e-04	-2.43571e-05	-1.09332e+00	-4.37332e-01	-4.12289e-01	8.30476e-02	2.64000e-02
1.04343e-02	4.52009e-04	1.27376e-04	-2.31707e-05	-1.07872e+00	-4.31494e-01	-4.09435e-01	8.38609e-02	2.64000e-02
1.03134e-02	4.47691e-04	1.22580e-04	-2.15284e-05	-1.06473e+00	-4.25896e-01	-4.06533e-01	8.46641e-02	2.64000e-02
1.02741e-02	4.46887e-04	1.18764e-04	-2.16787e-05	-1.05110e+00	-4.20446e-01	-4.03583e-01	8.54568e-02	2.64000e-02
1.02695e-02	4.47565e-04	1.15336e-04	-2.55082e-05	-1.03942e+00	-4.15772e-01	-4.00586e-01	8.62385e-02	2.64000e-02
1.02520e-02	4.47627e-04	1.11887e-04	-2.86142e-05	-1.03013e+00	-4.12055e-01	-3.97542e-01	8.70091e-02	2.64000e-02
