"Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2" "Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2"
-3.75509e-05 -6.78579e-06 1.26169e-05 -4.92436e-05 -8.53146e-01 -3.41244e-01 -4.25591e-01 7.28760e-02 1.65000e-01 -3.75509e-05 -6.78579e-06 1.26169e-05 -4.92436e-05 -8.53146e-01 -3.41244e-01 -4.25591e-01 7.28760e-02 1.65000e-01
6.31057e-04 2.34107e-05 2.26619e-05 -4.54696e-05 -8.47053e-01 -3.38822e-01 -4.27472e-01 7.29583e-02 1.62800e-01 6.31057e-04 2.34107e-05 2.26619e-05 -4.54696e-05 -8.47053e-01 -3.38822e-01 -4.27472e-01 7.29583e-02 1.62800e-01
1.82821e-03 7.81290e-05 3.84216e-05 -2.98265e-05 -8.36941e-01 -3.34778e-01 -4.29324e-01 7.30393e-02 1.60600e-01 1.82821e-03 7.81290e-05 3.84216e-05 -2.98265e-05 -8.36941e-01 -3.34778e-01 -4.29324e-01 7.30393e-02 1.60600e-01
2.79812e-03 1.19615e-04 5.72833e-05 -3.43645e-05 -8.21884e-01 -3.28755e-01 -4.31117e-01 7.31178e-02 1.58400e-01 2.79812e-03 1.19615e-04 5.72833e-05 -3.43645e-05 -8.21884e-01 -3.28755e-01 -4.31117e-01 7.31178e-02 1.58400e-01
3.45259e-03 1.44437e-04 7.64717e-05 -6.26326e-05 -8.10922e-01 -3.24371e-01 -4.32822e-01 7.31924e-02 1.56200e-01 3.45259e-03 1.44437e-04 7.64717e-05 -6.26326e-05 -8.10922e-01 -3.24371e-01 -4.32822e-01 7.31924e-02 1.56200e-01
4.24388e-03 1.74939e-04 9.72737e-05 -9.58986e-05 -8.08264e-01 -3.23308e-01 -4.34413e-01 7.32621e-02 1.54000e-01 4.24388e-03 1.74939e-04 9.72737e-05 -9.58986e-05 -8.08264e-01 -3.23308e-01 -4.34413e-01 7.32621e-02 1.54000e-01
5.01299e-03 2.05773e-04 1.12713e-04 -1.15347e-04 -8.12512e-01 -3.25007e-01 -4.35865e-01 7.33256e-02 1.51800e-01 5.01299e-03 2.05773e-04 1.12713e-04 -1.15347e-04 -8.12512e-01 -3.25007e-01 -4.35865e-01 7.33256e-02 1.51800e-01
5.04113e-03 2.06629e-04 1.09554e-04 -1.14442e-04 -8.19182e-01 -3.27675e-01 -4.37155e-01 7.33821e-02 1.49600e-01 5.04113e-03 2.06629e-04 1.09554e-04 -1.14442e-04 -8.19182e-01 -3.27675e-01 -4.37155e-01 7.33821e-02 1.49600e-01
4.02032e-03 1.63347e-04 8.75708e-05 -1.12875e-04 -8.21450e-01 -3.28582e-01 -4.38263e-01 7.34305e-02 1.47400e-01 4.02032e-03 1.63347e-04 8.75708e-05 -1.12875e-04 -8.21450e-01 -3.28582e-01 -4.38263e-01 7.34305e-02 1.47400e-01
2.37111e-03 9.31800e-05 5.78938e-05 -1.38732e-04 -8.17624e-01 -3.27052e-01 -4.39170e-01 7.34703e-02 1.45200e-01 2.37111e-03 9.31800e-05 5.78938e-05 -1.38732e-04 -8.17624e-01 -3.27052e-01 -4.39170e-01 7.34703e-02 1.45200e-01
8.22098e-04 2.75458e-05 3.17341e-05 -1.98182e-04 -8.15726e-01 -3.26300e-01 -4.39864e-01 7.35006e-02 1.43000e-01 8.22098e-04 2.75458e-05 3.17341e-05 -1.98182e-04 -8.15726e-01 -3.26300e-01 -4.39864e-01 7.35006e-02 1.43000e-01
1.26227e-04 -5.12501e-07 1.69458e-05 -2.71271e-04 -8.24634e-01 -3.29971e-01 -4.40332e-01 7.35211e-02 1.40800e-01 1.26227e-04 -5.12501e-07 1.69458e-05 -2.71271e-04 -8.24634e-01 -3.29971e-01 -4.40332e-01 7.35211e-02 1.40800e-01
7.42923e-04 2.86664e-05 1.85127e-05 -3.32206e-04 -8.44989e-01 -3.38026e-01 -4.40568e-01 7.35315e-02 1.38600e-01 7.42923e-04 2.86664e-05 1.85127e-05 -3.32206e-04 -8.44989e-01 -3.38026e-01 -4.40568e-01 7.35315e-02 1.38600e-01
