"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.70313e-02	-1.15725e-03	1.21641e-03	7.69671e-05	-8.50926e-01	-3.40391e-01	-4.85030e-01	0.00000e+00	-2.86000e-02
8.54145e-04	3.90088e-05	3.66565e-05	3.99705e-05	-1.36583e+00	-5.46332e-01	-4.84976e-01	2.24936e-03	-2.86000e-02
5.97997e-03	4.52952e-05	2.66368e-04	5.82359e-05	-1.21998e+00	-4.87996e-01	-4.84814e-01	4.49354e-03	-2.86000e-02
1.42747e-02	7.18117e-05	6.39609e-04	6.26377e-05	-1.32645e+00	-5.30584e-01	-4.84543e-01	6.72720e-03	-2.86000e-02
1.58769e-02	1.58904e-04	6.97926e-04	5.92344e-05	-1.35211e+00	-5.40851e-01	-4.84165e-01	8.94507e-03	-2.86000e-02
1.73901e-02	1.73762e-04	7.64251e-04	5.74170e-05	-1.41289e+00	-5.65162e-01	-4.83679e-01	1.11420e-02	-2.86000e-02
1.77595e-02	2.36095e-04	7.64668e-04	5.11908e-05	-1.50406e+00	-6.01629e-01	-4.83088e-01	1.33132e-02	-2.86000e-02
1.66140e-02	2.43114e-04	7.08032e-04	4.54232e-05	-1.52648e+00	-6.10598e-01	-4.82397e-01	1.54543e-02	-2.86000e-02
1.49485e-02	2.50138e-04	6.25355e-04	3.68188e-05	-1.58269e+00	-6.33080e-01	-4.81608e-01	1.75614e-02	-2.86000e-02
1.25796e-02	2.34550e-04	5.15965e-04	2.79496e-05	-1.59127e+00	-6.36513e-01	-4.80771e-01	1.95304e-02	-2.86000e-02
1.00996e-02	2.00445e-04	4.08488e-04	1.92007e-05	-1.59033e+00	-6.36135e-01	-4.79933e-01	2.13057e-02	-2.86000e-02
7.71005e-03	1.67085e-04	3.04536e-04	1.03412e-05	-1.58715e+00	-6.34863e-01	-4.79092e-01	2.29361e-02	-2.86000e-02
5.42588e-03	1.22138e-04	2.11731e-04	2.88527e-06	-1.56557e+00	-6.26229e-01	-4.78247e-01	2.44540e-02	-2.86000e-02
3.52615e-03	8.47410e-05	1.34365e-04	-3.63201e-06	-1.55263e+00	-6.21053e-01	-4.77395e-01	2.58819e-02	-2.86000e-02
1.94526e-03	4.83875e-05	7.30584e-05	-8.14142e-06	-1.53197e+00	-6.12790e-01	-4.76537e-01	2.72364e-02	-2.86000e-02
7.92865e-04	2.03289e-05	2.93647e-05	-1.04913e-05	-1.51591e+00	-6.06365e-01	-4.75669e-01	2.85303e-02	-2.86000e-02
1.43468e-05	1.04120e-07	7.22300e-07	-1.05797e-05	-1.50163e+00	-6.00654e-01	-4.74792e-01	2.97733e-02	-2.86000e-02
-4.83187e-04	-1.43342e-05	-1.64445e-05	-8.27155e-06	-1.48890e+00	-5.95561e-01	-4.73903e-01	3.09734e-02	-2.86000e-02
-7.88411e-04	-2.34007e-05	-2.67662e-05	-3.60891e-06	-1.48043e+00	-5.92170e-01	-4.73002e-01	3.21369e-02	-2.86000e-02
-1.05467e-03	-3.17482e-05	-3.53887e-05	2.52489e-06	-1.47298e+00	-5.89190e-01	-4.72086e-01	3.32692e-02	-2.86000e-02
-1.31131e-03	-3.94760e-05	-4.39486e-05	8.12136e-06	-1.46763e+00	-5.87052e-01	-4.71156e-01	3.43746e-02	-2.86000e-02
-1.51455e-03	-4.56033e-05	-5.07272e-05	1.23853e-05	-1.46321e+00	-5.85283e-01	-4.70209e-01	3.54569e-02	-2.86000e-02
-1.59184e-03	-4.82099e-05	-5.30635e-05	1.62630e-05	-1.45943e+00	-5.83772e-01	-4.69244e-01	3.65192e-02	-2.86000e-02
-1.53204e-03	-4.68806e-05	-5.06353e-05	2.01355e-05	-1.45703e+00	-5.82813e-01	-4.68261e-01	3.75642e-02	-2.86000e-02
-1.39866e-03	-4.33990e-05	-4.56687e-05	2.27247e-05	-1.45519e+00	-5.82074e-01	-4.67259e-01	3.85941e-02	-2.86000e-02
-1.23964e-03	-3.90766e-05	-3.98863e-05	2.27868e-05	-1.45397e+00	-5.81589e-01	-4.66235e-01	3.96111e-02	-2.86000e-02
-1.07954e-03	-3.46090e-05	-3.41553e-05	2.06536e-05	-1.45317e+00	-5.81269e-01	-4.65189e-01	4.06167e-02	-2.86000e-02
