x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	avg	
-0.50000 	 -0.26722 	-0.51497 	 -0.04296 	-0.50000 	 -0.41764 	-0.48503 	 -0.85072 	-0.50000 	 -0.43954 	-0.51497 	 -0.09760 	-0.50000 	 -0.44205 	-0.48503 	 -0.85093 	-0.50000 	 -0.41592 	-0.51497 	 -0.03734 	-0.50000 	 -0.27653 	-0.48503 	 -0.53631 	-0.50000 	 -0.26722 	-0.50000 	 -0.38015 	 
-0.49995 	 -0.49581 	-0.51492 	 -0.34933 	-0.49995 	 -0.66259 	-0.48498 	 -1.36545 	-0.49995 	 -0.69475 	-0.51492 	 -0.42024 	-0.49995 	 -0.69349 	-0.48498 	 -1.36583 	-0.49995 	 -0.66483 	-0.51492 	 -0.34286 	-0.49995 	 -0.49404 	-0.48498 	 -0.94385 	-0.49995 	 -0.49581 	-0.49995 	 -0.69145 	 
-0.49979 	 -0.42340 	-0.51476 	 -0.23372 	-0.49979 	 -0.58797 	-0.48481 	 -1.21951 	-0.49979 	 -0.61722 	-0.51476 	 -0.29921 	-0.49979 	 -0.61774 	-0.48481 	 -1.21998 	-0.49979 	 -0.58855 	-0.51476 	 -0.22732 	-0.49979 	 -0.42288 	-0.48481 	 -0.81149 	-0.49979 	 -0.42340 	-0.49979 	 -0.59172 	 
-0.49952 	 -0.50117 	-0.51450 	 -0.29296 	-0.49952 	 -0.67893 	-0.48454 	 -1.32574 	-0.49952 	 -0.71183 	-0.51450 	 -0.36241 	-0.49952 	 -0.71216 	-0.48454 	 -1.32645 	-0.49952 	 -0.67989 	-0.51450 	 -0.28611 	-0.49952 	 -0.50042 	-0.48454 	 -0.87525 	-0.49952 	 -0.50117 	-0.49952 	 -0.67342 	 
-0.49915 	 -0.52222 	-0.51413 	 -0.30087 	-0.49915 	 -0.71000 	-0.48417 	 -1.35110 	-0.49915 	 -0.74592 	-0.51413 	 -0.37400 	-0.49915 	 -0.74632 	-0.48417 	 -1.35211 	-0.49915 	 -0.71110 	-0.51413 	 -0.29392 	-0.49915 	 -0.52051 	-0.48417 	 -0.85647 	-0.49915 	 -0.52222 	-0.49915 	 -0.69283 	 
-0.49867 	 -0.58249 	-0.51366 	 -0.35097 	-0.49867 	 -0.78889 	-0.48368 	 -1.41148 	-0.49867 	 -0.82870 	-0.51366 	 -0.43043 	-0.49867 	 -0.82994 	-0.48368 	 -1.41289 	-0.49867 	 -0.78940 	-0.51366 	 -0.34374 	-0.49867 	 -0.58314 	-0.48368 	 -0.86198 	-0.49867 	 -0.58249 	-0.49867 	 -0.75358 	 
-0.49809 	 -0.65161 	-0.51309 	 -0.43126 	-0.49809 	 -0.87541 	-0.48309 	 -1.50212 	-0.49809 	 -0.92130 	-0.51309 	 -0.51963 	-0.49809 	 -0.92211 	-0.48309 	 -1.50406 	-0.49809 	 -0.87661 	-0.51309 	 -0.42375 	-0.49809 	 -0.65060 	-0.48309 	 -0.88469 	-0.49809 	 -0.65161 	-0.49809 	 -0.83190 	 
-0.49741 	 -0.69583 	-0.51241 	 -0.47874 	-0.49741 	 -0.93913 	-0.48240 	 -1.52391 	-0.49741 	 -0.99010 	-0.51241 	 -0.57508 	-0.49741 	 -0.99146 	-0.48240 	 -1.52648 	-0.49741 	 -0.94005 	-0.51241 	 -0.47101 	-0.49741 	 -0.69580 	-0.48240 	 -0.85223 	-0.49741 	 -0.69583 	-0.49741 	 -0.87505 	 
-0.49663 	 -0.76176 	-0.51165 	 -0.56253 	-0.49663 	 -1.02740 	-0.48161 	 -1.57937 	-0.49663 	 -1.08492 	-0.51165 	 -0.66920 	-0.49663 	 -1.08640 	-0.48161 	 -1.58269 	-0.49663 	 -1.02849 	-0.51165 	 -0.55449 	-0.49663 	 -0.76184 	-0.48161 	 -0.85545 	-0.49663 	 -0.76176 	-0.49663 	 -0.94741 	 
-0.49580 	 -0.80111 	-0.51083 	 -0.61855 	-0.49580 	 -1.08693 	-0.48077 	 -1.58719 	-0.49580 	 -1.15065 	-0.51083 	 -0.73471 	-0.49580 	 -1.15218 	-0.48077 	 -1.59127 	-0.49580 	 -1.08824 	-0.51083 	 -0.61026 	-0.49580 	 -0.80051 	-0.48077 	 -0.83116 	-0.49580 	 -0.80111 	-0.49580 	 -0.98876 	 
-0.49497 	 -0.83710 	-0.51001 	 -0.67137 	-0.49497 	 -1.14427 	-0.47993 	 -1.58556 	-0.49497 	 -1.21365 	-0.51001 	 -0.79667 	-0.49497 	 -1.21552 	-0.47993 	 -1.59033 	-0.49497 	 -1.14550 	-0.51001 	 -0.66281 	-0.49497 	 -0.83725 	-0.47993 	 -0.81690 	-0.49497 	 -0.83710 	-0.49497 	 -1.02723 	 
-0.49415 	 -0.86611 	-0.50920 	 -0.72164 	-0.49415 	 -1.19297 	-0.47909 	 -1.58181 	-0.49415 	 -1.26806 	-0.50920 	 -0.85609 	-0.49415 	 -1.26996 	-0.47909 	 -1.58715 	-0.49415 	 -1.19440 	-0.50920 	 -0.71281 	-0.49415 	 -0.86574 	-0.47909 	 -0.81145 	-0.49415 	 -0.86611 	-0.49415 	 -1.06110 	 
-0.49331 	 -0.88282 	-0.50837 	 -0.75664 	-0.49331 	 -1.22923 	-0.47825 	 -1.55981 	-0.49331 	 -1.30943 	-0.50837 	 -0.89957 	-0.49331 	 -1.31154 	-0.47825 	 -1.56557 	-0.49331 	 -1.23069 	-0.50837 	 -0.74758 	-0.49331 	 -0.88261 	-0.47825 	 -0.79899 	-0.49331 	 -0.88282 	-0.49331 	 -1.08133 	 
