x0	T1	x1	T2	x2	T3	x3	avg	
-0.48503 	 -0.81790 	-0.48503 	 -0.83162 	-0.48503 	 -0.51790 	-0.48503 	 -0.72247 	 
-0.48498 	 -1.32542 	-0.48498 	 -1.34445 	-0.48498 	 -0.92258 	-0.48498 	 -1.19748 	 
-0.48481 	 -1.18122 	-0.48481 	 -1.20113 	-0.48481 	 -0.79124 	-0.48481 	 -1.05786 	 
-0.48454 	 -1.28670 	-0.48454 	 -1.31028 	-0.48454 	 -0.85530 	-0.48454 	 -1.15076 	 
-0.48417 	 -1.31215 	-0.48417 	 -1.33990 	-0.48417 	 -0.83742 	-0.48417 	 -1.16316 	 
-0.48368 	 -1.37277 	-0.48368 	 -1.40535 	-0.48368 	 -0.84368 	-0.48368 	 -1.20727 	 
-0.48309 	 -1.46320 	-0.48309 	 -1.50163 	-0.48309 	 -0.86650 	-0.48309 	 -1.27711 	 
-0.48240 	 -1.48577 	-0.48240 	 -1.53005 	-0.48240 	 -0.83378 	-0.48240 	 -1.28320 	 
-0.48161 	 -1.54167 	-0.48161 	 -1.59232 	-0.48161 	 -0.83567 	-0.48161 	 -1.32322 	 
-0.48077 	 -1.55014 	-0.48077 	 -1.60678 	-0.48077 	 -0.80958 	-0.48077 	 -1.32217 	 
-0.47993 	 -1.54904 	-0.47993 	 -1.61080 	-0.47993 	 -0.79331 	-0.47993 	 -1.31772 	 
-0.47909 	 -1.54541 	-0.47909 	 -1.61155 	-0.47909 	 -0.78605 	-0.47909 	 -1.31434 	 
-0.47825 	 -1.52340 	-0.47825 	 -1.59291 	-0.47825 	 -0.77226 	-0.47825 	 -1.29619 	 
-0.47740 	 -1.50982 	-0.47740 	 -1.58185 	-0.47740 	 -0.77072 	-0.47740 	 -1.28746 	 
-0.47654 	 -1.48854 	-0.47654 	 -1.56226 	-0.47654 	 -0.76339 	-0.47654 	 -1.27140 	 
-0.47567 	 -1.47184 	-0.47567 	 -1.54647 	-0.47567 	 -0.76087 	-0.47567 	 -1.25972 	 
-0.47479 	 -1.45697 	-0.47479 	 -1.53190 	-0.47479 	 -0.75862 	-0.47479 	 -1.24916 	 
-0.47390 	 -1.44379 	-0.47390 	 -1.51849 	-0.47390 	 -0.75606 	-0.47390 	 -1.23945 	 
-0.47300 	 -1.43500 	-0.47300 	 -1.50918 	-0.47300 	 -0.75536 	-0.47300 	 -1.23318 	 
-0.47209 	 -1.42747 	-0.47209 	 -1.50109 	-0.47209 	 -0.75347 	-0.47209 	 -1.22734 	 
-0.47116 	 -1.42221 	-0.47116 	 -1.49540 	-0.47116 	 -0.75242 	-0.47116 	 -1.22334 	 
-0.47021 	 -1.41787 	-0.47021 	 -1.49080 	-0.47021 	 -0.75140 	-0.47021 	 -1.22002 	 
-0.46924 	 -1.41407 	-0.46924 	 -1.48671 	-0.46924 	 -0.75023 	-0.46924 	 -1.21700 	 
