"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.53125e-03	1.60527e-05	1.00419e-04	-1.03009e-04	-7.76150e-01	-3.10463e-01	-4.80000e-01	4.17479e-02	1.64212e-01
1.53012e-03	1.41798e-05	1.01831e-04	-1.04080e-04	-7.76191e-01	-3.10479e-01	-4.80000e-01	4.10956e-02	1.65000e-01
1.55259e-03	1.79271e-05	1.00816e-04	-1.05452e-04	-7.75140e-01	-3.10059e-01	-4.80000e-01	4.27559e-02	1.62959e-01
1.55885e-03	1.82250e-05	1.01073e-04	-1.05832e-04	-7.74984e-01	-3.09997e-01	-4.80000e-01	4.28804e-02	1.62800e-01
1.56886e-03	2.09264e-05	9.91325e-05	-1.04954e-04	-7.74900e-01	-3.09963e-01	-4.80000e-01	4.37586e-02	1.61660e-01
1.59969e-03	2.29416e-05	9.96602e-05	-1.07312e-04	-7.73930e-01	-3.09575e-01	-4.80000e-01	4.45525e-02	1.60600e-01
1.60695e-03	2.38017e-05	9.91915e-05	-1.07109e-04	-7.73921e-01	-3.09571e-01	-4.80000e-01	4.47573e-02	1.60318e-01
1.63479e-03	2.69514e-05	9.76924e-05	-1.08080e-04	-7.73515e-01	-3.09409e-01	-4.80000e-01	4.57529e-02	1.58909e-01
1.65608e-03	2.81606e-05	9.80326e-05	-1.09239e-04	-7.73111e-01	-3.09247e-01	-4.80000e-01	4.61028e-02	1.58400e-01
1.68884e-03	3.10937e-05	9.66880e-05	-1.09343e-04	-7.73230e-01	-3.09295e-01	-4.80000e-01	4.67463e-02	1.57417e-01
1.73527e-03	3.41073e-05	9.65161e-05	-1.11965e-04	-7.72687e-01	-3.09077e-01	-4.80000e-01	4.75232e-02	1.56200e-01
1.75401e-03	3.53973e-05	9.61214e-05	-1.12168e-04	-7.72812e-01	-3.09128e-01	-4.80000e-01	4.77383e-02	1.55839e-01
1.82399e-03	4.01478e-05	9.48906e-05	-1.15316e-04	-7.72902e-01	-3.09164e-01	-4.80000e-01	4.87296e-02	1.54132e-01
1.83080e-03	4.05254e-05	9.49217e-05	-1.15657e-04	-7.72879e-01	-3.09154e-01	-4.80000e-01	4.88044e-02	1.54000e-01
1.93747e-03	4.68484e-05	9.38492e-05	-1.18952e-04	-7.73998e-01	-3.09602e-01	-4.80000e-01	4.97207e-02	1.52228e-01
1.96130e-03	4.81552e-05	9.38321e-05	-1.20267e-04	-7.74141e-01	-3.09659e-01	-4.80000e-01	4.99362e-02	1.51800e-01
2.10268e-03	5.55256e-05	9.36335e-05	-1.25414e-04	-7.76077e-01	-3.10433e-01	-4.80000e-01	5.07121e-02	1.50069e-01
2.13620e-03	5.72446e-05	9.36837e-05	-1.27232e-04	-7.76524e-01	-3.10612e-01	-4.80000e-01	5.09172e-02	1.49600e-01
2.36501e-03	6.81986e-05	9.47882e-05	-1.36631e-04	-7.80287e-01	-3.12118e-01	-4.80000e-01	5.17045e-02	1.47505e-01
2.37544e-03	6.86971e-05	9.48519e-05	-1.37163e-04	-7.80468e-01	-3.12190e-01	-4.80000e-01	5.17429e-02	1.47400e-01
2.71899e-03	8.42433e-05	9.81108e-05	-1.49942e-04	-7.86743e-01	-3.14700e-01	-4.80000e-01	5.24041e-02	1.45200e-01
2.97554e-03	9.57231e-05	1.00784e-04	-1.59652e-04	-7.91934e-01	-3.16777e-01	-4.80000e-01	5.26981e-02	1.43922e-01
3.15922e-03	1.03937e-04	1.02797e-04	-1.66815e-04	-7.95706e-01	-3.18285e-01	-4.80000e-01	5.29047e-02	1.43000e-01
3.71343e-03	1.28841e-04	1.08974e-04	-1.87278e-04	-8.08105e-01	-3.23245e-01	-4.80000e-01	5.32380e-02	1.40800e-01
4.35106e-03	1.58403e-04	1.15430e-04	-2.10938e-04	-8.24532e-01	-3.29817e-01	-4.80000e-01	5.34062e-02	1.38600e-01
5.03538e-03	1.91723e-04	1.21206e-04	-2.36450e-04	-8.45623e-01	-3.38254e-01	-4.80000e-01	5.34062e-02	1.36400e-01
5.71110e-03	2.27050e-04	1.25226e-04	-2.61890e-04	-8.71670e-01	-3.48673e-01	-4.80000e-01	5.32380e-02	1.34200e-01
6.32208e-03	2.62249e-04	1.26832e-04	-2.84801e-04	-9.02727e-01	-3.61096e-01	-4.80000e-01	5.29047e-02	1.32000e-01
6.83511e-03	2.95481e-04	1.26476e-04	-3.02881e-04	-9.38331e-01	-3.75338e-01	-4.80000e-01	5.24041e-02	1.29800e-01
