x0	avg	
0.16495 	 -0.77202 	 
0.16500 	 -0.77211 	 
0.16287 	 -0.76969 	 
0.16280 	 -0.76968 	 
0.16071 	 -0.76641 	 
0.16060 	 -0.76636 	 
0.15843 	 -0.76335 	 
0.15840 	 -0.76333 	 
0.15620 	 -0.76167 	 
0.15595 	 -0.76168 	 
0.15400 	 -0.76201 	 
0.15317 	 -0.76322 	 
0.15180 	 -0.76616 	 
0.14993 	 -0.77243 	 
0.14960 	 -0.77376 	 
0.14740 	 -0.78294 	 
0.14559 	 -0.78985 	 
0.14520 	 -0.79135 	 
0.14300 	 -0.79459 	 
0.14080 	 -0.79429 	 
0.13860 	 -0.79172 	 
0.13640 	 -0.79341 	 
0.13420 	 -0.80424 	 
0.13200 	 -0.82319 	 
0.12980 	 -0.84866 	 
0.12760 	 -0.88031 	 
0.12941 	 -0.85413 	 
0.12540 	 -0.91943 	 
0.12320 	 -0.96215 	 
0.12507 	 -0.92609 	 
0.12100 	 -1.01215 	 
0.12183 	 -0.99261 	 
0.11880 	 -1.07109 	 
0.11905 	 -1.06401 	 
0.11660 	 -1.13969 	 
0.11440 	 -1.21467 	 
0.11657 	 -1.14065 	 
0.11220 	 -1.28714 	 
0.11429 	 -1.21866 	 
0.11000 	 -1.35040 	 
0.11005 	 -1.34889 	 
0.11213 	 -1.28946 	 
0.10780 	 -1.40693 	 
0.10802 	 -1.40199 	 
0.10560 	 -1.43044 	 
0.10601 	 -1.42641 	 
0.10340 	 -1.42168 	 
0.10400 	 -1.42290 	 
0.10120 	 -1.40517 	 
0.10195 	 -1.40974 	 
0.09900 	 -1.39618 	 
0.09983 	 -1.39911 	 
0.09680 	 -1.38938 	 
0.09758 	 -1.39074 	 
0.09460 	 -1.38768 	 
0.09512 	 -1.38788 	 
0.09240 	 -1.39447 	 
0.09020 	 -1.40482 	 
0.09228 	 -1.39506 	 
0.08800 	 -1.41186 	 
0.08840 	 -1.41048 	 
0.08580 	 -1.41309 	 
0.08360 	 -1.41273 	 
0.08140 	 -1.41456 	 
0.07920 	 -1.42049 	 
0.07700 	 -1.42915 	 
0.07660 	 -1.43060 	 
0.07480 	 -1.43703 	 
0.07272 	 -1.44472 	 
0.07260 	 -1.44510 	 
0.07040 	 -1.45269 	 
0.06988 	 -1.45461 	 
0.06820 	 -1.45913 	 
0.06742 	 -1.46169 	 
0.06600 	 -1.46543 	 
0.06517 	 -1.46801 	 
0.06380 	 -1.47188 	 
0.06305 	 -1.47369 	 
0.06160 	 -1.47580 	 
0.06100 	 -1.47668 	 
0.05940 	 -1.47842 	 
0.05899 	 -1.47861 	 
0.05720 	 -1.47911 	 
0.05698 	 -1.47901 	 
0.05500 	 -1.47754 	 
0.05495 	 -1.47749 	 
0.05287 	 -1.47440 	 
0.05280 	 -1.47427 	 
0.05071 	 -1.47077 	 
0.05060 	 -1.47050 	 
0.04843 	 -1.46647 	 
0.04840 	 -1.46640 	 
0.04620 	 -1.45710 	 
0.04595 	 -1.45500 	 
0.04400 	 -1.43901 	 
0.04317 	 -1.42924 	 
0.04180 	 -1.41248 	 
0.03993 	 -1.38725 	 
0.03960 	 -1.38244 	 
0.03740 	 -1.35538 	 
0.03559 	 -1.33687 	 
0.03520 	 -1.33282 	 
0.03300 	 -1.31301 	 
0.03080 	 -1.30077 	 
0.02860 	 -1.29570 	 
0.02640 	 -1.29636 	 
0.02420 	 -1.30466 	 
0.02200 	 -1.31916 	 
0.01980 	 -1.33997 	 
0.01760 	 -1.36543 	 
0.01941 	 -1.34463 	 
0.01540 	 -1.39468 	 
0.01320 	 -1.42390 	 
0.01507 	 -1.39928 	 
0.01100 	 -1.45103 	 
0.01183 	 -1.44112 	 
0.00880 	 -1.47261 	 
0.00905 	 -1.47022 	 
0.00660 	 -1.48582 	 
0.00440 	 -1.49314 	 
0.00657 	 -1.48591 	 
0.00220 	 -1.49691 	 
0.00429 	 -1.49333 	 
0.00000 	 -1.49933 	 
0.00005 	 -1.49927 	 
0.00213 	 -1.49698 	 
-0.00220 	 -1.50053 	 
-0.00198 	 -1.50040 	 
-0.00440 	 -1.50228 	 
-0.00399 	 -1.50211 	 
-0.00660 	 -1.50238 	 
-0.00600 	 -1.50257 	 
-0.00880 	 -1.50026 	 
-0.00805 	 -1.50124 	 
-0.01100 	 -1.49598 	 
-0.01017 	 -1.49785 	 
-0.01320 	 -1.48907 	 
-0.01242 	 -1.49149 	 
-0.01540 	 -1.48171 	 
-0.01488 	 -1.48301 	 
-0.01760 	 -1.47835 	 
-0.01980 	 -1.47811 	 
-0.01772 	 -1.47830 	 
-0.02200 	 -1.47687 	 
-0.02160 	 -1.47717 	 
-0.02420 	 -1.47443 	 
-0.02640 	 -1.47229 	 
-0.02860 	 -1.47094 	 
-0.03080 	 -1.46965 	 
-0.03300 	 -1.46797 	 
-0.03340 	 -1.46767 	 
-0.03520 	 -1.46626 	 
-0.03728 	 -1.46446 	 
-0.03740 	 -1.46437 	 
-0.03960 	 -1.46127 	 
-0.04012 	 -1.46038 	 
-0.04180 	 -1.45793 	 
