"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.64569e-02	-4.40511e-04	9.74534e-04	-6.97549e-04	-2.22341e-01	-8.89561e-02	-5.00000e-01	0.00000e+00	-1.65000e-01
3.01342e-03	1.88110e-04	1.69759e-04	-1.65026e-04	-4.30856e-01	-1.72349e-01	-4.99947e-01	2.24938e-03	-1.65000e-01
7.48167e-03	2.15398e-04	4.24101e-04	-1.98793e-04	-3.61841e-01	-1.44743e-01	-4.99788e-01	4.49373e-03	-1.65000e-01
1.23570e-02	2.54575e-04	7.00146e-04	-1.97823e-04	-4.35826e-01	-1.74340e-01	-4.99521e-01	6.72789e-03	-1.65000e-01
1.33760e-02	3.01832e-04	7.43171e-04	-1.72062e-04	-4.53727e-01	-1.81501e-01	-4.99148e-01	8.94671e-03	-1.65000e-01
1.49848e-02	3.25767e-04	8.24364e-04	-1.62387e-04	-5.12637e-01	-2.05065e-01	-4.98669e-01	1.11452e-02	-1.65000e-01
1.59398e-02	3.68147e-04	8.60616e-04	-1.31185e-04	-5.75705e-01	-2.30293e-01	-4.98087e-01	1.33187e-02	-1.65000e-01
1.62072e-02	3.85463e-04	8.61231e-04	-1.13162e-04	-6.17216e-01	-2.46898e-01	-4.97406e-01	1.54629e-02	-1.65000e-01
1.62502e-02	4.04600e-04	8.47100e-04	-8.56095e-05	-6.78588e-01	-2.71446e-01	-4.96627e-01	1.75740e-02	-1.65000e-01
1.58319e-02	4.10268e-04	8.09837e-04	-6.37137e-05	-7.13398e-01	-2.85370e-01	-4.95802e-01	1.95472e-02	-1.65000e-01
1.52629e-02	4.07293e-04	7.67892e-04	-4.43064e-05	-7.46508e-01	-2.98613e-01	-4.94975e-01	2.13264e-02	-1.65000e-01
1.45249e-02	3.99476e-04	7.18418e-04	-2.45422e-05	-7.71599e-01	-3.08649e-01	-4.94145e-01	2.29608e-02	-1.65000e-01
1.36679e-02	3.82892e-04	6.66850e-04	-9.05596e-06	-7.85561e-01	-3.14233e-01	-4.93311e-01	2.44826e-02	-1.65000e-01
1.27546e-02	3.63784e-04	6.13949e-04	7.95956e-06	-7.99122e-01	-3.19657e-01	-4.92470e-01	2.59146e-02	-1.65000e-01
1.17413e-02	3.38052e-04	5.59414e-04	2.22995e-05	-8.03327e-01	-3.21338e-01	-4.91622e-01	2.72736e-02	-1.65000e-01
1.06958e-02	3.09522e-04	5.05491e-04	3.70929e-05	-8.05886e-01	-3.22361e-01	-4.90765e-01	2.85721e-02	-1.65000e-01
9.60703e-03	2.77217e-04	4.52163e-04	5.11609e-05	-8.03787e-01	-3.21521e-01	-4.89898e-01	2.98201e-02	-1.65000e-01
8.49706e-03	2.42354e-04	4.00178e-04	6.47491e-05	-7.98489e-01	-3.19401e-01	-4.89019e-01	3.10255e-02	-1.65000e-01
7.38743e-03	2.06131e-04	3.50159e-04	7.76507e-05	-7.91238e-01	-3.16500e-01	-4.88127e-01	3.21948e-02	-1.65000e-01
6.29393e-03	1.69295e-04	3.02630e-04	8.91689e-05	-7.81403e-01	-3.12565e-01	-4.87221e-01	3.33333e-02	-1.65000e-01
5.24809e-03	1.33224e-04	2.58655e-04	9.96663e-05	-7.70672e-01	-3.08272e-01	-4.86300e-01	3.44453e-02	-1.65000e-01
4.28709e-03	9.93520e-05	2.19591e-04	1.09069e-04	-7.59012e-01	-3.03608e-01	-4.85362e-01	3.55346e-02	-1.65000e-01
3.46242e-03	6.99524e-05	1.87017e-04	1.16866e-04	-7.47100e-01	-2.98843e-01	-4.84406e-01	3.66044e-02	-1.65000e-01
2.80166e-03	4.67927e-05	1.61146e-04	1.21812e-04	-7.35777e-01	-2.94314e-01	-4.83431e-01	3.76573e-02	-1.65000e-01
2.28008e-03	2.98125e-05	1.39980e-04	1.22316e-04	-7.25276e-01	-2.90113e-01	-4.82435e-01	3.86957e-02	-1.65000e-01
1.83626e-03	1.71788e-05	1.20490e-04	1.17757e-04	-7.16247e-01	-2.86502e-01	-4.81419e-01	3.97215e-02	-1.65000e-01
1.39506e-03	6.05920e-06	9.96792e-05	1.08578e-04	-7.08757e-01	-2.83506e-01	-4.80380e-01	4.07365e-02	-1.65000e-01
9.24168e-04	-5.32396e-06	7.68024e-05	9.63693e-05	-7.02703e-01	-2.81084e-01	-4.79317e-01	4.17421e-02	-1.65000e-01
4.45914e-04	-1.67773e-05	5.33027e-05	8.28740e-05	-6.97917e-01	-2.79171e-01	-4.78230e-01	4.27397e-02	-1.65000e-01
2.05179e-05	-2.65839e-05	3.19325e-05	6.93892e-05	-6.94093e-01	-2.77701e-01	-4.77117e-01	4.37302e-02	-1.65000e-01
-2.94830e-04	-3.29488e-05	1.51244e-05	5.66677e-05	-6.91145e-01	-2.76455e-01	-4.75977e-01	4.47148e-02	-1.65000e-01
-4.78037e-04	-3.51444e-05	3.76151e-06	4.51439e-05	-6.88946e-01	-2.75577e-01	-4.74811e-01	4.56941e-02	-1.65000e-01
-5.43077e-04	-3.37284e-05	-2.63438e-06	3.51273e-05	-6.87420e-01	-2.74967e-01	-4.73615e-01	4.66689e-02	-1.65000e-01
-5.27223e-04	-3.01320e-05	-5.33194e-06	2.70218e-05	-6.86474e-01	-2.74589e-01	-4.72390e-01	4.76398e-02	-1.65000e-01
-4.71118e-04	-2.58703e-05	-5.72942e-06	2.12251e-05	-6.85967e-01	-2.74386e-01	-4.71135e-01	4.86073e-02	-1.65000e-01
-4.02856e-04	-2.19671e-05	-4.78061e-06	1.78172e-05	-6.85796e-01	-2.74318e-01	-4.69849e-01	4.95717e-02	-1.65000e-01
-3.29511e-04	-1.84834e-05	-2.93067e-06	1.63450e-05	-6.85846e-01	-2.74338e-01	-4.68531e-01	5.05335e-02	-1.65000e-01
-2.31653e-04	-1.42453e-05	-7.71020e-08	1.59380e-05	-6.86056e-01	-2.74422e-01	-4.67181e-01	5.14929e-02	-1.65000e-01
-7.35743e-05	-7.38670e-06	4.24863e-06	1.53013e-05	-6.86506e-01	-2.74602e-01	-4.65797e-01	5.24501e-02	-1.65000e-01
1.66812e-04	3.38932e-06	1.00358e-05	1.30346e-05	-6.87433e-01	-2.74974e-01	-4.64378e-01	5.34052e-02	-1.65000e-01
4.77380e-04	1.78303e-05	1.64334e-05	8.40036e-06	-6.89103e-01	-2.75642e-01	-4.62925e-01	5.43583e-02	-1.65000e-01
8.19115e-04	3.40776e-05	2.25961e-05	1.92847e-06	-6.91670e-01	-2.76669e-01	-4.61435e-01	5.53096e-02	-1.65000e-01
1.13881e-03	4.93354e-05	2.79342e-05	-4.42755e-06	-6.95112e-01	-2.78045e-01	-4.59910e-01	5.62590e-02	-1.65000e-01
1.37210e-03	6.03716e-05	3.16607e-05	-8.35593e-06	-6.99236e-01	-2.79695e-01	-4.58347e-01	5.72066e-02	-1.65000e-01
1.43646e-03	6.33602e-05	3.23826e-05	-8.78905e-06	-7.03561e-01	-2.81425e-01	-4.56747e-01	5.81521e-02	-1.65000e-01
1.29285e-03	5.67221e-05	2.92363e-05	-5.96009e-06	-7.07160e-01	-2.82864e-01	-4.55108e-01	5.90956e-02	-1.65000e-01
1.04441e-03	4.51663e-05	2.44638e-05	-8.31146e-07	-7.09474e-01	-2.83790e-01	-4.53431e-01	6.00370e-02	-1.65000e-01
8.62945e-04	3.62456e-05	2.19516e-05	5.06641e-06	-7.11129e-01	-2.84452e-01	-4.51714e-01	6.09761e-02	-1.65000e-01
8.03908e-04	3.26752e-05	2.23450e-05	1.05270e-05	-7.12968e-01	-2.85188e-01	-4.49957e-01	6.19127e-02	-1.65000e-01
7.80732e-04	3.09145e-05	2.31843e-05	1.51752e-05	-7.15022e-01	-2.86009e-01	-4.48160e-01	6.28467e-02	-1.65000e-01
7.14015e-04	2.74811e-05	2.27287e-05	1.91589e-05	-7.16843e-01	-2.86738e-01	-4.46322e-01	6.37778e-02	-1.65000e-01
6.32260e-04	2.35372e-05	2.17560e-05	2.27655e-05	-7.18299e-01	-2.87320e-01	-4.44442e-01	6.47058e-02	-1.65000e-01
5.97257e-04	2.16292e-05	2.18679e-05	2.63564e-05	-7.19736e-01	-2.87895e-01	-4.42520e-01	6.56305e-02	-1.65000e-01
6.18650e-04	2.21231e-05	2.33464e-05	3.04228e-05	-7.21454e-01	-2.88582e-01	-4.40556e-01	6.65517e-02	-1.65000e-01
6.65969e-04	2.37595e-05	2.53810e-05	3.46700e-05	-7.23520e-01	-2.89409e-01	-4.38549e-01	6.74690e-02	-1.65000e-01
6.96433e-04	2.48830e-05	2.66072e-05	3.75514e-05	-7.25837e-01	-2.90336e-01	-4.36499e-01	6.83822e-02	-1.65000e-01
6.66484e-04	2.37616e-05	2.57365e-05	3.81398e-05	-7.28094e-01	-2.91238e-01	-4.34406e-01	6.92910e-02	-1.65000e-01
5.60799e-04	1.94776e-05	2.30352e-05	3.76362e-05	-7.30096e-01	-2.92039e-01	-4.32269e-01	7.01950e-02	-1.65000e-01
4.41848e-04	1.44351e-05	2.05380e-05	3.81219e-05	-7.31882e-01	-2.92754e-01	-4.30087e-01	7.10941e-02	-1.65000e-01
