"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.62488e-02	-1.12322e-03	1.18120e-03	6.26227e-05	-7.87309e-01	-3.14944e-01	-4.85030e-01	0.00000e+00	1.36400e-01
6.76154e-04	3.66064e-05	2.87418e-05	1.98607e-05	-1.28359e+00	-5.13437e-01	-4.84976e-01	2.24936e-03	1.36400e-01
5.66665e-03	4.19582e-05	2.52504e-04	3.07130e-05	-1.14114e+00	-4.56457e-01	-4.84814e-01	4.49354e-03	1.36400e-01
1.36927e-02	6.71949e-05	6.13778e-04	3.10255e-05	-1.24268e+00	-4.97077e-01	-4.84543e-01	6.72720e-03	1.36400e-01
1.51378e-02	1.50384e-04	6.65657e-04	2.54287e-05	-1.26378e+00	-5.05520e-01	-4.84165e-01	8.94507e-03	1.36400e-01
1.65070e-02	1.63145e-04	7.25882e-04	2.19541e-05	-1.31903e+00	-5.27620e-01	-4.83679e-01	1.11420e-02	1.36400e-01
1.67437e-02	2.21424e-04	7.21279e-04	1.46550e-05	-1.40229e+00	-5.60922e-01	-4.83088e-01	1.33132e-02	1.36400e-01
1.54966e-02	2.25259e-04	6.60938e-04	8.88738e-06	-1.41860e+00	-5.67447e-01	-4.82397e-01	1.54543e-02	1.36400e-01
1.37449e-02	2.28773e-04	5.75495e-04	1.87380e-06	-1.46771e+00	-5.87088e-01	-4.81608e-01	1.75614e-02	1.36400e-01
1.13255e-02	2.10232e-04	4.64949e-04	-4.06924e-06	-1.47071e+00	-5.88289e-01	-4.80771e-01	1.95304e-02	1.36400e-01
8.84653e-03	1.74490e-04	3.58344e-04	-8.51654e-06	-1.46597e+00	-5.86391e-01	-4.79933e-01	2.13057e-02	1.36400e-01
6.50531e-03	1.40534e-04	2.57188e-04	-1.21252e-05	-1.46000e+00	-5.84001e-01	-4.79092e-01	2.29361e-02	1.36400e-01
4.32677e-03	9.67062e-05	1.69240e-04	-1.38887e-05	-1.43737e+00	-5.74952e-01	-4.78247e-01	2.44540e-02	1.36400e-01
2.57824e-03	6.17495e-05	9.83745e-05	-1.46951e-05	-1.42429e+00	-5.69718e-01	-4.77395e-01	2.58819e-02	1.36400e-01
1.17953e-03	2.90126e-05	4.45135e-05	-1.43583e-05	-1.40445e+00	-5.61782e-01	-4.76537e-01	2.72364e-02	1.36400e-01
2.13574e-04	5.02884e-06	8.21780e-06	-1.33335e-05	-1.38990e+00	-5.55959e-01	-4.75669e-01	2.85303e-02	1.36400e-01
-4.05162e-04	-1.14474e-05	-1.42434e-05	-1.18265e-05	-1.37747e+00	-5.50988e-01	-4.74792e-01	2.97733e-02	1.36400e-01
-7.90323e-04	-2.31427e-05	-2.71271e-05	-1.15706e-05	-1.36678e+00	-5.46710e-01	-4.73903e-01	3.09734e-02	1.36400e-01
-1.03421e-03	-3.07462e-05	-3.50714e-05	-1.50508e-05	-1.36010e+00	-5.44041e-01	-4.73002e-01	3.21369e-02	1.36400e-01
-1.24796e-03	-3.77879e-05	-4.16923e-05	-2.15885e-05	-1.35400e+00	-5.41598e-01	-4.72086e-01	3.32692e-02	1.36400e-01
-1.39798e-03	-4.26277e-05	-4.63875e-05	-2.80958e-05	-1.34973e+00	-5.39893e-01	-4.71156e-01	3.43746e-02	1.36400e-01
-1.43734e-03	-4.42247e-05	-4.72976e-05	-3.30680e-05	-1.34649e+00	-5.38596e-01	-4.70209e-01	3.54569e-02	1.36400e-01
-1.36442e-03	-4.26350e-05	-4.42695e-05	-3.65883e-05	-1.34403e+00	-5.37610e-01	-4.69244e-01	3.65192e-02	1.36400e-01
-1.22738e-03	-3.90158e-05	-3.91709e-05	-3.77093e-05	-1.34278e+00	-5.37111e-01	-4.68261e-01	3.75642e-02	1.36400e-01
-1.08266e-03	-3.49975e-05	-3.39609e-05	-3.53748e-05	-1.34182e+00	-5.36726e-01	-4.67259e-01	3.85941e-02	1.36400e-01
-9.41666e-04	-3.09685e-05	-2.89842e-05	-3.07428e-05	-1.34136e+00	-5.36544e-01	-4.66235e-01	3.96111e-02	1.36400e-01
-7.94376e-04	-2.65723e-05	-2.39651e-05	-2.60421e-05	-1.34123e+00	-5.36493e-01	-4.65189e-01	4.06167e-02	1.36400e-01
-6.12255e-04	-2.08188e-05	-1.80906e-05	-2.23396e-05	-1.34126e+00	-5.36505e-01	-4.64120e-01	4.16125e-02	1.36400e-01
-3.74387e-04	-1.30007e-05	-1.07505e-05	-1.96447e-05	-1.34185e+00	-5.36741e-01	-4.63028e-01	4.25997e-02	1.36400e-01
-9.51731e-05	-3.60337e-06	-2.38436e-06	-1.80867e-05	-1.34294e+00	-5.37177e-01	-4.61910e-01	4.35796e-02	1.36400e-01
1.89677e-04	6.17840e-06	5.92430e-06	-1.74931e-05	-1.34469e+00	-5.37876e-01	-4.60766e-01	4.45529e-02	1.36400e-01
4.36900e-04	1.49070e-05	1.28486e-05	-1.71653e-05	-1.34696e+00	-5.38785e-01	-4.59595e-01	4.55206e-02	1.36400e-01
6.33144e-04	2.20216e-05	1.81123e-05	-1.64804e-05	-1.34954e+00	-5.39815e-01	-4.58397e-01	4.64833e-02	1.36400e-01
7.94883e-04	2.80341e-05	2.22558e-05	-1.49208e-05	-1.35239e+00	-5.40955e-01	-4.57170e-01	4.74416e-02	1.36400e-01
9.29857e-04	3.32476e-05	2.54485e-05	-1.23608e-05	-1.35546e+00	-5.42185e-01	-4.55913e-01	4.83961e-02	1.36400e-01
1.04718e-03	3.78979e-05	2.80506e-05	-9.63810e-06	-1.35879e+00	-5.43518e-01	-4.54626e-01	4.93472e-02	1.36400e-01
1.16983e-03	4.27966e-05	3.07028e-05	-7.16621e-06	-1.36236e+00	-5.44943e-01	-4.53307e-01	5.02952e-02	1.36400e-01
1.30998e-03	4.84416e-05	3.36447e-05	-5.02068e-06	-1.36622e+00	-5.46488e-01	-4.51957e-01	5.12404e-02	1.36400e-01
