x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-0.50000 	 -0.21272 	-0.51497 	 -0.00732 	-0.50000 	 -0.37133 	-0.48503 	 -0.78731 	-0.50000 	 -0.39781 	-0.51497 	 -0.07552 	-0.50000 	 -0.41364 	-0.48503 	 -0.80262 	-0.50000 	 -0.41214 	-0.51497 	 -0.07602 	-0.50000 	 -0.40456 	-0.48503 	 -0.79567 	-0.50000 	 -0.37420 	-0.51497 	 -0.00294 	-0.50000 	 -0.22234 	-0.48503 	 -0.45747 	-0.50000 	 -0.21272 	-0.50000 	 -0.35449 	 
-0.49995 	 -0.43165 	-0.51492 	 -0.30432 	-0.49995 	 -0.60798 	-0.48498 	 -1.28359 	-0.49995 	 -0.64595 	-0.51492 	 -0.39203 	-0.49995 	 -0.65798 	-0.48498 	 -1.29842 	-0.49995 	 -0.66042 	-0.51492 	 -0.39298 	-0.49995 	 -0.64982 	-0.48498 	 -1.29485 	-0.49995 	 -0.61552 	-0.51492 	 -0.29951 	-0.49995 	 -0.43086 	-0.48498 	 -0.84350 	-0.49995 	 -0.43165 	-0.49995 	 -0.66124 	 
-0.49979 	 -0.36147 	-0.51476 	 -0.19200 	-0.49979 	 -0.53518 	-0.48481 	 -1.14114 	-0.49979 	 -0.56988 	-0.51476 	 -0.27304 	-0.49979 	 -0.58308 	-0.48481 	 -1.15350 	-0.49979 	 -0.58377 	-0.51476 	 -0.27380 	-0.49979 	 -0.57535 	-0.48481 	 -1.15212 	-0.49979 	 -0.54092 	-0.51476 	 -0.18710 	-0.49979 	 -0.36184 	-0.48481 	 -0.71607 	-0.49979 	 -0.36147 	-0.49979 	 -0.56245 	 
-0.49952 	 -0.43558 	-0.51450 	 -0.24945 	-0.49952 	 -0.62277 	-0.48454 	 -1.24268 	-0.49952 	 -0.66174 	-0.51450 	 -0.33498 	-0.49952 	 -0.67393 	-0.48454 	 -1.24982 	-0.49952 	 -0.67498 	-0.51450 	 -0.33583 	-0.49952 	 -0.66734 	-0.48454 	 -1.25497 	-0.49952 	 -0.62926 	-0.51450 	 -0.24420 	-0.49952 	 -0.43583 	-0.48454 	 -0.77519 	-0.49952 	 -0.43558 	-0.49952 	 -0.64260 	 
-0.49915 	 -0.45432 	-0.51413 	 -0.25620 	-0.49915 	 -0.65154 	-0.48417 	 -1.26378 	-0.49915 	 -0.69395 	-0.51413 	 -0.34548 	-0.49915 	 -0.70479 	-0.48417 	 -1.26309 	-0.49915 	 -0.70593 	-0.51413 	 -0.34645 	-0.49915 	 -0.69988 	-0.48417 	 -1.27757 	-0.49915 	 -0.65842 	-0.51413 	 -0.25094 	-0.49915 	 -0.45373 	-0.48417 	 -0.75363 	-0.49915 	 -0.45432 	-0.49915 	 -0.66082 	 
-0.49867 	 -0.51083 	-0.51366 	 -0.30402 	-0.49867 	 -0.72675 	-0.48368 	 -1.31903 	-0.49867 	 -0.77387 	-0.51366 	 -0.40015 	-0.49867 	 -0.78378 	-0.48368 	 -1.30821 	-0.49867 	 -0.78429 	-0.51366 	 -0.40131 	-0.49867 	 -0.78102 	-0.48368 	 -1.33479 	-0.49867 	 -0.73349 	-0.51366 	 -0.29866 	-0.49867 	 -0.51264 	-0.48368 	 -0.75579 	-0.49867 	 -0.51083 	-0.49867 	 -0.71997 	 
-0.49809 	 -0.57533 	-0.51309 	 -0.38071 	-0.49809 	 -0.80884 	-0.48309 	 -1.40229 	-0.49809 	 -0.86295 	-0.51309 	 -0.48657 	-0.49809 	 -0.87021 	-0.48309 	 -1.37868 	-0.49809 	 -0.87138 	-0.51309 	 -0.48801 	-0.49809 	 -0.87017 	-0.48309 	 -1.42070 	-0.49809 	 -0.81677 	-0.51309 	 -0.37532 	-0.49809 	 -0.57571 	-0.48309 	 -0.77412 	-0.49809 	 -0.57533 	-0.49809 	 -0.79606 	 
-0.49741 	 -0.61573 	-0.51241 	 -0.42549 	-0.49741 	 -0.86875 	-0.48240 	 -1.41860 	-0.49741 	 -0.92881 	-0.51241 	 -0.53981 	-0.49741 	 -0.93395 	-0.48240 	 -1.38061 	-0.49741 	 -0.93480 	-0.51241 	 -0.54151 	-0.49741 	 -0.93703 	-0.48240 	 -1.43970 	-0.49741 	 -0.87689 	-0.51241 	 -0.42009 	-0.49741 	 -0.61722 	-0.48240 	 -0.74096 	-0.49741 	 -0.61573 	-0.49741 	 -0.83739 	 
-0.49663 	 -0.67680 	-0.51165 	 -0.50547 	-0.49663 	 -0.95229 	-0.48161 	 -1.46771 	-0.49663 	 -1.01996 	-0.51165 	 -0.63095 	-0.49663 	 -1.02217 	-0.48161 	 -1.41460 	-0.49663 	 -1.02315 	-0.51165 	 -0.63297 	-0.49663 	 -1.02882 	-0.48161 	 -1.49187 	-0.49663 	 -0.96119 	-0.51165 	 -0.50004 	-0.49663 	 -0.67859 	-0.48161 	 -0.74343 	-0.49663 	 -0.67680 	-0.49663 	 -0.90746 	 
-0.49580 	 -0.71206 	-0.51083 	 -0.55825 	-0.49580 	 -1.00779 	-0.48077 	 -1.47071 	-0.49580 	 -1.08254 	-0.51083 	 -0.69378 	-0.49580 	 -1.08150 	-0.48077 	 -1.40398 	-0.49580 	 -1.08264 	-0.51083 	 -0.69610 	-0.49580 	 -1.09196 	-0.48077 	 -1.49767 	-0.49580 	 -1.01743 	-0.51083 	 -0.55282 	-0.49580 	 -0.71340 	-0.48077 	 -0.72054 	-0.49580 	 -0.71206 	-0.49580 	 -0.94678 	 
-0.49497 	 -0.74424 	-0.51001 	 -0.60810 	-0.49497 	 -1.06135 	-0.47993 	 -1.46597 	-0.49497 	 -1.14263 	-0.51001 	 -0.75331 	-0.49497 	 -1.13859 	-0.47993 	 -1.38934 	-0.49497 	 -1.13963 	-0.51001 	 -0.75591 	-0.49497 	 -1.15285 	-0.47993 	 -1.49515 	-0.49497 	 -1.07144 	-0.51001 	 -0.60265 	-0.49497 	 -0.74651 	-0.47993 	 -0.70831 	-0.49497 	 -0.74424 	-0.49497 	 -0.98354 	 
-0.49415 	 -0.76963 	-0.50920 	 -0.65538 	-0.49415 	 -1.10649 	-0.47909 	 -1.46000 	-0.49415 	 -1.19425 	-0.50920 	 -0.81025 	-0.49415 	 -1.18688 	-0.47909 	 -1.37706 	-0.49415 	 -1.18807 	-0.50920 	 -0.81312 	-0.49415 	 -1.20497 	-0.47909 	 -1.49087 	-0.49415 	 -1.11728 	-0.50920 	 -0.64989 	-0.49415 	 -0.77160 	-0.47909 	 -0.70426 	-0.49415 	 -0.76963 	-0.49415 	 -1.01586 	 
-0.49331 	 -0.78323 	-0.50837 	 -0.68785 	-0.49331 	 -1.13965 	-0.47825 	 -1.43737 	-0.49331 	 -1.23320 	-0.50837 	 -0.85156 	-0.49331 	 -1.22264 	-0.47825 	 -1.35190 	-0.49331 	 -1.22380 	-0.50837 	 -0.85467 	-0.49331 	 -1.24455 	-0.47825 	 -1.46922 	-0.49331 	 -1.15092 	-0.50837 	 -0.68234 	-0.49331 	 -0.78556 	-0.47825 	 -0.69312 	-0.49331 	 -0.78323 	-0.49331 	 -1.03499 	 
-0.49247 	 -0.79653 	-0.50754 	 -0.72352 	-0.49247 	 -1.17268 	-0.47740 	 -1.42429 	-0.49247 	 -1.27194 	-0.50754 	 -0.89630 	-0.49247 	 -1.25808 	-0.47740 	 -1.33940 	-0.49247 	 -1.25927 	-0.50754 	 -0.89965 	-0.49247 	 -1.28384 	-0.47740 	 -1.45654 	-0.49247 	 -1.18449 	-0.50754 	 -0.71797 	-0.49247 	 -0.79912 	-0.47740 	 -0.69331 	-0.49247 	 -0.79653 	-0.49247 	 -1.05726 	 
