"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.10335e-02	-6.57873e-04	1.20916e-03	-8.33405e-04	-5.79710e-01	-2.31909e-01	-4.94478e-01	0.00000e+00	4.84000e-02
3.64807e-03	2.61325e-04	1.97562e-04	-2.57346e-04	-8.93943e-01	-3.57587e-01	-4.94425e-01	2.24937e-03	4.84000e-02
9.11193e-03	3.22467e-04	4.94963e-04	-3.35508e-04	-8.00188e-01	-3.20085e-01	-4.94265e-01	4.49366e-03	4.84000e-02
1.55409e-02	3.72602e-04	8.46114e-04	-3.41571e-04	-9.02240e-01	-3.60909e-01	-4.93997e-01	6.72764e-03	4.84000e-02
1.70279e-02	4.40095e-04	9.05859e-04	-3.13825e-04	-9.35800e-01	-3.74333e-01	-4.93621e-01	8.94611e-03	4.84000e-02
1.90342e-02	4.71558e-04	1.00036e-03	-3.09231e-04	-1.01701e+00	-4.06818e-01	-4.93140e-01	1.11440e-02	4.84000e-02
2.02520e-02	5.30380e-04	1.04038e-03	-2.76714e-04	-1.11136e+00	-4.44560e-01	-4.92555e-01	1.33167e-02	4.84000e-02
2.05504e-02	5.54618e-04	1.03438e-03	-2.60998e-04	-1.17095e+00	-4.68395e-01	-4.91870e-01	1.54597e-02	4.84000e-02
2.05875e-02	5.81539e-04	1.01118e-03	-2.33143e-04	-1.25846e+00	-5.03397e-01	-4.91087e-01	1.75694e-02	4.84000e-02
2.00806e-02	5.92292e-04	9.61577e-04	-2.12014e-04	-1.31102e+00	-5.24420e-01	-4.90258e-01	1.95411e-02	4.84000e-02
1.94006e-02	5.91291e-04	9.07873e-04	-1.93090e-04	-1.35829e+00	-5.43327e-01	-4.89427e-01	2.13189e-02	4.84000e-02
1.85514e-02	5.85124e-04	8.47257e-04	-1.72355e-04	-1.39694e+00	-5.58788e-01	-4.88593e-01	2.29518e-02	4.84000e-02
1.75709e-02	5.67826e-04	7.85444e-04	-1.56376e-04	-1.41942e+00	-5.67781e-01	-4.87755e-01	2.44722e-02	4.84000e-02
1.65599e-02	5.48201e-04	7.24131e-04	-1.37213e-04	-1.44191e+00	-5.76774e-01	-4.86910e-01	2.59027e-02	4.84000e-02
1.54588e-02	5.20943e-04	6.62810e-04	-1.20401e-04	-1.45253e+00	-5.81020e-01	-4.86058e-01	2.72600e-02	4.84000e-02
1.43438e-02	4.90771e-04	6.03601e-04	-1.01979e-04	-1.46072e+00	-5.84296e-01	-4.85197e-01	2.85568e-02	4.84000e-02
1.31974e-02	4.56432e-04	5.46312e-04	-8.34249e-05	-1.46359e+00	-5.85442e-01	-4.84326e-01	2.98030e-02	4.84000e-02
1.20382e-02	4.19063e-04	4.91490e-04	-6.42465e-05	-1.46219e+00	-5.84885e-01	-4.83444e-01	3.10065e-02	4.84000e-02
1.08830e-02	3.79567e-04	4.39706e-04	-4.39965e-05	-1.45853e+00	-5.83417e-01	-4.82549e-01	3.21737e-02	4.84000e-02
9.73173e-03	3.38275e-04	3.90743e-04	-2.36964e-05	-1.45146e+00	-5.80591e-01	-4.81639e-01	3.33098e-02	4.84000e-02
8.59904e-03	2.96324e-04	3.44735e-04	-3.36587e-06	-1.44286e+00	-5.77149e-01	-4.80715e-01	3.44194e-02	4.84000e-02
7.49758e-03	2.54333e-04	3.02009e-04	1.66139e-05	-1.43279e+00	-5.73119e-01	-4.79773e-01	3.55062e-02	4.84000e-02
6.45695e-03	2.13545e-04	2.63537e-04	3.64117e-05	-1.42173e+00	-5.68697e-01	-4.78814e-01	3.65732e-02	4.84000e-02
5.53378e-03	1.76270e-04	2.31165e-04	5.58371e-05	-1.41058e+00	-5.64233e-01	-4.77836e-01	3.76232e-02	4.84000e-02
4.77253e-03	1.44923e-04	2.05670e-04	7.33466e-05	-1.39930e+00	-5.59724e-01	-4.76838e-01	3.86584e-02	4.84000e-02
4.19441e-03	1.21216e-04	1.86697e-04	8.68285e-05	-1.38863e+00	-5.55455e-01	-4.75819e-01	3.96810e-02	4.84000e-02
3.75766e-03	1.04423e-04	1.71606e-04	9.43821e-05	-1.37901e+00	-5.51607e-01	-4.74777e-01	4.06925e-02	4.84000e-02
3.37991e-03	9.17752e-05	1.56850e-04	9.53594e-05	-1.37072e+00	-5.48289e-01	-4.73712e-01	4.16945e-02	4.84000e-02
2.97764e-03	7.98292e-05	1.39590e-04	9.06012e-05	-1.36401e+00	-5.45608e-01	-4.72623e-01	4.26883e-02	4.84000e-02
2.50002e-03	6.60645e-05	1.18601e-04	8.18937e-05	-1.35869e+00	-5.43477e-01	-4.71508e-01	4.36749e-02	4.84000e-02
1.94917e-03	4.98719e-05	9.46966e-05	7.11893e-05	-1.35459e+00	-5.41836e-01	-4.70367e-01	4.46553e-02	4.84000e-02
1.37229e-03	3.25115e-05	7.01042e-05	6.00735e-05	-1.35145e+00	-5.40583e-01	-4.69199e-01	4.56303e-02	4.84000e-02
8.32045e-04	1.60452e-05	4.73285e-05	4.93890e-05	-1.34907e+00	-5.39629e-01	-4.68003e-01	4.66007e-02	4.84000e-02
3.79512e-04	2.30609e-06	2.82102e-05	3.94796e-05	-1.34730e+00	-5.38923e-01	-4.66777e-01	4.75669e-02	4.84000e-02
3.88482e-05	-7.73641e-06	1.34681e-05	3.03864e-05	-1.34602e+00	-5.38413e-01	-4.65522e-01	4.85296e-02	4.84000e-02
-1.90406e-04	-1.40079e-05	2.94080e-06	2.20531e-05	-1.34515e+00	-5.38059e-01	-4.64235e-01	4.94891e-02	4.84000e-02
-3.26218e-04	-1.71049e-05	-4.10242e-06	1.44515e-05	-1.34463e+00	-5.37851e-01	-4.62917e-01	5.04458e-02	4.84000e-02
-3.93612e-04	-1.79258e-05	-8.56510e-06	7.62677e-06	-1.34440e+00	-5.37761e-01	-4.61566e-01	5.13999e-02	4.84000e-02
-4.16278e-04	-1.73337e-05	-1.12707e-05	1.63247e-06	-1.34444e+00	-5.37776e-01	-4.60182e-01	5.23517e-02	4.84000e-02
-4.10919e-04	-1.59299e-05	-1.27996e-05	-3.53843e-06	-1.34466e+00	-5.37866e-01	-4.58765e-01	5.33013e-02	4.84000e-02
-3.85808e-04	-1.39846e-05	-1.34700e-05	-7.90898e-06	-1.34504e+00	-5.38018e-01	-4.57312e-01	5.42489e-02	4.84000e-02
-3.43902e-04	-1.15727e-05	-1.34193e-05	-1.15120e-05	-1.34556e+00	-5.38225e-01	-4.55824e-01	5.51944e-02	4.84000e-02
-2.89749e-04	-8.83362e-06	-1.28330e-05	-1.44358e-05	-1.34622e+00	-5.38487e-01	-4.54300e-01	5.61379e-02	4.84000e-02
-2.28429e-04	-5.91316e-06	-1.19377e-05	-1.68153e-05	-1.34702e+00	-5.38808e-01	-4.52739e-01	5.70794e-02	4.84000e-02
-1.62184e-04	-2.86135e-06	-1.08553e-05	-1.88297e-05	-1.34797e+00	-5.39185e-01	-4.51141e-01	5.80189e-02	4.84000e-02
-9.24397e-05	2.94872e-07	-9.67193e-06	-2.06703e-05	-1.34904e+00	-5.39615e-01	-4.49505e-01	5.89562e-02	4.84000e-02
-2.42191e-05	3.41392e-06	-8.63203e-06	-2.25885e-05	-1.35027e+00	-5.40104e-01	-4.47830e-01	5.98912e-02	4.84000e-02
3.77891e-05	6.33881e-06	-7.92625e-06	-2.48326e-05	-1.35166e+00	-5.40669e-01	-4.46116e-01	6.08239e-02	4.84000e-02
9.85792e-05	9.28054e-06	-7.44118e-06	-2.75546e-05	-1.35314e+00	-5.41258e-01	-4.44363e-01	6.17540e-02	4.84000e-02
1.69322e-04	1.26942e-05	-6.89178e-06	-3.06680e-05	-1.35478e+00	-5.41914e-01	-4.42569e-01	6.26814e-02	4.84000e-02
2.57047e-04	1.68393e-05	-6.05332e-06	-3.38883e-05	-1.35675e+00	-5.42700e-01	-4.40735e-01	6.36058e-02	4.84000e-02
3.63091e-04	2.16804e-05	-4.71806e-06	-3.66481e-05	-1.35900e+00	-5.43602e-01	-4.38859e-01	6.45271e-02	4.84000e-02
4.77115e-04	2.66669e-05	-2.87759e-06	-3.81651e-05	-1.36156e+00	-5.44627e-01	-4.36942e-01	6.54450e-02	4.84000e-02
5.72921e-04	3.05638e-05	-8.19541e-07	-3.75159e-05	-1.36451e+00	-5.45805e-01	-4.34983e-01	6.63593e-02	4.84000e-02
6.23516e-04	3.21478e-05	1.09891e-06	-3.42128e-05	-1.36769e+00	-5.47077e-01	-4.32982e-01	6.72696e-02	4.84000e-02
5.98346e-04	3.01313e-05	2.28135e-06	-2.86340e-05	-1.37094e+00	-5.48377e-01	-4.30938e-01	6.81758e-02	4.84000e-02
4.95341e-04	2.45433e-05	2.51729e-06	-2.15258e-05	-1.37392e+00	-5.49570e-01	-4.28850e-01	6.90776e-02	4.84000e-02
4.04746e-04	1.95423e-05	3.05308e-06	-1.40471e-05	-1.37636e+00	-5.50543e-01	-4.26720e-01	6.99746e-02	4.84000e-02
4.08938e-04	1.89806e-05	4.76481e-06	-8.23111e-06	-1.37924e+00	-5.51698e-01	-4.24545e-01	7.08665e-02	4.84000e-02
4.52864e-04	2.05257e-05	6.35351e-06	-5.28884e-06	-1.38315e+00	-5.53262e-01	-4.22326e-01	7.17531e-02	4.84000e-02
4.94573e-04	2.22657e-05	7.17604e-06	-4.39388e-06	-1.38703e+00	-5.54812e-01	-4.20063e-01	7.26340e-02	4.84000e-02
