"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.89381e-02	-4.96691e-04	1.12149e-03	-8.34447e-04	-4.38919e-01	-1.75591e-01	-5.00000e-01	0.00000e+00	-5.50000e-02
3.63798e-03	2.52584e-04	2.03733e-04	-2.31247e-04	-6.88715e-01	-2.75495e-01	-4.99947e-01	2.24938e-03	-5.50000e-02
8.86000e-03	2.96560e-04	4.98295e-04	-2.84441e-04	-6.12555e-01	-2.45032e-01	-4.99788e-01	4.49373e-03	-5.50000e-02
1.46632e-02	3.48964e-04	8.24078e-04	-2.90453e-04	-7.05680e-01	-2.82284e-01	-4.99521e-01	6.72789e-03	-5.50000e-02
1.61334e-02	4.11993e-04	8.87130e-04	-2.66950e-04	-7.38392e-01	-2.95370e-01	-4.99148e-01	8.94671e-03	-5.50000e-02
1.82349e-02	4.49337e-04	9.90316e-04	-2.63147e-04	-8.20271e-01	-3.28122e-01	-4.98669e-01	1.11452e-02	-5.50000e-02
1.96301e-02	5.10217e-04	1.04322e-03	-2.35409e-04	-9.10464e-01	-3.64200e-01	-4.98087e-01	1.33187e-02	-5.50000e-02
2.02859e-02	5.44485e-04	1.05666e-03	-2.23457e-04	-9.77754e-01	-3.91116e-01	-4.97406e-01	1.54629e-02	-5.50000e-02
2.07380e-02	5.83412e-04	1.05461e-03	-2.01375e-04	-1.07043e+00	-4.28188e-01	-4.96627e-01	1.75740e-02	-5.50000e-02
2.07093e-02	6.09100e-04	1.02727e-03	-1.86263e-04	-1.13399e+00	-4.53612e-01	-4.95802e-01	1.95472e-02	-5.50000e-02
2.05232e-02	6.25867e-04	9.94458e-04	-1.73905e-04	-1.19521e+00	-4.78097e-01	-4.94975e-01	2.13264e-02	-5.50000e-02
2.01726e-02	6.38385e-04	9.53569e-04	-1.61193e-04	-1.24761e+00	-4.99058e-01	-4.94145e-01	2.29608e-02	-5.50000e-02
1.97110e-02	6.42245e-04	9.10530e-04	-1.53570e-04	-1.28723e+00	-5.14905e-01	-4.93311e-01	2.44826e-02	-5.50000e-02
1.92121e-02	6.44443e-04	8.66328e-04	-1.44210e-04	-1.32659e+00	-5.30648e-01	-4.92470e-01	2.59146e-02	-5.50000e-02
1.86286e-02	6.40431e-04	8.20710e-04	-1.38006e-04	-1.35547e+00	-5.42199e-01	-4.91622e-01	2.72736e-02	-5.50000e-02
1.80292e-02	6.34299e-04	7.75798e-04	-1.31268e-04	-1.38243e+00	-5.52984e-01	-4.90765e-01	2.85721e-02	-5.50000e-02
1.74018e-02	6.24974e-04	7.31551e-04	-1.25568e-04	-1.40417e+00	-5.61677e-01	-4.89898e-01	2.98201e-02	-5.50000e-02
1.67509e-02	6.12984e-04	6.88031e-04	-1.20137e-04	-1.42201e+00	-5.68814e-01	-4.89019e-01	3.10255e-02	-5.50000e-02
1.60887e-02	5.98843e-04	6.45761e-04	-1.14571e-04	-1.43727e+00	-5.74919e-01	-4.88127e-01	3.21948e-02	-5.50000e-02
1.54224e-02	5.82856e-04	6.05076e-04	-1.09292e-04	-1.44889e+00	-5.79564e-01	-4.87221e-01	3.33333e-02	-5.50000e-02
1.47539e-02	5.65288e-04	5.65963e-04	-1.03704e-04	-1.45835e+00	-5.83349e-01	-4.86300e-01	3.44453e-02	-5.50000e-02
1.40775e-02	5.46042e-04	5.28199e-04	-9.79590e-05	-1.46532e+00	-5.86137e-01	-4.85362e-01	3.55346e-02	-5.50000e-02
1.34019e-02	5.25523e-04	4.92066e-04	-9.19623e-05	-1.47009e+00	-5.88044e-01	-4.84406e-01	3.66044e-02	-5.50000e-02
1.27328e-02	5.03968e-04	4.57854e-04	-8.54007e-05	-1.47325e+00	-5.89306e-01	-4.83431e-01	3.76573e-02	-5.50000e-02
1.20691e-02	4.81392e-04	4.25500e-04	-7.81186e-05	-1.47462e+00	-5.89853e-01	-4.82435e-01	3.86957e-02	-5.50000e-02
1.14243e-02	4.58389e-04	3.95494e-04	-7.00179e-05	-1.47461e+00	-5.89850e-01	-4.81419e-01	3.97215e-02	-5.50000e-02
1.07950e-02	4.35039e-04	3.67532e-04	-6.13055e-05	-1.47332e+00	-5.89333e-01	-4.80380e-01	4.07365e-02	-5.50000e-02
1.01858e-02	4.11748e-04	3.41577e-04	-5.22770e-05	-1.47088e+00	-5.88359e-01	-4.79317e-01	4.17421e-02	-5.50000e-02
9.58905e-03	3.88327e-04	3.17248e-04	-4.30307e-05	-1.46762e+00	-5.87055e-01	-4.78230e-01	4.27397e-02	-5.50000e-02
8.99763e-03	3.64555e-04	2.94250e-04	-3.34385e-05	-1.46365e+00	-5.85463e-01	-4.77117e-01	4.37302e-02	-5.50000e-02
8.41330e-03	3.40494e-04	2.72688e-04	-2.32341e-05	-1.45919e+00	-5.83679e-01	-4.75977e-01	4.47148e-02	-5.50000e-02
7.84713e-03	3.16620e-04	2.52893e-04	-1.22705e-05	-1.45438e+00	-5.81756e-01	-4.74811e-01	4.56941e-02	-5.50000e-02
7.31595e-03	2.93748e-04	2.35258e-04	-7.72864e-07	-1.44939e+00	-5.79761e-01	-4.73615e-01	4.66689e-02	-5.50000e-02
6.83703e-03	2.72819e-04	2.20003e-04	1.06042e-05	-1.44444e+00	-5.77781e-01	-4.72390e-01	4.76398e-02	-5.50000e-02
6.41277e-03	2.54255e-04	2.06730e-04	2.09374e-05	-1.43972e+00	-5.75893e-01	-4.71135e-01	4.86073e-02	-5.50000e-02
6.03444e-03	2.37977e-04	1.94719e-04	2.93526e-05	-1.43545e+00	-5.74182e-01	-4.69849e-01	4.95717e-02	-5.50000e-02
5.67101e-03	2.22905e-04	1.82678e-04	3.51879e-05	-1.43176e+00	-5.72707e-01	-4.68531e-01	5.05335e-02	-5.50000e-02
5.29930e-03	2.08127e-04	1.69780e-04	3.82011e-05	-1.42875e+00	-5.71503e-01	-4.67181e-01	5.14929e-02	-5.50000e-02
4.90644e-03	1.93036e-04	1.55682e-04	3.85561e-05	-1.42643e+00	-5.70575e-01	-4.65797e-01	5.24501e-02	-5.50000e-02
