"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.74963e-02	-6.86846e-04	8.13418e-04	-3.61386e-04	-7.08364e-02	-2.83490e-02	-5.14266e-01	0.00000e+00	1.87000e-01
-1.70357e-04	6.28296e-05	-1.08796e-05	-1.47258e-04	-3.62110e-01	-1.44814e-01	-5.14214e-01	2.24940e-03	1.87000e-01
4.34005e-03	7.62197e-05	1.95728e-04	-1.78230e-04	-2.53203e-01	-1.01285e-01	-5.14057e-01	4.49390e-03	1.87000e-01
1.15579e-02	1.11196e-04	5.27312e-04	-2.02304e-04	-3.13708e-01	-1.25489e-01	-5.13794e-01	6.72851e-03	1.87000e-01
1.43604e-02	1.87324e-04	6.44109e-04	-1.98261e-04	-3.21629e-01	-1.28658e-01	-5.13426e-01	8.94820e-03	1.87000e-01
1.74659e-02	2.25661e-04	7.80593e-04	-1.97676e-04	-3.71364e-01	-1.48554e-01	-5.12954e-01	1.11481e-02	1.87000e-01
1.98591e-02	3.02796e-04	8.72485e-04	-1.84149e-04	-4.48502e-01	-1.79410e-01	-5.12380e-01	1.33237e-02	1.87000e-01
2.12222e-02	3.50336e-04	9.21027e-04	-1.74621e-04	-4.94315e-01	-1.97736e-01	-5.11707e-01	1.54707e-02	1.87000e-01
2.21650e-02	4.04121e-04	9.45389e-04	-1.60666e-04	-5.75138e-01	-2.30065e-01	-5.10939e-01	1.75855e-02	1.87000e-01
2.24606e-02	4.45365e-04	9.40706e-04	-1.49634e-04	-6.28764e-01	-2.51515e-01	-5.10124e-01	1.95626e-02	1.87000e-01
2.24593e-02	4.73813e-04	9.25460e-04	-1.41624e-04	-6.79792e-01	-2.71927e-01	-5.09307e-01	2.13454e-02	1.87000e-01
2.22542e-02	4.99890e-04	8.99843e-04	-1.34275e-04	-7.27975e-01	-2.91200e-01	-5.08487e-01	2.29834e-02	1.87000e-01
2.18453e-02	5.14051e-04	8.68906e-04	-1.30205e-04	-7.61581e-01	-3.04642e-01	-5.07663e-01	2.45089e-02	1.87000e-01
2.14009e-02	5.27403e-04	8.35812e-04	-1.26536e-04	-7.98283e-01	-3.19323e-01	-5.06833e-01	2.59447e-02	1.87000e-01
2.08609e-02	5.34413e-04	8.00680e-04	-1.24993e-04	-8.25050e-01	-3.30029e-01	-5.05995e-01	2.73078e-02	1.87000e-01
2.02951e-02	5.38810e-04	7.65208e-04	-1.24349e-04	-8.50588e-01	-3.40244e-01	-5.05147e-01	2.86106e-02	1.87000e-01
1.96993e-02	5.40426e-04	7.29400e-04	-1.24729e-04	-8.72548e-01	-3.49028e-01	-5.04290e-01	2.98633e-02	1.87000e-01
1.90687e-02	5.38777e-04	6.93470e-04	-1.26175e-04	-8.90656e-01	-3.56271e-01	-5.03420e-01	3.10738e-02	1.87000e-01
1.84513e-02	5.36049e-04	6.58658e-04	-1.28350e-04	-9.07346e-01	-3.62947e-01	-5.02538e-01	3.22485e-02	1.87000e-01
1.78063e-02	5.30655e-04	6.23907e-04	-1.31352e-04	-9.20777e-01	-3.68319e-01	-5.01640e-01	3.33928e-02	1.87000e-01
1.71766e-02	5.24341e-04	5.90446e-04	-1.35088e-04	-9.32482e-01	-3.73000e-01	-5.00727e-01	3.45111e-02	1.87000e-01
1.65409e-02	5.16439e-04	5.57630e-04	-1.39439e-04	-9.42235e-01	-3.76901e-01	-4.99797e-01	3.56071e-02	1.87000e-01
1.59066e-02	5.07288e-04	5.25684e-04	-1.44455e-04	-9.49896e-01	-3.79965e-01	-4.98849e-01	3.66840e-02	1.87000e-01
1.52746e-02	4.97049e-04	4.94583e-04	-1.49985e-04	-9.56168e-01	-3.82474e-01	-4.97881e-01	3.77444e-02	1.87000e-01
1.46397e-02	4.85622e-04	4.64156e-04	-1.56051e-04	-9.60674e-01	-3.84276e-01	-4.96893e-01	3.87908e-02	1.87000e-01
1.40178e-02	4.73600e-04	4.34890e-04	-1.62731e-04	-9.63707e-01	-3.85489e-01	-4.95883e-01	3.98251e-02	1.87000e-01
1.33999e-02	4.60772e-04	4.06476e-04	-1.69945e-04	-9.65385e-01	-3.86160e-01	-4.94849e-01	4.08490e-02	1.87000e-01
1.27860e-02	4.47199e-04	3.78880e-04	-1.77708e-04	-9.65611e-01	-3.86250e-01	-4.93792e-01	4.18640e-02	1.87000e-01
1.21747e-02	4.32885e-04	3.52056e-04	-1.85966e-04	-9.64624e-01	-3.85855e-01	-4.92710e-01	4.28714e-02	1.87000e-01
1.15644e-02	4.17836e-04	3.25930e-04	-1.94734e-04	-9.62355e-01	-3.84948e-01	-4.91602e-01	4.38722e-02	1.87000e-01
1.09558e-02	4.02111e-04	3.00516e-04	-2.04017e-04	-9.58907e-01	-3.83568e-01	-4.90466e-01	4.48675e-02	1.87000e-01
1.03498e-02	3.85803e-04	2.75816e-04	-2.13875e-04	-9.54344e-01	-3.81743e-01	-4.89303e-01	4.58579e-02	1.87000e-01
9.74419e-03	3.68857e-04	2.51754e-04	-2.24302e-04	-9.48678e-01	-3.79476e-01	-4.88110e-01	4.68443e-02	1.87000e-01
9.13427e-03	3.51138e-04	2.28202e-04	-2.35196e-04	-9.42015e-01	-3.76811e-01	-4.86888e-01	4.78272e-02	1.87000e-01
8.52189e-03	3.32742e-04	2.05201e-04	-2.46606e-04	-9.34390e-01	-3.73761e-01	-4.85634e-01	4.88070e-02	1.87000e-01
7.90490e-03	3.13605e-04	1.82707e-04	-2.58425e-04	-9.25899e-01	-3.70365e-01	-4.84349e-01	4.97843e-02	1.87000e-01
7.28140e-03	2.93665e-04	1.60686e-04	-2.70485e-04	-9.16638e-01	-3.66660e-01	-4.83032e-01	5.07592e-02	1.87000e-01
6.65275e-03	2.72980e-04	1.39198e-04	-2.82622e-04	-9.06716e-01	-3.62692e-01	-4.81680e-01	5.17321e-02	1.87000e-01
6.02318e-03	2.51714e-04	1.18378e-04	-2.94638e-04	-8.96285e-01	-3.58520e-01	-4.80295e-01	5.27032e-02	1.87000e-01
5.39621e-03	2.29990e-04	9.83643e-05	-3.06136e-04	-8.85517e-01	-3.54212e-01	-4.78875e-01	5.36726e-02	1.87000e-01
4.77981e-03	2.08104e-04	7.94012e-05	-3.16727e-04	-8.74628e-01	-3.49857e-01	-4.77419e-01	5.46403e-02	1.87000e-01
4.18168e-03	1.86335e-04	6.17474e-05	-3.25733e-04	-8.63856e-01	-3.45549e-01	-4.75926e-01	5.56066e-02	1.87000e-01
3.61484e-03	1.65191e-04	4.57479e-05	-3.32717e-04	-8.53481e-01	-3.41400e-01	-4.74397e-01	5.65712e-02	1.87000e-01
3.08249e-03	1.44776e-04	3.15586e-05	-3.36726e-04	-8.43803e-01	-3.37530e-01	-4.72830e-01	5.75343e-02	1.87000e-01
2.58720e-03	1.25249e-04	1.91988e-05	-3.37618e-04	-8.35096e-01	-3.34049e-01	-4.71224e-01	5.84956e-02	1.87000e-01
