x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-5.000000e-01 	 -2.484090e-01 	-5.149700e-01 	 -3.677300e-02 	-5.000000e-01 	 -4.114280e-01 	-4.850300e-01 	 -8.406910e-01 	-5.000000e-01 	 -4.382510e-01 	-5.149700e-01 	 -1.059810e-01 	-5.000000e-01 	 -4.536850e-01 	-4.850300e-01 	 -8.549490e-01 	-5.000000e-01 	 -4.515220e-01 	-5.149700e-01 	 -1.044910e-01 	-5.000000e-01 	 -4.389190e-01 	-4.850300e-01 	 -8.368360e-01 	-5.000000e-01 	 -4.080810e-01 	-5.149700e-01 	 -3.033310e-02 	-5.000000e-01 	 -2.575840e-01 	-4.850300e-01 	 -5.000200e-01 	-5.000000e-01 	 -2.484070e-01 	-5.000000e-01 	 -3.921388e-01 	 
-4.999470e-01 	 -4.723560e-01 	-5.149180e-01 	 -3.406980e-01 	-4.999470e-01 	 -6.536680e-01 	-4.849760e-01 	 -1.349430e+00 	-4.999470e-01 	 -6.922110e-01 	-5.149180e-01 	 -4.297490e-01 	-4.999470e-01 	 -7.036690e-01 	-4.849760e-01 	 -1.362810e+00 	-4.999470e-01 	 -7.053790e-01 	-5.149180e-01 	 -4.281660e-01 	-4.999470e-01 	 -6.887150e-01 	-4.849760e-01 	 -1.344290e+00 	-4.999470e-01 	 -6.538600e-01 	-5.149180e-01 	 -3.332610e-01 	-4.999470e-01 	 -4.706520e-01 	-4.849760e-01 	 -8.943690e-01 	-4.999470e-01 	 -4.723560e-01 	-4.999470e-01 	 -7.056258e-01 	 
-4.997880e-01 	 -4.003810e-01 	-5.147610e-01 	 -2.257220e-01 	-4.997880e-01 	 -5.790590e-01 	-4.848140e-01 	 -1.203670e+00 	-4.997880e-01 	 -6.142670e-01 	-5.147610e-01 	 -3.079980e-01 	-4.997880e-01 	 -6.269270e-01 	-4.848140e-01 	 -1.214610e+00 	-4.997880e-01 	 -6.269040e-01 	-5.147610e-01 	 -3.064060e-01 	-4.997880e-01 	 -6.125550e-01 	-4.848140e-01 	 -1.198710e+00 	-4.997880e-01 	 -5.775870e-01 	-5.147610e-01 	 -2.183720e-01 	-4.997880e-01 	 -3.999160e-01 	-4.848140e-01 	 -7.640460e-01 	-4.997880e-01 	 -4.003810e-01 	-4.997880e-01 	 -6.045595e-01 	 
-4.995210e-01 	 -4.758290e-01 	-5.144990e-01 	 -2.839800e-01 	-4.995210e-01 	 -6.683490e-01 	-4.845430e-01 	 -1.306680e+00 	-4.995210e-01 	 -7.078220e-01 	-5.144990e-01 	 -3.707480e-01 	-4.995210e-01 	 -7.194490e-01 	-4.845430e-01 	 -1.312210e+00 	-4.995210e-01 	 -7.197120e-01 	-5.144990e-01 	 -3.691180e-01 	-4.995210e-01 	 -7.056800e-01 	-4.845430e-01 	 -1.301260e+00 	-4.995210e-01 	 -6.670290e-01 	-5.144990e-01 	 -2.761170e-01 	-4.995210e-01 	 -4.751390e-01 	-4.845430e-01 	 -8.233250e-01 	-4.995210e-01 	 -4.758290e-01 	-4.995210e-01 	 -6.857809e-01 	 
-4.991480e-01 	 -4.948610e-01 	-5.141310e-01 	 -2.907440e-01 	-4.991480e-01 	 -6.977350e-01 	-4.841650e-01 	 -1.328270e+00 	-4.991480e-01 	 -7.406830e-01 	-5.141310e-01 	 -3.813210e-01 	-4.991480e-01 	 -7.509430e-01 	-4.841650e-01 	 -1.325730e+00 	-4.991480e-01 	 -7.512370e-01 	-5.141310e-01 	 -3.797200e-01 	-4.991480e-01 	 -7.383920e-01 	-4.841650e-01 	 -1.322360e+00 	-4.991480e-01 	 -6.963410e-01 	-5.141310e-01 	 -2.827570e-01 	-4.991480e-01 	 -4.932320e-01 	-4.841650e-01 	 -8.006730e-01 	-4.991480e-01 	 -4.948610e-01 	-4.991480e-01 	 -7.041094e-01 	 
-4.986690e-01 	 -5.523030e-01 	-5.136590e-01 	 -3.391780e-01 	-4.986690e-01 	 -7.743610e-01 	-4.836790e-01 	 -1.384040e+00 	-4.986690e-01 	 -8.220140e-01 	-5.136590e-01 	 -4.366460e-01 	-4.986690e-01 	 -8.313320e-01 	-4.836790e-01 	 -1.371070e+00 	-4.986690e-01 	 -8.308940e-01 	-5.136590e-01 	 -4.350700e-01 	-4.986690e-01 	 -8.202710e-01 	-4.836790e-01 	 -1.377560e+00 	-4.986690e-01 	 -7.720970e-01 	-5.136590e-01 	 -3.308640e-01 	-4.986690e-01 	 -5.529970e-01 	-4.836790e-01 	 -8.018210e-01 	-4.986690e-01 	 -5.523030e-01 	-4.986690e-01 	 -7.638130e-01 	 
-4.980870e-01 	 -6.181080e-01 	-5.130860e-01 	 -4.173920e-01 	-4.980870e-01 	 -8.582760e-01 	-4.830880e-01 	 -1.468960e+00 	-4.980870e-01 	 -9.129780e-01 	-5.130860e-01 	 -5.247020e-01 	-4.980870e-01 	 -9.195990e-01 	-4.830880e-01 	 -1.442810e+00 	-4.980870e-01 	 -9.197080e-01 	-5.130860e-01 	 -5.231590e-01 	-4.980870e-01 	 -9.104640e-01 	-4.830880e-01 	 -1.461780e+00 	-4.980870e-01 	 -8.563780e-01 	-5.130860e-01 	 -4.087440e-01 	-4.980870e-01 	 -6.171960e-01 	-4.830880e-01 	 -8.199080e-01 	-4.980870e-01 	 -6.181080e-01 	-4.980870e-01 	 -8.410747e-01 	 
-4.974060e-01 	 -6.591690e-01 	-5.124130e-01 	 -4.628690e-01 	-4.974060e-01 	 -9.193680e-01 	-4.823970e-01 	 -1.485360e+00 	-4.974060e-01 	 -9.800470e-01 	-5.124130e-01 	 -5.787250e-01 	-4.974060e-01 	 -9.845240e-01 	-4.823970e-01 	 -1.444390e+00 	-4.974060e-01 	 -9.841950e-01 	-5.124130e-01 	 -5.772360e-01 	-4.974060e-01 	 -9.777540e-01 	-4.823970e-01 	 -1.477640e+00 	-4.974060e-01 	 -9.168780e-01 	-5.124130e-01 	 -4.539590e-01 	-4.974060e-01 	 -6.592470e-01 	-4.823970e-01 	 -7.857080e-01 	-4.974060e-01 	 -6.591690e-01 	-4.974060e-01 	 -8.827199e-01 	 
-4.966270e-01 	 -7.214220e-01 	-5.116450e-01 	 -5.443460e-01 	-4.966270e-01 	 -1.004680e+00 	-4.816080e-01 	 -1.535210e+00 	-4.966270e-01 	 -1.073000e+00 	-5.116450e-01 	 -6.714760e-01 	-4.966270e-01 	 -1.074510e+00 	-4.816080e-01 	 -1.478640e+00 	-4.966270e-01 	 -1.074200e+00 	-5.116450e-01 	 -6.700300e-01 	-4.966270e-01 	 -1.070430e+00 	-4.816080e-01 	 -1.526940e+00 	-4.966270e-01 	 -1.002010e+00 	-5.116450e-01 	 -5.350660e-01 	-4.966270e-01 	 -7.216450e-01 	-4.816080e-01 	 -7.881210e-01 	-4.966270e-01 	 -7.214220e-01 	-4.966270e-01 	 -9.537146e-01 	 
-4.958020e-01 	 -7.573930e-01 	-5.108310e-01 	 -5.982100e-01 	-4.958020e-01 	 -1.061430e+00 	-4.807710e-01 	 -1.538340e+00 	-4.958020e-01 	 -1.136870e+00 	-5.108310e-01 	 -7.355000e-01 	-4.958020e-01 	 -1.135100e+00 	-4.807710e-01 	 -1.467690e+00 	-4.958020e-01 	 -1.134850e+00 	-5.108310e-01 	 -7.341060e-01 	-4.958020e-01 	 -1.133990e+00 	-4.807710e-01 	 -1.529730e+00 	-4.958020e-01 	 -1.058630e+00 	-5.108310e-01 	 -5.886190e-01 	-4.958020e-01 	 -7.570040e-01 	-4.807710e-01 	 -7.651270e-01 	-4.958020e-01 	 -7.573930e-01 	-4.958020e-01 	 -9.935284e-01 	 
-4.949750e-01 	 -7.901800e-01 	-5.100150e-01 	 -6.489830e-01 	-4.949750e-01 	 -1.116120e+00 	-4.799330e-01 	 -1.533410e+00 	-4.949750e-01 	 -1.198110e+00 	-5.100150e-01 	 -7.960380e-01 	-4.949750e-01 	 -1.193320e+00 	-4.799330e-01 	 -1.452490e+00 	-4.949750e-01 	 -1.192870e+00 	-5.100150e-01 	 -7.946900e-01 	-4.949750e-01 	 -1.195210e+00 	-4.799330e-01 	 -1.524630e+00 	-4.949750e-01 	 -1.112950e+00 	-5.100150e-01 	 -6.390850e-01 	-4.949750e-01 	 -7.905970e-01 	-4.799330e-01 	 -7.529490e-01 	-4.949750e-01 	 -7.901800e-01 	-4.949750e-01 	 -1.030695e+00 	 
-4.941450e-01 	 -8.161420e-01 	-5.091960e-01 	 -6.972750e-01 	-4.941450e-01 	 -1.162310e+00 	-4.790920e-01 	 -1.527450e+00 	-4.941450e-01 	 -1.250810e+00 	-5.091960e-01 	 -8.540900e-01 	-4.941450e-01 	 -1.242670e+00 	-4.790920e-01 	 -1.439920e+00 	-4.941450e-01 	 -1.242290e+00 	-5.091960e-01 	 -8.527820e-01 	-4.941450e-01 	 -1.247610e+00 	-4.790920e-01 	 -1.518610e+00 	-4.941450e-01 	 -1.159040e+00 	-5.091960e-01 	 -6.870610e-01 	-4.941450e-01 	 -8.161220e-01 	-4.790920e-01 	 -7.490900e-01 	-4.941450e-01 	 -8.161420e-01 	-4.941450e-01 	 -1.063495e+00 	 
-4.933110e-01 	 -8.300600e-01 	-5.083720e-01 	 -7.304390e-01 	-4.933110e-01 	 -1.196240e+00 	-4.782470e-01 	 -1.504510e+00 	-4.933110e-01 	 -1.290540e+00 	-5.083720e-01 	 -8.961660e-01 	-4.933110e-01 	 -1.279190e+00 	-4.782470e-01 	 -1.414250e+00 	-4.933110e-01 	 -1.278720e+00 	-5.083720e-01 	 -8.949000e-01 	-4.933110e-01 	 -1.287230e+00 	-4.782470e-01 	 -1.495740e+00 	-4.933110e-01 	 -1.192710e+00 	-5.083720e-01 	 -7.199420e-01 	-4.933110e-01 	 -8.302870e-01 	-4.782470e-01 	 -7.378890e-01 	-4.933110e-01 	 -8.300600e-01 	-4.933110e-01 	 -1.082875e+00 	 
-4.924700e-01 	 -8.437270e-01 	-5.075420e-01 	 -7.668860e-01 	-4.924700e-01 	 -1.230060e+00 	-4.773950e-01 	 -1.491270e+00 	-4.924700e-01 	 -1.330080e+00 	-5.075420e-01 	 -9.417500e-01 	-4.924700e-01 	 -1.315410e+00 	-4.773950e-01 	 -1.401480e+00 	-4.924700e-01 	 -1.314930e+00 	-5.075420e-01 	 -9.405240e-01 	-4.924700e-01 	 -1.326590e+00 	-4.773950e-01 	 -1.482640e+00 	-4.924700e-01 	 -1.226350e+00 	-5.075420e-01 	 -7.560850e-01 	-4.924700e-01 	 -8.440930e-01 	-4.773950e-01 	 -7.382180e-01 	-4.924700e-01 	 -8.437270e-01 	-4.924700e-01 	 -1.105519e+00 	 
