x0	T1	x1	T2	x2	T3	x3	T4	
-4.850300e-01 	 2.682390e-02 	-4.850300e-01 	 2.688300e-02 	-4.850300e-01 	 2.677020e-02 	-4.850300e-01 	 2.197890e-02 	 
-4.849760e-01 	 7.063910e-04 	-4.849760e-01 	 4.652990e-04 	-4.849760e-01 	 6.921460e-04 	-4.849760e-01 	 -1.039710e-03 	 
-4.848140e-01 	 5.690420e-03 	-4.848140e-01 	 5.209730e-03 	-4.848140e-01 	 5.665070e-03 	-4.848140e-01 	 2.138610e-03 	 
-4.845430e-01 	 1.380760e-02 	-4.845430e-01 	 1.305190e-02 	-4.845430e-01 	 1.376370e-02 	-4.845430e-01 	 7.607980e-03 	 
-4.841650e-01 	 1.526340e-02 	-4.841650e-01 	 1.418610e-02 	-4.841650e-01 	 1.520990e-02 	-4.841650e-01 	 7.176670e-03 	 
-4.836790e-01 	 1.664080e-02 	-4.836790e-01 	 1.522160e-02 	-4.836790e-01 	 1.658090e-02 	-4.836790e-01 	 6.869480e-03 	 
-4.830880e-01 	 1.687810e-02 	-4.830880e-01 	 1.507440e-02 	-4.830880e-01 	 1.681560e-02 	-4.830880e-01 	 5.765030e-03 	 
-4.823970e-01 	 1.561270e-02 	-4.823970e-01 	 1.340420e-02 	-4.823970e-01 	 1.555240e-02 	-4.823970e-01 	 3.790260e-03 	 
-4.816080e-01 	 1.384360e-02 	-4.816080e-01 	 1.125490e-02 	-4.816080e-01 	 1.378910e-02 	-4.816080e-01 	 2.058750e-03 	 
-4.807710e-01 	 1.140510e-02 	-4.807710e-01 	 8.534700e-03 	-4.807710e-01 	 1.135980e-02 	-4.807710e-01 	 5.369300e-04 	 
-4.799330e-01 	 8.908670e-03 	-4.799330e-01 	 5.938920e-03 	-4.799330e-01 	 8.875120e-03 	-4.799330e-01 	 -3.607610e-04 	 
-4.790920e-01 	 6.556450e-03 	-4.790920e-01 	 3.689840e-03 	-4.790920e-01 	 6.536210e-03 	-4.790920e-01 	 -8.499880e-04 	 
-4.782470e-01 	 4.368000e-03 	-4.782470e-01 	 1.816360e-03 	-4.782470e-01 	 4.363880e-03 	-4.782470e-01 	 -1.163120e-03 	 
-4.773950e-01 	 2.612460e-03 	-4.773950e-01 	 5.450540e-04 	-4.773950e-01 	 2.628580e-03 	-4.773950e-01 	 -1.247310e-03 	 
-4.765370e-01 	 1.206010e-03 	-4.765370e-01 	 -2.961710e-04 	-4.765370e-01 	 1.246860e-03 	-4.765370e-01 	 -1.243720e-03 	 
-4.756690e-01 	 2.307440e-04 	-4.756690e-01 	 -7.477280e-04 	-4.756690e-01 	 2.988920e-04 	-4.756690e-01 	 -1.112840e-03 	 
-4.747920e-01 	 -3.985040e-04 	-4.747920e-01 	 -1.019840e-03 	-4.747920e-01 	 -3.061410e-04 	-4.747920e-01 	 -9.591330e-04 	 
-4.739030e-01 	 -7.944410e-04 	-4.739030e-01 	 -1.257230e-03 	-4.739030e-01 	 -6.958780e-04 	-4.739030e-01 	 -8.196030e-04 	 
-4.730020e-01 	 -1.042180e-03 	-4.730020e-01 	 -1.434830e-03 	-4.730020e-01 	 -9.747630e-04 	-4.730020e-01 	 -6.812000e-04 	 
-4.720860e-01 	 -1.251340e-03 	-4.720860e-01 	 -1.511350e-03 	-4.720860e-01 	 -1.251030e-03 	-4.720860e-01 	 -5.757540e-04 	 
-4.711560e-01 	 -1.399240e-03 	-4.711560e-01 	 -1.441200e-03 	-4.711560e-01 	 -1.473350e-03 	-4.711560e-01 	 -4.753280e-04 	 
-4.702090e-01 	 -1.449560e-03 	-4.702090e-01 	 -1.291490e-03 	-4.702090e-01 	 -1.580420e-03 	-4.702090e-01 	 -3.956920e-04 	 
-4.692440e-01 	 -1.394090e-03 	-4.692440e-01 	 -1.124910e-03 	-4.692440e-01 	 -1.559450e-03 	-4.692440e-01 	 -3.393180e-04 	 
-4.682610e-01 	 -1.268950e-03 	-4.682610e-01 	 -9.602540e-04 	-4.682610e-01 	 -1.442500e-03 	-4.682610e-01 	 -2.872390e-04 	 
-4.672590e-01 	 -1.130100e-03 	-4.672590e-01 	 -8.076140e-04 	-4.672590e-01 	 -1.274770e-03 	-4.672590e-01 	 -2.441380e-04 	 
-4.662350e-01 	 -9.900010e-04 	-4.662350e-01 	 -6.595900e-04 	-4.662350e-01 	 -1.071160e-03 	-4.662350e-01 	 -1.923930e-04 	 
-4.651890e-01 	 -8.369690e-04 	-4.651890e-01 	 -5.234890e-04 	-4.651890e-01 	 -8.447480e-04 	-4.651890e-01 	 -9.667660e-05 	 
-4.641200e-01 	 -6.523070e-04 	-4.641200e-01 	 -4.035730e-04 	-4.641200e-01 	 -6.063640e-04 	-4.641200e-01 	 5.766670e-05 	 
-4.630280e-01 	 -4.293840e-04 	-4.630280e-01 	 -2.978300e-04 	-4.630280e-01 	 -3.611920e-04 	-4.630280e-01 	 2.634650e-04 	 
-4.619100e-01 	 -1.816540e-04 	-4.619100e-01 	 -2.086720e-04 	-4.619100e-01 	 -1.100670e-04 	-4.619100e-01 	 5.230030e-04 	 
-4.607660e-01 	 7.573590e-05 	-4.607660e-01 	 -1.262130e-04 	-4.607660e-01 	 1.526580e-04 	-4.607660e-01 	 8.148380e-04 	 
-4.595950e-01 	 3.215540e-04 	-4.595950e-01 	 -5.037210e-05 	-4.595950e-01 	 4.181110e-04 	-4.595950e-01 	 1.067500e-03 	 
-4.583970e-01 	 5.366590e-04 	-4.583970e-01 	 8.383350e-06 	-4.583970e-01 	 6.583130e-04 	-4.583970e-01 	 1.235150e-03 	 
-4.571700e-01 	 7.121980e-04 	-4.571700e-01 	 6.486670e-05 	-4.571700e-01 	 8.490790e-04 	-4.571700e-01 	 1.328680e-03 	 
-4.559130e-01 	 8.456230e-04 	-4.559130e-01 	 1.428710e-04 	-4.559130e-01 	 9.943890e-04 	-4.559130e-01 	 1.360330e-03 	 
-4.546260e-01 	 9.455210e-04 	-4.546260e-01 	 2.289830e-04 	-4.546260e-01 	 1.117380e-03 	-4.546260e-01 	 1.324690e-03 	 
-4.533070e-01 	 1.041150e-03 	-4.533070e-01 	 3.086840e-04 	-4.533070e-01 	 1.234640e-03 	-4.533070e-01 	 1.234840e-03 	 
-4.519570e-01 	 1.153190e-03 	-4.519570e-01 	 4.224290e-04 	-4.519570e-01 	 1.347850e-03 	-4.519570e-01 	 1.125240e-03 	 
-4.505730e-01 	 1.255630e-03 	-4.505730e-01 	 5.858340e-04 	-4.505730e-01 	 1.448300e-03 	-4.505730e-01 	 1.012120e-03 	 
-4.491560e-01 	 1.310890e-03 	-4.491560e-01 	 7.245330e-04 	-4.491560e-01 	 1.533080e-03 	-4.491560e-01 	 8.990760e-04 	 
-4.477050e-01 	 1.335370e-03 	-4.477050e-01 	 7.830830e-04 	-4.477050e-01 	 1.600540e-03 	-4.477050e-01 	 8.108780e-04 	 
-4.462190e-01 	 1.387250e-03 	-4.462190e-01 	 8.129100e-04 	-4.462190e-01 	 1.647110e-03 	-4.462190e-01 	 7.714600e-04 	 
-4.446980e-01 	 1.496950e-03 	-4.446980e-01 	 8.665140e-04 	-4.446980e-01 	 1.684230e-03 	-4.446980e-01 	 7.824090e-04 	 
-4.431400e-01 	 1.629140e-03 	-4.431400e-01 	 9.192290e-04 	-4.431400e-01 	 1.738880e-03 	-4.431400e-01 	 8.285540e-04 	 
-4.415450e-01 	 1.732310e-03 	-4.415450e-01 	 9.439600e-04 	-4.415450e-01 	 1.819420e-03 	-4.415450e-01 	 8.842870e-04 	 
-4.399130e-01 	 1.761180e-03 	-4.399130e-01 	 9.541990e-04 	-4.399130e-01 	 1.846090e-03 	-4.399130e-01 	 9.185820e-04 	 
-4.382430e-01 	 1.685550e-03 	-4.382430e-01 	 9.619960e-04 	-4.382430e-01 	 1.840700e-03 	-4.382430e-01 	 8.933240e-04 	 
-4.365340e-01 	 1.554790e-03 	-4.365340e-01 	 9.428120e-04 	-4.365340e-01 	 1.903150e-03 	-4.365340e-01 	 7.961570e-04 	 
-4.347870e-01 	 1.464160e-03 	-4.347870e-01 	 8.808350e-04 	-4.347870e-01 	 1.899680e-03 	-4.347870e-01 	 6.859010e-04 	 
-4.329990e-01 	 1.385220e-03 	-4.329990e-01 	 8.040960e-04 	-4.329990e-01 	 1.737260e-03 	-4.329990e-01 	 6.458390e-04 	 
-4.311720e-01 	 1.149070e-03 	-4.311720e-01 	 7.425190e-04 	-4.311720e-01 	 1.513350e-03 	-4.311720e-01 	 6.763330e-04 	 
