"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.09870e-02	-8.93047e-04	9.43058e-04	1.16573e-07	-3.61087e-01	-1.44451e-01	-5.00000e-01	0.00000e+00	-8.36000e-02
2.66701e-05	2.77938e-05	-1.18178e-07	-4.84453e-08	-7.32191e-01	-2.92882e-01	-4.99947e-01	2.24938e-03	-8.36000e-02
4.89442e-03	3.33054e-05	2.18078e-04	-9.30187e-08	-6.08509e-01	-2.43405e-01	-4.99788e-01	4.49373e-03	-8.36000e-02
1.25634e-02	6.18215e-05	5.62280e-04	-8.12020e-08	-6.83906e-01	-2.73567e-01	-4.99521e-01	6.72789e-03	-8.36000e-02
1.49195e-02	1.41180e-04	6.56522e-04	-1.10384e-07	-6.95219e-01	-2.78094e-01	-4.99148e-01	8.94671e-03	-8.36000e-02
1.74674e-02	1.71797e-04	7.67157e-04	-1.24032e-07	-7.47682e-01	-2.99080e-01	-4.98669e-01	1.11452e-02	-8.36000e-02
1.91992e-02	2.46080e-04	8.28184e-04	-1.21326e-07	-8.28048e-01	-3.31227e-01	-4.98087e-01	1.33187e-02	-8.36000e-02
1.97636e-02	2.82499e-04	8.43327e-04	-1.31762e-07	-8.65108e-01	-3.46051e-01	-4.97406e-01	1.54629e-02	-8.36000e-02
1.98849e-02	3.24264e-04	8.34010e-04	-1.43958e-07	-9.37793e-01	-3.75125e-01	-4.96627e-01	1.75740e-02	-8.36000e-02
1.92910e-02	3.49026e-04	7.94844e-04	-1.56459e-07	-9.75150e-01	-3.90068e-01	-4.95802e-01	1.95472e-02	-8.36000e-02
1.83878e-02	3.57413e-04	7.46300e-04	-1.71088e-07	-1.00706e+00	-4.02832e-01	-4.94975e-01	2.13264e-02	-8.36000e-02
1.72644e-02	3.61730e-04	6.87552e-04	-1.82491e-07	-1.03419e+00	-4.13685e-01	-4.94145e-01	2.29608e-02	-8.36000e-02
1.59378e-02	3.51176e-04	6.25351e-04	-1.97680e-07	-1.04301e+00	-4.17209e-01	-4.93311e-01	2.44826e-02	-8.36000e-02
1.45624e-02	3.38348e-04	5.61205e-04	-2.11637e-07	-1.05430e+00	-4.21726e-01	-4.92470e-01	2.59146e-02	-8.36000e-02
1.30735e-02	3.16697e-04	4.95793e-04	-2.25214e-07	-1.05337e+00	-4.21354e-01	-4.91622e-01	2.72736e-02	-8.36000e-02
1.15689e-02	2.91349e-04	4.31443e-04	-2.41344e-07	-1.05064e+00	-4.20262e-01	-4.90765e-01	2.85721e-02	-8.36000e-02
1.00599e-02	2.62545e-04	3.68784e-04	-2.56585e-07	-1.04362e+00	-4.17454e-01	-4.89898e-01	2.98201e-02	-8.36000e-02
8.55967e-03	2.30399e-04	3.08681e-04	-2.73051e-07	-1.03257e+00	-4.13033e-01	-4.89019e-01	3.10255e-02	-8.36000e-02
7.12498e-03	1.97694e-04	2.52423e-04	-2.90249e-07	-1.02051e+00	-4.08208e-01	-4.88127e-01	3.21948e-02	-8.36000e-02
5.76980e-03	1.64432e-04	2.00939e-04	-3.07635e-07	-1.00581e+00	-4.02327e-01	-4.87221e-01	3.33333e-02	-8.36000e-02
4.53877e-03	1.32749e-04	1.55225e-04	-3.26260e-07	-9.90613e-01	-3.96247e-01	-4.86300e-01	3.44453e-02	-8.36000e-02
3.45774e-03	1.03626e-04	1.16078e-04	-3.45081e-07	-9.74935e-01	-3.89976e-01	-4.85362e-01	3.55346e-02	-8.36000e-02
2.54853e-03	7.80924e-05	8.39968e-05	-3.65065e-07	-9.59055e-01	-3.83623e-01	-4.84406e-01	3.66044e-02	-8.36000e-02
1.82685e-03	5.70999e-05	5.91503e-05	-3.86325e-07	-9.43980e-01	-3.77593e-01	-4.83431e-01	3.76573e-02	-8.36000e-02
1.27850e-03	4.05555e-05	4.08111e-05	-4.08520e-07	-9.29564e-01	-3.71826e-01	-4.82435e-01	3.86957e-02	-8.36000e-02
8.77060e-04	2.79850e-05	2.78305e-05	-4.32051e-07	-9.16390e-01	-3.66557e-01	-4.81419e-01	3.97215e-02	-8.36000e-02
5.70217e-04	1.80269e-05	1.82734e-05	-4.56031e-07	-9.04684e-01	-3.61874e-01	-4.80380e-01	4.07365e-02	-8.36000e-02
2.99214e-04	8.99758e-06	1.00950e-05	-4.79783e-07	-8.94431e-01	-3.57772e-01	-4.79317e-01	4.17421e-02	-8.36000e-02
1.86245e-05	-4.55728e-07	1.75437e-06	-5.06141e-07	-8.85793e-01	-3.54317e-01	-4.78230e-01	4.27397e-02	-8.36000e-02
-2.87672e-04	-1.08101e-05	-7.30687e-06	-5.49511e-07	-8.78483e-01	-3.51393e-01	-4.77117e-01	4.37302e-02	-8.36000e-02
-5.94539e-04	-2.12464e-05	-1.63160e-05	-6.33432e-07	-8.72377e-01	-3.48951e-01	-4.75977e-01	4.47148e-02	-8.36000e-02
-8.57054e-04	-3.02794e-05	-2.39037e-05	-7.78265e-07	-8.67267e-01	-3.46906e-01	-4.74811e-01	4.56941e-02	-8.36000e-02
-1.03651e-03	-3.66012e-05	-2.89151e-05	-9.98032e-07	-8.62983e-01	-3.45193e-01	-4.73615e-01	4.66689e-02	-8.36000e-02
-1.12054e-03	-3.97467e-05	-3.10291e-05	-1.30453e-06	-8.59461e-01	-3.43784e-01	-4.72390e-01	4.76398e-02	-8.36000e-02
-1.12399e-03	-4.01535e-05	-3.07577e-05	-1.70004e-06	-8.56561e-01	-3.42624e-01	-4.71135e-01	4.86073e-02	-8.36000e-02
-1.07539e-03	-3.87516e-05	-2.89866e-05	-2.16869e-06	-8.54202e-01	-3.41680e-01	-4.69849e-01	4.95717e-02	-8.36000e-02
-1.00077e-03	-3.64014e-05	-2.65164e-05	-2.67542e-06	-8.52274e-01	-3.40909e-01	-4.68531e-01	5.05335e-02	-8.36000e-02
-9.18315e-04	-3.37196e-05	-2.38898e-05	-3.18003e-06	-8.50688e-01	-3.40275e-01	-4.67181e-01	5.14929e-02	-8.36000e-02
-8.37673e-04	-3.10442e-05	-2.13828e-05	-3.63984e-06	-8.49379e-01	-3.39751e-01	-4.65797e-01	5.24501e-02	-8.36000e-02
-7.61696e-04	-2.84821e-05	-1.90696e-05	-4.01044e-06	-8.48284e-01	-3.39313e-01	-4.64378e-01	5.34052e-02	-8.36000e-02
-6.91739e-04	-2.60886e-05	-1.69811e-05	-4.27004e-06	-8.47366e-01	-3.38946e-01	-4.62925e-01	5.43583e-02	-8.36000e-02
-6.28062e-04	-2.38777e-05	-1.51210e-05	-4.41540e-06	-8.46590e-01	-3.38636e-01	-4.61435e-01	5.53096e-02	-8.36000e-02
