x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	avg	
-0.50000 	 -0.35845 	-0.50000 	 -0.36095 	-0.50000 	 -0.36929 	-0.50000 	 -0.36103 	-0.50000 	 -0.36916 	-0.50000 	 -0.36094 	-0.50000 	 -0.36917 	-0.50000 	 -0.36109 	-0.50000 	 -0.36376 	 
-0.49995 	 -0.73100 	-0.49995 	 -0.73231 	-0.49995 	 -0.73013 	-0.49995 	 -0.73212 	-0.49995 	 -0.72995 	-0.49995 	 -0.73199 	-0.49995 	 -0.72996 	-0.49995 	 -0.73219 	-0.49995 	 -0.73121 	 
-0.49979 	 -0.60849 	-0.49979 	 -0.60857 	-0.49979 	 -0.60853 	-0.49979 	 -0.60851 	-0.49979 	 -0.60836 	-0.49979 	 -0.60839 	-0.49979 	 -0.60837 	-0.49979 	 -0.60851 	-0.49979 	 -0.60847 	 
-0.49952 	 -0.68488 	-0.49952 	 -0.68404 	-0.49952 	 -0.68456 	-0.49952 	 -0.68386 	-0.49952 	 -0.68437 	-0.49952 	 -0.68372 	-0.49952 	 -0.68438 	-0.49952 	 -0.68391 	-0.49952 	 -0.68421 	 
-0.49915 	 -0.69565 	-0.49915 	 -0.69531 	-0.49915 	 -0.69378 	-0.49915 	 -0.69518 	-0.49915 	 -0.69357 	-0.49915 	 -0.69503 	-0.49915 	 -0.69358 	-0.49915 	 -0.69522 	-0.49915 	 -0.69466 	 
-0.49867 	 -0.74861 	-0.49867 	 -0.74783 	-0.49867 	 -0.74970 	-0.49867 	 -0.74764 	-0.49867 	 -0.74946 	-0.49867 	 -0.74746 	-0.49867 	 -0.74947 	-0.49867 	 -0.74768 	-0.49867 	 -0.74848 	 
-0.49809 	 -0.82786 	-0.49809 	 -0.82818 	-0.49809 	 -0.82692 	-0.49809 	 -0.82799 	-0.49809 	 -0.82663 	-0.49809 	 -0.82778 	-0.49809 	 -0.82664 	-0.49809 	 -0.82805 	-0.49809 	 -0.82751 	 
-0.49741 	 -0.86590 	-0.49741 	 -0.86528 	-0.49741 	 -0.86618 	-0.49741 	 -0.86505 	-0.49741 	 -0.86585 	-0.49741 	 -0.86480 	-0.49741 	 -0.86586 	-0.49741 	 -0.86511 	-0.49741 	 -0.86550 	 
-0.49663 	 -0.93768 	-0.49663 	 -0.93798 	-0.49663 	 -0.93814 	-0.49663 	 -0.93772 	-0.49663 	 -0.93776 	-0.49663 	 -0.93743 	-0.49663 	 -0.93777 	-0.49663 	 -0.93779 	-0.49663 	 -0.93778 	 
-0.49580 	 -0.97545 	-0.49580 	 -0.97536 	-0.49580 	 -0.97508 	-0.49580 	 -0.97506 	-0.49580 	 -0.97465 	-0.49580 	 -0.97473 	-0.49580 	 -0.97466 	-0.49580 	 -0.97515 	-0.49580 	 -0.97502 	 
-0.49497 	 -1.00730 	-0.49497 	 -1.00730 	-0.49497 	 -1.00790 	-0.49497 	 -1.00697 	-0.49497 	 -1.00742 	-0.49497 	 -1.00659 	-0.49497 	 -1.00742 	-0.49497 	 -1.00706 	-0.49497 	 -1.00724 	 
-0.49415 	 -1.03419 	-0.49415 	 -1.03445 	-0.49415 	 -1.03414 	-0.49415 	 -1.03409 	-0.49415 	 -1.03360 	-0.49415 	 -1.03366 	-0.49415 	 -1.03361 	-0.49415 	 -1.03419 	-0.49415 	 -1.03399 	 
-0.49331 	 -1.04333 	-0.49331 	 -1.04328 	-0.49331 	 -1.04351 	-0.49331 	 -1.04289 	-0.49331 	 -1.04292 	-0.49331 	 -1.04242 	-0.49331 	 -1.04292 	-0.49331 	 -1.04301 	-0.49331 	 -1.04304 	 
-0.49247 	 -1.05433 	-0.49247 	 -1.05459 	-0.49247 	 -1.05460 	-0.49247 	 -1.05417 	-0.49247 	 -1.05395 	-0.49247 	 -1.05365 	-0.49247 	 -1.05395 	-0.49247 	 -1.05430 	-0.49247 	 -1.05419 	 
-0.49162 	 -1.05360 	-0.49162 	 -1.05369 	-0.49162 	 -1.05360 	-0.49162 	 -1.05323 	-0.49162 	 -1.05291 	-0.49162 	 -1.05267 	-0.49162 	 -1.05290 	-0.49162 	 -1.05337 	-0.49162 	 -1.05325 	 
-0.49077 	 -1.05081 	-0.49077 	 -1.05097 	-0.49077 	 -1.05107 	-0.49077 	 -1.05049 	-0.49077 	 -1.05033 	-0.49077 	 -1.04989 	-0.49077 	 -1.05031 	-0.49077 	 -1.05064 	-0.49077 	 -1.05056 	 
-0.48990 	 -1.04379 	-0.48990 	 -1.04397 	-0.48990 	 -1.04385 	-0.48990 	 -1.04345 	-0.48990 	 -1.04306 	-0.48990 	 -1.04281 	-0.48990 	 -1.04304 	-0.48990 	 -1.04362 	-0.48990 	 -1.04345 	 
-0.48902 	 -1.03281 	-0.48902 	 -1.03293 	-0.48902 	 -1.03294 	-0.48902 	 -1.03239 	-0.48902 	 -1.03212 	-0.48902 	 -1.03172 	-0.48902 	 -1.03209 	-0.48902 	 -1.03257 	-0.48902 	 -1.03245 	 
-0.48813 	 -1.02070 	-0.48813 	 -1.02088 	-0.48813 	 -1.02083 	-0.48813 	 -1.02032 	-0.48813 	 -1.01998 	-0.48813 	 -1.01962 	-0.48813 	 -1.01993 	-0.48813 	 -1.02051 	-0.48813 	 -1.02035 	 
-0.48722 	 -1.00605 	-0.48722 	 -1.00618 	-0.48722 	 -1.00612 	-0.48722 	 -1.00561 	-0.48722 	 -1.00525 	-0.48722 	 -1.00488 	-0.48722 	 -1.00519 	-0.48722 	 -1.00581 	-0.48722 	 -1.00564 	 
-0.48630 	 -0.99084 	-0.48630 	 -0.99099 	-0.48630 	 -0.99096 	-0.48630 	 -0.99041 	-0.48630 	 -0.99008 	-0.48630 	 -0.98966 	-0.48630 	 -0.99001 	-0.48630 	 -0.99061 	-0.48630 	 -0.99045 	 
-0.48536 	 -0.97517 	-0.48536 	 -0.97531 	-0.48536 	 -0.97524 	-0.48536 	 -0.97473 	-0.48536 	 -0.97434 	-0.48536 	 -0.97397 	-0.48536 	 -0.97426 	-0.48536 	 -0.97493 	-0.48536 	 -0.97474 	 
-0.48441 	 -0.95930 	-0.48441 	 -0.95943 	-0.48441 	 -0.95938 	-0.48441 	 -0.95885 	-0.48441 	 -0.95849 	-0.48441 	 -0.95809 	-0.48441 	 -0.95840 	-0.48441 	 -0.95905 	-0.48441 	 -0.95887 	 
-0.48343 	 -0.94421 	-0.48343 	 -0.94434 	-0.48343 	 -0.94429 	-0.48343 	 -0.94377 	-0.48343 	 -0.94340 	-0.48343 	 -0.94302 	-0.48343 	 -0.94330 	-0.48343 	 -0.94398 	-0.48343 	 -0.94379 	 
-0.48244 	 -0.92979 	-0.48244 	 -0.92992 	-0.48244 	 -0.92985 	-0.48244 	 -0.92936 	-0.48244 	 -0.92898 	-0.48244 	 -0.92862 	-0.48244 	 -0.92887 	-0.48244 	 -0.92956 	-0.48244 	 -0.92937 	 
-0.48142 	 -0.91660 	-0.48142 	 -0.91674 	-0.48142 	 -0.91668 	-0.48142 	 -0.91619 	-0.48142 	 -0.91584 	-0.48142 	 -0.91547 	-0.48142 	 -0.91571 	-0.48142 	 -0.91639 	-0.48142 	 -0.91620 	 
