"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.67408e-02	-1.09555e-03	1.20167e-03	1.21575e-07	-3.54128e-01	-1.41671e-01	-5.00000e-01	0.00000e+00	-2.86000e-02
2.21420e-03	3.97825e-05	9.78624e-05	1.84101e-07	-6.85223e-01	-2.74090e-01	-4.99947e-01	2.24938e-03	-2.86000e-02
8.65244e-03	5.12034e-05	3.86250e-04	2.39941e-07	-5.76078e-01	-2.30435e-01	-4.99788e-01	4.49373e-03	-2.86000e-02
1.74060e-02	8.82701e-05	7.78634e-04	2.72882e-07	-6.56043e-01	-2.62424e-01	-4.99521e-01	6.72789e-03	-2.86000e-02
1.97355e-02	1.85026e-04	8.68778e-04	3.01525e-07	-6.75182e-01	-2.70081e-01	-4.99148e-01	8.94671e-03	-2.86000e-02
2.26151e-02	2.23122e-04	9.93073e-04	3.34890e-07	-7.33684e-01	-2.93483e-01	-4.98669e-01	1.11452e-02	-2.86000e-02
2.44776e-02	3.13665e-04	1.05590e-03	3.74174e-07	-8.15941e-01	-3.26386e-01	-4.98087e-01	1.33187e-02	-2.86000e-02
2.49888e-02	3.57496e-04	1.06619e-03	4.18165e-07	-8.59024e-01	-3.43620e-01	-4.97406e-01	1.54629e-02	-2.86000e-02
2.50343e-02	4.08710e-04	1.04980e-03	4.68587e-07	-9.34268e-01	-3.73717e-01	-4.96627e-01	1.75740e-02	-2.86000e-02
2.42527e-02	4.39159e-04	9.99118e-04	5.25397e-07	-9.75496e-01	-3.90208e-01	-4.95802e-01	1.95472e-02	-2.86000e-02
2.31602e-02	4.50652e-04	9.39761e-04	5.85388e-07	-1.01149e+00	-4.04607e-01	-4.94975e-01	2.13264e-02	-2.86000e-02
2.18346e-02	4.57842e-04	8.69370e-04	6.49832e-07	-1.04160e+00	-4.16649e-01	-4.94145e-01	2.29608e-02	-2.86000e-02
2.03021e-02	4.47655e-04	7.96418e-04	7.19906e-07	-1.05445e+00	-4.21788e-01	-4.93311e-01	2.44826e-02	-2.86000e-02
1.87392e-02	4.35609e-04	7.22039e-04	7.95209e-07	-1.06899e+00	-4.27604e-01	-4.92470e-01	2.59146e-02	-2.86000e-02
1.70597e-02	4.13357e-04	6.46899e-04	8.77136e-07	-1.07150e+00	-4.28605e-01	-4.91622e-01	2.72736e-02	-2.86000e-02
1.53795e-02	3.87322e-04	5.73547e-04	9.65246e-07	-1.07201e+00	-4.28810e-01	-4.90765e-01	2.85721e-02	-2.86000e-02
1.36986e-02	3.57361e-04	5.02284e-04	1.06095e-06	-1.06780e+00	-4.27124e-01	-4.89898e-01	2.98201e-02	-2.86000e-02
1.20255e-02	3.23431e-04	4.33861e-04	1.16349e-06	-1.05928e+00	-4.23715e-01	-4.89019e-01	3.10255e-02	-2.86000e-02
1.04124e-02	2.88481e-04	3.69222e-04	1.27286e-06	-1.04920e+00	-4.19684e-01	-4.88127e-01	3.21948e-02	-2.86000e-02
8.86300e-03	2.51980e-04	3.09154e-04	1.39017e-06	-1.03581e+00	-4.14326e-01	-4.87221e-01	3.33333e-02	-2.86000e-02
7.41625e-03	2.16171e-04	2.54259e-04	1.51412e-06	-1.02141e+00	-4.08566e-01	-4.86300e-01	3.44453e-02	-2.86000e-02
6.08428e-03	1.81386e-04	2.05092e-04	1.64411e-06	-1.00562e+00	-4.02252e-01	-4.85362e-01	3.55346e-02	-2.86000e-02
4.88951e-03	1.48843e-04	1.62046e-04	1.77997e-06	-9.89151e-01	-3.95662e-01	-4.84406e-01	3.66044e-02	-2.86000e-02
3.85015e-03	1.19451e-04	1.25499e-04	1.92110e-06	-9.72677e-01	-3.89072e-01	-4.83431e-01	3.76573e-02	-2.86000e-02
2.95869e-03	9.32980e-05	9.49854e-05	2.06605e-06	-9.56295e-01	-3.82519e-01	-4.82435e-01	3.86957e-02	-2.86000e-02
2.21154e-03	7.06765e-05	7.00635e-05	2.21405e-06	-9.40697e-01	-3.76280e-01	-4.81419e-01	3.97215e-02	-2.86000e-02
1.57749e-03	5.08354e-05	4.95493e-05	2.36245e-06	-9.26064e-01	-3.70426e-01	-4.80380e-01	4.07365e-02	-2.86000e-02
1.02467e-03	3.30500e-05	3.21695e-05	2.51071e-06	-9.12684e-01	-3.65074e-01	-4.79317e-01	4.17421e-02	-2.86000e-02
5.17661e-04	1.63248e-05	1.66790e-05	2.65913e-06	-9.00765e-01	-3.60306e-01	-4.78230e-01	4.27397e-02	-2.86000e-02
3.33241e-05	5.71553e-08	2.20919e-06	2.81306e-06	-8.90256e-01	-3.56102e-01	-4.77117e-01	4.37302e-02	-2.86000e-02
-4.25123e-04	-1.55701e-05	-1.12228e-05	2.98440e-06	-8.81152e-01	-3.52461e-01	-4.75977e-01	4.47148e-02	-2.86000e-02
-8.33445e-04	-2.96874e-05	-2.29525e-05	3.19200e-06	-8.73284e-01	-3.49313e-01	-4.74811e-01	4.56941e-02	-2.86000e-02
-1.15731e-03	-4.10886e-05	-3.20090e-05	3.46147e-06	-8.66521e-01	-3.46608e-01	-4.73615e-01	4.66689e-02	-2.86000e-02
-1.37507e-03	-4.89850e-05	-3.78091e-05	3.82379e-06	-8.60762e-01	-3.44304e-01	-4.72390e-01	4.76398e-02	-2.86000e-02
-1.48773e-03	-5.33262e-05	-4.04765e-05	4.30540e-06	-8.55876e-01	-3.42350e-01	-4.71135e-01	4.86073e-02	-2.86000e-02
-1.51599e-03	-5.47613e-05	-4.06831e-05	4.92409e-06	-8.51784e-01	-3.40713e-01	-4.69849e-01	4.95717e-02	-2.86000e-02
-1.48624e-03	-5.41461e-05	-3.92591e-05	5.66838e-06	-8.48366e-01	-3.39346e-01	-4.68531e-01	5.05335e-02	-2.86000e-02
-1.42349e-03	-5.23238e-05	-3.69539e-05	6.49897e-06	-8.45517e-01	-3.38206e-01	-4.67181e-01	5.14929e-02	-2.86000e-02
-1.34571e-03	-4.99031e-05	-3.43052e-05	7.34449e-06	-8.43148e-01	-3.37259e-01	-4.65797e-01	5.24501e-02	-2.86000e-02
-1.26106e-03	-4.71654e-05	-3.15552e-05	8.10490e-06	-8.41171e-01	-3.36468e-01	-4.64378e-01	5.34052e-02	-2.86000e-02
-1.17599e-03	-4.43512e-05	-2.88700e-05	8.71363e-06	-8.39524e-01	-3.35809e-01	-4.62925e-01	5.43583e-02	-2.86000e-02
-1.09404e-03	-4.15927e-05	-2.63406e-05	9.15299e-06	-8.38145e-01	-3.35258e-01	-4.61435e-01	5.53096e-02	-2.86000e-02
-1.01460e-03	-3.88647e-05	-2.39606e-05	9.43389e-06	-8.36992e-01	-3.34796e-01	-4.59910e-01	5.62590e-02	-2.86000e-02
-9.38457e-04	-3.62034e-05	-2.17426e-05	9.59828e-06	-8.36025e-01	-3.34410e-01	-4.58347e-01	5.72066e-02	-2.86000e-02
-8.66411e-04	-3.36536e-05	-1.96860e-05	9.68659e-06	-8.35216e-01	-3.34086e-01	-4.56747e-01	5.81521e-02	-2.86000e-02
-7.97933e-04	-3.12017e-05	-1.77698e-05	9.72162e-06	-8.34541e-01	-3.33816e-01	-4.55108e-01	5.90956e-02	-2.86000e-02
-7.33458e-04	-2.88619e-05	-1.60113e-05	9.72220e-06	-8.33982e-01	-3.33593e-01	-4.53431e-01	6.00370e-02	-2.86000e-02
-6.73694e-04	-2.66660e-05	-1.44222e-05	9.70078e-06	-8.33520e-01	-3.33408e-01	-4.51714e-01	6.09761e-02	-2.86000e-02
-6.18229e-04	-2.46110e-05	-1.29718e-05	9.65543e-06	-8.33141e-01	-3.33256e-01	-4.49957e-01	6.19127e-02	-2.86000e-02
-5.66825e-04	-2.26928e-05	-1.16469e-05	9.59724e-06	-8.32831e-01	-3.33132e-01	-4.48160e-01	6.28467e-02	-2.86000e-02
-5.18231e-04	-2.08567e-05	-1.04326e-05	9.53390e-06	-8.32581e-01	-3.33032e-01	-4.46322e-01	6.37778e-02	-2.86000e-02
-4.72044e-04	-1.90902e-05	-9.31589e-06	9.47962e-06	-8.32382e-01	-3.32953e-01	-4.44442e-01	6.47058e-02	-2.86000e-02
-4.27770e-04	-1.73826e-05	-8.27005e-06	9.46039e-06	-8.32227e-01	-3.32891e-01	-4.42520e-01	6.56305e-02	-2.86000e-02
-3.82110e-04	-1.56012e-05	-7.22973e-06	9.49140e-06	-8.32110e-01	-3.32844e-01	-4.40556e-01	6.65517e-02	-2.86000e-02
-3.31035e-04	-1.35767e-05	-6.13034e-06	9.56980e-06	-8.32034e-01	-3.32813e-01	-4.38549e-01	6.74690e-02	-2.86000e-02
-2.71337e-04	-1.11751e-05	-4.91985e-06	9.66725e-06	-8.32014e-01	-3.32805e-01	-4.36499e-01	6.83822e-02	-2.86000e-02
-2.01568e-04	-8.33554e-06	-3.57682e-06	9.74688e-06	-8.32071e-01	-3.32828e-01	-4.34406e-01	6.92910e-02	-2.86000e-02
-1.23830e-04	-5.14166e-06	-2.14810e-06	9.76480e-06	-8.32230e-01	-3.32892e-01	-4.32269e-01	7.01950e-02	-2.86000e-02
-4.63572e-05	-1.93334e-06	-7.83536e-07	9.66681e-06	-8.32500e-01	-3.33000e-01	-4.30087e-01	7.10941e-02	-2.86000e-02
1.82083e-05	7.62313e-07	3.00423e-07	9.41705e-06	-8.32863e-01	-3.33146e-01	-4.27861e-01	7.19879e-02	-2.86000e-02
6.16604e-05	2.59887e-06	9.72515e-07	8.98199e-06	-8.33273e-01	-3.33309e-01	-4.25591e-01	7.28760e-02	-2.86000e-02
8.33566e-05	3.53273e-06	1.26253e-06	8.35739e-06	-8.33679e-01	-3.33472e-01	-4.23275e-01	7.37581e-02	-2.86000e-02
8.52486e-05	3.62172e-06	1.26594e-06	7.57104e-06	-8.34045e-01	-3.33618e-01	-4.20914e-01	7.46339e-02	-2.86000e-02
7.23725e-05	3.06949e-06	1.08848e-06	6.68453e-06	-8.34351e-01	-3.33740e-01	-4.18508e-01	7.55031e-02	-2.86000e-02
5.34208e-05	2.25096e-06	8.46093e-07	5.74022e-06	-8.34596e-01	-3.33838e-01	-4.16056e-01	7.63653e-02	-2.86000e-02
3.32841e-05	1.38208e-06	5.88706e-07	4.76179e-06	-8.34789e-01	-3.33916e-01	-4.13559e-01	7.72201e-02	-2.86000e-02
1.15633e-05	4.54744e-07	2.82968e-07	3.77771e-06	-8.34944e-01	-3.33978e-01	-4.11015e-01	7.80673e-02	-2.86000e-02
-1.15032e-05	-5.13974e-07	-9.21944e-08	2.78233e-06	-8.35073e-01	-3.34029e-01	-4.08425e-01	7.89065e-02	-2.86000e-02
-3.45317e-05	-1.47170e-06	-5.00483e-07	1.73999e-06	-8.35189e-01	-3.34076e-01	-4.05789e-01	7.97374e-02	-2.86000e-02
-5.56842e-05	-2.35841e-06	-8.58039e-07	6.24451e-07	-8.35303e-01	-3.34121e-01	-4.03107e-01	8.05595e-02	-2.86000e-02
-7.09091e-05	-3.01429e-06	-1.06024e-06	-5.63650e-07	-8.35429e-01	-3.34172e-01	-4.00378e-01	8.13726e-02	-2.86000e-02
-7.75338e-05	-3.32191e-06	-1.07365e-06	-1.78601e-06	-8.35575e-01	-3.34230e-01	-3.97602e-01	8.21763e-02	-2.86000e-02
-7.83475e-05	-3.38795e-06	-9.76331e-07	-2.97976e-06	-8.35745e-01	-3.34298e-01	-3.94781e-01	8.29702e-02	-2.86000e-02
-7.92626e-05	-3.45477e-06	-8.87923e-07	-4.13188e-06	-8.35936e-01	-3.34374e-01	-3.91912e-01	8.37540e-02	-2.86000e-02
-8.30669e-05	-3.63688e-06	-8.67360e-07	-5.34838e-06	-8.36140e-01	-3.34456e-01	-3.88997e-01	8.45275e-02	-2.86000e-02
-8.68815e-05	-3.81003e-06	-8.80939e-07	-6.76627e-06	-8.36361e-01	-3.34544e-01	-3.86036e-01	8.52901e-02	-2.86000e-02
-8.85073e-05	-3.88204e-06	-8.92403e-07	-8.30162e-06	-8.36621e-01	-3.34648e-01	-3.83028e-01	8.60417e-02	-2.86000e-02
-9.32537e-05	-4.08889e-06	-9.44362e-07	-9.56914e-06	-8.36932e-01	-3.34773e-01	-3.79973e-01	8.67818e-02	-2.86000e-02
-1.07366e-04	-4.70835e-06	-1.08371e-06	-1.01872e-05	-8.37262e-01	-3.34905e-01	-3.76872e-01	8.75102e-02	-2.86000e-02
-1.25666e-04	-5.51627e-06	-1.24480e-06	-1.01213e-05	-8.37573e-01	-3.35029e-01	-3.73725e-01	8.82265e-02	-2.86000e-02
-1.34808e-04	-5.92522e-06	-1.30108e-06	-9.57808e-06	-8.37869e-01	-3.35147e-01	-3.70531e-01	8.89303e-02	-2.86000e-02
-1.28971e-04	-5.67625e-06	-1.20961e-06	-8.66313e-06	-8.38183e-01	-3.35273e-01	-3.67291e-01	8.96215e-02	-2.86000e-02
-1.12469e-04	-4.95704e-06	-1.02126e-06	-7.31849e-06	-8.38510e-01	-3.35404e-01	-3.64005e-01	9.02996e-02	-2.86000e-02
-8.78431e-05	-3.87707e-06	-7.70806e-07	-5.60209e-06	-8.38821e-01	-3.35528e-01	-3.60674e-01	9.09644e-02	-2.86000e-02
-5.51982e-05	-2.43961e-06	-4.67084e-07	-3.95959e-06	-8.39157e-01	-3.35663e-01	-3.57296e-01	9.16156e-02	-2.86000e-02
-2.25233e-05	-9.97223e-07	-1.81181e-07	-2.98602e-06	-8.39599e-01	-3.35839e-01	-3.53873e-01	9.22529e-02	-2.86000e-02
-3.06322e-06	-1.36625e-07	-1.89806e-08	-2.76872e-06	-8.40158e-01	-3.36062e-01	-3.50405e-01	9.28759e-02	-2.86000e-02
-2.18326e-06	-9.80715e-08	-9.32387e-09	-2.65368e-06	-8.40793e-01	-3.36317e-01	-3.46892e-01	9.34844e-02	-2.86000e-02
-1.47834e-05	-6.57723e-07	-1.00088e-07	-1.90206e-06	-8.41460e-01	-3.36584e-01	-3.43333e-01	9.40782e-02	-2.86000e-02
-3.34510e-05	-1.48768e-06	-2.29703e-07	-3.20533e-07	-8.42111e-01	-3.36844e-01	-3.39730e-01	9.46570e-02	-2.86000e-02
-5.58395e-05	-2.48475e-06	-3.74256e-07	1.81545e-06	-8.42723e-01	-3.37089e-01	-3.36083e-01	9.52204e-02	-2.86000e-02
-8.35908e-05	-3.72267e-06	-5.39645e-07	4.07632e-06	-8.43285e-01	-3.37314e-01	-3.32391e-01	9.57684e-02	-2.86000e-02
-1.13296e-04	-5.04979e-06	-7.01753e-07	5.96778e-06	-8.43787e-01	-3.37515e-01	-3.28656e-01	9.63005e-02	-2.86000e-02
-1.34145e-04	-5.98379e-06	-7.96127e-07	7.02155e-06	-8.44256e-01	-3.37702e-01	-3.24876e-01	9.68167e-02	-2.86000e-02
-1.40016e-04	-6.25027e-06	-7.95660e-07	7.05344e-06	-8.44758e-01	-3.37903e-01	-3.21054e-01	9.73166e-02	-2.86000e-02
-1.37391e-04	-6.13739e-06	-7.46358e-07	6.29964e-06	-8.45325e-01	-3.38130e-01	-3.17189e-01	9.78000e-02	-2.86000e-02
-1.35306e-04	-6.04812e-06	-7.02192e-07	5.18834e-06	-8.45913e-01	-3.38365e-01	-3.13280e-01	9.82668e-02	-2.86000e-02
-1.34368e-04	-6.00999e-06	-6.64235e-07	3.99039e-06	-8.46482e-01	-3.38593e-01	-3.09330e-01	9.87167e-02	-2.86000e-02
-1.31064e-04	-5.86567e-06	-6.15535e-07	2.74266e-06	-8.47036e-01	-3.38814e-01	-3.05338e-01	9.91496e-02	-2.86000e-02
-1.26212e-04	-5.65154e-06	-5.63209e-07	1.46139e-06	-8.47562e-01	-3.39025e-01	-3.01304e-01	9.95652e-02	-2.86000e-02
-1.23253e-04	-5.52177e-06	-5.21766e-07	3.06586e-07	-8.48008e-01	-3.39203e-01	-2.97229e-01	9.99634e-02	-2.86000e-02
-1.23261e-04	-5.52482e-06	-4.92543e-07	-4.82218e-07	-8.48327e-01	-3.39331e-01	-2.93113e-01	1.00344e-01	-2.86000e-02
-1.27233e-04	-5.70552e-06	-4.77872e-07	-7.71869e-07	-8.48534e-01	-3.39414e-01	-2.88957e-01	1.00707e-01	-2.86000e-02
-1.39524e-04	-6.25940e-06	-4.90759e-07	-6.25725e-07	-8.48674e-01	-3.39470e-01	-2.84761e-01	1.01052e-01	-2.86000e-02
-1.62519e-04	-7.29359e-06	-5.37498e-07	-2.24585e-07	-8.48763e-01	-3.39505e-01	-2.80526e-01	1.01379e-01	-2.86000e-02
-1.91125e-04	-8.58011e-06	-5.93730e-07	2.60962e-07	-8.48804e-01	-3.39522e-01	-2.76251e-01	1.01688e-01	-2.86000e-02
-2.18565e-04	-9.81499e-06	-6.33723e-07	7.42652e-07	-8.48831e-01	-3.39532e-01	-2.71938e-01	1.01979e-01	-2.86000e-02
-2.45177e-04	-1.10133e-05	-6.59309e-07	1.20307e-06	-8.48888e-01	-3.39555e-01	-2.67587e-01	1.02251e-01	-2.86000e-02
-2.74996e-04	-1.23561e-05	-6.81008e-07	1.64507e-06	-8.48970e-01	-3.39588e-01	-2.63198e-01	1.02505e-01	-2.86000e-02
-3.07246e-04	-1.38085e-05	-6.96131e-07	2.06378e-06	-8.49044e-01	-3.39617e-01	-2.58773e-01	1.02740e-01	-2.86000e-02
-3.36866e-04	-1.51430e-05	-6.95298e-07	2.46832e-06	-8.49094e-01	-3.39638e-01	-2.54310e-01	1.02957e-01	-2.86000e-02
-3.62216e-04	-1.62858e-05	-6.73838e-07	2.86127e-06	-8.49133e-01	-3.39653e-01	-2.49811e-01	1.03155e-01	-2.86000e-02
-3.88991e-04	-1.74927e-05	-6.45027e-07	3.14764e-06	-8.49176e-01	-3.39670e-01	-2.45277e-01	1.03334e-01	-2.86000e-02
-4.24921e-04	-1.91113e-05	-6.22502e-07	3.09985e-06	-8.49211e-01	-3.39684e-01	-2.40708e-01	1.03494e-01	-2.86000e-02
-4.73832e-04	-2.13139e-05	-6.04493e-07	2.52104e-06	-8.49198e-01	-3.39679e-01	-2.36104e-01	1.03636e-01	-2.86000e-02
-5.33564e-04	-2.40034e-05	-5.79351e-07	1.49834e-06	-8.49098e-01	-3.39639e-01	-2.31467e-01	1.03759e-01	-2.86000e-02
-5.96567e-04	-2.68402e-05	-5.35111e-07	3.61968e-07	-8.48894e-01	-3.39557e-01	-2.26796e-01	1.03863e-01	-2.86000e-02
-6.54733e-04	-2.94593e-05	-4.64660e-07	-8.05288e-07	-8.48616e-01	-3.39446e-01	-2.22092e-01	1.03948e-01	-2.86000e-02
-7.04869e-04	-3.17170e-05	-3.69057e-07	-2.38208e-06	-8.48292e-01	-3.39316e-01	-2.17356e-01	1.04015e-01	-2.86000e-02
-7.49715e-04	-3.37362e-05	-2.55417e-07	-4.53498e-06	-8.47886e-01	-3.39154e-01	-2.12589e-01	1.04062e-01	-2.86000e-02
-7.94416e-04	-3.57485e-05	-1.30236e-07	-6.64916e-06	-8.47362e-01	-3.38944e-01	-2.07790e-01	1.04091e-01	-2.86000e-02
-8.42104e-04	-3.78947e-05	6.32244e-09	-7.86009e-06	-8.46736e-01	-3.38694e-01	-2.02961e-01	1.04101e-01	-2.86000e-02
-8.89318e-04	-4.00190e-05	1.57487e-07	-7.86693e-06	-8.46024e-01	-3.38409e-01	-1.98102e-01	1.04092e-01	-2.86000e-02
-9.26082e-04	-4.16724e-05	3.20517e-07	-7.01410e-06	-8.45224e-01	-3.38089e-01	-1.93215e-01	1.04064e-01	-2.86000e-02
