"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.90705e-02	-4.89178e-04	1.12934e-03	8.51165e-04	-4.57820e-01	-1.83152e-01	-5.00000e-01	0.00000e+00	0.00000e+00
3.57069e-03	2.66736e-04	1.99071e-04	2.48728e-04	-7.10724e-01	-2.84299e-01	-4.99947e-01	2.24938e-03	0.00000e+00
8.71440e-03	3.09486e-04	4.88417e-04	3.00192e-04	-6.31784e-01	-2.52723e-01	-4.99788e-01	4.49373e-03	0.00000e+00
1.44389e-02	3.61731e-04	8.08865e-04	3.08362e-04	-7.23526e-01	-2.89422e-01	-4.99521e-01	6.72789e-03	0.00000e+00
1.58095e-02	4.24415e-04	8.65325e-04	2.86187e-04	-7.53736e-01	-3.01507e-01	-4.99148e-01	8.94671e-03	0.00000e+00
1.78303e-02	4.59571e-04	9.63441e-04	2.82572e-04	-8.31854e-01	-3.32755e-01	-4.98669e-01	1.11452e-02	0.00000e+00
1.91472e-02	5.20184e-04	1.01096e-03	2.57958e-04	-9.19046e-01	-3.67633e-01	-4.98087e-01	1.33187e-02	0.00000e+00
1.97254e-02	5.52810e-04	1.01944e-03	2.47601e-04	-9.81895e-01	-3.92772e-01	-4.97406e-01	1.54629e-02	0.00000e+00
2.01030e-02	5.89933e-04	1.01271e-03	2.27904e-04	-1.07031e+00	-4.28140e-01	-4.96627e-01	1.75740e-02	0.00000e+00
2.00068e-02	6.14475e-04	9.80897e-04	2.15836e-04	-1.12959e+00	-4.51849e-01	-4.95802e-01	1.95472e-02	0.00000e+00
1.97590e-02	6.29401e-04	9.44356e-04	2.05847e-04	-1.18649e+00	-4.74611e-01	-4.94975e-01	2.13264e-02	0.00000e+00
1.93544e-02	6.40592e-04	9.00036e-04	1.96018e-04	-1.23506e+00	-4.94037e-01	-4.94145e-01	2.29608e-02	0.00000e+00
1.88453e-02	6.43156e-04	8.54000e-04	1.91226e-04	-1.27087e+00	-5.08361e-01	-4.93311e-01	2.44826e-02	0.00000e+00
1.83043e-02	6.44121e-04	8.07136e-04	1.84754e-04	-1.30669e+00	-5.22690e-01	-4.92470e-01	2.59146e-02	0.00000e+00
1.76861e-02	6.39223e-04	7.59152e-04	1.81688e-04	-1.33223e+00	-5.32902e-01	-4.91622e-01	2.72736e-02	0.00000e+00
1.70584e-02	6.32291e-04	7.12240e-04	1.78089e-04	-1.35604e+00	-5.42429e-01	-4.90765e-01	2.85721e-02	0.00000e+00
1.64093e-02	6.22514e-04	6.66197e-04	1.75823e-04	-1.37486e+00	-5.49953e-01	-4.89898e-01	2.98201e-02	0.00000e+00
1.57451e-02	6.10343e-04	6.21235e-04	1.73947e-04	-1.39001e+00	-5.56013e-01	-4.89019e-01	3.10255e-02	0.00000e+00
1.50777e-02	5.96361e-04	5.77792e-04	1.72164e-04	-1.40282e+00	-5.61136e-01	-4.88127e-01	3.21948e-02	0.00000e+00
1.44156e-02	5.80966e-04	5.36204e-04	1.70947e-04	-1.41223e+00	-5.64902e-01	-4.87221e-01	3.33333e-02	0.00000e+00
1.37621e-02	5.64428e-04	4.96534e-04	1.69668e-04	-1.41978e+00	-5.67921e-01	-4.86300e-01	3.44453e-02	0.00000e+00
1.31134e-02	5.46776e-04	4.58564e-04	1.68537e-04	-1.42511e+00	-5.70054e-01	-4.85362e-01	3.55346e-02	0.00000e+00
1.24790e-02	5.28478e-04	4.22562e-04	1.67555e-04	-1.42855e+00	-5.71428e-01	-4.84406e-01	3.66044e-02	0.00000e+00
1.18646e-02	5.09858e-04	3.88700e-04	1.66567e-04	-1.43067e+00	-5.72277e-01	-4.83431e-01	3.76573e-02	0.00000e+00
1.12694e-02	4.90953e-04	3.56887e-04	1.65473e-04	-1.43134e+00	-5.72542e-01	-4.82435e-01	3.86957e-02	0.00000e+00
1.07067e-02	4.72323e-04	3.27601e-04	1.64116e-04	-1.43099e+00	-5.72401e-01	-4.81419e-01	3.97215e-02	0.00000e+00
1.01757e-02	4.54089e-04	3.00664e-04	1.62549e-04	-1.42972e+00	-5.71893e-01	-4.80380e-01	4.07365e-02	0.00000e+00
9.68544e-03	4.36821e-04	2.76175e-04	1.61071e-04	-1.42769e+00	-5.71081e-01	-4.79317e-01	4.17421e-02	0.00000e+00
9.23321e-03	4.20580e-04	2.53835e-04	1.59926e-04	-1.42519e+00	-5.70081e-01	-4.78230e-01	4.27397e-02	0.00000e+00
8.81321e-03	4.05277e-04	2.33265e-04	1.59227e-04	-1.42232e+00	-5.68932e-01	-4.77117e-01	4.37302e-02	0.00000e+00
8.42139e-03	3.90794e-04	2.14267e-04	1.58909e-04	-1.41930e+00	-5.67727e-01	-4.75977e-01	4.47148e-02	0.00000e+00
8.05634e-03	3.77097e-04	1.96735e-04	1.58828e-04	-1.41627e+00	-5.66512e-01	-4.74811e-01	4.56941e-02	0.00000e+00
7.71932e-03	3.64255e-04	1.80680e-04	1.58864e-04	-1.41334e+00	-5.65341e-01	-4.73615e-01	4.66689e-02	0.00000e+00
7.41638e-03	3.52583e-04	1.66184e-04	1.59091e-04	-1.41067e+00	-5.64272e-01	-4.72390e-01	4.76398e-02	0.00000e+00
7.14914e-03	3.42237e-04	1.53151e-04	1.59678e-04	-1.40835e+00	-5.63343e-01	-4.71135e-01	4.86073e-02	0.00000e+00
6.91972e-03	3.33429e-04	1.41446e-04	1.60935e-04	-1.40650e+00	-5.62605e-01	-4.69849e-01	4.95717e-02	0.00000e+00
6.71282e-03	3.25544e-04	1.30548e-04	1.62837e-04	-1.40521e+00	-5.62088e-01	-4.68531e-01	5.05335e-02	0.00000e+00
6.52089e-03	3.18306e-04	1.20162e-04	1.65452e-04	-1.40453e+00	-5.61815e-01	-4.67181e-01	5.14929e-02	0.00000e+00
6.34068e-03	3.11590e-04	1.10145e-04	1.68804e-04	-1.40447e+00	-5.61794e-01	-4.65797e-01	5.24501e-02	0.00000e+00
6.15934e-03	3.04751e-04	1.00275e-04	1.72481e-04	-1.40504e+00	-5.62022e-01	-4.64378e-01	5.34052e-02	0.00000e+00
5.97870e-03	2.97826e-04	9.06762e-05	1.76279e-04	-1.40621e+00	-5.62489e-01	-4.62925e-01	5.43583e-02	0.00000e+00
5.80332e-03	2.90968e-04	8.15324e-05	1.79998e-04	-1.40794e+00	-5.63182e-01	-4.61435e-01	5.53096e-02	0.00000e+00
5.63035e-03	2.83954e-04	7.29322e-05	1.83190e-04	-1.41020e+00	-5.64083e-01	-4.59910e-01	5.62590e-02	0.00000e+00
5.46494e-03	2.77002e-04	6.50416e-05	1.85723e-04	-1.41294e+00	-5.65180e-01	-4.58347e-01	5.72066e-02	0.00000e+00
5.30723e-03	2.70118e-04	5.78865e-05	1.87475e-04	-1.41613e+00	-5.66456e-01	-4.56747e-01	5.81521e-02	0.00000e+00
5.14760e-03	2.62847e-04	5.13151e-05	1.88147e-04	-1.41973e+00	-5.67897e-01	-4.55108e-01	5.90956e-02	0.00000e+00
