"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.85193e-02	-7.83723e-04	8.33354e-04	-9.16976e-05	-9.40995e-02	-3.76540e-02	-5.14970e-01	0.00000e+00	8.14000e-02
-4.93709e-04	2.59040e-05	-2.34856e-05	-5.20457e-05	-4.12039e-01	-1.64814e-01	-5.14918e-01	2.24940e-03	8.14000e-02
4.18145e-03	3.26497e-05	1.86205e-04	-6.54234e-05	-2.91710e-01	-1.16686e-01	-5.14761e-01	4.49391e-03	8.14000e-02
1.19862e-02	6.25865e-05	5.36672e-04	-7.38022e-05	-3.51973e-01	-1.40794e-01	-5.14499e-01	6.72854e-03	8.14000e-02
1.51746e-02	1.44181e-04	6.68652e-04	-7.42192e-05	-3.59222e-01	-1.43695e-01	-5.14131e-01	8.94828e-03	8.14000e-02
1.85591e-02	1.85545e-04	8.15515e-04	-7.50074e-05	-4.09897e-01	-1.63966e-01	-5.13659e-01	1.11483e-02	8.14000e-02
2.11702e-02	2.70042e-04	9.14935e-04	-7.29372e-05	-4.92023e-01	-1.96818e-01	-5.13086e-01	1.33239e-02	8.14000e-02
2.26458e-02	3.23389e-04	9.67799e-04	-7.16193e-05	-5.40157e-01	-2.16072e-01	-5.12413e-01	1.54711e-02	8.14000e-02
2.36668e-02	3.83752e-04	9.94910e-04	-6.93511e-05	-6.26060e-01	-2.50434e-01	-5.11645e-01	1.75860e-02	8.14000e-02
2.39854e-02	4.30659e-04	9.91151e-04	-6.78405e-05	-6.83503e-01	-2.73411e-01	-5.10831e-01	1.95633e-02	8.14000e-02
2.39782e-02	4.63130e-04	9.76004e-04	-6.70370e-05	-7.37749e-01	-2.95109e-01	-5.10015e-01	2.13464e-02	8.14000e-02
2.37554e-02	4.92987e-04	9.49916e-04	-6.64277e-05	-7.89617e-01	-3.15856e-01	-5.09196e-01	2.29845e-02	8.14000e-02
2.33310e-02	5.10084e-04	9.19006e-04	-6.66393e-05	-8.25821e-01	-3.30338e-01	-5.08372e-01	2.45101e-02	8.14000e-02
2.28661e-02	5.26075e-04	8.85627e-04	-6.69784e-05	-8.65545e-01	-3.46227e-01	-5.07542e-01	2.59462e-02	8.14000e-02
2.23133e-02	5.35435e-04	8.50675e-04	-6.79084e-05	-8.94931e-01	-3.57982e-01	-5.06704e-01	2.73094e-02	8.14000e-02
2.17362e-02	5.41928e-04	8.15483e-04	-6.91018e-05	-9.23037e-01	-3.69224e-01	-5.05858e-01	2.86125e-02	8.14000e-02
2.11321e-02	5.45517e-04	7.80065e-04	-7.05973e-05	-9.47627e-01	-3.79060e-01	-5.05000e-01	2.98654e-02	8.14000e-02
2.04980e-02	5.45688e-04	7.44783e-04	-7.24097e-05	-9.68212e-01	-3.87293e-01	-5.04131e-01	3.10762e-02	8.14000e-02
1.98840e-02	5.44845e-04	7.10826e-04	-7.45029e-05	-9.87488e-01	-3.95003e-01	-5.03249e-01	3.22512e-02	8.14000e-02
1.92644e-02	5.41787e-04	6.77751e-04	-7.69293e-05	-1.00349e+00	-4.01404e-01	-5.02352e-01	3.33957e-02	8.14000e-02
1.86535e-02	5.37496e-04	6.45715e-04	-7.96177e-05	-1.01780e+00	-4.07129e-01	-5.01440e-01	3.45143e-02	8.14000e-02
1.80309e-02	5.31380e-04	6.14097e-04	-8.24925e-05	-1.03026e+00	-4.12111e-01	-5.00510e-01	3.56106e-02	8.14000e-02
1.74304e-02	5.24536e-04	5.84050e-04	-8.57175e-05	-1.04067e+00	-4.16274e-01	-4.99562e-01	3.66878e-02	8.14000e-02
1.68464e-02	5.16997e-04	5.55281e-04	-8.92308e-05	-1.04979e+00	-4.19922e-01	-4.98595e-01	3.77487e-02	8.14000e-02
1.62594e-02	5.08247e-04	5.27137e-04	-9.29772e-05	-1.05725e+00	-4.22905e-01	-4.97607e-01	3.87955e-02	8.14000e-02
1.56935e-02	4.99116e-04	5.00374e-04	-9.70649e-05	-1.06333e+00	-4.25339e-01	-4.96597e-01	3.98302e-02	8.14000e-02
1.51398e-02	4.89431e-04	4.74665e-04	-1.01457e-04	-1.06820e+00	-4.27285e-01	-4.95564e-01	4.08545e-02	8.14000e-02
1.46000e-02	4.79326e-04	4.50023e-04	-1.06186e-04	-1.07173e+00	-4.28699e-01	-4.94507e-01	4.18700e-02	8.14000e-02
1.40739e-02	4.68861e-04	4.26424e-04	-1.11255e-04	-1.07420e+00	-4.29686e-01	-4.93425e-01	4.28779e-02	8.14000e-02
1.35558e-02	4.57913e-04	4.03655e-04	-1.16665e-04	-1.07553e+00	-4.30219e-01	-4.92317e-01	4.38792e-02	8.14000e-02
1.30510e-02	4.46727e-04	3.81853e-04	-1.22481e-04	-1.07584e+00	-4.30341e-01	-4.91182e-01	4.48750e-02	8.14000e-02
1.25564e-02	4.35243e-04	3.60898e-04	-1.28699e-04	-1.07518e+00	-4.30079e-01	-4.90018e-01	4.58660e-02	8.14000e-02
1.20729e-02	4.23547e-04	3.40793e-04	-1.35345e-04	-1.07357e+00	-4.29434e-01	-4.88826e-01	4.68529e-02	8.14000e-02
1.15971e-02	4.11558e-04	3.21418e-04	-1.42393e-04	-1.07111e+00	-4.28447e-01	-4.87604e-01	4.78364e-02	8.14000e-02
1.11260e-02	3.99205e-04	3.02673e-04	-1.49838e-04	-1.06780e+00	-4.27126e-01	-4.86350e-01	4.88169e-02	8.14000e-02
1.06610e-02	3.86582e-04	2.84586e-04	-1.57741e-04	-1.06373e+00	-4.25495e-01	-4.85065e-01	4.97947e-02	8.14000e-02
1.01999e-02	3.73630e-04	2.67074e-04	-1.66094e-04	-1.05893e+00	-4.23577e-01	-4.83747e-01	5.07703e-02	8.14000e-02
9.74161e-03	3.60343e-04	2.50099e-04	-1.74874e-04	-1.05346e+00	-4.21390e-01	-4.82396e-01	5.17439e-02	8.14000e-02
9.27725e-03	3.46410e-04	2.33433e-04	-1.83862e-04	-1.04740e+00	-4.18965e-01	-4.81011e-01	5.27157e-02	8.14000e-02
8.81502e-03	3.32150e-04	2.17285e-04	-1.93147e-04	-1.04081e+00	-4.16330e-01	-4.79591e-01	5.36858e-02	8.14000e-02
8.34190e-03	3.17091e-04	2.01332e-04	-2.02371e-04	-1.03378e+00	-4.13517e-01	-4.78135e-01	5.46542e-02	8.14000e-02
7.86354e-03	3.01457e-04	1.85716e-04	-2.11502e-04	-1.02639e+00	-4.10561e-01	-4.76642e-01	5.56212e-02	8.14000e-02
7.38308e-03	2.85382e-04	1.70518e-04	-2.20378e-04	-1.01874e+00	-4.07502e-01	-4.75112e-01	5.65866e-02	8.14000e-02
6.89438e-03	2.68633e-04	1.55606e-04	-2.28408e-04	-1.01097e+00	-4.04392e-01	-4.73545e-01	5.75504e-02	8.14000e-02
6.40118e-03	2.51348e-04	1.41103e-04	-2.35182e-04	-1.00321e+00	-4.01289e-01	-4.71938e-01	5.85126e-02	8.14000e-02
5.90644e-03	2.33652e-04	1.27087e-04	-2.40275e-04	-9.95618e-01	-3.98252e-01	-4.70293e-01	5.94730e-02	8.14000e-02
5.41709e-03	2.15823e-04	1.13722e-04	-2.43271e-04	-9.88353e-01	-3.95346e-01	-4.68608e-01	6.04315e-02	8.14000e-02
4.93890e-03	1.98096e-04	1.01149e-04	-2.43591e-04	-9.81591e-01	-3.92641e-01	-4.66883e-01	6.13880e-02	8.14000e-02
4.46649e-03	1.80261e-04	8.92758e-05	-2.40526e-04	-9.75517e-01	-3.90211e-01	-4.65117e-01	6.23423e-02	8.14000e-02
3.99033e-03	1.61957e-04	7.78941e-05	-2.34018e-04	-9.70286e-01	-3.88119e-01	-4.63309e-01	6.32942e-02	8.14000e-02
3.50085e-03	1.42850e-04	6.67424e-05	-2.24666e-04	-9.65974e-01	-3.86394e-01	-4.61460e-01	6.42434e-02	8.14000e-02
2.99822e-03	1.23010e-04	5.57167e-05	-2.13514e-04	-9.62597e-01	-3.85043e-01	-4.59568e-01	6.51897e-02	8.14000e-02
2.50632e-03	1.03451e-04	4.52031e-05	-2.01700e-04	-9.60144e-01	-3.84062e-01	-4.57634e-01	6.61330e-02	8.14000e-02
2.07128e-03	8.60773e-05	3.60426e-05	-1.89932e-04	-9.58549e-01	-3.83424e-01	-4.55656e-01	6.70728e-02	8.14000e-02
1.73105e-03	7.24574e-05	2.89161e-05	-1.78518e-04	-9.57845e-01	-3.83142e-01	-4.53635e-01	6.80089e-02	8.14000e-02
1.50697e-03	6.34963e-05	2.41607e-05	-1.68262e-04	-9.58200e-01	-3.83284e-01	-4.51569e-01	6.89411e-02	8.14000e-02
1.41830e-03	6.00198e-05	2.20614e-05	-1.59824e-04	-9.59724e-01	-3.83894e-01	-4.49459e-01	6.98690e-02	8.14000e-02
1.46832e-03	6.22292e-05	2.25345e-05	-1.53206e-04	-9.62437e-01	-3.84979e-01	-4.47304e-01	7.07923e-02	8.14000e-02
1.62046e-03	6.86860e-05	2.47604e-05	-1.47795e-04	-9.66183e-01	-3.86477e-01	-4.45105e-01	7.17107e-02	8.14000e-02
1.82841e-03	7.75196e-05	2.78075e-05	-1.42665e-04	-9.70923e-01	-3.88372e-01	-4.42859e-01	7.26239e-02	8.14000e-02
2.06630e-03	8.76612e-05	3.12038e-05	-1.37874e-04	-9.76975e-01	-3.90793e-01	-4.40568e-01	7.35315e-02	8.14000e-02
2.30706e-03	9.79817e-05	3.44899e-05	-1.34802e-04	-9.84370e-01	-3.93751e-01	-4.38231e-01	7.44331e-02	8.14000e-02
2.48314e-03	1.05648e-04	3.65531e-05	-1.33789e-04	-9.92682e-01	-3.97075e-01	-4.35848e-01	7.53286e-02	8.14000e-02
