x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.50000 	 -0.43189 	-0.51497 	 -0.16595 	-0.50000 	 -0.54204 	-0.48503 	 -0.99071 	-0.50000 	 -0.54001 	-0.51497 	 -0.16237 	-0.50000 	 -0.44141 	-0.48503 	 -0.75761 	-0.50000 	 -0.43189 	 
-0.49995 	 -0.64550 	-0.51492 	 -0.46349 	-0.49995 	 -0.76306 	-0.48498 	 -1.46412 	-0.49995 	 -0.76487 	-0.51492 	 -0.45929 	-0.49995 	 -0.64376 	-0.48498 	 -1.15370 	-0.49995 	 -0.64550 	 
-0.49979 	 -0.57972 	-0.51476 	 -0.34981 	-0.49979 	 -0.69718 	-0.48481 	 -1.32364 	-0.49979 	 -0.69726 	-0.51476 	 -0.34572 	-0.49979 	 -0.57911 	-0.48481 	 -1.01952 	-0.49979 	 -0.57972 	 
-0.49952 	 -0.66375 	-0.51450 	 -0.41411 	-0.49952 	 -0.79188 	-0.48454 	 -1.42574 	-0.49952 	 -0.79226 	-0.51450 	 -0.40967 	-0.49952 	 -0.66310 	-0.48454 	 -1.08681 	-0.49952 	 -0.66375 	 
-0.49915 	 -0.69022 	-0.51413 	 -0.42533 	-0.49915 	 -0.82668 	-0.48417 	 -1.44507 	-0.49915 	 -0.82709 	-0.51413 	 -0.42078 	-0.49915 	 -0.68861 	-0.48417 	 -1.06958 	-0.49915 	 -0.69022 	 
-0.49867 	 -0.75528 	-0.51366 	 -0.47774 	-0.49867 	 -0.90723 	-0.48368 	 -1.49467 	-0.49867 	 -0.90696 	-0.51366 	 -0.47292 	-0.49867 	 -0.75596 	-0.48368 	 -1.07522 	-0.49867 	 -0.75528 	 
-0.49809 	 -0.82762 	-0.51309 	 -0.55963 	-0.49809 	 -0.99337 	-0.48309 	 -1.56872 	-0.49809 	 -0.99365 	-0.51309 	 -0.55454 	-0.49809 	 -0.82667 	-0.48309 	 -1.09673 	-0.49809 	 -0.82762 	 
-0.49741 	 -0.87516 	-0.51241 	 -0.60849 	-0.49741 	 -1.05725 	-0.48240 	 -1.57528 	-0.49741 	 -1.05712 	-0.51241 	 -0.60316 	-0.49741 	 -0.87512 	-0.48240 	 -1.06215 	-0.49741 	 -0.87516 	 
-0.49663 	 -0.94335 	-0.51165 	 -0.69340 	-0.49663 	 -1.14378 	-0.48161 	 -1.61311 	-0.49663 	 -1.14371 	-0.51165 	 -0.68777 	-0.49663 	 -0.94339 	-0.48161 	 -1.06269 	-0.49663 	 -0.94335 	 
-0.49580 	 -0.98446 	-0.51083 	 -0.75030 	-0.49580 	 -1.20164 	-0.48077 	 -1.60626 	-0.49580 	 -1.20166 	-0.51083 	 -0.74440 	-0.49580 	 -0.98379 	-0.48077 	 -1.03522 	-0.49580 	 -0.98446 	 
-0.49497 	 -1.02194 	-0.51001 	 -0.80398 	-0.49497 	 -1.25707 	-0.47993 	 -1.59421 	-0.49497 	 -1.25691 	-0.51001 	 -0.79780 	-0.49497 	 -1.02195 	-0.47993 	 -1.01798 	-0.49497 	 -1.02194 	 
-0.49415 	 -1.05190 	-0.50920 	 -0.85486 	-0.49415 	 -1.30345 	-0.47909 	 -1.58282 	-0.49415 	 -1.30340 	-0.50920 	 -0.84841 	-0.49415 	 -1.05136 	-0.47909 	 -1.00958 	-0.49415 	 -1.05190 	 
-0.49331 	 -1.06958 	-0.50837 	 -0.89048 	-0.49331 	 -1.33763 	-0.47825 	 -1.55710 	-0.49331 	 -1.33750 	-0.50837 	 -0.88377 	-0.49331 	 -1.06913 	-0.47825 	 -0.99450 	-0.49331 	 -1.06958 	 
-0.49247 	 -1.08673 	-0.50754 	 -0.92930 	-0.49247 	 -1.37134 	-0.47740 	 -1.54247 	-0.49247 	 -1.37122 	-0.50754 	 -0.92232 	-0.49247 	 -1.08625 	-0.47740 	 -0.99214 	-0.49247 	 -1.08673 	 
-0.49162 	 -1.09439 	-0.50670 	 -0.95790 	-0.49162 	 -1.39498 	-0.47654 	 -1.52232 	-0.49162 	 -1.39486 	-0.50670 	 -0.95065 	-0.49162 	 -1.09363 	-0.47654 	 -0.98438 	-0.49162 	 -1.09439 	 
-0.49077 	 -1.09987 	-0.50586 	 -0.98520 	-0.49077 	 -1.41684 	-0.47567 	 -1.50837 	-0.49077 	 -1.41670 	-0.50586 	 -0.97767 	-0.49077 	 -1.09918 	-0.47567 	 -0.98175 	-0.49077 	 -1.09987 	 
-0.48990 	 -1.10077 	-0.50500 	 -1.00893 	-0.48990 	 -1.43370 	-0.47479 	 -1.49677 	-0.48990 	 -1.43357 	-0.50500 	 -1.00111 	-0.48990 	 -1.09981 	-0.47479 	 -0.97943 	-0.48990 	 -1.10077 	 
-0.48902 	 -1.09801 	-0.50413 	 -1.02868 	-0.48902 	 -1.44695 	-0.47390 	 -1.48664 	-0.48902 	 -1.44681 	-0.50413 	 -1.02056 	-0.48902 	 -1.09697 	-0.47390 	 -0.97679 	-0.48902 	 -1.09801 	 
