"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.31169e-02	-6.16091e-04	1.36893e-03	9.74541e-04	-4.31886e-01	-1.72782e-01	-5.00000e-01	0.00000e+00	-1.10000e-01
6.31889e-03	2.57521e-04	3.62472e-04	2.17154e-04	-6.45503e-01	-2.58209e-01	-4.99947e-01	2.24938e-03	-1.10000e-01
1.15243e-02	2.86202e-04	6.57586e-04	2.55145e-04	-5.79718e-01	-2.31897e-01	-4.99788e-01	4.49373e-03	-1.10000e-01
1.69804e-02	3.35602e-04	9.64154e-04	2.55050e-04	-6.63748e-01	-2.65512e-01	-4.99521e-01	6.72789e-03	-1.10000e-01
1.79206e-02	3.99350e-04	9.96640e-04	2.23770e-04	-6.90221e-01	-2.76102e-01	-4.99148e-01	8.94671e-03	-1.10000e-01
1.97478e-02	4.29118e-04	1.08644e-03	2.14684e-04	-7.55280e-01	-3.02126e-01	-4.98669e-01	1.11452e-02	-1.10000e-01
2.07648e-02	4.85377e-04	1.11943e-03	1.77687e-04	-8.27617e-01	-3.31061e-01	-4.98087e-01	1.33187e-02	-1.10000e-01
2.09547e-02	5.07573e-04	1.11034e-03	1.58466e-04	-8.75159e-01	-3.50078e-01	-4.97406e-01	1.54629e-02	-1.10000e-01
2.09499e-02	5.33791e-04	1.08729e-03	1.26629e-04	-9.43353e-01	-3.77355e-01	-4.96627e-01	1.75740e-02	-1.10000e-01
2.03945e-02	5.43254e-04	1.03670e-03	1.02344e-04	-9.84456e-01	-3.93796e-01	-4.95802e-01	1.95472e-02	-1.10000e-01
1.96957e-02	5.41855e-04	9.82986e-04	8.05557e-05	-1.02194e+00	-4.08787e-01	-4.94975e-01	2.13264e-02	-1.10000e-01
1.88300e-02	5.35608e-04	9.21984e-04	5.79391e-05	-1.05190e+00	-4.20772e-01	-4.94145e-01	2.29608e-02	-1.10000e-01
1.78336e-02	5.18449e-04	8.59385e-04	4.07433e-05	-1.06958e+00	-4.27843e-01	-4.93311e-01	2.44826e-02	-1.10000e-01
1.68035e-02	4.99160e-04	7.96791e-04	2.10060e-05	-1.08673e+00	-4.34703e-01	-4.92470e-01	2.59146e-02	-1.10000e-01
1.56714e-02	4.72121e-04	7.33235e-04	4.58037e-06	-1.09439e+00	-4.37767e-01	-4.91622e-01	2.72736e-02	-1.10000e-01
1.45197e-02	4.42258e-04	6.71252e-04	-1.28479e-05	-1.09987e+00	-4.39957e-01	-4.90765e-01	2.85721e-02	-1.10000e-01
