"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
3.14374e-02	-1.28260e-03	1.41479e-03	7.62139e-05	-7.57609e-01	-3.03067e-01	-4.85030e-01	0.00000e+00	-8.36000e-02
1.11000e-03	4.37351e-05	4.79721e-05	2.35250e-05	-1.15370e+00	-4.61479e-01	-4.84976e-01	2.24936e-03	-8.36000e-02
5.63063e-03	4.41882e-05	2.50658e-04	3.31562e-05	-1.01952e+00	-4.07811e-01	-4.84814e-01	4.49354e-03	-8.36000e-02
1.23408e-02	5.47907e-05	5.54019e-04	3.13187e-05	-1.08681e+00	-4.34730e-01	-4.84543e-01	6.72720e-03	-8.36000e-02
1.13493e-02	1.21985e-04	4.97254e-04	2.27905e-05	-1.06958e+00	-4.27837e-01	-4.84165e-01	8.94507e-03	-8.36000e-02
1.08280e-02	1.00795e-04	4.77687e-04	1.68732e-05	-1.07522e+00	-4.30091e-01	-4.83679e-01	1.11420e-02	-8.36000e-02
9.20899e-03	1.27834e-04	3.94902e-04	6.68852e-06	-1.09673e+00	-4.38697e-01	-4.83088e-01	1.33132e-02	-8.36000e-02
6.43791e-03	9.18858e-05	2.75171e-04	-6.22459e-07	-1.06215e+00	-4.24862e-01	-4.82397e-01	1.54543e-02	-8.36000e-02
3.95144e-03	6.57640e-05	1.65447e-04	-7.21533e-06	-1.06269e+00	-4.25079e-01	-4.81608e-01	1.75614e-02	-8.36000e-02
1.65149e-03	3.21112e-05	6.71446e-05	-1.02167e-05	-1.03522e+00	-4.14091e-01	-4.80771e-01	1.95304e-02	-8.36000e-02
1.45966e-04	-6.90177e-07	7.67821e-06	-9.85913e-06	-1.01798e+00	-4.07191e-01	-4.79933e-01	2.13057e-02	-8.36000e-02
-7.84511e-04	-1.60603e-05	-3.14924e-05	-8.42819e-06	-1.00958e+00	-4.03830e-01	-4.79092e-01	2.29361e-02	-8.36000e-02
