"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
-5.42870e-04	-3.02751e-05	-5.53190e-06	-2.62797e-05	-9.72565e-01	-3.89025e-01	-4.70000e-01	4.95740e-02	1.09827e-01
-5.58365e-04	-3.07332e-05	-6.30466e-06	-2.56284e-05	-9.72497e-01	-3.88998e-01	-4.70000e-01	4.94589e-02	1.10000e-01
-4.62882e-04	-2.81886e-05	-1.00634e-06	-3.08593e-05	-9.72902e-01	-3.89160e-01	-4.70000e-01	5.05564e-02	1.08310e-01
-4.56429e-04	-2.80993e-05	-4.25319e-07	-3.16421e-05	-9.72930e-01	-3.89171e-01	-4.70000e-01	5.08784e-02	1.07800e-01
-3.67643e-04	-2.53602e-05	3.85168e-06	-3.58217e-05	-9.73252e-01	-3.89299e-01	-4.70000e-01	5.15395e-02	1.06738e-01
-3.35648e-04	-2.47013e-05	6.13982e-06	-3.91677e-05	-9.73299e-01	-3.89318e-01	-4.70000e-01	5.22308e-02	1.05600e-01
-2.79217e-04	-2.27626e-05	8.46732e-06	-4.14646e-05	-9.73484e-01	-3.89396e-01	-4.70000e-01	5.25236e-02	1.05103e-01
-1.68125e-04	-1.94803e-05	1.41531e-05	-4.90901e-05	-9.73652e-01	-3.89457e-01	-4.70000e-01	5.35023e-02	1.03400e-01
-1.66280e-04	-1.94119e-05	1.42173e-05	-4.91524e-05	-9.73658e-01	-3.89460e-01	-4.70000e-01	5.35090e-02	1.03388e-01
6.66765e-05	-1.12184e-05	2.31560e-05	-5.90780e-05	-9.74293e-01	-3.89723e-01	-4.70000e-01	5.44961e-02	1.01540e-01
9.68589e-05	-1.02122e-05	2.44426e-05	-6.07560e-05	-9.74350e-01	-3.89744e-01	-4.70000e-01	5.46735e-02	1.01200e-01
3.64460e-04	-9.85285e-08	3.29509e-05	-6.99392e-05	-9.75207e-01	-3.90083e-01	-4.70000e-01	5.54852e-02	9.95344e-02
4.31098e-04	2.34269e-06	3.52486e-05	-7.28022e-05	-9.75378e-01	-3.90155e-01	-4.70000e-01	5.57395e-02	9.90000e-02
7.59161e-04	1.50982e-05	4.42973e-05	-8.30996e-05	-9.76573e-01	-3.90632e-01	-4.70000e-01	5.64766e-02	9.73048e-02
8.41772e-04	1.82271e-05	4.67602e-05	-8.62552e-05	-9.76844e-01	-3.90740e-01	-4.70000e-01	5.66909e-02	9.68000e-02
1.32258e-03	3.71353e-05	5.86197e-05	-1.01022e-04	-9.78832e-01	-3.91535e-01	-4.70000e-01	5.74703e-02	9.47362e-02
1.35126e-03	3.82427e-05	5.93755e-05	-1.02038e-04	-9.78945e-01	-3.91580e-01	-4.70000e-01	5.75205e-02	9.46000e-02
1.99617e-03	6.38410e-05	7.37061e-05	-1.20807e-04	-9.82152e-01	-3.92863e-01	-4.70000e-01	5.82178e-02	9.24000e-02
2.33600e-03	7.75379e-05	8.03717e-05	-1.30692e-04	-9.84204e-01	-3.93684e-01	-4.70000e-01	5.84666e-02	9.14431e-02
2.77097e-03	9.49656e-05	8.92062e-05	-1.43872e-04	-9.86792e-01	-3.94720e-01	-4.70000e-01	5.87823e-02	9.02000e-02
3.66983e-03	1.31698e-04	1.05318e-04	-1.72358e-04	-9.93561e-01	-3.97428e-01	-4.70000e-01	5.92095e-02	8.80000e-02
4.55229e-03	1.68770e-04	1.19112e-04	-2.03170e-04	-1.00219e+00	-4.00878e-01	-4.70000e-01	5.94657e-02	8.60493e-02
4.66527e-03	1.73506e-04	1.20902e-04	-2.07143e-04	-1.00329e+00	-4.01318e-01	-4.70000e-01	5.94977e-02	8.58000e-02
5.70817e-03	2.19110e-04	1.34467e-04	-2.47429e-04	-1.01717e+00	-4.06873e-01	-4.70000e-01	5.96398e-02	8.36000e-02
6.73621e-03	2.66859e-04	1.44239e-04	-2.92377e-04	-1.03609e+00	-4.14441e-01	-4.70000e-01	5.96398e-02	8.14000e-02
7.67709e-03	3.14439e-04	1.48717e-04	-3.38696e-04	-1.06080e+00	-4.24325e-01	-4.70000e-01	5.94977e-02	7.92000e-02
8.45262e-03	3.58611e-04	1.47240e-04	-3.81001e-04	-1.09152e+00	-4.36615e-01	-4.70000e-01	5.92095e-02	7.70000e-02
7.76681e-03	3.19533e-04	1.48537e-04	-3.43678e-04	-1.06428e+00	-4.25718e-01	-4.70000e-01	5.94657e-02	7.89507e-02
9.01563e-03	3.96754e-04	1.40425e-04	-4.14161e-04	-1.12763e+00	-4.51059e-01	-4.70000e-01	5.87823e-02	7.48000e-02
9.36674e-03	4.27293e-04	1.30834e-04	-4.33498e-04	-1.16779e+00	-4.67124e-01	-4.70000e-01	5.82178e-02	7.26000e-02
9.22389e-03	4.14485e-04	1.34925e-04	-4.25694e-04	-1.15048e+00	-4.60199e-01	-4.70000e-01	5.84666e-02	7.35569e-02
9.53563e-03	4.49552e-04	1.21645e-04	-4.36763e-04	-1.21021e+00	-4.84091e-01	-4.70000e-01	5.75205e-02	7.04000e-02
9.56781e-03	4.63623e-04	1.15792e-04	-4.24802e-04	-1.25293e+00	-5.01180e-01	-4.70000e-01	5.66909e-02	6.82000e-02
9.53942e-03	4.50513e-04	1.21250e-04	-4.36060e-04	-1.21292e+00	-4.85177e-01	-4.70000e-01	5.74703e-02	7.02638e-02
9.49983e-03	4.69729e-04	1.15008e-04	-3.99376e-04	-1.29431e+00	-5.17732e-01	-4.70000e-01	5.57395e-02	6.60000e-02
9.55607e-03	4.65199e-04	1.15551e-04	-4.18787e-04	-1.26264e+00	-5.05064e-01	-4.70000e-01	5.64766e-02	6.76952e-02
9.37260e-03	4.68861e-04	1.20083e-04	-3.64127e-04	-1.33306e+00	-5.33233e-01	-4.70000e-01	5.46735e-02	6.38000e-02
9.47167e-03	4.69613e-04	1.16239e-04	-3.90405e-04	-1.30391e+00	-5.21571e-01	-4.70000e-01	5.54852e-02	6.54656e-02
9.17736e-03	4.60120e-04	1.30272e-04	-3.21355e-04	-1.36814e+00	-5.47264e-01	-4.70000e-01	5.35023e-02	6.16000e-02
9.17840e-03	4.60165e-04	1.30215e-04	-3.21574e-04	-1.36795e+00	-5.47187e-01	-4.70000e-01	5.35090e-02	6.16123e-02
9.34257e-03	4.67469e-04	1.21694e-04	-3.57064e-04	-1.33857e+00	-5.35435e-01	-4.70000e-01	5.44961e-02	6.34599e-02
8.86962e-03	4.40944e-04	1.43963e-04	-2.70983e-04	-1.39871e+00	-5.59491e-01	-4.70000e-01	5.22308e-02	5.94000e-02
8.93369e-03	4.44907e-04	1.40921e-04	-2.81472e-04	-1.39180e+00	-5.56728e-01	-4.70000e-01	5.25236e-02	5.98971e-02
8.38270e-03	4.07850e-04	1.58726e-04	-2.12131e-04	-1.42361e+00	-5.69449e-01	-4.70000e-01	5.08784e-02	5.72000e-02
8.60551e-03	4.23025e-04	1.51781e-04	-2.38905e-04	-1.41143e+00	-5.64577e-01	-4.70000e-01	5.15395e-02	5.82619e-02
7.70327e-03	3.61216e-04	1.71417e-04	-1.47393e-04	-1.44210e+00	-5.76845e-01	-4.70000e-01	4.94589e-02	5.50000e-02
7.75104e-03	3.64573e-04	1.70414e-04	-1.52021e-04	-1.44054e+00	-5.76221e-01	-4.70000e-01	4.95740e-02	5.51733e-02
8.20995e-03	3.96224e-04	1.61644e-04	-1.96005e-04	-1.42767e+00	-5.71073e-01	-4.70000e-01	5.05564e-02	5.66903e-02
6.81193e-03	3.02482e-04	1.77633e-04	-8.28042e-05	-1.45446e+00	-5.81788e-01	-4.70000e-01	4.79839e-02	5.28000e-02
7.14965e-03	3.25309e-04	1.74761e-04	-1.08275e-04	-1.44913e+00	-5.79658e-01	-4.70000e-01	4.85916e-02	5.36930e-02
5.73308e-03	2.36646e-04	1.72949e-04	-2.62744e-05	-1.46154e+00	-5.84618e-01	-4.70000e-01	4.64796e-02	5.06000e-02
5.82442e-03	2.42533e-04	1.73083e-04	-3.16497e-05	-1.46077e+00	-5.84311e-01	-4.70000e-01	4.66250e-02	5.08062e-02
6.51419e-03	2.85046e-04	1.75718e-04	-6.86868e-05	-1.45610e+00	-5.82444e-01	-4.70000e-01	4.76088e-02	5.22393e-02
4.54157e-03	1.71145e-04	1.55459e-04	1.54327e-05	-1.46488e+00	-5.85955e-01	-4.70000e-01	4.49620e-02	4.84000e-02
5.03593e-03	1.99408e-04	1.61905e-04	-4.21342e-06	-1.46340e+00	-5.85364e-01	-4.70000e-01	4.56394e-02	4.93676e-02
3.27120e-03	1.09692e-04	1.25369e-04	4.01407e-05	-1.46589e+00	-5.86358e-01	-4.70000e-01	4.34608e-02	4.62000e-02
3.42173e-03	1.17439e-04	1.28635e-04	3.62607e-05	-1.46578e+00	-5.86315e-01	-4.70000e-01	4.36599e-02	4.64832e-02
4.25861e-03	1.57999e-04	1.48448e-04	1.98026e-05	-1.46516e+00	-5.86065e-01	-4.70000e-01	4.46514e-02	4.79332e-02
2.00430e-03	5.64532e-05	8.64922e-05	4.94667e-05	-1.46595e+00	-5.86382e-01	-4.70000e-01	4.20003e-02	4.40000e-02
2.56573e-03	8.05567e-05	1.03582e-04	4.41678e-05	-1.46614e+00	-5.86459e-01	-4.70000e-01	4.26641e-02	4.49845e-02
8.17937e-04	1.33565e-05	4.42999e-05	4.75561e-05	-1.46552e+00	-5.86209e-01	-4.70000e-01	4.06169e-02	4.18000e-02
8.49407e-04	1.45348e-05	4.54202e-05	4.75362e-05	-1.46554e+00	-5.86218e-01	-4.70000e-01	4.06548e-02	4.18581e-02
1.72758e-03	4.65226e-05	7.67215e-05	4.86941e-05	-1.46595e+00	-5.86380e-01	-4.70000e-01	4.16629e-02	4.34510e-02
-1.67628e-04	-1.77688e-05	6.41681e-06	3.98118e-05	-1.46526e+00	-5.86103e-01	-4.70000e-01	3.93340e-02	3.96000e-02
8.68424e-05	-9.65672e-06	1.62824e-05	4.16154e-05	-1.46541e+00	-5.86163e-01	-4.70000e-01	3.96386e-02	4.01101e-02
-9.19773e-04	-3.82078e-05	-2.37353e-05	3.03354e-05	-1.46500e+00	-5.86001e-01	-4.70000e-01	3.81942e-02	3.74000e-02
-6.07190e-04	-2.96063e-05	-1.11664e-05	3.39549e-05	-1.46510e+00	-5.86040e-01	-4.70000e-01	3.86126e-02	3.81913e-02
-1.41543e-03	-4.95036e-05	-4.40051e-05	2.14329e-05	-1.46488e+00	-5.85952e-01	-4.70000e-01	3.72304e-02	3.52000e-02
-1.20791e-03	-4.46226e-05	-3.55419e-05	2.48120e-05	-1.46497e+00	-5.85988e-01	-4.70000e-01	3.75749e-02	3.59697e-02
-1.69676e-03	-5.44663e-05	-5.56575e-05	1.37019e-05	-1.46481e+00	-5.85924e-01	-4.70000e-01	3.64771e-02	3.30000e-02
-1.67617e-03	-5.40843e-05	-5.48025e-05	1.42160e-05	-1.46480e+00	-5.85919e-01	-4.70000e-01	3.65235e-02	3.31311e-02
-1.80902e-03	-5.54198e-05	-6.04382e-05	7.46830e-06	-1.46516e+00	-5.86065e-01	-4.70000e-01	3.59516e-02	3.08000e-02
-1.86146e-03	-5.57900e-05	-6.25745e-05	2.48058e-06	-1.46534e+00	-5.86134e-01	-4.70000e-01	3.56870e-02	2.86000e-02
-1.86219e-03	-5.57841e-05	-6.26244e-05	-1.80970e-06	-1.46537e+00	-5.86146e-01	-4.70000e-01	3.56870e-02	2.64000e-02
-1.81111e-03	-5.54322e-05	-6.05556e-05	-6.86334e-06	-1.46524e+00	-5.86095e-01	-4.70000e-01	3.59516e-02	2.42000e-02
-1.69848e-03	-5.44596e-05	-5.57709e-05	-1.32765e-05	-1.46492e+00	-5.85967e-01	-4.70000e-01	3.64771e-02	2.20000e-02
