"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.90173e-02	-8.06878e-04	8.55679e-04	-6.20850e-05	-1.30925e-01	-5.23844e-02	-5.14970e-01	0.00000e+00	-2.86000e-02
-5.30329e-04	2.49067e-05	-2.50916e-05	-1.32587e-05	-4.57338e-01	-1.82935e-01	-5.14918e-01	2.24940e-03	-2.86000e-02
4.39154e-03	3.11911e-05	1.95850e-04	-1.68320e-05	-3.33894e-01	-1.33559e-01	-5.14761e-01	4.49391e-03	-2.86000e-02
1.26197e-02	6.33737e-05	5.65395e-04	-2.00412e-05	-3.97266e-01	-1.58911e-01	-5.14499e-01	6.72854e-03	-2.86000e-02
1.60434e-02	1.48774e-04	7.07629e-04	-1.83811e-05	-4.07860e-01	-1.63150e-01	-5.14131e-01	8.94828e-03	-2.86000e-02
1.96334e-02	1.93265e-04	8.63440e-04	-1.78645e-05	-4.64247e-01	-1.85707e-01	-5.13659e-01	1.11483e-02	-2.86000e-02
2.23997e-02	2.82089e-04	9.69120e-04	-1.44573e-05	-5.53597e-01	-2.21448e-01	-5.13086e-01	1.33239e-02	-2.86000e-02
2.39970e-02	3.39254e-04	1.02670e-03	-1.22350e-05	-6.08329e-01	-2.43341e-01	-5.12413e-01	1.54711e-02	-2.86000e-02
2.51044e-02	4.03578e-04	1.05670e-03	-9.24800e-06	-7.02358e-01	-2.80953e-01	-5.11645e-01	1.75860e-02	-2.86000e-02
2.55259e-02	4.54795e-04	1.05634e-03	-6.90603e-06	-7.67278e-01	-3.06922e-01	-5.10830e-01	1.95656e-02	-2.86000e-02
2.55840e-02	4.91094e-04	1.04283e-03	-5.28912e-06	-8.29055e-01	-3.31632e-01	-5.10007e-01	2.13626e-02	-2.86000e-02
2.54320e-02	5.25257e-04	1.01828e-03	-3.79978e-06	-8.88952e-01	-3.55591e-01	-5.09170e-01	2.30343e-02	-2.86000e-02
2.50900e-02	5.47265e-04	9.89016e-04	-3.06104e-06	-9.33207e-01	-3.73293e-01	-5.08311e-01	2.46191e-02	-2.86000e-02
2.46483e-02	5.67303e-04	9.54529e-04	-2.41639e-06	-9.81732e-01	-3.92703e-01	-5.07424e-01	2.61436e-02	-2.86000e-02
2.41100e-02	5.80741e-04	9.17798e-04	-2.24087e-06	-1.02013e+00	-4.08061e-01	-5.06502e-01	2.76276e-02	-2.86000e-02
2.35161e-02	5.90796e-04	8.79262e-04	-2.31569e-06	-1.05754e+00	-4.23024e-01	-5.05539e-01	2.90858e-02	-2.86000e-02
2.28945e-02	5.98016e-04	8.40173e-04	-2.65151e-06	-1.09176e+00	-4.36713e-01	-5.04529e-01	3.05295e-02	-2.86000e-02
2.21987e-02	6.00685e-04	7.99353e-04	-3.29486e-06	-1.12191e+00	-4.48773e-01	-5.03466e-01	3.19673e-02	-2.86000e-02
2.15074e-02	6.01807e-04	7.59110e-04	-4.14560e-06	-1.15078e+00	-4.60320e-01	-5.02344e-01	3.34057e-02	-2.86000e-02
