x0	T1	x1	T2	x2	T3	x3	T4	
-4.850300e-01 	 -8.855700e-01 	-4.850300e-01 	 -8.935170e-01 	-4.850300e-01 	 -8.873790e-01 	-4.850300e-01 	 -5.233390e-01 	 
-4.849760e-01 	 -1.401610e+00 	-4.849760e-01 	 -1.405970e+00 	-4.849760e-01 	 -1.404090e+00 	-4.849760e-01 	 -9.174130e-01 	 
-4.848140e-01 	 -1.254010e+00 	-4.848140e-01 	 -1.256030e+00 	-4.848140e-01 	 -1.256450e+00 	-4.848140e-01 	 -7.862220e-01 	 
-4.845430e-01 	 -1.358260e+00 	-4.845430e-01 	 -1.353270e+00 	-4.845430e-01 	 -1.361060e+00 	-4.845430e-01 	 -8.440690e-01 	 
-4.841650e-01 	 -1.380330e+00 	-4.841650e-01 	 -1.365320e+00 	-4.841650e-01 	 -1.383520e+00 	-4.841650e-01 	 -8.191530e-01 	 
-4.836790e-01 	 -1.437640e+00 	-4.836790e-01 	 -1.409700e+00 	-4.836790e-01 	 -1.441400e+00 	-4.836790e-01 	 -8.186350e-01 	 
-4.830880e-01 	 -1.524750e+00 	-4.830880e-01 	 -1.480390e+00 	-4.830880e-01 	 -1.529280e+00 	-4.830880e-01 	 -8.350630e-01 	 
-4.823970e-01 	 -1.542460e+00 	-4.823970e-01 	 -1.480080e+00 	-4.823970e-01 	 -1.547800e+00 	-4.823970e-01 	 -7.996250e-01 	 
-4.816080e-01 	 -1.594220e+00 	-4.816080e-01 	 -1.512840e+00 	-4.816080e-01 	 -1.600510e+00 	-4.816080e-01 	 -8.016900e-01 	 
-4.807700e-01 	 -1.598630e+00 	-4.807700e-01 	 -1.500260e+00 	-4.807700e-01 	 -1.605800e+00 	-4.807700e-01 	 -7.787960e-01 	 
-4.799260e-01 	 -1.594560e+00 	-4.799260e-01 	 -1.483850e+00 	-4.799260e-01 	 -1.602420e+00 	-4.799260e-01 	 -7.672110e-01 	 
-4.790670e-01 	 -1.588990e+00 	-4.790670e-01 	 -1.470250e+00 	-4.790670e-01 	 -1.597340e+00 	-4.790670e-01 	 -7.637670e-01 	 
-4.781880e-01 	 -1.565380e+00 	-4.781880e-01 	 -1.443490e+00 	-4.781880e-01 	 -1.574000e+00 	-4.781880e-01 	 -7.526470e-01 	 
-4.772810e-01 	 -1.551010e+00 	-4.772810e-01 	 -1.430070e+00 	-4.772810e-01 	 -1.559670e+00 	-4.772810e-01 	 -7.531030e-01 	 
-4.763410e-01 	 -1.529240e+00 	-4.763410e-01 	 -1.412350e+00 	-4.763410e-01 	 -1.537760e+00 	-4.763410e-01 	 -7.475450e-01 	 
-4.753620e-01 	 -1.512630e+00 	-4.753620e-01 	 -1.402230e+00 	-4.753620e-01 	 -1.520850e+00 	-4.753620e-01 	 -7.468310e-01 	 
-4.743370e-01 	 -1.498690e+00 	-4.743370e-01 	 -1.394940e+00 	-4.743370e-01 	 -1.506490e+00 	-4.743370e-01 	 -7.461990e-01 	 
-4.732610e-01 	 -1.486940e+00 	-4.732610e-01 	 -1.388160e+00 	-4.732610e-01 	 -1.494330e+00 	-4.732610e-01 	 -7.448230e-01 	 
-4.721290e-01 	 -1.479770e+00 	-4.721290e-01 	 -1.384240e+00 	-4.721290e-01 	 -1.486800e+00 	-4.721290e-01 	 -7.453290e-01 	 
-4.709350e-01 	 -1.473290e+00 	-4.709350e-01 	 -1.380440e+00 	-4.709350e-01 	 -1.479870e+00 	-4.709350e-01 	 -7.445240e-01 	 
-4.696740e-01 	 -1.468800e+00 	-4.696740e-01 	 -1.378650e+00 	-4.696740e-01 	 -1.474680e+00 	-4.696740e-01 	 -7.445790e-01 	 
-4.683430e-01 	 -1.465900e+00 	-4.683430e-01 	 -1.377730e+00 	-4.683430e-01 	 -1.471060e+00 	-4.683430e-01 	 -7.449520e-01 	 
-4.669350e-01 	 -1.463830e+00 	-4.669350e-01 	 -1.376810e+00 	-4.669350e-01 	 -1.468500e+00 	-4.669350e-01 	 -7.454230e-01 	 
-4.654470e-01 	 -1.463070e+00 	-4.654470e-01 	 -1.376790e+00 	-4.654470e-01 	 -1.467270e+00 	-4.654470e-01 	 -7.474840e-01 	 
-4.638750e-01 	 -1.462900e+00 	-4.638750e-01 	 -1.376920e+00 	-4.638750e-01 	 -1.466530e+00 	-4.638750e-01 	 -7.505570e-01 	 
-4.622140e-01 	 -1.463720e+00 	-4.622140e-01 	 -1.377540e+00 	-4.622140e-01 	 -1.466680e+00 	-4.622140e-01 	 -7.547030e-01 	 
-4.604600e-01 	 -1.465790e+00 	-4.604600e-01 	 -1.378810e+00 	-4.604600e-01 	 -1.468090e+00 	-4.604600e-01 	 -7.594410e-01 	 
-4.586110e-01 	 -1.468700e+00 	-4.586110e-01 	 -1.380250e+00 	-4.586110e-01 	 -1.470590e+00 	-4.586110e-01 	 -7.634830e-01 	 
-4.566620e-01 	 -1.472560e+00 	-4.566620e-01 	 -1.382420e+00 	-4.566620e-01 	 -1.474220e+00 	-4.566620e-01 	 -7.666680e-01 	 
-4.546100e-01 	 -1.476920e+00 	-4.546100e-01 	 -1.385050e+00 	-4.546100e-01 	 -1.479040e+00 	-4.546100e-01 	 -7.691090e-01 	 
