"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.79262e-02	-5.90060e-04	9.18205e-04	-6.20728e-04	-2.27684e-01	-9.10912e-02	-5.11558e-01	0.00000e+00	-3.96000e-02
9.96833e-04	1.26192e-04	4.52325e-05	-1.70251e-04	-4.99998e-01	-2.00009e-01	-5.11505e-01	2.24939e-03	-3.96000e-02
5.73044e-03	1.44498e-04	2.81276e-04	-1.98650e-04	-4.00862e-01	-1.60350e-01	-5.11348e-01	4.49387e-03	-3.96000e-02
1.25105e-02	1.90633e-04	6.19405e-04	-2.21386e-04	-4.72600e-01	-1.89047e-01	-5.11084e-01	6.72839e-03	-3.96000e-02
1.48588e-02	2.63665e-04	7.22343e-04	-2.07120e-04	-4.89176e-01	-1.95679e-01	-5.10715e-01	8.94792e-03	-3.96000e-02
1.76735e-02	3.01237e-04	8.54052e-04	-2.04310e-04	-5.51464e-01	-2.20596e-01	-5.10242e-01	1.11476e-02	-3.96000e-02
1.98600e-02	3.73633e-04	9.42956e-04	-1.79976e-04	-6.36512e-01	-2.54616e-01	-5.09667e-01	1.33228e-02	-3.96000e-02
2.11231e-02	4.16853e-04	9.89256e-04	-1.64989e-04	-6.93403e-01	-2.77372e-01	-5.08992e-01	1.54693e-02	-3.96000e-02
2.21121e-02	4.67677e-04	1.01689e-03	-1.42044e-04	-7.84352e-01	-3.13752e-01	-5.08222e-01	1.75833e-02	-3.96000e-02
2.25263e-02	5.06903e-04	1.01654e-03	-1.24089e-04	-8.48151e-01	-3.39272e-01	-5.07404e-01	1.95619e-02	-3.96000e-02
2.26723e-02	5.35594e-04	1.00541e-03	-1.09997e-04	-9.10332e-01	-3.64144e-01	-5.06579e-01	2.13580e-02	-3.96000e-02
2.26263e-02	5.62412e-04	9.83760e-04	-9.63271e-05	-9.68905e-01	-3.87573e-01	-5.05739e-01	2.30286e-02	-3.96000e-02
2.24179e-02	5.79899e-04	9.57171e-04	-8.79404e-05	-1.01413e+00	-4.05664e-01	-5.04878e-01	2.46121e-02	-3.96000e-02
2.21321e-02	5.96317e-04	9.26089e-04	-7.92877e-05	-1.06251e+00	-4.25016e-01	-5.03989e-01	2.61350e-02	-3.96000e-02
2.17328e-02	6.06772e-04	8.91396e-04	-7.40309e-05	-1.10138e+00	-4.40561e-01	-5.03065e-01	2.76172e-02	-3.96000e-02
2.12785e-02	6.14767e-04	8.54449e-04	-6.97808e-05	-1.13939e+00	-4.55766e-01	-5.02100e-01	2.90732e-02	-3.96000e-02
