"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.61344e-02	-4.68050e-04	8.82655e-04	6.38383e-04	-1.55014e-01	-6.20231e-02	-5.08817e-01	0.00000e+00	2.09000e-01
1.73857e-03	1.32737e-04	8.90166e-05	1.40049e-04	-3.79806e-01	-1.51927e-01	-5.08764e-01	2.24939e-03	2.09000e-01
6.01435e-03	1.44557e-04	3.16713e-04	1.54079e-04	-2.97766e-01	-1.19111e-01	-5.08606e-01	4.49384e-03	2.09000e-01
1.15583e-02	1.84497e-04	6.10990e-04	1.64893e-04	-3.64377e-01	-1.45758e-01	-5.08342e-01	6.72827e-03	2.09000e-01
1.31381e-02	2.42358e-04	6.82061e-04	1.43880e-04	-3.78194e-01	-1.51286e-01	-5.07972e-01	8.94764e-03	2.09000e-01
1.52600e-02	2.70350e-04	7.87035e-04	1.36957e-04	-4.32042e-01	-1.72826e-01	-5.07498e-01	1.11470e-02	2.09000e-01
1.68138e-02	3.25846e-04	8.52457e-04	1.08315e-04	-5.01174e-01	-2.00480e-01	-5.06921e-01	1.33218e-02	2.09000e-01
1.76259e-02	3.55647e-04	8.81886e-04	9.10098e-05	-5.45489e-01	-2.18206e-01	-5.06244e-01	1.54678e-02	2.09000e-01
1.81963e-02	3.90517e-04	8.94952e-04	6.48546e-05	-6.17402e-01	-2.46971e-01	-5.05472e-01	1.75811e-02	2.09000e-01
1.82969e-02	4.14691e-04	8.84376e-04	4.39511e-05	-6.64044e-01	-2.65628e-01	-5.04652e-01	1.95590e-02	2.09000e-01
1.81635e-02	4.29355e-04	8.64206e-04	2.64311e-05	-7.09519e-01	-2.83818e-01	-5.03825e-01	2.13542e-02	2.09000e-01
1.78647e-02	4.41720e-04	8.35216e-04	8.98077e-06	-7.50370e-01	-3.00158e-01	-5.02984e-01	2.30240e-02	2.09000e-01
1.73936e-02	4.44800e-04	8.00653e-04	-3.59890e-06	-7.79295e-01	-3.11727e-01	-5.02121e-01	2.46064e-02	2.09000e-01
1.68773e-02	4.47005e-04	7.63731e-04	-1.70133e-05	-8.09945e-01	-3.23987e-01	-5.01229e-01	2.61281e-02	2.09000e-01
1.62135e-02	4.42160e-04	7.21950e-04	-2.74722e-05	-8.31174e-01	-3.32479e-01	-5.00304e-01	2.76087e-02	2.09000e-01
1.55026e-02	4.34646e-04	6.78923e-04	-3.77012e-05	-8.50758e-01	-3.40312e-01	-4.99338e-01	2.90630e-02	2.09000e-01
1.46953e-02	4.22362e-04	6.33110e-04	-4.69147e-05	-8.65727e-01	-3.46299e-01	-4.98325e-01	3.05022e-02	2.09000e-01
1.37944e-02	4.05277e-04	5.84873e-04	-5.52972e-05	-8.76131e-01	-3.50460e-01	-4.97259e-01	3.19348e-02	2.09000e-01
1.28255e-02	3.84169e-04	5.35463e-04	-6.37177e-05	-8.83528e-01	-3.53418e-01	-4.96136e-01	3.33674e-02	2.09000e-01
1.17679e-02	3.58061e-04	4.84498e-04	-7.17868e-05	-8.86147e-01	-3.54465e-01	-4.94949e-01	3.48051e-02	2.09000e-01
1.06300e-02	3.27332e-04	4.32418e-04	-7.99207e-05	-8.85147e-01	-3.54064e-01	-4.93693e-01	3.62516e-02	2.09000e-01
9.41703e-03	2.91915e-04	3.79860e-04	-8.82548e-05	-8.80203e-01	-3.52086e-01	-4.92364e-01	3.77096e-02	2.09000e-01
8.13675e-03	2.52005e-04	3.27410e-04	-9.70863e-05	-8.71200e-01	-3.48484e-01	-4.90957e-01	3.91809e-02	2.09000e-01
6.82983e-03	2.09115e-04	2.76683e-04	-1.06428e-04	-8.58975e-01	-3.43594e-01	-4.89466e-01	4.06668e-02	2.09000e-01
5.53648e-03	1.65068e-04	2.28862e-04	-1.15336e-04	-8.43736e-01	-3.37498e-01	-4.87889e-01	4.21679e-02	2.09000e-01
4.32579e-03	1.22637e-04	1.86121e-04	-1.23430e-04	-8.26586e-01	-3.30637e-01	-4.86221e-01	4.36842e-02	2.09000e-01
3.29761e-03	8.59778e-05	1.51251e-04	-1.30181e-04	-8.08817e-01	-3.23530e-01	-4.84457e-01	4.52154e-02	2.09000e-01
2.51123e-03	5.85721e-05	1.24511e-04	-1.32072e-04	-7.91849e-01	-3.16742e-01	-4.82595e-01	4.67610e-02	2.09000e-01
1.83882e-03	3.71423e-05	9.95612e-05	-1.23912e-04	-7.77451e-01	-3.10983e-01	-4.80630e-01	4.83200e-02	2.09000e-01
1.06891e-03	1.37794e-05	6.92324e-05	-1.05775e-04	-7.66261e-01	-3.06507e-01	-4.78559e-01	4.98913e-02	2.09000e-01
2.43933e-04	-1.13665e-05	3.65510e-05	-8.37922e-05	-7.58028e-01	-3.03218e-01	-4.76379e-01	5.14735e-02	2.09000e-01
-3.54272e-04	-2.88586e-05	1.18529e-05	-6.34224e-05	-7.52368e-01	-3.00944e-01	-4.74088e-01	5.30652e-02	2.09000e-01
-5.62476e-04	-3.28368e-05	5.67138e-07	-4.74194e-05	-7.49052e-01	-2.99620e-01	-4.71681e-01	5.46647e-02	2.09000e-01
-4.32674e-04	-2.51495e-05	9.26404e-07	-3.75135e-05	-7.47949e-01	-2.99179e-01	-4.69157e-01	5.62703e-02	2.09000e-01
-8.23584e-05	-9.60798e-06	8.39461e-06	-3.29335e-05	-7.48972e-01	-2.99586e-01	-4.66513e-01	5.78802e-02	2.09000e-01
3.65008e-04	9.83390e-06	1.80347e-05	-2.99241e-05	-7.52095e-01	-3.00839e-01	-4.63747e-01	5.94926e-02	2.09000e-01
7.85436e-04	2.85305e-05	2.59669e-05	-2.59740e-05	-7.56886e-01	-3.02755e-01	-4.60857e-01	6.11054e-02	2.09000e-01
1.08511e-03	4.21655e-05	3.07729e-05	-2.25529e-05	-7.62985e-01	-3.05195e-01	-4.57841e-01	6.27166e-02	2.09000e-01
1.22781e-03	4.85262e-05	3.31599e-05	-2.36425e-05	-7.70310e-01	-3.08125e-01	-4.54696e-01	6.43244e-02	2.09000e-01
1.20214e-03	4.68013e-05	3.38982e-05	-3.18778e-05	-7.78636e-01	-3.11455e-01	-4.51422e-01	6.59266e-02	2.09000e-01
1.04971e-03	3.90429e-05	3.36333e-05	-4.54703e-05	-7.87643e-01	-3.15058e-01	-4.48018e-01	6.75213e-02	2.09000e-01
9.12581e-04	3.21909e-05	3.34771e-05	-5.78466e-05	-7.95802e-01	-3.18322e-01	-4.44480e-01	6.91063e-02	2.09000e-01
9.25692e-04	3.27467e-05	3.42138e-05	-6.36642e-05	-8.01909e-01	-3.20765e-01	-4.40809e-01	7.06796e-02	2.09000e-01
9.59377e-04	3.49190e-05	3.35616e-05	-6.32117e-05	-8.08437e-01	-3.23376e-01	-4.37004e-01	7.22391e-02	2.09000e-01
7.46873e-04	2.65468e-05	2.81852e-05	-6.02703e-05	-8.16647e-01	-3.26660e-01	-4.33064e-01	7.37829e-02	2.09000e-01
3.82444e-04	1.13024e-05	2.09619e-05	-5.83573e-05	-8.23481e-01	-3.29395e-01	-4.28987e-01	7.53090e-02	2.09000e-01
2.01454e-04	3.90512e-06	1.72185e-05	-5.69300e-05	-8.28692e-01	-3.31480e-01	-4.24774e-01	7.68152e-02	2.09000e-01
1.97448e-04	4.53581e-06	1.53601e-05	-5.19218e-05	-8.35120e-01	-3.34051e-01	-4.20425e-01	7.82997e-02	2.09000e-01
1.75743e-04	4.62443e-06	1.23152e-05	-4.18882e-05	-8.42789e-01	-3.37118e-01	-4.15938e-01	7.97605e-02	2.09000e-01
1.37800e-04	3.93038e-06	8.99557e-06	-3.06976e-05	-8.50445e-01	-3.40180e-01	-4.11314e-01	8.11957e-02	2.09000e-01
1.94664e-04	7.14885e-06	7.62792e-06	-2.21711e-05	-8.58000e-01	-3.43201e-01	-4.06553e-01	8.26034e-02	2.09000e-01
2.44405e-04	9.79712e-06	6.84854e-06	-1.71643e-05	-8.66680e-01	-3.46672e-01	-4.01655e-01	8.39818e-02	2.09000e-01
9.37661e-06	-5.58591e-07	3.85043e-06	-1.74175e-05	-8.76810e-01	-3.50731e-01	-3.96620e-01	8.53290e-02	2.09000e-01
-4.20824e-04	-1.99631e-05	1.94461e-07	-2.38698e-05	-8.84030e-01	-3.53612e-01	-3.91448e-01	8.66435e-02	2.09000e-01
-5.80532e-04	-2.73745e-05	8.12990e-08	-3.17682e-05	-8.87639e-01	-3.55055e-01	-3.86141e-01	8.79233e-02	2.09000e-01
-4.11258e-04	-1.98705e-05	2.55753e-06	-3.47126e-05	-8.95030e-01	-3.58011e-01	-3.80699e-01	8.91669e-02	2.09000e-01
-4.07122e-04	-1.94840e-05	2.12674e-06	-3.18837e-05	-9.07570e-01	-3.63027e-01	-3.75123e-01	9.03728e-02	2.09000e-01
-8.05301e-04	-3.71094e-05	-2.09910e-06	-2.81451e-05	-9.18147e-01	-3.67258e-01	-3.69414e-01	9.15392e-02	2.09000e-01
-1.30921e-03	-5.96904e-05	-6.00028e-06	-2.83985e-05	-9.23348e-01	-3.69339e-01	-3.63572e-01	9.26649e-02	2.09000e-01
-1.65271e-03	-7.52151e-05	-7.53598e-06	-3.21621e-05	-9.25416e-01	-3.70166e-01	-3.57599e-01	9.37483e-02	2.09000e-01
-1.85913e-03	-8.44565e-05	-8.53040e-06	-3.16946e-05	-9.26433e-01	-3.70572e-01	-3.51496e-01	9.47882e-02	2.09000e-01
-2.04867e-03	-9.26766e-05	-1.10177e-05	-2.00256e-05	-9.27478e-01	-3.70990e-01	-3.45264e-01	9.57832e-02	2.09000e-01
-2.28911e-03	-1.03154e-04	-1.42507e-05	-3.04282e-06	-9.28856e-01	-3.71541e-01	-3.38906e-01	9.67320e-02	2.09000e-01
-2.53187e-03	-1.14005e-04	-1.57356e-05	4.12362e-06	-9.28204e-01	-3.71281e-01	-3.32422e-01	9.76337e-02	2.09000e-01
-2.63601e-03	-1.18866e-04	-1.43649e-05	-2.17392e-06	-9.24113e-01	-3.69644e-01	-3.25815e-01	9.84871e-02	2.09000e-01
-2.56243e-03	-1.15712e-04	-1.18568e-05	-8.85137e-06	-9.19049e-01	-3.67618e-01	-3.19085e-01	9.92912e-02	2.09000e-01
-2.46795e-03	-1.11469e-04	-1.04263e-05	-8.10182e-06	-9.15450e-01	-3.66179e-01	-3.12236e-01	1.00045e-01	2.09000e-01
-2.50679e-03	-1.13198e-04	-1.00666e-05	-4.78078e-06	-9.12430e-01	-3.64971e-01	-3.05268e-01	1.00748e-01	2.09000e-01
-2.64506e-03	-1.19406e-04	-1.02239e-05	-3.46536e-07	-9.08475e-01	-3.63389e-01	-2.98184e-01	1.01399e-01	2.09000e-01
-2.78182e-03	-1.25521e-04	-1.06926e-05	9.31946e-06	-9.04725e-01	-3.61889e-01	-2.90987e-01	1.01998e-01	2.09000e-01
-2.87012e-03	-1.29438e-04	-1.12445e-05	2.26269e-05	-9.00469e-01	-3.60187e-01	-2.83678e-01	1.02544e-01	2.09000e-01
-2.84218e-03	-1.28135e-04	-1.12352e-05	3.33065e-05	-8.93403e-01	-3.57360e-01	-2.76259e-01	1.03036e-01	2.09000e-01
-2.67998e-03	-1.20828e-04	-1.00667e-05	3.70036e-05	-8.85967e-01	-3.54386e-01	-2.68734e-01	1.03474e-01	2.09000e-01
-2.58297e-03	-1.16501e-04	-8.35746e-06	3.23807e-05	-8.80922e-01	-3.52368e-01	-2.61105e-01	1.03858e-01	2.09000e-01
-2.68441e-03	-1.21131e-04	-6.80438e-06	2.47298e-05	-8.76523e-01	-3.50608e-01	-2.53374e-01	1.04187e-01	2.09000e-01
-2.80602e-03	-1.26638e-04	-5.77125e-06	2.26284e-05	-8.70002e-01	-3.48000e-01	-2.45543e-01	1.04461e-01	2.09000e-01
-2.80316e-03	-1.26506e-04	-4.90690e-06	2.41407e-05	-8.61801e-01	-3.44719e-01	-2.37617e-01	1.04681e-01	2.09000e-01
-2.78309e-03	-1.25604e-04	-3.46396e-06	1.88673e-05	-8.53327e-01	-3.41330e-01	-2.29597e-01	1.04846e-01	2.09000e-01
-2.77141e-03	-1.25074e-04	-1.57583e-06	6.58347e-06	-8.43344e-01	-3.37337e-01	-2.21486e-01	1.04956e-01	2.09000e-01
-2.61110e-03	-1.17819e-04	-1.85232e-07	-1.08935e-06	-8.32582e-01	-3.33032e-01	-2.13287e-01	1.05011e-01	2.09000e-01
-2.33898e-03	-1.05516e-04	4.35659e-07	-1.17437e-07	-8.25516e-01	-3.30205e-01	-2.05004e-01	1.05012e-01	2.09000e-01
-2.21446e-03	-9.98729e-05	9.68751e-07	1.70904e-06	-8.22190e-01	-3.28875e-01	-1.96638e-01	1.04959e-01	2.09000e-01
-2.33913e-03	-1.05466e-04	1.71127e-06	6.21241e-07	-8.18485e-01	-3.27393e-01	-1.88195e-01	1.04852e-01	2.09000e-01
-2.59218e-03	-1.16840e-04	2.63161e-06	-2.44413e-08	-8.13641e-01	-3.25455e-01	-1.79676e-01	1.04691e-01	2.09000e-01
-2.88307e-03	-1.29911e-04	3.69323e-06	4.15668e-07	-8.08268e-01	-3.23306e-01	-1.71084e-01	1.04478e-01	2.09000e-01
-3.18813e-03	-1.43608e-04	4.95013e-06	-2.96209e-07	-8.01167e-01	-3.20465e-01	-1.62424e-01	1.04213e-01	2.09000e-01
-3.44789e-03	-1.55251e-04	6.32093e-06	-2.31527e-06	-7.91646e-01	-3.16657e-01	-1.53698e-01	1.03896e-01	2.09000e-01
-3.59031e-03	-1.61602e-04	7.52451e-06	-4.07044e-06	-7.80129e-01	-3.12050e-01	-1.44910e-01	1.03528e-01	2.09000e-01
-3.60101e-03	-1.62023e-04	8.38545e-06	-4.03188e-06	-7.67562e-01	-3.07023e-01	-1.36063e-01	1.03110e-01	2.09000e-01
-3.53373e-03	-1.58939e-04	8.95682e-06	-2.10302e-06	-7.54645e-01	-3.01856e-01	-1.27161e-01	1.02643e-01	2.09000e-01
-3.45631e-03	-1.55404e-04	9.41015e-06	4.46452e-07	-7.41238e-01	-2.96494e-01	-1.18207e-01	1.02127e-01	2.09000e-01
-3.38689e-03	-1.52229e-04	9.86314e-06	2.88942e-06	-7.27364e-01	-2.90944e-01	-1.09204e-01	1.01564e-01	2.09000e-01
-3.26113e-03	-1.46524e-04	1.00998e-05	5.87592e-06	-7.13182e-01	-2.85272e-01	-1.00157e-01	1.00954e-01	2.09000e-01
-3.03288e-03	-1.36225e-04	9.85867e-06	1.00291e-05	-6.99345e-01	-2.79737e-01	-9.10685e-02	1.00299e-01	2.09000e-01
-2.77777e-03	-1.24728e-04	9.44448e-06	1.35659e-05	-6.87303e-01	-2.74920e-01	-8.19424e-02	9.95989e-02	2.09000e-01
-2.61375e-03	-1.17316e-04	9.39084e-06	1.33129e-05	-6.76835e-01	-2.70733e-01	-7.27824e-02	9.88559e-02	2.09000e-01
-2.57203e-03	-1.15387e-04	9.84116e-06	9.49302e-06	-6.66594e-01	-2.66637e-01	-6.35922e-02	9.80707e-02	2.09000e-01
-2.62019e-03	-1.17486e-04	1.06567e-05	5.87889e-06	-6.56231e-01	-2.62491e-01	-5.43755e-02	9.72445e-02	2.09000e-01
-2.71238e-03	-1.21564e-04	1.15631e-05	5.13354e-06	-6.45146e-01	-2.58057e-01	-4.51358e-02	9.63784e-02	2.09000e-01
-2.78171e-03	-1.24624e-04	1.22916e-05	6.86693e-06	-6.33247e-01	-2.53298e-01	-3.58771e-02	9.54738e-02	2.09000e-01
-2.79314e-03	-1.25090e-04	1.27531e-05	8.88921e-06	-6.21789e-01	-2.48714e-01	-2.66030e-02	9.45319e-02	2.09000e-01
-2.75204e-03	-1.23201e-04	1.29966e-05	9.91703e-06	-6.10613e-01	-2.44244e-01	-1.73173e-02	9.35538e-02	2.09000e-01
-2.64346e-03	-1.18293e-04	1.28826e-05	1.08049e-05	-5.98768e-01	-2.39506e-01	-8.02372e-03	9.25411e-02	2.09000e-01
-2.44801e-03	-1.09505e-04	1.22774e-05	1.20311e-05	-5.87223e-01	-2.34888e-01	1.27394e-03	9.14948e-02	2.09000e-01
-2.19300e-03	-9.80611e-05	1.12986e-05	1.28472e-05	-5.77233e-01	-2.30892e-01	1.05719e-02	9.04164e-02	2.09000e-01
-1.92900e-03	-8.62250e-05	1.01891e-05	1.32374e-05	-5.68821e-01	-2.27528e-01	1.98664e-02	8.93072e-02	2.09000e-01
-1.69772e-03	-7.58591e-05	9.18626e-06	1.32658e-05	-5.62022e-01	-2.24808e-01	2.91537e-02	8.81685e-02	2.09000e-01
-1.52265e-03	-6.80086e-05	8.45675e-06	1.23440e-05	-5.56714e-01	-2.22685e-01	3.84299e-02	8.70017e-02	2.09000e-01
-1.38236e-03	-6.17164e-05	7.87609e-06	1.07780e-05	-5.52294e-01	-2.20917e-01	4.76914e-02	8.58081e-02	2.09000e-01
-1.24515e-03	-5.55695e-05	7.25168e-06	9.72070e-06	-5.48929e-01	-2.19571e-01	5.69343e-02	8.45890e-02	2.09000e-01
-1.12543e-03	-5.02079e-05	6.68725e-06	9.90972e-06	-5.46732e-01	-2.18692e-01	6.61550e-02	8.33458e-02	2.09000e-01
-1.05156e-03	-4.68972e-05	6.35798e-06	1.12996e-05	-5.44616e-01	-2.17846e-01	7.53496e-02	8.20799e-02	2.09000e-01
-1.01689e-03	-4.53354e-05	6.25882e-06	1.23373e-05	-5.42186e-01	-2.16874e-01	8.45145e-02	8.07926e-02	2.09000e-01
-9.89123e-04	-4.40767e-05	6.23283e-06	1.12515e-05	-5.39632e-01	-2.15852e-01	9.36460e-02	7.94853e-02	2.09000e-01
-9.35559e-04	-4.16657e-05	6.05923e-06	8.94487e-06	-5.36261e-01	-2.14504e-01	1.02740e-01	7.81592e-02	2.09000e-01
