"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.77762e-02	-7.42037e-04	8.08992e-04	1.54111e-04	-5.41127e-02	-2.16589e-02	-5.14734e-01	0.00000e+00	1.95800e-01
-4.93262e-04	2.35413e-05	-2.36072e-05	2.83512e-06	-3.53203e-01	-1.41281e-01	-5.14682e-01	2.24940e-03	1.95800e-01
4.06437e-03	2.82276e-05	1.83388e-04	5.96817e-07	-2.38911e-01	-9.55661e-02	-5.14525e-01	4.49391e-03	1.95800e-01
1.15924e-02	5.83955e-05	5.25214e-04	4.25347e-06	-2.97500e-01	-1.19005e-01	-5.14262e-01	6.72853e-03	1.95800e-01
1.45901e-02	1.35740e-04	6.50784e-04	-3.17034e-06	-3.03883e-01	-1.21559e-01	-5.13895e-01	8.94825e-03	1.95800e-01
1.78155e-02	1.75197e-04	7.92423e-04	-7.58761e-06	-3.52725e-01	-1.41098e-01	-5.13423e-01	1.11482e-02	1.95800e-01
2.02608e-02	2.54716e-04	8.86701e-04	-2.01994e-05	-4.30384e-01	-1.72162e-01	-5.12849e-01	1.33239e-02	1.95800e-01
2.16122e-02	3.04214e-04	9.35644e-04	-2.95489e-05	-4.75545e-01	-1.90227e-01	-5.12176e-01	1.54710e-02	1.95800e-01
2.25667e-02	3.60820e-04	9.61479e-04	-4.12049e-05	-5.56507e-01	-2.22612e-01	-5.11409e-01	1.75859e-02	1.95800e-01
2.28131e-02	4.03819e-04	9.56023e-04	-5.13509e-05	-6.09808e-01	-2.43933e-01	-5.10593e-01	1.95653e-02	1.95800e-01
2.27323e-02	4.33049e-04	9.38778e-04	-5.94453e-05	-6.60484e-01	-2.64203e-01	-5.09770e-01	2.13622e-02	1.95800e-01
2.24452e-02	4.59882e-04	9.10924e-04	-6.73360e-05	-7.08992e-01	-2.83606e-01	-5.08932e-01	2.30339e-02	1.95800e-01
2.19664e-02	4.74909e-04	8.78212e-04	-7.34334e-05	-7.42820e-01	-2.97137e-01	-5.08073e-01	2.46186e-02	1.95800e-01
2.14056e-02	4.88138e-04	8.41226e-04	-7.93887e-05	-7.80301e-01	-3.12129e-01	-5.07186e-01	2.61430e-02	1.95800e-01
2.07311e-02	4.94450e-04	8.01418e-04	-8.44429e-05	-8.07852e-01	-3.23149e-01	-5.06264e-01	2.76269e-02	1.95800e-01
1.99963e-02	4.97168e-04	7.59835e-04	-8.91399e-05	-8.34098e-01	-3.33647e-01	-5.05301e-01	2.90850e-02	1.95800e-01
1.92091e-02	4.96299e-04	7.17024e-04	-9.35838e-05	-8.56718e-01	-3.42695e-01	-5.04291e-01	3.05285e-02	1.95800e-01
1.83430e-02	4.90615e-04	6.72545e-04	-9.76237e-05	-8.74908e-01	-3.49971e-01	-5.03228e-01	3.19660e-02	1.95800e-01
1.74660e-02	4.82758e-04	6.28426e-04	-1.01822e-04	-8.91160e-01	-3.56472e-01	-5.02106e-01	3.34042e-02	1.95800e-01
1.65362e-02	4.70947e-04	5.83777e-04	-1.05997e-04	-9.03340e-01	-3.61343e-01	-5.00921e-01	3.48481e-02	1.95800e-01
1.55649e-02	4.55929e-04	5.38789e-04	-1.10366e-04	-9.12659e-01	-3.65070e-01	-4.99666e-01	3.63013e-02	1.95800e-01
1.45587e-02	4.37709e-04	4.93982e-04	-1.15117e-04	-9.18903e-01	-3.67567e-01	-4.98338e-01	3.77666e-02	1.95800e-01
1.35176e-02	4.16300e-04	4.49494e-04	-1.20459e-04	-9.21548e-01	-3.68625e-01	-4.96930e-01	3.92458e-02	1.95800e-01
1.24437e-02	3.91832e-04	4.05465e-04	-1.26580e-04	-9.21208e-01	-3.68489e-01	-4.95440e-01	4.07401e-02	1.95800e-01
1.13304e-02	3.64058e-04	3.61871e-04	-1.33668e-04	-9.17418e-01	-3.66972e-01	-4.93861e-01	4.22500e-02	1.95800e-01
1.01746e-02	3.32907e-04	3.18728e-04	-1.41835e-04	-9.10247e-01	-3.64103e-01	-4.92191e-01	4.37756e-02	1.95800e-01
8.98669e-03	2.98729e-04	2.76498e-04	-1.51293e-04	-8.99965e-01	-3.59990e-01	-4.90425e-01	4.53166e-02	1.95800e-01
7.76383e-03	2.61493e-04	2.35176e-04	-1.61973e-04	-8.86537e-01	-3.54618e-01	-4.88559e-01	4.68723e-02	1.95800e-01
6.52515e-03	2.21949e-04	1.95361e-04	-1.73301e-04	-8.70560e-01	-3.48228e-01	-4.86590e-01	4.84418e-02	1.95800e-01
5.31208e-03	1.81708e-04	1.58179e-04	-1.84422e-04	-8.52693e-01	-3.41081e-01	-4.84514e-01	5.00239e-02	1.95800e-01
4.19274e-03	1.43451e-04	1.25318e-04	-1.94430e-04	-8.33986e-01	-3.33598e-01	-4.82329e-01	5.16173e-02	1.95800e-01
3.25253e-03	1.10656e-04	9.86616e-05	-2.00874e-04	-8.15879e-01	-3.26355e-01	-4.80031e-01	5.32204e-02	1.95800e-01
2.47152e-03	8.30752e-05	7.70507e-05	-1.98944e-04	-7.99959e-01	-3.19988e-01	-4.77617e-01	5.48316e-02	1.95800e-01
1.69826e-03	5.53964e-05	5.61318e-05	-1.87232e-04	-7.87488e-01	-3.15000e-01	-4.75085e-01	5.64491e-02	1.95800e-01
8.79599e-04	2.57320e-05	3.43778e-05	-1.70547e-04	-7.78502e-01	-3.11408e-01	-4.72432e-01	5.80711e-02	1.95800e-01
2.25023e-04	1.94093e-06	1.70605e-05	-1.55591e-04	-7.72833e-01	-3.09155e-01	-4.69656e-01	5.96957e-02	1.95800e-01
-3.70517e-05	-7.19702e-06	9.64977e-06	-1.45203e-04	-7.70507e-01	-3.08088e-01	-4.66755e-01	6.13209e-02	1.95800e-01
1.28299e-04	9.94742e-08	1.22768e-05	-1.38990e-04	-7.70729e-01	-3.08322e-01	-4.63726e-01	6.29447e-02	1.95800e-01
5.81902e-04	1.88884e-05	2.09117e-05	-1.34390e-04	-7.73175e-01	-3.09277e-01	-4.60569e-01	6.45650e-02	1.95800e-01
1.08432e-03	3.99349e-05	2.98683e-05	-1.29248e-04	-7.79008e-01	-3.11607e-01	-4.57282e-01	6.61799e-02	1.95800e-01
1.45091e-03	5.56425e-05	3.56887e-05	-1.25192e-04	-7.88429e-01	-3.15374e-01	-4.53862e-01	6.77872e-02	1.95800e-01
1.69066e-03	6.62000e-05	3.89244e-05	-1.24901e-04	-8.00338e-01	-3.20138e-01	-4.50309e-01	6.93849e-02	1.95800e-01
1.86127e-03	7.39364e-05	4.07509e-05	-1.26239e-04	-8.13436e-01	-3.25377e-01	-4.46622e-01	7.09709e-02	1.95800e-01
1.86940e-03	7.49400e-05	3.96110e-05	-1.27803e-04	-8.25589e-01	-3.30238e-01	-4.42799e-01	7.25431e-02	1.95800e-01
1.54462e-03	6.18482e-05	3.32262e-05	-1.34389e-04	-8.36912e-01	-3.34768e-01	-4.38840e-01	7.40996e-02	1.95800e-01
9.34892e-04	3.63546e-05	2.32826e-05	-1.44344e-04	-8.48449e-01	-3.39385e-01	-4.34744e-01	7.56382e-02	1.95800e-01
4.31754e-04	1.53504e-05	1.50483e-05	-1.45464e-04	-8.57578e-01	-3.43041e-01	-4.30510e-01	7.71569e-02	1.95800e-01
2.22856e-04	6.91533e-06	1.09936e-05	-1.34022e-04	-8.63966e-01	-3.45603e-01	-4.26139e-01	7.86538e-02	1.95800e-01
1.38979e-04	3.75458e-06	8.84172e-06	-1.19814e-04	-8.68879e-01	-3.47572e-01	-4.21629e-01	8.01269e-02	1.95800e-01
1.28993e-04	3.75811e-06	7.62502e-06	-1.09516e-04	-8.72193e-01	-3.48896e-01	-4.16982e-01	8.15742e-02	1.95800e-01
1.86817e-04	6.55604e-06	7.62814e-06	-9.97191e-05	-8.78045e-01	-3.51229e-01	-4.12196e-01	8.29939e-02	1.95800e-01
1.47032e-04	5.14278e-06	6.27830e-06	-8.53719e-05	-8.87586e-01	-3.55044e-01	-4.07272e-01	8.43841e-02	1.95800e-01
-1.13598e-04	-5.88233e-06	2.26140e-06	-6.80740e-05	-8.96962e-01	-3.58777e-01	-4.02210e-01	8.57431e-02	1.95800e-01
-4.29968e-04	-1.95654e-05	-1.58568e-06	-5.83135e-05	-9.04768e-01	-3.61905e-01	-3.97011e-01	8.70689e-02	1.95800e-01
-4.97933e-04	-2.25949e-05	-1.90945e-06	-6.10994e-05	-9.09639e-01	-3.63854e-01	-3.91675e-01	8.83600e-02	1.95800e-01
-1.95537e-04	-9.33030e-06	1.37134e-06	-6.35248e-05	-9.14106e-01	-3.65638e-01	-3.86204e-01	8.96146e-02	1.95800e-01
1.67377e-04	6.81000e-06	4.24165e-06	-5.14979e-05	-9.23687e-01	-3.69478e-01	-3.80597e-01	9.08312e-02	1.95800e-01
1.46471e-04	6.11424e-06	3.07377e-06	-3.27257e-05	-9.34679e-01	-3.73873e-01	-3.74855e-01	9.20082e-02	1.95800e-01
-2.74303e-04	-1.23920e-05	-9.43650e-07	-2.57945e-05	-9.43129e-01	-3.77251e-01	-3.68981e-01	9.31441e-02	1.95800e-01
-8.87820e-04	-3.96368e-05	-5.45358e-06	-2.80246e-05	-9.50076e-01	-3.80030e-01	-3.62974e-01	9.42375e-02	1.95800e-01
-1.51757e-03	-6.76220e-05	-9.93993e-06	-2.51667e-05	-9.51230e-01	-3.80491e-01	-3.56836e-01	9.52870e-02	1.95800e-01
-1.97714e-03	-8.81038e-05	-1.28201e-05	-2.01772e-05	-9.46977e-01	-3.78790e-01	-3.50569e-01	9.62913e-02	1.95800e-01
-2.19775e-03	-9.80936e-05	-1.30899e-05	-2.12575e-05	-9.42109e-01	-3.76843e-01	-3.44174e-01	9.72493e-02	1.95800e-01
-2.24586e-03	-1.00349e-04	-1.24966e-05	-2.23253e-05	-9.37189e-01	-3.74874e-01	-3.37653e-01	9.81597e-02	1.95800e-01
-2.26395e-03	-1.01253e-04	-1.17563e-05	-1.55857e-05	-9.35146e-01	-3.74058e-01	-3.31007e-01	9.90214e-02	1.95800e-01
