"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.68109e-02	-4.51593e-04	9.95485e-04	-7.08978e-04	-2.68338e-01	-1.07356e-01	-5.00000e-01	0.00000e+00	-1.65000e-01
2.96261e-03	1.90769e-04	1.66619e-04	-1.66965e-04	-4.80258e-01	-1.92109e-01	-4.99947e-01	2.24938e-03	-1.65000e-01
7.50864e-03	2.18600e-04	4.25400e-04	-2.02385e-04	-4.09612e-01	-1.63852e-01	-4.99788e-01	4.49373e-03	-1.65000e-01
1.25200e-02	2.58653e-04	7.09276e-04	-2.01372e-04	-4.84754e-01	-1.93911e-01	-4.99521e-01	6.72789e-03	-1.65000e-01
1.35135e-02	3.05697e-04	7.50664e-04	-1.74701e-04	-5.02726e-01	-2.01101e-01	-4.99148e-01	8.94671e-03	-1.65000e-01
1.51273e-02	3.29476e-04	8.32054e-04	-1.65025e-04	-5.62560e-01	-2.25035e-01	-4.98669e-01	1.11452e-02	-1.65000e-01
1.60701e-02	3.71891e-04	8.67431e-04	-1.33285e-04	-6.26521e-01	-2.50620e-01	-4.98087e-01	1.33187e-02	-1.65000e-01
1.63049e-02	3.88382e-04	8.66212e-04	-1.14913e-04	-6.68181e-01	-2.67284e-01	-4.97406e-01	1.54629e-02	-1.65000e-01
1.63291e-02	4.07012e-04	8.51037e-04	-8.68400e-05	-7.30163e-01	-2.92076e-01	-4.96627e-01	1.75740e-02	-1.65000e-01
1.58791e-02	4.11780e-04	8.12122e-04	-6.44818e-05	-7.64936e-01	-3.05985e-01	-4.95802e-01	1.95479e-02	-1.65000e-01
1.52779e-02	4.07768e-04	7.68591e-04	-4.45621e-05	-7.98010e-01	-3.19214e-01	-4.94973e-01	2.13312e-02	-1.65000e-01
1.44996e-02	3.98665e-04	7.17183e-04	-2.41636e-05	-8.22971e-01	-3.29198e-01	-4.94137e-01	2.29754e-02	-1.65000e-01
1.35969e-02	3.80592e-04	6.63448e-04	-8.02477e-06	-8.36646e-01	-3.34667e-01	-4.93292e-01	2.45147e-02	-1.65000e-01
1.26300e-02	3.59608e-04	6.08148e-04	9.72263e-06	-8.49684e-01	-3.39881e-01	-4.92435e-01	2.59730e-02	-1.65000e-01
1.15483e-02	3.31597e-04	5.50554e-04	2.50161e-05	-8.53379e-01	-3.41359e-01	-4.91561e-01	2.73679e-02	-1.65000e-01
1.04216e-02	3.00043e-04	4.93274e-04	4.06459e-05	-8.54783e-01	-3.41920e-01	-4.90669e-01	2.87129e-02	-1.65000e-01
9.24773e-03	2.64589e-04	4.36528e-04	5.60560e-05	-8.51768e-01	-3.40713e-01	-4.89756e-01	3.00185e-02	-1.65000e-01
8.03860e-03	2.25896e-04	3.80786e-04	7.06730e-05	-8.44596e-01	-3.37843e-01	-4.88819e-01	3.12928e-02	-1.65000e-01
6.83933e-03	1.86122e-04	3.27610e-04	8.44960e-05	-8.35732e-01	-3.34297e-01	-4.87855e-01	3.25427e-02	-1.65000e-01
5.66055e-03	1.46024e-04	2.77136e-04	9.66500e-05	-8.24010e-01	-3.29608e-01	-4.86861e-01	3.37735e-02	-1.65000e-01
4.56767e-03	1.07794e-04	2.32125e-04	1.07676e-04	-8.11219e-01	-3.24491e-01	-4.85836e-01	3.49897e-02	-1.65000e-01
3.62870e-03	7.42323e-05	1.94905e-04	1.17518e-04	-7.97922e-01	-3.19172e-01	-4.84776e-01	3.61949e-02	-1.65000e-01
2.90953e-03	4.86973e-05	1.67014e-04	1.24379e-04	-7.84525e-01	-3.13813e-01	-4.83680e-01	3.73921e-02	-1.65000e-01
2.40125e-03	3.24420e-05	1.46281e-04	1.25243e-04	-7.72459e-01	-3.08987e-01	-4.82544e-01	3.85838e-02	-1.65000e-01
1.97886e-03	2.19302e-05	1.26459e-04	1.17958e-04	-7.61977e-01	-3.04794e-01	-4.81368e-01	3.97721e-02	-1.65000e-01
