"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.19407e-02	-9.26538e-04	9.87295e-04	5.37252e-05	-5.10202e-01	-2.04098e-01	-4.85030e-01	0.00000e+00	-1.93600e-01
-1.27044e-03	2.73019e-05	-5.86354e-05	1.69791e-05	-9.02597e-01	-3.61038e-01	-4.84976e-01	2.24936e-03	-1.93600e-01
1.87883e-03	2.26201e-05	8.28807e-05	2.52857e-05	-7.72473e-01	-3.08990e-01	-4.84814e-01	4.49354e-03	-1.93600e-01
7.38011e-03	3.03217e-05	3.31676e-04	2.40586e-05	-8.30456e-01	-3.32186e-01	-4.84543e-01	6.72720e-03	-1.93600e-01
6.95599e-03	7.75325e-05	3.04227e-04	1.70244e-05	-8.06164e-01	-3.22469e-01	-4.84165e-01	8.94507e-03	-1.93600e-01
6.65533e-03	6.04704e-05	2.93971e-04	1.15599e-05	-8.06360e-01	-3.22547e-01	-4.83679e-01	1.11420e-02	-1.93600e-01
5.58090e-03	7.86449e-05	2.38972e-04	3.10912e-06	-8.23171e-01	-3.29271e-01	-4.83088e-01	1.33132e-02	-1.93600e-01
3.66820e-03	5.15353e-05	1.57073e-04	-3.03544e-06	-7.88168e-01	-3.15269e-01	-4.82397e-01	1.54543e-02	-1.93600e-01
2.01745e-03	3.30398e-05	8.46855e-05	-8.10171e-06	-7.90192e-01	-3.16077e-01	-4.81608e-01	1.75614e-02	-1.93600e-01
5.50199e-04	1.05698e-05	2.24270e-05	-9.28241e-06	-7.67176e-01	-3.06871e-01	-4.80771e-01	1.95310e-02	-1.93600e-01
-3.42761e-04	-1.02453e-05	-1.21599e-05	-6.81923e-06	-7.55412e-01	-3.02164e-01	-4.79931e-01	2.13103e-02	-1.93600e-01
-8.70889e-04	-1.87085e-05	-3.44872e-05	-3.94034e-06	-7.51900e-01	-3.00760e-01	-4.79085e-01	2.29503e-02	-1.93600e-01
-1.23409e-03	-2.98227e-05	-4.69762e-05	-2.11080e-06	-7.40990e-01	-2.96395e-01	-4.78229e-01	2.44850e-02	-1.93600e-01
-1.34337e-03	-3.14974e-05	-5.16744e-05	-1.89527e-06	-7.41138e-01	-2.96455e-01	-4.77361e-01	2.59383e-02	-1.93600e-01
-1.31965e-03	-3.20036e-05	-5.00997e-05	-1.95170e-06	-7.35770e-01	-2.94307e-01	-4.76477e-01	2.73276e-02	-1.93600e-01
-1.12863e-03	-2.83739e-05	-4.21901e-05	-2.10952e-06	-7.34476e-01	-2.93790e-01	-4.75575e-01	2.86664e-02	-1.93600e-01
-9.06427e-04	-2.34270e-05	-3.34477e-05	-2.13595e-06	-7.34194e-01	-2.93677e-01	-4.74653e-01	2.99650e-02	-1.93600e-01
-7.54824e-04	-2.06694e-05	-2.69944e-05	-2.00478e-06	-7.32539e-01	-2.93015e-01	-4.73706e-01	3.12317e-02	-1.93600e-01
-6.14720e-04	-1.72509e-05	-2.16566e-05	-2.16857e-06	-7.32998e-01	-2.93199e-01	-4.72734e-01	3.24731e-02	-1.93600e-01
-4.91242e-04	-1.39549e-05	-1.71726e-05	-2.48914e-06	-7.32464e-01	-2.92985e-01	-4.71732e-01	3.36946e-02	-1.93600e-01
-4.24415e-04	-1.27059e-05	-1.42816e-05	-2.45541e-06	-7.32342e-01	-2.92937e-01	-4.70700e-01	3.49008e-02	-1.93600e-01
-3.51669e-04	-1.08834e-05	-1.15101e-05	-2.03429e-06	-7.32534e-01	-2.93013e-01	-4.69634e-01	3.60951e-02	-1.93600e-01
