x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-5.000000e-01 	 1.667060e-02 	-5.149700e-01 	 1.782120e-02 	-5.000000e-01 	 1.848420e-02 	-4.850300e-01 	 2.692850e-02 	-5.000000e-01 	 1.909910e-02 	-5.149700e-01 	 1.884620e-02 	-5.000000e-01 	 1.901830e-02 	-4.850300e-01 	 2.684460e-02 	-5.000000e-01 	 1.910110e-02 	-5.149700e-01 	 1.884680e-02 	-5.000000e-01 	 1.901140e-02 	-4.850300e-01 	 2.690290e-02 	-5.000000e-01 	 1.856040e-02 	-5.149700e-01 	 1.778320e-02 	-5.000000e-01 	 1.681090e-02 	-4.850300e-01 	 2.194070e-02 	-5.000000e-01 	 1.666930e-02 	-5.000000e-01 	 1.996114e-02 	 
-4.999470e-01 	 3.435590e-03 	-5.149180e-01 	 -6.296010e-04 	-4.999470e-01 	 3.405800e-03 	-4.849760e-01 	 5.045940e-04 	-4.999470e-01 	 3.557860e-03 	-5.149180e-01 	 -5.637390e-04 	-4.999470e-01 	 3.508690e-03 	-4.849760e-01 	 1.930980e-04 	-4.999470e-01 	 3.512710e-03 	-5.149180e-01 	 -5.576030e-04 	-4.999470e-01 	 3.553700e-03 	-4.849760e-01 	 5.028260e-04 	-4.999470e-01 	 3.410020e-03 	-5.149180e-01 	 -6.197680e-04 	-4.999470e-01 	 2.962610e-03 	-4.849760e-01 	 -1.270440e-03 	-4.999470e-01 	 3.435590e-03 	-4.999470e-01 	 1.667173e-03 	 
-4.997880e-01 	 7.570520e-03 	-5.147610e-01 	 3.980030e-03 	-4.997880e-01 	 8.525370e-03 	-4.848140e-01 	 5.536290e-03 	-4.997880e-01 	 8.855800e-03 	-5.147610e-01 	 4.346090e-03 	-4.997880e-01 	 8.745590e-03 	-4.848140e-01 	 4.917350e-03 	-4.997880e-01 	 8.756780e-03 	-5.147610e-01 	 4.354840e-03 	-4.997880e-01 	 8.842960e-03 	-4.848140e-01 	 5.534670e-03 	-4.997880e-01 	 8.534880e-03 	-5.147610e-01 	 3.975840e-03 	-4.997880e-01 	 7.508640e-03 	-4.848140e-01 	 1.878830e-03 	-4.997880e-01 	 7.570520e-03 	-4.997880e-01 	 6.437353e-03 	 
-4.995210e-01 	 1.240140e-02 	-5.144990e-01 	 1.166150e-02 	-4.995210e-01 	 1.420780e-02 	-4.845430e-01 	 1.379540e-02 	-4.995210e-01 	 1.477820e-02 	-5.144990e-01 	 1.254680e-02 	-4.995210e-01 	 1.459380e-02 	-4.845430e-01 	 1.280500e-02 	-4.995210e-01 	 1.461510e-02 	-5.144990e-01 	 1.255830e-02 	-4.995210e-01 	 1.475300e-02 	-4.845430e-01 	 1.379200e-02 	-4.995210e-01 	 1.422520e-02 	-5.144990e-01 	 1.163950e-02 	-4.995210e-01 	 1.252000e-02 	-4.845430e-01 	 7.380110e-03 	-4.995210e-01 	 1.240140e-02 	-4.995210e-01 	 1.298085e-02 	 
-4.991480e-01 	 1.345000e-02 	-5.141310e-01 	 1.476500e-02 	-4.991480e-01 	 1.552430e-02 	-4.841650e-01 	 1.533180e-02 	-4.991480e-01 	 1.622970e-02 	-5.141310e-01 	 1.595590e-02 	-4.991480e-01 	 1.598310e-02 	-4.841650e-01 	 1.394040e-02 	-4.991480e-01 	 1.599970e-02 	-5.141310e-01 	 1.597100e-02 	-4.991480e-01 	 1.620800e-02 	-4.841650e-01 	 1.533270e-02 	-4.991480e-01 	 1.553540e-02 	-5.141310e-01 	 1.473710e-02 	-4.991480e-01 	 1.351350e-02 	-4.841650e-01 	 6.955990e-03 	-4.991480e-01 	 1.345000e-02 	-4.991480e-01 	 1.464021e-02 	 
-4.986690e-01 	 1.502570e-02 	-5.136590e-01 	 1.807160e-02 	-4.986690e-01 	 1.749450e-02 	-4.836790e-01 	 1.675580e-02 	-4.986690e-01 	 1.834640e-02 	-5.136590e-01 	 1.954150e-02 	-4.986690e-01 	 1.803280e-02 	-4.836790e-01 	 1.494650e-02 	-4.986690e-01 	 1.805130e-02 	-5.136590e-01 	 1.955900e-02 	-4.986690e-01 	 1.832140e-02 	-4.836790e-01 	 1.676450e-02 	-4.986690e-01 	 1.750560e-02 	-5.136590e-01 	 1.803490e-02 	-4.986690e-01 	 1.512730e-02 	-4.836790e-01 	 6.655330e-03 	-4.986690e-01 	 1.502570e-02 	-4.986690e-01 	 1.666234e-02 	 
-4.980870e-01 	 1.599410e-02 	-5.130860e-01 	 2.058350e-02 	-4.980870e-01 	 1.875950e-02 	-4.830880e-01 	 1.703470e-02 	-4.980870e-01 	 1.974110e-02 	-5.130860e-01 	 2.228440e-02 	-4.980870e-01 	 1.935930e-02 	-4.830880e-01 	 1.476510e-02 	-4.980870e-01 	 1.937850e-02 	-5.130860e-01 	 2.230380e-02 	-4.980870e-01 	 1.971440e-02 	-4.830880e-01 	 1.705600e-02 	-4.980870e-01 	 1.876960e-02 	-5.130860e-01 	 2.053760e-02 	-4.980870e-01 	 1.607010e-02 	-4.830880e-01 	 5.580900e-03 	-4.980870e-01 	 1.599410e-02 	-4.980870e-01 	 1.787804e-02 	 
-4.974060e-01 	 1.623220e-02 	-5.124130e-01 	 2.197400e-02 	-4.974060e-01 	 1.928710e-02 	-4.823970e-01 	 1.578860e-02 	-4.974060e-01 	 2.037850e-02 	-5.124130e-01 	 2.385550e-02 	-4.974060e-01 	 1.992980e-02 	-4.823970e-01 	 1.305220e-02 	-4.974060e-01 	 1.994680e-02 	-5.124130e-01 	 2.387640e-02 	-4.974060e-01 	 2.035320e-02 	-4.823970e-01 	 1.582760e-02 	-4.974060e-01 	 1.929310e-02 	-5.124130e-01 	 2.191920e-02 	-4.974060e-01 	 1.630490e-02 	-4.823970e-01 	 3.668200e-03 	-4.974060e-01 	 1.623220e-02 	-4.974060e-01 	 1.811291e-02 	 
-4.966270e-01 	 1.626690e-02 	-5.116450e-01 	 2.293300e-02 	-4.966270e-01 	 1.963270e-02 	-4.816080e-01 	 1.405150e-02 	-4.966270e-01 	 2.083090e-02 	-5.116450e-01 	 2.498490e-02 	-4.966270e-01 	 2.031260e-02 	-4.816080e-01 	 1.089040e-02 	-4.966270e-01 	 2.032690e-02 	-5.116450e-01 	 2.500700e-02 	-4.966270e-01 	 2.080780e-02 	-4.816080e-01 	 1.411190e-02 	-4.966270e-01 	 1.963360e-02 	-5.116450e-01 	 2.286860e-02 	-4.966270e-01 	 1.632910e-02 	-4.816080e-01 	 2.017450e-03 	-4.966270e-01 	 1.626690e-02 	-4.966270e-01 	 1.807483e-02 	 
-4.958020e-01 	 1.583020e-02 	-5.108310e-01 	 2.318370e-02 	-4.958020e-01 	 1.950260e-02 	-4.807710e-01 	 1.164160e-02 	-4.958020e-01 	 2.079570e-02 	-5.108310e-01 	 2.538110e-02 	-4.958020e-01 	 2.020480e-02 	-4.807710e-01 	 8.188070e-03 	-4.958020e-01 	 2.021830e-02 	-5.108310e-01 	 2.540430e-02 	-4.958020e-01 	 2.077310e-02 	-4.807710e-01 	 1.172460e-02 	-4.958020e-01 	 1.950040e-02 	-5.108310e-01 	 2.311040e-02 	-4.958020e-01 	 1.587910e-02 	-4.807710e-01 	 5.501990e-04 	-4.958020e-01 	 1.583020e-02 	-4.958020e-01 	 1.751285e-02 	 
