x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-5.000000e-01 	 -2.593900e-01 	-5.149700e-01 	 -4.868070e-02 	-5.000000e-01 	 -4.280030e-01 	-4.850300e-01 	 -8.645030e-01 	-5.000000e-01 	 -4.552640e-01 	-5.149700e-01 	 -1.186390e-01 	-5.000000e-01 	 -4.669260e-01 	-4.850300e-01 	 -8.692210e-01 	-5.000000e-01 	 -4.648180e-01 	-5.149700e-01 	 -1.175270e-01 	-5.000000e-01 	 -4.569140e-01 	-4.850300e-01 	 -8.626150e-01 	-5.000000e-01 	 -4.255280e-01 	-5.149700e-01 	 -4.211760e-02 	-5.000000e-01 	 -2.683380e-01 	-4.850300e-01 	 -5.102020e-01 	-5.000000e-01 	 -2.594510e-01 	-5.000000e-01 	 -4.069493e-01 	 
-4.999470e-01 	 -4.818140e-01 	-5.149180e-01 	 -3.521000e-01 	-4.999470e-01 	 -6.702180e-01 	-4.849760e-01 	 -1.376310e+00 	-4.999470e-01 	 -7.093290e-01 	-5.149180e-01 	 -4.421140e-01 	-4.999470e-01 	 -7.161410e-01 	-4.849760e-01 	 -1.376500e+00 	-4.999470e-01 	 -7.178940e-01 	-5.149180e-01 	 -4.410180e-01 	-4.999470e-01 	 -7.070140e-01 	-4.849760e-01 	 -1.373820e+00 	-4.999470e-01 	 -6.714270e-01 	-5.149180e-01 	 -3.445610e-01 	-4.999470e-01 	 -4.802580e-01 	-4.849760e-01 	 -9.025970e-01 	-4.999470e-01 	 -4.818140e-01 	-4.999470e-01 	 -7.202899e-01 	 
-4.997880e-01 	 -4.101660e-01 	-5.147610e-01 	 -2.368830e-01 	-4.997880e-01 	 -5.955480e-01 	-4.848140e-01 	 -1.230110e+00 	-4.997880e-01 	 -6.313490e-01 	-5.147610e-01 	 -3.200490e-01 	-4.997880e-01 	 -6.393930e-01 	-4.848140e-01 	 -1.228140e+00 	-4.997880e-01 	 -6.394400e-01 	-5.147610e-01 	 -3.189290e-01 	-4.997880e-01 	 -6.307580e-01 	-4.848140e-01 	 -1.227730e+00 	-4.997880e-01 	 -5.951000e-01 	-5.147610e-01 	 -2.294220e-01 	-4.997880e-01 	 -4.096120e-01 	-4.848140e-01 	 -7.724730e-01 	-4.997880e-01 	 -4.101660e-01 	-4.997880e-01 	 -6.191334e-01 	 
-4.995210e-01 	 -4.855220e-01 	-5.144990e-01 	 -2.952730e-01 	-4.995210e-01 	 -6.852490e-01 	-4.845430e-01 	 -1.333540e+00 	-4.995210e-01 	 -7.254010e-01 	-5.144990e-01 	 -3.829610e-01 	-4.995210e-01 	 -7.319340e-01 	-4.845430e-01 	 -1.324320e+00 	-4.995210e-01 	 -7.322690e-01 	-5.144990e-01 	 -3.818420e-01 	-4.995210e-01 	 -7.244740e-01 	-4.845430e-01 	 -1.331010e+00 	-4.995210e-01 	 -6.850230e-01 	-5.144990e-01 	 -2.872980e-01 	-4.995210e-01 	 -4.847540e-01 	-4.845430e-01 	 -8.304560e-01 	-4.995210e-01 	 -4.855220e-01 	-4.995210e-01 	 -7.004028e-01 	 
-4.991480e-01 	 -5.044970e-01 	-5.141310e-01 	 -3.018980e-01 	-4.991480e-01 	 -7.149410e-01 	-4.841650e-01 	 -1.355170e+00 	-4.991480e-01 	 -7.586790e-01 	-5.141310e-01 	 -3.934340e-01 	-4.991480e-01 	 -7.633970e-01 	-4.841650e-01 	 -1.335770e+00 	-4.991480e-01 	 -7.637760e-01 	-5.141310e-01 	 -3.923760e-01 	-4.991480e-01 	 -7.576660e-01 	-4.841650e-01 	 -1.352510e+00 	-4.991480e-01 	 -7.147120e-01 	-5.141310e-01 	 -2.938030e-01 	-4.991480e-01 	 -5.027260e-01 	-4.841650e-01 	 -8.061640e-01 	-4.991480e-01 	 -5.044970e-01 	-4.991480e-01 	 -7.185892e-01 	 
-4.986690e-01 	 -5.620400e-01 	-5.136590e-01 	 -3.509450e-01 	-4.986690e-01 	 -7.922870e-01 	-4.836790e-01 	 -1.412080e+00 	-4.986690e-01 	 -8.408730e-01 	-5.136590e-01 	 -4.494820e-01 	-4.986690e-01 	 -8.440320e-01 	-4.836790e-01 	 -1.379570e+00 	-4.986690e-01 	 -8.436990e-01 	-5.136590e-01 	 -4.484910e-01 	-4.986690e-01 	 -8.405140e-01 	-4.836790e-01 	 -1.409330e+00 	-4.986690e-01 	 -7.912860e-01 	-5.136590e-01 	 -3.425240e-01 	-4.986690e-01 	 -5.625600e-01 	-4.836790e-01 	 -8.063600e-01 	-4.986690e-01 	 -5.620400e-01 	-4.986690e-01 	 -7.787125e-01 	 
-4.980870e-01 	 -6.276390e-01 	-5.130860e-01 	 -4.294590e-01 	-4.980870e-01 	 -8.767490e-01 	-4.830880e-01 	 -1.498220e+00 	-4.980870e-01 	 -9.325610e-01 	-5.130860e-01 	 -5.379770e-01 	-4.980870e-01 	 -9.322890e-01 	-4.830880e-01 	 -1.449090e+00 	-4.980870e-01 	 -9.325290e-01 	-5.130860e-01 	 -5.370730e-01 	-4.980870e-01 	 -9.315580e-01 	-4.830880e-01 	 -1.495380e+00 	-4.980870e-01 	 -8.762300e-01 	-5.130860e-01 	 -4.207040e-01 	-4.980870e-01 	 -6.265210e-01 	-4.830880e-01 	 -8.231710e-01 	-4.980870e-01 	 -6.276390e-01 	-4.980870e-01 	 -8.561641e-01 	 
-4.974060e-01 	 -6.683820e-01 	-5.124130e-01 	 -4.750250e-01 	-4.974060e-01 	 -9.382000e-01 	-4.823970e-01 	 -1.515500e+00 	-4.974060e-01 	 -1.000160e+00 	-5.124130e-01 	 -5.922170e-01 	-4.974060e-01 	 -9.970120e-01 	-4.823970e-01 	 -1.448360e+00 	-4.974060e-01 	 -9.968450e-01 	-5.124130e-01 	 -5.914140e-01 	-4.974060e-01 	 -9.995050e-01 	-4.823970e-01 	 -1.512750e+00 	-4.974060e-01 	 -9.371980e-01 	-5.124130e-01 	 -4.660090e-01 	-4.974060e-01 	 -6.681810e-01 	-4.823970e-01 	 -7.881680e-01 	-4.974060e-01 	 -6.683820e-01 	-4.974060e-01 	 -8.978416e-01 	 
-4.966270e-01 	 -7.302800e-01 	-5.116450e-01 	 -5.567370e-01 	-4.966270e-01 	 -1.024010e+00 	-4.816080e-01 	 -1.566490e+00 	-4.966270e-01 	 -1.093800e+00 	-5.116450e-01 	 -6.853640e-01 	-4.966270e-01 	 -1.086830e+00 	-4.816080e-01 	 -1.480450e+00 	-4.966270e-01 	 -1.086710e+00 	-5.116450e-01 	 -6.846650e-01 	-4.966270e-01 	 -1.093030e+00 	-4.816080e-01 	 -1.563930e+00 	-4.966270e-01 	 -1.022940e+00 	-5.116450e-01 	 -5.473540e-01 	-4.966270e-01 	 -7.301630e-01 	-4.816080e-01 	 -7.901920e-01 	-4.966270e-01 	 -7.302800e-01 	-4.966270e-01 	 -9.690132e-01 	 
-4.958020e-01 	 -7.657680e-01 	-5.108310e-01 	 -6.105950e-01 	-4.958020e-01 	 -1.081030e+00 	-4.807710e-01 	 -1.570370e+00 	-4.958020e-01 	 -1.158150e+00 	-5.108310e-01 	 -7.495430e-01 	-4.958020e-01 	 -1.147070e+00 	-4.807710e-01 	 -1.467640e+00 	-4.958020e-01 	 -1.147050e+00 	-5.108310e-01 	 -7.489500e-01 	-4.958020e-01 	 -1.157220e+00 	-4.807710e-01 	 -1.568120e+00 	-4.958020e-01 	 -1.079970e+00 	-5.108310e-01 	 -6.009030e-01 	-4.958020e-01 	 -7.649360e-01 	-4.807710e-01 	 -7.671760e-01 	-4.958020e-01 	 -7.657680e-01 	-4.958020e-01 	 -1.008839e+00 	 
