"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.63235e-02	-4.58185e-04	9.66608e-04	7.11634e-04	-2.12721e-01	-8.51085e-02	-5.00000e-01	0.00000e+00	-2.20000e-01
3.46167e-03	1.89750e-04	1.96263e-04	1.64431e-04	-4.31647e-01	-1.72665e-01	-4.99947e-01	2.24938e-03	-2.20000e-01
7.52263e-03	2.13867e-04	4.26682e-04	1.97393e-04	-3.61469e-01	-1.44595e-01	-4.99788e-01	4.49373e-03	-2.20000e-01
1.22180e-02	2.52754e-04	6.92125e-04	1.96980e-04	-4.35580e-01	-1.74241e-01	-4.99521e-01	6.72789e-03	-2.20000e-01
1.32877e-02	3.00659e-04	7.38110e-04	1.71828e-04	-4.54317e-01	-1.81737e-01	-4.99148e-01	8.94671e-03	-2.20000e-01
1.48568e-02	3.23714e-04	8.17145e-04	1.62131e-04	-5.10834e-01	-2.04344e-01	-4.98669e-01	1.11452e-02	-2.20000e-01
1.58331e-02	3.66613e-04	8.54586e-04	1.31505e-04	-5.75327e-01	-2.30142e-01	-4.98087e-01	1.33187e-02	-2.20000e-01
1.61001e-02	3.83760e-04	8.55254e-04	1.13574e-04	-6.15726e-01	-2.46302e-01	-4.97406e-01	1.54629e-02	-2.20000e-01
1.61493e-02	4.02878e-04	8.41533e-04	8.62161e-05	-6.76800e-01	-2.70731e-01	-4.96627e-01	1.75740e-02	-2.20000e-01
1.57396e-02	4.08811e-04	8.04706e-04	6.46979e-05	-7.12058e-01	-2.84834e-01	-4.95802e-01	1.95472e-02	-2.20000e-01
1.51706e-02	4.05792e-04	7.62787e-04	4.54233e-05	-7.44239e-01	-2.97705e-01	-4.94975e-01	2.13264e-02	-2.20000e-01
1.44428e-02	3.98212e-04	7.13840e-04	2.59438e-05	-7.69628e-01	-3.07860e-01	-4.94145e-01	2.29608e-02	-2.20000e-01
1.35868e-02	3.81758e-04	6.62253e-04	1.07305e-05	-7.83226e-01	-3.13299e-01	-4.93311e-01	2.44826e-02	-2.20000e-01
1.26781e-02	3.62798e-04	6.09548e-04	-6.00167e-06	-7.96535e-01	-3.18622e-01	-4.92470e-01	2.59146e-02	-2.20000e-01
1.16687e-02	3.37281e-04	5.55116e-04	-1.99988e-05	-8.00724e-01	-3.20297e-01	-4.91622e-01	2.72736e-02	-2.20000e-01
1.06234e-02	3.08859e-04	5.01101e-04	-3.44486e-05	-8.02894e-01	-3.21164e-01	-4.90765e-01	2.85721e-02	-2.20000e-01
9.53675e-03	2.76718e-04	4.47768e-04	-4.80983e-05	-8.00728e-01	-3.20297e-01	-4.89898e-01	2.98201e-02	-2.20000e-01
