"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
2.15487e-02	-9.11090e-04	9.69714e-04	5.32419e-05	-4.57473e-01	-1.83006e-01	-4.85030e-01	0.00000e+00	-1.93600e-01
-9.91454e-04	2.67316e-05	-4.60201e-05	1.73127e-05	-8.43502e-01	-3.37400e-01	-4.84976e-01	2.24936e-03	-1.93600e-01
2.22469e-03	2.40658e-05	9.83995e-05	2.54871e-05	-7.16069e-01	-2.86428e-01	-4.84814e-01	4.49354e-03	-1.93600e-01
7.65983e-03	3.22690e-05	3.44130e-04	2.43669e-05	-7.75194e-01	-3.10081e-01	-4.84543e-01	6.72720e-03	-1.93600e-01
7.26351e-03	7.98612e-05	3.17891e-04	1.75568e-05	-7.53629e-01	-3.01454e-01	-4.84165e-01	8.94507e-03	-1.93600e-01
6.97815e-03	6.41371e-05	3.08049e-04	1.22956e-05	-7.55792e-01	-3.02320e-01	-4.83679e-01	1.11420e-02	-1.93600e-01
5.88621e-03	8.25096e-05	2.52176e-04	3.95892e-06	-7.74118e-01	-3.09650e-01	-4.83088e-01	1.33132e-02	-1.93600e-01
3.91590e-03	5.55010e-05	1.67510e-04	-2.22223e-06	-7.40963e-01	-2.96387e-01	-4.82397e-01	1.54543e-02	-1.93600e-01
2.16448e-03	3.59296e-05	9.06644e-05	-7.45264e-06	-7.43427e-01	-2.97372e-01	-4.81608e-01	1.75614e-02	-1.93600e-01
6.15534e-04	1.23624e-05	2.48486e-05	-9.34944e-06	-7.20544e-01	-2.88218e-01	-4.80771e-01	1.95304e-02	-1.93600e-01
-3.02603e-04	-8.81016e-06	-1.08518e-05	-8.34034e-06	-7.08311e-01	-2.83324e-01	-4.79933e-01	2.13057e-02	-1.93600e-01
-8.04248e-04	-1.69370e-05	-3.20308e-05	-6.77233e-06	-7.04256e-01	-2.81702e-01	-4.79092e-01	2.29361e-02	-1.93600e-01
-1.13062e-03	-2.74693e-05	-4.29543e-05	-5.03450e-06	-6.93117e-01	-2.77246e-01	-4.78247e-01	2.44540e-02	-1.93600e-01
-1.23407e-03	-2.91554e-05	-4.73339e-05	-3.62527e-06	-6.93313e-01	-2.77325e-01	-4.77395e-01	2.58819e-02	-1.93600e-01
-1.24547e-03	-3.05850e-05	-4.70342e-05	-1.58634e-06	-6.87621e-01	-2.75048e-01	-4.76537e-01	2.72364e-02	-1.93600e-01
-1.12253e-03	-2.84069e-05	-4.18318e-05	7.90557e-07	-6.86571e-01	-2.74628e-01	-4.75669e-01	2.85303e-02	-1.93600e-01
-9.71870e-04	-2.51470e-05	-3.58389e-05	2.98077e-06	-6.85486e-01	-2.74194e-01	-4.74792e-01	2.97733e-02	-1.93600e-01
-8.31061e-04	-2.24436e-05	-2.99592e-05	4.59744e-06	-6.83864e-01	-2.73545e-01	-4.73903e-01	3.09734e-02	-1.93600e-01
-6.88413e-04	-1.89041e-05	-2.45816e-05	5.65696e-06	-6.84062e-01	-2.73625e-01	-4.73002e-01	3.21369e-02	-1.93600e-01
-5.79195e-04	-1.63727e-05	-2.03113e-05	6.44399e-06	-6.83168e-01	-2.73267e-01	-4.72086e-01	3.32692e-02	-1.93600e-01
-4.80907e-04	-1.38573e-05	-1.66498e-05	6.97049e-06	-6.83192e-01	-2.73277e-01	-4.71156e-01	3.43746e-02	-1.93600e-01
-4.10122e-04	-1.20222e-05	-1.40275e-05	7.31033e-06	-6.83224e-01	-2.73289e-01	-4.70209e-01	3.54569e-02	-1.93600e-01
-3.65295e-04	-1.09654e-05	-1.22674e-05	7.47876e-06	-6.83000e-01	-2.73200e-01	-4.69244e-01	3.65192e-02	-1.93600e-01
-3.14716e-04	-9.57872e-06	-1.04511e-05	7.52063e-06	-6.83222e-01	-2.73289e-01	-4.68261e-01	3.75642e-02	-1.93600e-01
-2.58693e-04	-7.97158e-06	-8.50166e-06	7.40155e-06	-6.83205e-01	-2.73282e-01	-4.67259e-01	3.85941e-02	-1.93600e-01
-1.95873e-04	-6.12581e-06	-6.35210e-06	6.95126e-06	-6.83367e-01	-2.73347e-01	-4.66235e-01	3.96111e-02	-1.93600e-01
-9.18860e-05	-2.82874e-06	-3.03081e-06	6.05942e-06	-6.83661e-01	-2.73464e-01	-4.65189e-01	4.06167e-02	-1.93600e-01
6.84849e-05	2.38055e-06	1.96706e-06	4.68404e-06	-6.84095e-01	-2.73638e-01	-4.64120e-01	4.16125e-02	-1.93600e-01
2.47371e-04	8.35420e-06	7.36825e-06	3.15253e-06	-6.85011e-01	-2.74004e-01	-4.63028e-01	4.25997e-02	-1.93600e-01
4.49101e-04	1.53471e-05	1.31693e-05	1.90874e-06	-6.86160e-01	-2.74464e-01	-4.61910e-01	4.35796e-02	-1.93600e-01
7.12435e-04	2.45824e-05	2.06113e-05	8.63785e-07	-6.87674e-01	-2.75070e-01	-4.60766e-01	4.45529e-02	-1.93600e-01
1.01626e-03	3.53739e-05	2.90290e-05	4.32044e-08	-6.89624e-01	-2.75850e-01	-4.59595e-01	4.55206e-02	-1.93600e-01
1.32598e-03	4.66981e-05	3.72016e-05	-1.73474e-07	-6.92111e-01	-2.76845e-01	-4.58397e-01	4.64833e-02	-1.93600e-01
1.61833e-03	5.77076e-05	4.44904e-05	2.20814e-07	-6.95293e-01	-2.78118e-01	-4.57170e-01	4.74416e-02	-1.93600e-01
1.80471e-03	6.50266e-05	4.87268e-05	1.07762e-06	-6.98892e-01	-2.79557e-01	-4.55913e-01	4.83961e-02	-1.93600e-01
1.78482e-03	6.49161e-05	4.73676e-05	2.47604e-06	-7.02276e-01	-2.80911e-01	-4.54626e-01	4.93472e-02	-1.93600e-01
1.60496e-03	5.89798e-05	4.17496e-05	4.12501e-06	-7.04956e-01	-2.81983e-01	-4.53307e-01	5.02952e-02	-1.93600e-01
1.42326e-03	5.28423e-05	3.62476e-05	5.25741e-06	-7.07075e-01	-2.82831e-01	-4.51957e-01	5.12404e-02	-1.93600e-01
1.31023e-03	4.90517e-05	3.27671e-05	5.48478e-06	-7.08929e-01	-2.83572e-01	-4.50573e-01	5.21830e-02	-1.93600e-01
1.20981e-03	4.56397e-05	2.97274e-05	4.99286e-06	-7.10577e-01	-2.84231e-01	-4.49156e-01	5.31232e-02	-1.93600e-01
1.08020e-03	4.10975e-05	2.60005e-05	4.04589e-06	-7.12004e-01	-2.84802e-01	-4.47705e-01	5.40611e-02	-1.93600e-01
9.45632e-04	3.62463e-05	2.23302e-05	2.80388e-06	-7.13217e-01	-2.85287e-01	-4.46219e-01	5.49968e-02	-1.93600e-01
8.35520e-04	3.21713e-05	1.94900e-05	1.42431e-06	-7.14336e-01	-2.85735e-01	-4.44698e-01	5.59303e-02	-1.93600e-01
7.53909e-04	2.91457e-05	1.73919e-05	1.41285e-07	-7.15441e-01	-2.86177e-01	-4.43140e-01	5.68615e-02	-1.93600e-01
6.94493e-04	2.70005e-05	1.57639e-05	-9.04909e-07	-7.16541e-01	-2.86617e-01	-4.41545e-01	5.77905e-02	-1.93600e-01
6.42634e-04	2.51598e-05	1.42808e-05	-2.00874e-06	-7.17677e-01	-2.87071e-01	-4.39913e-01	5.87172e-02	-1.93600e-01
5.87744e-04	2.31680e-05	1.27789e-05	-3.69506e-06	-7.18840e-01	-2.87536e-01	-4.38243e-01	5.96415e-02	-1.93600e-01
5.42609e-04	2.15208e-05	1.15544e-05	-6.01093e-06	-7.19987e-01	-2.87995e-01	-4.36534e-01	6.05632e-02	-1.93600e-01
5.28919e-04	2.10812e-05	1.10679e-05	-8.08202e-06	-7.21163e-01	-2.88465e-01	-4.34787e-01	6.14822e-02	-1.93600e-01
5.44293e-04	2.17814e-05	1.12216e-05	-8.82417e-06	-7.22466e-01	-2.88987e-01	-4.32999e-01	6.23983e-02	-1.93600e-01
5.84932e-04	2.35127e-05	1.18535e-05	-8.33016e-06	-7.23853e-01	-2.89541e-01	-4.31172e-01	6.33113e-02	-1.93600e-01
6.67325e-04	2.69682e-05	1.32333e-05	-7.74400e-06	-7.25441e-01	-2.90177e-01	-4.29304e-01	6.42211e-02	-1.93600e-01
7.65791e-04	3.10847e-05	1.49028e-05	-7.71248e-06	-7.27613e-01	-2.91046e-01	-4.27394e-01	6.51273e-02	-1.93600e-01
7.91481e-04	3.22567e-05	1.51303e-05	-7.84552e-06	-7.30096e-01	-2.92039e-01	-4.25444e-01	6.60298e-02	-1.93600e-01
7.06804e-04	2.89504e-05	1.31971e-05	-7.65197e-06	-7.32108e-01	-2.92843e-01	-4.23452e-01	6.69283e-02	-1.93600e-01
5.94481e-04	2.44834e-05	1.07996e-05	-7.14233e-06	-7.33624e-01	-2.93450e-01	-4.21417e-01	6.78226e-02	-1.93600e-01
5.48506e-04	2.26828e-05	9.75068e-06	-6.53106e-06	-7.35215e-01	-2.94086e-01	-4.19340e-01	6.87123e-02	-1.93600e-01
5.54077e-04	2.29763e-05	9.70212e-06	-5.99148e-06	-7.37173e-01	-2.94869e-01	-4.17220e-01	6.95972e-02	-1.93600e-01
5.30844e-04	2.20898e-05	9.11085e-06	-5.50667e-06	-7.39267e-01	-2.95707e-01	-4.15057e-01	7.04769e-02	-1.93600e-01
4.61350e-04	1.92857e-05	7.70054e-06	-4.85188e-06	-7.41118e-01	-2.96448e-01	-4.12850e-01	7.13513e-02	-1.93600e-01
