x0	M1	x1	M2	x2	M3	x3	M4	x4	M5	x5	M6	x6	M7	x7	M8	x8	M9	x9	avg	
-0.50000 	 -0.21272 	-0.50000 	 -0.37133 	-0.50000 	 -0.39781 	-0.50000 	 -0.41364 	-0.50000 	 -0.41214 	-0.50000 	 -0.40456 	-0.50000 	 -0.37420 	-0.50000 	 -0.22234 	-0.50000 	 -0.21272 	-0.50000 	 -0.33572 	 
-0.49995 	 -0.43165 	-0.49995 	 -0.60798 	-0.49995 	 -0.64595 	-0.49995 	 -0.65798 	-0.49995 	 -0.66042 	-0.49995 	 -0.64982 	-0.49995 	 -0.61552 	-0.49995 	 -0.43086 	-0.49995 	 -0.43165 	-0.49995 	 -0.57020 	 
-0.49979 	 -0.36147 	-0.49979 	 -0.53518 	-0.49979 	 -0.56988 	-0.49979 	 -0.58308 	-0.49979 	 -0.58377 	-0.49979 	 -0.57535 	-0.49979 	 -0.54092 	-0.49979 	 -0.36184 	-0.49979 	 -0.36147 	-0.49979 	 -0.49699 	 
-0.49952 	 -0.43558 	-0.49952 	 -0.62277 	-0.49952 	 -0.66174 	-0.49952 	 -0.67393 	-0.49952 	 -0.67498 	-0.49952 	 -0.66734 	-0.49952 	 -0.62926 	-0.49952 	 -0.43583 	-0.49952 	 -0.43558 	-0.49952 	 -0.58189 	 
-0.49915 	 -0.45432 	-0.49915 	 -0.65154 	-0.49915 	 -0.69395 	-0.49915 	 -0.70479 	-0.49915 	 -0.70593 	-0.49915 	 -0.69988 	-0.49915 	 -0.65842 	-0.49915 	 -0.45373 	-0.49915 	 -0.45432 	-0.49915 	 -0.60854 	 
-0.49867 	 -0.51083 	-0.49867 	 -0.72675 	-0.49867 	 -0.77387 	-0.49867 	 -0.78378 	-0.49867 	 -0.78429 	-0.49867 	 -0.78102 	-0.49867 	 -0.73349 	-0.49867 	 -0.51264 	-0.49867 	 -0.51083 	-0.49867 	 -0.67972 	 
-0.49809 	 -0.57533 	-0.49809 	 -0.80884 	-0.49809 	 -0.86295 	-0.49809 	 -0.87021 	-0.49809 	 -0.87138 	-0.49809 	 -0.87017 	-0.49809 	 -0.81677 	-0.49809 	 -0.57571 	-0.49809 	 -0.57533 	-0.49809 	 -0.75852 	 
-0.49741 	 -0.61573 	-0.49741 	 -0.86875 	-0.49741 	 -0.92881 	-0.49741 	 -0.93395 	-0.49741 	 -0.93480 	-0.49741 	 -0.93703 	-0.49741 	 -0.87689 	-0.49741 	 -0.61722 	-0.49741 	 -0.61573 	-0.49741 	 -0.81432 	 
-0.49663 	 -0.67680 	-0.49663 	 -0.95229 	-0.49663 	 -1.01996 	-0.49663 	 -1.02217 	-0.49663 	 -1.02315 	-0.49663 	 -1.02882 	-0.49663 	 -0.96119 	-0.49663 	 -0.67859 	-0.49663 	 -0.67680 	-0.49663 	 -0.89331 	 
-0.49580 	 -0.71206 	-0.49580 	 -1.00779 	-0.49580 	 -1.08254 	-0.49580 	 -1.08150 	-0.49580 	 -1.08264 	-0.49580 	 -1.09196 	-0.49580 	 -1.01743 	-0.49580 	 -0.71340 	-0.49580 	 -0.71206 	-0.49580 	 -0.94460 	 
-0.49497 	 -0.74424 	-0.49497 	 -1.06135 	-0.49497 	 -1.14263 	-0.49497 	 -1.13859 	-0.49497 	 -1.13963 	-0.49497 	 -1.15285 	-0.49497 	 -1.07144 	-0.49497 	 -0.74651 	-0.49497 	 -0.74424 	-0.49497 	 -0.99350 	 
-0.49415 	 -0.76963 	-0.49415 	 -1.10649 	-0.49415 	 -1.19425 	-0.49415 	 -1.18688 	-0.49415 	 -1.18807 	-0.49415 	 -1.20497 	-0.49415 	 -1.11728 	-0.49415 	 -0.77160 	-0.49415 	 -0.76963 	-0.49415 	 -1.03431 	 
-0.49331 	 -0.78323 	-0.49331 	 -1.13965 	-0.49331 	 -1.23320 	-0.49331 	 -1.22264 	-0.49331 	 -1.22380 	-0.49331 	 -1.24455 	-0.49331 	 -1.15092 	-0.49331 	 -0.78556 	-0.49331 	 -0.78323 	-0.49331 	 -1.06297 	 
-0.49247 	 -0.79653 	-0.49247 	 -1.17268 	-0.49247 	 -1.27194 	-0.49247 	 -1.25808 	-0.49247 	 -1.25927 	-0.49247 	 -1.28384 	-0.49247 	 -1.18449 	-0.49247 	 -0.79912 	-0.49247 	 -0.79653 	-0.49247 	 -1.09139 	 
-0.49162 	 -0.80072 	-0.49162 	 -1.19582 	-0.49162 	 -1.30038 	-0.49162 	 -1.28316 	-0.49162 	 -1.28437 	-0.49162 	 -1.31279 	-0.49162 	 -1.20814 	-0.49162 	 -0.80333 	-0.49162 	 -0.80072 	-0.49162 	 -1.10994 	 
-0.49077 	 -0.80289 	-0.49077 	 -1.21736 	-0.49077 	 -1.32693 	-0.49077 	 -1.30636 	-0.49077 	 -1.30755 	-0.49077 	 -1.33986 	-0.49077 	 -1.23014 	-0.49077 	 -0.80589 	-0.49077 	 -0.80289 	-0.49077 	 -1.12665 	 
-0.48990 	 -0.80073 	-0.48990 	 -1.23401 	-0.48990 	 -1.34834 	-0.48990 	 -1.32434 	-0.48990 	 -1.32553 	-0.48990 	 -1.36176 	-0.48990 	 -1.24727 	-0.48990 	 -0.80379 	-0.48990 	 -0.80073 	-0.48990 	 -1.13850 	 
-0.48902 	 -0.79514 	-0.48902 	 -1.24718 	-0.48902 	 -1.36593 	-0.48902 	 -1.33848 	-0.48902 	 -1.33964 	-0.48902 	 -1.37982 	-0.48902 	 -1.26086 	-0.48902 	 -0.79849 	-0.48902 	 -0.79514 	-0.48902 	 -1.14674 	 
-0.48813 	 -0.78766 	-0.48813 	 -1.25806 	-0.48813 	 -1.38098 	-0.48813 	 -1.35003 	-0.48813 	 -1.35117 	-0.48813 	 -1.39532 	-0.48813 	 -1.27216 	-0.48813 	 -0.79124 	-0.48813 	 -0.78766 	-0.48813 	 -1.15270 	 
-0.48722 	 -0.77761 	-0.48722 	 -1.26568 	-0.48722 	 -1.39244 	-0.48722 	 -1.35795 	-0.48722 	 -1.35905 	-0.48722 	 -1.40722 	-0.48722 	 -1.28017 	-0.48722 	 -0.78140 	-0.48722 	 -0.77761 	-0.48722 	 -1.15546 	 
-0.48630 	 -0.76657 	-0.48630 	 -1.27150 	-0.48630 	 -1.40179 	-0.48630 	 -1.36372 	-0.48630 	 -1.36478 	-0.48630 	 -1.41698 	-0.48630 	 -1.28636 	-0.48630 	 -0.77067 	-0.48630 	 -0.76657 	-0.48630 	 -1.15655 	 
-0.48536 	 -0.75467 	-0.48536 	 -1.27518 	-0.48536 	 -1.40869 	-0.48536 	 -1.36702 	-0.48536 	 -1.36802 	-0.48536 	 -1.42427 	-0.48536 	 -1.29038 	-0.48536 	 -0.75901 	-0.48536 	 -0.75467 	-0.48536 	 -1.15577 	 
-0.48441 	 -0.74244 	-0.48441 	 -1.27703 	-0.48441 	 -1.41342 	-0.48441 	 -1.36817 	-0.48441 	 -1.36909 	-0.48441 	 -1.42937 	-0.48441 	 -1.29256 	-0.48441 	 -0.74710 	-0.48441 	 -0.74244 	-0.48441 	 -1.15351 	 
-0.48343 	 -0.73079 	-0.48343 	 -1.27761 	-0.48343 	 -1.41654 	-0.48343 	 -1.36769 	-0.48343 	 -1.36851 	-0.48343 	 -1.43285 	-0.48343 	 -1.29343 	-0.48343 	 -0.73578 	-0.48343 	 -0.73079 	-0.48343 	 -1.15044 	 
-0.48244 	 -0.71995 	-0.48244 	 -1.27678 	-0.48244 	 -1.41791 	-0.48244 	 -1.36539 	-0.48244 	 -1.36611 	-0.48244 	 -1.43454 	-0.48244 	 -1.29285 	-0.48244 	 -0.72528 	-0.48244 	 -0.71995 	-0.48244 	 -1.14653 	 
-0.48142 	 -0.71054 	-0.48142 	 -1.27500 	-0.48142 	 -1.41793 	-0.48142 	 -1.36174 	-0.48142 	 -1.36235 	-0.48142 	 -1.43488 	-0.48142 	 -1.29127 	-0.48142 	 -0.71625 	-0.48142 	 -0.71054 	-0.48142 	 -1.14228 	 
-0.48038 	 -0.70266 	-0.48038 	 -1.27239 	-0.48038 	 -1.41668 	-0.48038 	 -1.35690 	-0.48038 	 -1.35740 	-0.48038 	 -1.43393 	-0.48038 	 -1.28880 	-0.48038 	 -0.70876 	-0.48038 	 -0.70266 	-0.48038 	 -1.13780 	 
-0.47932 	 -0.69617 	-0.47932 	 -1.26908 	-0.47932 	 -1.41432 	-0.47932 	 -1.35108 	-0.47932 	 -1.35146 	-0.47932 	 -1.43181 	-0.47932 	 -1.28559 	-0.47932 	 -0.70270 	-0.47932 	 -0.69617 	-0.47932 	 -1.13315 	 
-0.47823 	 -0.69098 	-0.47823 	 -1.26536 	-0.47823 	 -1.41115 	-0.47823 	 -1.34459 	-0.47823 	 -1.34485 	-0.47823 	 -1.42882 	-0.47823 	 -1.28189 	-0.47823 	 -0.69792 	-0.47823 	 -0.69098 	-0.47823 	 -1.12850 	 
-0.47712 	 -0.68679 	-0.47712 	 -1.26131 	-0.47712 	 -1.40728 	-0.47712 	 -1.33755 	-0.47712 	 -1.33769 	-0.47712 	 -1.42508 	-0.47712 	 -1.27780 	-0.47712 	 -0.69409 	-0.47712 	 -0.68679 	-0.47712 	 -1.12382 	 
-0.47598 	 -0.68352 	-0.47598 	 -1.25719 	-0.47598 	 -1.40295 	-0.47598 	 -1.33024 	-0.47598 	 -1.33026 	-0.47598 	 -1.42082 	-0.47598 	 -1.27355 	-0.47598 	 -0.69115 	-0.47598 	 -0.68352 	-0.47598 	 -1.11924 	 
-0.47481 	 -0.68107 	-0.47481 	 -1.25314 	-0.47481 	 -1.39828 	-0.47481 	 -1.32291 	-0.47481 	 -1.32283 	-0.47481 	 -1.41616 	-0.47481 	 -1.26928 	-0.47481 	 -0.68895 	-0.47481 	 -0.68107 	-0.47481 	 -1.11485 	 
-0.47362 	 -0.67939 	-0.47362 	 -1.24931 	-0.47362 	 -1.39344 	-0.47362 	 -1.31582 	-0.47362 	 -1.31567 	-0.47362 	 -1.41125 	-0.47362 	 -1.26514 	-0.47362 	 -0.68742 	-0.47362 	 -0.67939 	-0.47362 	 -1.11076 	 
-0.47239 	 -0.67841 	-0.47239 	 -1.24588 	-0.47239 	 -1.38865 	-0.47239 	 -1.30929 	-0.47239 	 -1.30908 	-0.47239 	 -1.40628 	-0.47239 	 -1.26128 	-0.47239 	 -0.68647 	-0.47239 	 -0.67841 	-0.47239 	 -1.10708 	 
-0.47114 	 -0.67800 	-0.47114 	 -1.24299 	-0.47114 	 -1.38411 	-0.47114 	 -1.30350 	-0.47114 	 -1.30325 	-0.47114 	 -1.40141 	-0.47114 	 -1.25782 	-0.47114 	 -0.68597 	-0.47114 	 -0.67800 	-0.47114 	 -1.10390 	 
-0.46985 	 -0.67810 	-0.46985 	 -1.24080 	-0.46985 	 -1.38005 	-0.46985 	 -1.29858 	-0.46985 	 -1.29829 	-0.46985 	 -1.39686 	-0.46985 	 -1.25491 	-0.46985 	 -0.68580 	-0.46985 	 -0.67810 	-0.46985 	 -1.10128 	 
-0.46853 	 -0.67863 	-0.46853 	 -1.23947 	-0.46853 	 -1.37662 	-0.46853 	 -1.29454 	-0.46853 	 -1.29423 	-0.46853 	 -1.39279 	-0.46853 	 -1.25268 	-0.46853 	 -0.68585 	-0.46853 	 -0.67863 	-0.46853 	 -1.09927 	 
-0.46718 	 -0.67958 	-0.46718 	 -1.23913 	-0.46718 	 -1.37389 	-0.46718 	 -1.29132 	-0.46718 	 -1.29101 	-0.46718 	 -1.38929 	-0.46718 	 -1.25124 	-0.46718 	 -0.68606 	-0.46718 	 -0.67958 	-0.46718 	 -1.09790 	 
