"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
6.15423e-05	-1.74589e-06	8.69166e-06	-1.76334e-05	-9.81463e-01	-3.92586e-01	-4.60000e-01	5.62610e-02	2.19896e-01
5.89842e-05	-1.88697e-06	8.66556e-06	-1.77247e-05	-9.81437e-01	-3.92576e-01	-4.60000e-01	5.62030e-02	2.20000e-01
6.90005e-05	-6.60451e-07	7.75541e-06	-1.52117e-05	-9.82013e-01	-3.92807e-01	-4.60000e-01	5.72440e-02	2.18095e-01
5.90568e-05	-9.87508e-07	7.34747e-06	-1.49059e-05	-9.82060e-01	-3.92826e-01	-4.60000e-01	5.74015e-02	2.17800e-01
6.07263e-05	-3.65496e-07	6.56529e-06	-1.31797e-05	-9.82210e-01	-3.92907e-01	-4.60000e-01	5.82294e-02	2.16225e-01
4.76302e-05	-7.97938e-07	6.02779e-06	-1.28300e-05	-9.82201e-01	-3.92903e-01	-4.60000e-01	5.85502e-02	2.15600e-01
5.29895e-05	-3.92017e-07	5.93316e-06	-1.26699e-05	-9.82195e-01	-3.92873e-01	-4.60000e-01	5.92173e-02	2.14260e-01
4.65989e-05	-6.00218e-07	5.66611e-06	-1.27149e-05	-9.82162e-01	-3.92860e-01	-4.60000e-01	5.96358e-02	2.13400e-01
5.56943e-05	-2.01071e-07	5.92379e-06	-1.33956e-05	-9.82143e-01	-3.92861e-01	-4.60000e-01	6.02079e-02	2.12166e-01
4.99393e-05	-3.78046e-07	5.66226e-06	-1.35128e-05	-9.82106e-01	-3.92846e-01	-4.60000e-01	6.06452e-02	2.11200e-01
5.97721e-05	-5.44061e-08	6.10688e-06	-1.50552e-05	-9.82108e-01	-3.92844e-01	-4.60000e-01	6.12012e-02	2.09886e-01
5.56556e-05	-2.53233e-07	6.05147e-06	-1.57338e-05	-9.82061e-01	-3.92826e-01	-4.60000e-01	6.15676e-02	2.09000e-01
7.66525e-05	2.93518e-07	7.17663e-06	-1.96804e-05	-9.82112e-01	-3.92846e-01	-4.60000e-01	6.21974e-02	2.07334e-01
7.86871e-05	2.69042e-07	7.42190e-06	-2.08695e-05	-9.82100e-01	-3.92841e-01	-4.60000e-01	6.23944e-02	2.06800e-01
1.39382e-04	2.09703e-06	1.00516e-05	-2.97488e-05	-9.82404e-01	-3.92963e-01	-4.60000e-01	6.31171e-02	2.04600e-01
1.58166e-04	2.77727e-06	1.06166e-05	-3.14357e-05	-9.82532e-01	-3.93014e-01	-4.60000e-01	6.31965e-02	2.04319e-01
2.74510e-04	6.86483e-06	1.43641e-05	-4.31810e-05	-9.83344e-01	-3.93339e-01	-4.60000e-01	6.37258e-02	2.02400e-01
4.75417e-04	1.45502e-05	1.93723e-05	-5.99548e-05	-9.85052e-01	-3.94022e-01	-4.60000e-01	6.41985e-02	2.00313e-01
4.85959e-04	1.49497e-05	1.96431e-05	-6.08743e-05	-9.85143e-01	-3.94059e-01	-4.60000e-01	6.42234e-02	2.00200e-01
8.37151e-04	2.90336e-05	2.68183e-05	-8.47307e-05	-9.88704e-01	-3.95484e-01	-4.60000e-01	6.45954e-02	1.98000e-01
1.31692e-03	4.91060e-05	3.47142e-05	-1.15130e-04	-9.94529e-01	-3.97814e-01	-4.60000e-01	6.48470e-02	1.95800e-01
1.93143e-03	7.59080e-05	4.26157e-05	-1.53250e-04	-1.00373e+00	-4.01493e-01	-4.60000e-01	6.49739e-02	1.93600e-01
2.64843e-03	1.08783e-04	4.89873e-05	-1.98815e-04	-1.01769e+00	-4.07079e-01	-4.60000e-01	6.49739e-02	1.91400e-01
3.40882e-03	1.45950e-04	5.20636e-05	-2.49883e-04	-1.03781e+00	-4.15128e-01	-4.60000e-01	6.48470e-02	1.89200e-01
4.14099e-03	1.84866e-04	5.04081e-05	-3.03346e-04	-1.06519e+00	-4.26082e-01	-4.60000e-01	6.45954e-02	1.87000e-01
4.78227e-03	2.22872e-04	4.35425e-05	-3.54937e-04	-1.10040e+00	-4.40168e-01	-4.60000e-01	6.42234e-02	1.84800e-01
5.31021e-03	2.58157e-04	3.31045e-05	-3.98711e-04	-1.14344e+00	-4.57385e-01	-4.60000e-01	6.37258e-02	1.82600e-01
4.81014e-03	2.24719e-04	4.29831e-05	-3.57343e-04	-1.10259e+00	-4.41043e-01	-4.60000e-01	6.41985e-02	1.84687e-01
5.72800e-03	2.89690e-04	2.13765e-05	-4.30467e-04	-1.19273e+00	-4.77103e-01	-4.60000e-01	6.31171e-02	1.80400e-01
5.67843e-03	2.85868e-04	2.27782e-05	-4.26969e-04	-1.18649e+00	-4.74604e-01	-4.60000e-01	6.31965e-02	1.80681e-01
6.02893e-03	3.15208e-04	1.17135e-05	-4.44519e-04	-1.24589e+00	-4.98367e-01	-4.60000e-01	6.23944e-02	1.78200e-01
6.22127e-03	3.33119e-04	7.19936e-06	-4.37666e-04	-1.29953e+00	-5.19823e-01	-4.60000e-01	6.15676e-02	1.76000e-01
6.08479e-03	3.20084e-04	1.04219e-05	-4.43687e-04	-1.25928e+00	-5.03723e-01	-4.60000e-01	6.21974e-02	1.77666e-01
6.33261e-03	3.43212e-04	9.96251e-06	-4.11353e-04	-1.35008e+00	-5.40041e-01	-4.60000e-01	6.06452e-02	1.73800e-01
6.27889e-03	3.37865e-04	8.23112e-06	-4.27477e-04	-1.32047e+00	-5.28197e-01	-4.60000e-01	6.12012e-02	1.75114e-01
6.32951e-03	3.43305e-04	1.93700e-05	-3.69247e-04	-1.39455e+00	-5.57827e-01	-4.60000e-01	5.96358e-02	1.71600e-01
6.34148e-03	3.43710e-04	1.42527e-05	-3.92416e-04	-1.37010e+00	-5.48051e-01	-4.60000e-01	6.02079e-02	1.72834e-01
6.11045e-03	3.27767e-04	3.37846e-05	-3.09583e-04	-1.43057e+00	-5.72234e-01	-4.60000e-01	5.85502e-02	1.69400e-01
6.24560e-03	3.37145e-04	2.53916e-05	-3.44480e-04	-1.40889e+00	-5.63562e-01	-4.60000e-01	5.92173e-02	1.70740e-01
5.59909e-03	2.92549e-04	5.09059e-05	-2.32564e-04	-1.45562e+00	-5.82253e-01	-4.60000e-01	5.74015e-02	1.67200e-01
5.95961e-03	3.17242e-04	3.91435e-05	-2.85783e-04	-1.43759e+00	-5.75040e-01	-4.60000e-01	5.82294e-02	1.68775e-01
4.81858e-03	2.41727e-04	6.46903e-05	-1.51499e-04	-1.46959e+00	-5.87838e-01	-4.60000e-01	5.62030e-02	1.65000e-01
4.85304e-03	2.43972e-04	6.41098e-05	-1.54970e-04	-1.46885e+00	-5.87544e-01	-4.60000e-01	5.62610e-02	1.65104e-01
5.48984e-03	2.85394e-04	5.30047e-05	-2.20711e-04	-1.45729e+00	-5.82920e-01	-4.60000e-01	5.72440e-02	1.66905e-01
3.83376e-03	1.83018e-04	6.84300e-05	-8.40872e-05	-1.47591e+00	-5.90368e-01	-4.60000e-01	5.49676e-02	1.62800e-01
4.07237e-03	1.97308e-04	6.76225e-05	-1.00242e-04	-1.47403e+00	-5.89617e-01	-4.60000e-01	5.52802e-02	1.63347e-01
2.72697e-03	1.23564e-04	5.93699e-05	-3.82739e-05	-1.47879e+00	-5.91518e-01	-4.60000e-01	5.37180e-02	1.60600e-01
3.23702e-03	1.51090e-04	6.36168e-05	-5.95362e-05	-1.47723e+00	-5.90895e-01	-4.60000e-01	5.43013e-02	1.61614e-01
1.62275e-03	6.97844e-05	4.06069e-05	-1.19187e-05	-1.48051e+00	-5.92205e-01	-4.60000e-01	5.24740e-02	1.58400e-01
