x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	
-5.000000e-01 	 1.667140e-02 	-5.149700e-01 	 1.776570e-02 	-5.000000e-01 	 1.842380e-02 	-4.850300e-01 	 2.682390e-02 	-5.000000e-01 	 1.903430e-02 	-5.149700e-01 	 1.878730e-02 	-5.000000e-01 	 1.900050e-02 	-4.850300e-01 	 2.688300e-02 	-5.000000e-01 	 1.908000e-02 	-5.149700e-01 	 1.878310e-02 	-5.000000e-01 	 1.893810e-02 	-4.850300e-01 	 2.677020e-02 	-5.000000e-01 	 1.848880e-02 	-5.149700e-01 	 1.772660e-02 	-5.000000e-01 	 1.679450e-02 	-4.850300e-01 	 2.197890e-02 	-5.000000e-01 	 1.667040e-02 	 
-4.999470e-01 	 3.506290e-03 	-5.149180e-01 	 -4.442780e-04 	-4.999470e-01 	 3.489190e-03 	-4.849760e-01 	 7.063910e-04 	-4.999470e-01 	 3.645720e-03 	-5.149180e-01 	 -3.674850e-04 	-4.999470e-01 	 3.610300e-03 	-4.849760e-01 	 4.652990e-04 	-4.999470e-01 	 3.614920e-03 	-5.149180e-01 	 -3.617830e-04 	-4.999470e-01 	 3.637980e-03 	-4.849760e-01 	 6.921460e-04 	-4.999470e-01 	 3.491570e-03 	-5.149180e-01 	 -4.349490e-04 	-4.999470e-01 	 3.048210e-03 	-4.849760e-01 	 -1.039710e-03 	-4.999470e-01 	 3.506290e-03 	 
-4.997880e-01 	 7.605660e-03 	-5.147610e-01 	 4.122130e-03 	-4.997880e-01 	 8.547940e-03 	-4.848140e-01 	 5.690420e-03 	-4.997880e-01 	 8.878100e-03 	-5.147610e-01 	 4.495610e-03 	-4.997880e-01 	 8.800370e-03 	-4.848140e-01 	 5.209730e-03 	-4.997880e-01 	 8.810100e-03 	-5.147610e-01 	 4.502460e-03 	-4.997880e-01 	 8.860000e-03 	-4.848140e-01 	 5.665070e-03 	-4.997880e-01 	 8.551110e-03 	-5.147610e-01 	 4.117750e-03 	-4.997880e-01 	 7.557160e-03 	-4.848140e-01 	 2.138610e-03 	-4.997880e-01 	 7.605660e-03 	 
-4.995210e-01 	 1.237470e-02 	-5.144990e-01 	 1.167090e-02 	-4.995210e-01 	 1.413320e-02 	-4.845430e-01 	 1.380760e-02 	-4.995210e-01 	 1.469680e-02 	-5.144990e-01 	 1.255300e-02 	-4.995210e-01 	 1.456590e-02 	-4.845430e-01 	 1.305190e-02 	-4.995210e-01 	 1.458430e-02 	-5.144990e-01 	 1.256020e-02 	-4.995210e-01 	 1.466320e-02 	-4.845430e-01 	 1.376370e-02 	-4.995210e-01 	 1.413990e-02 	-5.144990e-01 	 1.164910e-02 	-4.995210e-01 	 1.250310e-02 	-4.845430e-01 	 7.607980e-03 	-4.995210e-01 	 1.237470e-02 	 
-4.991480e-01 	 1.345500e-02 	-5.141310e-01 	 1.475280e-02 	-4.991480e-01 	 1.546900e-02 	-4.841650e-01 	 1.526340e-02 	-4.991480e-01 	 1.616570e-02 	-5.141310e-01 	 1.593510e-02 	-4.991480e-01 	 1.598320e-02 	-4.841650e-01 	 1.418610e-02 	-4.991480e-01 	 1.599670e-02 	-5.141310e-01 	 1.594450e-02 	-4.991480e-01 	 1.613340e-02 	-4.841650e-01 	 1.520990e-02 	-4.991480e-01 	 1.546820e-02 	-5.141310e-01 	 1.472540e-02 	-4.991480e-01 	 1.352870e-02 	-4.841650e-01 	 7.176670e-03 	-4.991480e-01 	 1.345500e-02 	 
-4.986690e-01 	 1.504210e-02 	-5.136590e-01 	 1.802730e-02 	-4.986690e-01 	 1.743290e-02 	-4.836790e-01 	 1.664080e-02 	-4.986690e-01 	 1.827240e-02 	-5.136590e-01 	 1.948180e-02 	-4.986690e-01 	 1.803500e-02 	-4.836790e-01 	 1.522160e-02 	-4.986690e-01 	 1.804990e-02 	-5.136590e-01 	 1.949230e-02 	-4.986690e-01 	 1.823490e-02 	-4.836790e-01 	 1.658090e-02 	-4.986690e-01 	 1.743030e-02 	-5.136590e-01 	 1.799170e-02 	-4.986690e-01 	 1.515300e-02 	-4.836790e-01 	 6.869480e-03 	-4.986690e-01 	 1.504210e-02 	 
-4.980870e-01 	 1.603060e-02 	-5.130860e-01 	 2.054690e-02 	-4.980870e-01 	 1.870490e-02 	-4.830880e-01 	 1.687810e-02 	-4.980870e-01 	 1.967130e-02 	-5.130860e-01 	 2.222880e-02 	-4.980870e-01 	 1.937660e-02 	-4.830880e-01 	 1.507440e-02 	-4.980870e-01 	 1.939190e-02 	-5.130860e-01 	 2.223980e-02 	-4.980870e-01 	 1.963010e-02 	-4.830880e-01 	 1.681560e-02 	-4.980870e-01 	 1.870010e-02 	-5.130860e-01 	 2.050220e-02 	-4.980870e-01 	 1.611680e-02 	-4.830880e-01 	 5.765030e-03 	-4.980870e-01 	 1.603060e-02 	 
-4.974060e-01 	 1.629920e-02 	-5.124130e-01 	 2.195770e-02 	-4.974060e-01 	 1.925330e-02 	-4.823970e-01 	 1.561270e-02 	-4.974060e-01 	 2.032750e-02 	-5.124130e-01 	 2.381850e-02 	-4.974060e-01 	 1.997580e-02 	-4.823970e-01 	 1.340420e-02 	-4.974060e-01 	 1.998860e-02 	-5.124130e-01 	 2.383010e-02 	-4.974060e-01 	 2.028590e-02 	-4.823970e-01 	 1.555240e-02 	-4.974060e-01 	 1.924330e-02 	-5.124130e-01 	 2.190440e-02 	-4.974060e-01 	 1.638350e-02 	-4.823970e-01 	 3.790260e-03 	-4.974060e-01 	 1.629920e-02 	 
-4.966270e-01 	 1.634960e-02 	-5.116450e-01 	 2.291610e-02 	-4.966270e-01 	 1.960130e-02 	-4.816080e-01 	 1.384360e-02 	-4.966270e-01 	 2.077910e-02 	-5.116450e-01 	 2.494370e-02 	-4.966270e-01 	 2.036860e-02 	-4.816080e-01 	 1.125490e-02 	-4.966270e-01 	 2.037830e-02 	-5.116450e-01 	 2.495570e-02 	-4.966270e-01 	 2.073800e-02 	-4.816080e-01 	 1.378910e-02 	-4.966270e-01 	 1.958530e-02 	-5.116450e-01 	 2.285370e-02 	-4.966270e-01 	 1.642550e-02 	-4.816080e-01 	 2.058750e-03 	-4.966270e-01 	 1.634960e-02 	 
-4.958020e-01 	 1.593560e-02 	-5.108310e-01 	 2.318560e-02 	-4.958020e-01 	 1.948170e-02 	-4.807710e-01 	 1.140510e-02 	-4.958020e-01 	 2.075170e-02 	-5.108310e-01 	 2.535670e-02 	-4.958020e-01 	 2.027910e-02 	-4.807710e-01 	 8.534700e-03 	-4.958020e-01 	 2.028770e-02 	-5.108310e-01 	 2.536910e-02 	-4.958020e-01 	 2.070930e-02 	-4.807710e-01 	 1.135980e-02 	-4.958020e-01 	 1.946190e-02 	-5.108310e-01 	 2.311480e-02 	-4.958020e-01 	 1.600080e-02 	-4.807710e-01 	 5.369300e-04 	-4.958020e-01 	 1.593560e-02 	 
-4.949750e-01 	 1.536070e-02 	-5.100150e-01 	 2.313590e-02 	-4.949750e-01 	 1.921570e-02 	-4.799330e-01 	 8.908670e-03 	-4.949750e-01 	 2.056420e-02 	-5.100150e-01 	 2.543400e-02 	-4.949750e-01 	 2.003390e-02 	-4.799330e-01 	 5.938920e-03 	-4.949750e-01 	 2.003920e-02 	-5.100150e-01 	 2.544680e-02 	-4.949750e-01 	 2.052320e-02 	-4.799330e-01 	 8.875120e-03 	-4.949750e-01 	 1.918970e-02 	-5.100150e-01 	 2.305760e-02 	-4.949750e-01 	 1.542450e-02 	-4.799330e-01 	 -3.607610e-04 	-4.949750e-01 	 1.536070e-02 	 
-4.941450e-01 	 1.462640e-02 	-5.091960e-01 	 2.287200e-02 	-4.941450e-01 	 1.879360e-02 	-4.790920e-01 	 6.556450e-03 	-4.941450e-01 	 2.021350e-02 	-5.091960e-01 	 2.529110e-02 	-4.941450e-01 	 1.962460e-02 	-4.790920e-01 	 3.689840e-03 	-4.941450e-01 	 1.962800e-02 	-5.091960e-01 	 2.530420e-02 	-4.941450e-01 	 2.017260e-02 	-4.790920e-01 	 6.536210e-03 	-4.941450e-01 	 1.876280e-02 	-5.091960e-01 	 2.278640e-02 	-4.941450e-01 	 1.467870e-02 	-4.790920e-01 	 -8.499880e-04 	-4.941450e-01 	 1.462640e-02 	 
-4.933110e-01 	 1.376220e-02 	-5.083720e-01 	 2.241030e-02 	-4.933110e-01 	 1.826820e-02 	-4.782470e-01 	 4.368000e-03 	-4.933110e-01 	 1.975240e-02 	-5.083720e-01 	 2.494240e-02 	-4.933110e-01 	 1.910410e-02 	-4.782470e-01 	 1.816360e-03 	-4.933110e-01 	 1.910670e-02 	-5.083720e-01 	 2.495570e-02 	-4.933110e-01 	 1.971100e-02 	-4.782470e-01 	 4.363880e-03 	-4.933110e-01 	 1.823360e-02 	-5.083720e-01 	 2.231780e-02 	-4.933110e-01 	 1.381270e-02 	-4.782470e-01 	 -1.163120e-03 	-4.933110e-01 	 1.376220e-02 	 
-4.924700e-01 	 1.284570e-02 	-5.075420e-01 	 2.190590e-02 	-4.924700e-01 	 1.771170e-02 	-4.773950e-01 	 2.612460e-03 	-4.924700e-01 	 1.925320e-02 	-5.075420e-01 	 2.455100e-02 	-4.924700e-01 	 1.854620e-02 	-4.773950e-01 	 5.450540e-04 	-4.924700e-01 	 1.854720e-02 	-5.075420e-01 	 2.456460e-02 	-4.924700e-01 	 1.921210e-02 	-4.773950e-01 	 2.628580e-03 	-4.924700e-01 	 1.767230e-02 	-5.075420e-01 	 2.180620e-02 	-4.924700e-01 	 1.289100e-02 	-4.773950e-01 	 -1.247310e-03 	-4.924700e-01 	 1.284570e-02 	 
-4.916220e-01 	 1.182800e-02 	-5.067040e-01 	 2.131250e-02 	-4.916220e-01 	 1.707750e-02 	-4.765370e-01 	 1.206010e-03 	-4.916220e-01 	 1.867090e-02 	-5.067040e-01 	 2.407160e-02 	-4.916220e-01 	 1.790270e-02 	-4.765370e-01 	 -2.961710e-04 	-4.916220e-01 	 1.790380e-02 	-5.067040e-01 	 2.408550e-02 	-4.916220e-01 	 1.862860e-02 	-4.765370e-01 	 1.246860e-03 	-4.916220e-01 	 1.703500e-02 	-5.067040e-01 	 2.120530e-02 	-4.916220e-01 	 1.186890e-02 	-4.765370e-01 	 -1.243720e-03 	-4.916220e-01 	 1.182800e-02 	 
-4.907650e-01 	 1.077480e-02 	-5.058580e-01 	 2.069290e-02 	-4.907650e-01 	 1.643440e-02 	-4.756690e-01 	 2.307440e-04 	-4.907650e-01 	 1.807220e-02 	-5.058580e-01 	 2.356680e-02 	-4.907650e-01 	 1.724300e-02 	-4.756690e-01 	 -7.477280e-04 	-4.907650e-01 	 1.724360e-02 	-5.058580e-01 	 2.358080e-02 	-4.907650e-01 	 1.802920e-02 	-4.756690e-01 	 2.988920e-04 	-4.907650e-01 	 1.638840e-02 	-5.058580e-01 	 2.057750e-02 	-4.907650e-01 	 1.081550e-02 	-4.756690e-01 	 -1.112840e-03 	-4.907650e-01 	 1.077480e-02 	 
-4.898980e-01 	 9.681250e-03 	-5.050000e-01 	 2.004280e-02 	-4.898980e-01 	 1.576930e-02 	-4.747920e-01 	 -3.985040e-04 	-4.898980e-01 	 1.744590e-02 	-5.050000e-01 	 2.303500e-02 	-4.898980e-01 	 1.655370e-02 	-4.747920e-01 	 -1.019840e-03 	-4.898980e-01 	 1.655410e-02 	-5.050000e-01 	 2.304910e-02 	-4.898980e-01 	 1.740180e-02 	-4.747920e-01 	 -3.061410e-04 	-4.898980e-01 	 1.572030e-02 	-5.050000e-01 	 1.991870e-02 	-4.898980e-01 	 9.719490e-03 	-4.747920e-01 	 -9.591330e-04 	-4.898980e-01 	 9.681250e-03 	 
-4.890190e-01 	 8.563100e-03 	-5.041310e-01 	 1.936020e-02 	-4.890190e-01 	 1.508910e-02 	-4.739030e-01 	 -7.944410e-04 	-4.890190e-01 	 1.679630e-02 	-5.041310e-01 	 2.247280e-02 	-4.890190e-01 	 1.583990e-02 	-4.739030e-01 	 -1.257230e-03 	-4.890190e-01 	 1.584040e-02 	-5.041310e-01 	 2.248690e-02 	-4.890190e-01 	 1.675090e-02 	-4.739030e-01 	 -6.958780e-04 	-4.890190e-01 	 1.503770e-02 	-5.041310e-01 	 1.922660e-02 	-4.890190e-01 	 8.602930e-03 	-4.739030e-01 	 -8.196030e-04 	-4.890190e-01 	 8.563100e-03 	 
-4.881270e-01 	 7.447090e-03 	-5.032490e-01 	 1.869260e-02 	-4.881270e-01 	 1.440640e-02 	-4.730020e-01 	 -1.042180e-03 	-4.881270e-01 	 1.613490e-02 	-5.032490e-01 	 2.193300e-02 	-4.881270e-01 	 1.511270e-02 	-4.730020e-01 	 -1.434830e-03 	-4.881270e-01 	 1.511270e-02 	-5.032490e-01 	 2.194700e-02 	-4.881270e-01 	 1.608870e-02 	-4.730020e-01 	 -9.747630e-04 	-4.881270e-01 	 1.435210e-02 	-5.032490e-01 	 1.854820e-02 	-4.881270e-01 	 7.487690e-03 	-4.730020e-01 	 -6.812000e-04 	-4.881270e-01 	 7.447090e-03 	 
