"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.77448e-02	-5.76185e-04	9.08964e-04	-6.28629e-04	-2.21369e-01	-8.85650e-02	-5.11558e-01	0.00000e+00	7.04000e-02
9.36226e-04	1.30930e-04	4.19018e-05	-1.79369e-04	-4.90892e-01	-1.96368e-01	-5.11505e-01	2.24939e-03	7.04000e-02
5.63289e-03	1.48982e-04	2.75836e-04	-2.08092e-04	-3.92998e-01	-1.57204e-01	-5.11348e-01	4.49387e-03	7.04000e-02
1.23521e-02	1.95218e-04	6.10572e-04	-2.31585e-04	-4.63908e-01	-1.85571e-01	-5.11084e-01	6.72839e-03	7.04000e-02
1.46513e-02	2.66981e-04	7.10924e-04	-2.17435e-04	-4.79842e-01	-1.91945e-01	-5.10715e-01	8.94792e-03	7.04000e-02
1.74113e-02	3.03442e-04	8.39779e-04	-2.14283e-04	-5.40994e-01	-2.16407e-01	-5.10242e-01	1.11476e-02	7.04000e-02
1.95525e-02	3.74296e-04	9.26495e-04	-1.89905e-04	-6.24309e-01	-2.49734e-01	-5.09667e-01	1.33228e-02	7.04000e-02
2.08011e-02	4.16451e-04	9.72154e-04	-1.74660e-04	-6.79665e-01	-2.71877e-01	-5.08992e-01	1.54693e-02	7.04000e-02
2.17694e-02	4.65846e-04	9.99015e-04	-1.51228e-04	-7.68607e-01	-3.07454e-01	-5.08222e-01	1.75833e-02	7.04000e-02
2.21532e-02	5.03334e-04	9.97591e-04	-1.32570e-04	-8.30512e-01	-3.32216e-01	-5.07405e-01	1.95604e-02	7.04000e-02
2.22821e-02	5.30483e-04	9.86168e-04	-1.17769e-04	-8.90613e-01	-3.56257e-01	-5.06584e-01	2.13468e-02	7.04000e-02
2.22221e-02	5.55584e-04	9.64629e-04	-1.03436e-04	-9.46660e-01	-3.78675e-01	-5.05757e-01	2.29942e-02	7.04000e-02
2.19928e-02	5.70988e-04	9.38093e-04	-9.42382e-05	-9.89227e-01	-3.95702e-01	-5.04920e-01	2.45369e-02	7.04000e-02
2.17229e-02	5.85950e-04	9.09017e-04	-8.48895e-05	-1.03417e+00	-4.13677e-01	-5.04070e-01	2.59990e-02	7.04000e-02
2.13160e-02	5.94246e-04	8.75578e-04	-7.85539e-05	-1.06976e+00	-4.27913e-01	-5.03205e-01	2.73982e-02	7.04000e-02
2.09234e-02	6.01628e-04	8.43157e-04	-7.33935e-05	-1.10369e+00	-4.41485e-01	-5.02320e-01	2.87480e-02	7.04000e-02
2.04518e-02	6.05329e-04	8.08147e-04	-6.92944e-05	-1.13451e+00	-4.53812e-01	-5.01414e-01	3.00588e-02	7.04000e-02
1.99719e-02	6.07043e-04	7.73693e-04	-6.68084e-05	-1.16088e+00	-4.64360e-01	-5.00483e-01	3.13391e-02	7.04000e-02
1.94579e-02	6.06396e-04	7.38571e-04	-6.49038e-05	-1.18614e+00	-4.74466e-01	-4.99526e-01	3.25955e-02	7.04000e-02
