"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.85041e-02	-4.67155e-04	1.09013e-03	8.27515e-04	-4.17312e-01	-1.66947e-01	-5.02347e-01	0.00000e+00	1.07250e-01
3.33762e-03	2.42953e-04	1.85382e-04	2.25200e-04	-6.56761e-01	-2.62713e-01	-5.02294e-01	2.24938e-03	1.07250e-01
8.49779e-03	2.80260e-04	4.75766e-04	2.71637e-04	-5.81541e-01	-2.32625e-01	-5.02135e-01	4.49376e-03	1.07250e-01
1.43231e-02	3.33872e-04	8.01677e-04	2.79621e-04	-6.71429e-01	-2.68583e-01	-5.01869e-01	6.72799e-03	1.07250e-01
1.58222e-02	3.96045e-04	8.66874e-04	2.57053e-04	-7.02423e-01	-2.80982e-01	-5.01496e-01	8.94696e-03	1.07250e-01
1.79679e-02	4.33795e-04	9.72708e-04	2.53384e-04	-7.82729e-01	-3.13105e-01	-5.01019e-01	1.11457e-02	1.07250e-01
1.94179e-02	4.95148e-04	1.02911e-03	2.26661e-04	-8.71578e-01	-3.48645e-01	-5.00438e-01	1.33195e-02	1.07250e-01
2.01631e-02	5.31096e-04	1.04795e-03	2.14994e-04	-9.38816e-01	-3.75541e-01	-4.99758e-01	1.54642e-02	1.07250e-01
2.07204e-02	5.72431e-04	1.05199e-03	1.93650e-04	-1.03193e+00	-4.12788e-01	-4.98981e-01	1.75759e-02	1.07250e-01
2.07943e-02	6.01014e-04	1.03037e-03	1.79084e-04	-1.09699e+00	-4.38810e-01	-4.98157e-01	1.95504e-02	1.07250e-01
2.07046e-02	6.20985e-04	1.00260e-03	1.67284e-04	-1.16041e+00	-4.64180e-01	-4.97330e-01	2.13344e-02	1.07250e-01
2.04509e-02	6.37181e-04	9.66387e-04	1.55438e-04	-1.21559e+00	-4.86249e-01	-4.96497e-01	2.29793e-02	1.07250e-01
2.00844e-02	6.45190e-04	9.27413e-04	1.48725e-04	-1.25873e+00	-5.03507e-01	-4.95653e-01	2.45193e-02	1.07250e-01
1.96685e-02	6.51398e-04	8.86375e-04	1.40628e-04	-1.30182e+00	-5.20741e-01	-4.94797e-01	2.59783e-02	1.07250e-01
1.91634e-02	6.51799e-04	8.43151e-04	1.35666e-04	-1.33519e+00	-5.34086e-01	-4.93925e-01	2.73741e-02	1.07250e-01
1.86344e-02	6.49853e-04	7.99984e-04	1.30779e-04	-1.36644e+00	-5.46588e-01	-4.93035e-01	2.87201e-02	1.07250e-01
1.80715e-02	6.44977e-04	7.56683e-04	1.26781e-04	-1.39327e+00	-5.57318e-01	-4.92123e-01	3.00267e-02	1.07250e-01
1.74736e-02	6.37053e-04	7.13346e-04	1.23631e-04	-1.41556e+00	-5.66233e-01	-4.91187e-01	3.13023e-02	1.07250e-01
1.68660e-02	6.27154e-04	6.71035e-04	1.20548e-04	-1.43588e+00	-5.74361e-01	-4.90224e-01	3.25535e-02	1.07250e-01
