"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
1.70824e-02	-6.46284e-04	8.23855e-04	4.06047e-04	-7.61412e-02	-3.04713e-02	-5.13365e-01	0.00000e+00	2.00750e-01
8.08794e-05	5.65014e-05	1.26305e-06	7.71749e-05	-3.47524e-01	-1.39032e-01	-5.13313e-01	2.24940e-03	2.00750e-01
4.50243e-03	6.37853e-05	2.12256e-04	8.74792e-05	-2.44412e-01	-9.77672e-02	-5.13156e-01	4.49389e-03	2.00750e-01
1.13434e-02	9.92768e-05	5.38428e-04	1.01603e-04	-3.04930e-01	-1.21978e-01	-5.12893e-01	6.72847e-03	2.00750e-01
1.38531e-02	1.69794e-04	6.47096e-04	8.84424e-05	-3.12627e-01	-1.25057e-01	-5.12524e-01	8.94811e-03	2.00750e-01
1.67134e-02	2.04864e-04	7.77931e-04	8.21238e-05	-3.62551e-01	-1.45028e-01	-5.12052e-01	1.11479e-02	2.00750e-01
1.88996e-02	2.75366e-04	8.65728e-04	5.86828e-05	-4.36369e-01	-1.74556e-01	-5.11477e-01	1.33234e-02	2.00750e-01
2.01190e-02	3.17471e-04	9.11481e-04	4.19981e-05	-4.80914e-01	-1.92375e-01	-5.10804e-01	1.54702e-02	2.00750e-01
2.09663e-02	3.65818e-04	9.34969e-04	1.96034e-05	-5.58600e-01	-2.23449e-01	-5.10035e-01	1.75848e-02	2.00750e-01
2.12109e-02	4.02083e-04	9.30686e-04	7.33303e-07	-6.09664e-01	-2.43875e-01	-5.09219e-01	1.95623e-02	2.00750e-01
2.11758e-02	4.26828e-04	9.15853e-04	-1.43744e-05	-6.58698e-01	-2.63489e-01	-5.08400e-01	2.13492e-02	2.00750e-01
2.09447e-02	4.49227e-04	8.90871e-04	-2.89372e-05	-7.04446e-01	-2.81788e-01	-5.07574e-01	2.29971e-02	2.00750e-01
2.04990e-02	4.60216e-04	8.59530e-04	-3.93791e-05	-7.36534e-01	-2.94623e-01	-5.06738e-01	2.45403e-02	2.00750e-01
2.00260e-02	4.70666e-04	8.26370e-04	-4.97204e-05	-7.71172e-01	-3.08478e-01	-5.05890e-01	2.60030e-02	2.00750e-01
1.94534e-02	4.75007e-04	7.90760e-04	-5.77995e-05	-7.96488e-01	-3.18604e-01	-5.05025e-01	2.74029e-02	2.00750e-01
1.88201e-02	4.75962e-04	7.53390e-04	-6.49764e-05	-8.19971e-01	-3.27997e-01	-5.04142e-01	2.87534e-02	2.00750e-01
1.81503e-02	4.74112e-04	7.15358e-04	-7.13832e-05	-8.40326e-01	-3.36138e-01	-5.03237e-01	3.00651e-02	2.00750e-01
1.74154e-02	4.68219e-04	6.76024e-04	-7.66738e-05	-8.55999e-01	-3.42407e-01	-5.02307e-01	3.13463e-02	2.00750e-01
1.66896e-02	4.60912e-04	6.37927e-04	-8.17096e-05	-8.70335e-01	-3.48141e-01	-5.01350e-01	3.26037e-02	2.00750e-01
1.58870e-02	4.49689e-04	5.97970e-04	-8.60118e-05	-8.81119e-01	-3.52455e-01	-5.00364e-01	3.38427e-02	2.00750e-01
1.50779e-02	4.36471e-04	5.58964e-04	-9.01659e-05	-8.89311e-01	-3.55731e-01	-4.99345e-01	3.50679e-02	2.00750e-01
