"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.86831e-01	4.70428e-03	4.69253e-02	-2.51752e-03	7.06364e-01	2.82093e-01	-9.90240e-02	-5.00000e-01	0.00000e+00	1.10000e-01
9.63664e-01	-1.38774e-17	-1.73458e-18	0.00000e+00	6.88841e-01	2.75537e-01	-3.18055e-01	-4.99947e-01	2.24938e-03	1.10000e-01
9.61535e-01	3.70084e-22	3.46945e-18	0.00000e+00	6.86315e-01	2.74526e-01	-3.49629e-01	-4.99788e-01	4.49373e-03	1.10000e-01
9.43958e-01	6.93945e-18	1.04081e-17	0.00000e+00	6.74803e-01	2.69921e-01	-4.93537e-01	-4.99521e-01	6.72789e-03	1.10000e-01
9.37891e-01	-1.38774e-17	-3.46945e-18	0.00000e+00	6.69501e-01	2.67800e-01	-5.59810e-01	-4.99148e-01	8.94671e-03	1.10000e-01
9.19860e-01	6.93760e-18	1.73449e-18	0.00000e+00	6.57453e-01	2.62981e-01	-7.10404e-01	-4.98669e-01	1.11452e-02	1.10000e-01
9.05975e-01	3.46950e-17	0.00000e+00	0.00000e+00	6.46925e-01	2.58770e-01	-8.42003e-01	-4.98087e-01	1.33187e-02	1.10000e-01
8.92408e-01	1.11025e-21	0.00000e+00	0.00000e+00	6.37592e-01	2.55037e-01	-9.58671e-01	-4.97406e-01	1.54629e-02	1.10000e-01
8.75425e-01	6.93871e-18	5.20394e-18	0.00000e+00	6.25338e-01	2.50135e-01	-1.11185e+00	-4.96627e-01	1.75740e-02	1.10000e-01
8.63012e-01	4.16330e-17	5.20431e-18	0.00000e+00	6.16437e-01	2.46575e-01	-1.22311e+00	-4.95802e-01	1.95471e-02	1.10000e-01
8.50032e-01	-6.93871e-18	5.20412e-18	0.00000e+00	6.07281e-01	2.42912e-01	-1.33756e+00	-4.94976e-01	2.13254e-02	1.10000e-01
8.38771e-01	-1.38796e-17	0.00000e+00	0.00000e+00	5.99108e-01	2.39643e-01	-1.43973e+00	-4.94147e-01	2.29575e-02	1.10000e-01
8.29001e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.92234e-01	2.36894e-01	-1.52564e+00	-4.93315e-01	2.44754e-02	1.10000e-01
8.19394e-01	1.38763e-17	0.00000e+00	0.00000e+00	5.85302e-01	2.34121e-01	-1.61230e+00	-4.92478e-01	2.59015e-02	1.10000e-01
8.11128e-01	4.16334e-17	0.00000e+00	0.00000e+00	5.79434e-01	2.31774e-01	-1.68565e+00	-4.91636e-01	2.72523e-02	1.10000e-01
8.03261e-01	-1.38793e-17	6.93880e-18	0.00000e+00	5.73799e-01	2.29520e-01	-1.75608e+00	-4.90787e-01	2.85402e-02	1.10000e-01
7.96036e-01	2.08165e-17	0.00000e+00	0.00000e+00	5.68640e-01	2.27456e-01	-1.82057e+00	-4.89930e-01	2.97751e-02	1.10000e-01
7.89461e-01	1.38763e-17	0.00000e+00	0.00000e+00	5.63945e-01	2.25578e-01	-1.87925e+00	-4.89064e-01	3.09647e-02	1.10000e-01
7.83257e-01	-1.38774e-17	0.00000e+00	0.00000e+00	5.59509e-01	2.23804e-01	-1.93471e+00	-4.88189e-01	3.21153e-02	1.10000e-01
7.77618e-01	-6.93871e-18	-3.46935e-18	0.00000e+00	5.55484e-01	2.22193e-01	-1.98503e+00	-4.87303e-01	3.32323e-02	1.10000e-01
7.72363e-01	-6.93760e-18	3.46982e-18	0.00000e+00	5.51726e-01	2.20691e-01	-2.03199e+00	-4.86406e-01	3.43199e-02	1.10000e-01
7.67526e-01	-6.94019e-18	-1.73486e-18	0.00000e+00	5.48272e-01	2.19309e-01	-2.07518e+00	-4.85496e-01	3.53819e-02	1.10000e-01
7.63095e-01	2.77559e-17	1.73468e-18	0.00000e+00	5.45104e-01	2.18042e-01	-2.11477e+00	-4.84572e-01	3.64215e-02	1.10000e-01
7.59021e-01	2.77571e-17	3.46945e-18	0.00000e+00	5.42193e-01	2.16877e-01	-2.15116e+00	-4.83634e-01	3.74412e-02	1.10000e-01
7.55325e-01	1.38778e-17	0.00000e+00	0.00000e+00	5.39551e-01	2.15820e-01	-2.18419e+00	-4.82680e-01	3.84435e-02	1.10000e-01
7.51978e-01	-1.38782e-17	0.00000e+00	0.00000e+00	5.37158e-01	2.14863e-01	-2.21410e+00	-4.81711e-01	3.94304e-02	1.10000e-01
7.48971e-01	-6.93834e-18	0.00000e+00	0.00000e+00	5.35008e-01	2.14003e-01	-2.24097e+00	-4.80724e-01	4.04036e-02	1.10000e-01
7.46298e-01	-3.46961e-17	-1.73495e-18	0.00000e+00	5.33097e-01	2.13239e-01	-2.26486e+00	-4.79720e-01	4.13646e-02	1.10000e-01
7.43933e-01	-6.93982e-18	3.46935e-18	0.00000e+00	5.31406e-01	2.12562e-01	-2.28600e+00	-4.78697e-01	4.23149e-02	1.10000e-01
7.41867e-01	0.00000e+00	8.67357e-18	0.00000e+00	5.29927e-01	2.11971e-01	-2.30448e+00	-4.77654e-01	4.32555e-02	1.10000e-01
