"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
1.01769e+00	4.78857e-03	4.45648e-02	-1.19621e-04	7.29237e-01	2.91300e-01	1.86896e-01	-5.14970e-01	0.00000e+00	-2.86000e-02
9.99499e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.14434e-01	2.85773e-01	1.84945e-03	-5.14918e-01	2.24940e-03	-2.86000e-02
1.00022e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.13903e-01	2.85561e-01	-4.78231e-03	-5.14761e-01	4.49391e-03	-2.86000e-02
9.86355e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.05138e-01	2.82055e-01	-1.14351e-01	-5.14499e-01	6.72854e-03	-2.86000e-02
9.83872e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.02273e-01	2.80909e-01	-1.50160e-01	-5.14131e-01	8.94828e-03	-2.86000e-02
9.68277e-01	1.38774e-17	0.00000e+00	0.00000e+00	6.92050e-01	2.76820e-01	-2.77945e-01	-5.13659e-01	1.11483e-02	-2.86000e-02
9.57220e-01	-6.93834e-18	-1.73486e-18	0.00000e+00	6.83495e-01	2.73398e-01	-3.84887e-01	-5.13086e-01	1.33239e-02	-2.86000e-02
9.46562e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.76241e-01	2.70496e-01	-4.75557e-01	-5.12413e-01	1.54711e-02	-2.86000e-02
9.31577e-01	0.00000e+00	-1.73486e-18	0.00000e+00	6.65440e-01	2.66176e-01	-6.10577e-01	-5.11645e-01	1.75860e-02	-2.86000e-02
9.21935e-01	1.38782e-17	-3.46935e-18	0.00000e+00	6.58477e-01	2.63391e-01	-6.97611e-01	-5.10831e-01	1.95632e-02	-2.86000e-02
9.10788e-01	1.38774e-17	0.00000e+00	0.00000e+00	6.50667e-01	2.60267e-01	-7.95232e-01	-5.10015e-01	2.13453e-02	-2.86000e-02
9.01238e-01	-1.38782e-17	0.00000e+00	0.00000e+00	6.43692e-01	2.57477e-01	-8.82426e-01	-5.09197e-01	2.29811e-02	-2.86000e-02
8.93226e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.38084e-01	2.55234e-01	-9.52519e-01	-5.08376e-01	2.45028e-02	-2.86000e-02
8.84749e-01	-2.77559e-17	0.00000e+00	0.00000e+00	6.31964e-01	2.52785e-01	-1.02903e+00	-5.07550e-01	2.59329e-02	-2.86000e-02
8.77767e-01	1.38774e-17	0.00000e+00	0.00000e+00	6.27001e-01	2.50800e-01	-1.09106e+00	-5.06718e-01	2.72879e-02	-2.86000e-02
8.70804e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.22027e-01	2.48811e-01	-1.15323e+00	-5.05879e-01	2.85803e-02	-2.86000e-02
8.64339e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.17399e-01	2.46960e-01	-1.21108e+00	-5.05032e-01	2.98199e-02	-2.86000e-02
8.58409e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.13175e-01	2.45270e-01	-1.26389e+00	-5.04177e-01	3.10146e-02	-2.86000e-02
8.52601e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.09018e-01	2.43607e-01	-1.31585e+00	-5.03311e-01	3.21707e-02	-2.86000e-02
8.47258e-01	2.77556e-17	0.00000e+00	0.00000e+00	6.05206e-01	2.42082e-01	-1.36350e+00	-5.02434e-01	3.32936e-02	-2.86000e-02
8.42111e-01	6.93834e-18	0.00000e+00	0.00000e+00	6.01527e-01	2.40611e-01	-1.40948e+00	-5.01545e-01	3.43875e-02	-2.86000e-02
8.37219e-01	6.93945e-18	0.00000e+00	0.00000e+00	5.98034e-01	2.39213e-01	-1.45315e+00	-5.00643e-01	3.54562e-02	-2.86000e-02
8.32587e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.94724e-01	2.37890e-01	-1.49452e+00	-4.99728e-01	3.65028e-02	-2.86000e-02
8.28127e-01	1.38778e-17	0.00000e+00	0.00000e+00	5.91539e-01	2.36616e-01	-1.53433e+00	-4.98797e-01	3.75302e-02	-2.86000e-02
8.23886e-01	-1.38782e-17	0.00000e+00	0.00000e+00	5.88509e-01	2.35404e-01	-1.57221e+00	-4.97851e-01	3.85405e-02	-2.86000e-02
8.19815e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.85601e-01	2.34240e-01	-1.60856e+00	-4.96888e-01	3.95358e-02	-2.86000e-02
8.15904e-01	6.93834e-18	0.00000e+00	0.00000e+00	5.82808e-01	2.33123e-01	-1.64347e+00	-4.95907e-01	4.05179e-02	-2.86000e-02
8.12156e-01	-7.40168e-22	0.00000e+00	0.00000e+00	5.80130e-01	2.32052e-01	-1.67695e+00	-4.94908e-01	4.14883e-02	-2.86000e-02
8.08540e-01	1.38782e-17	0.00000e+00	0.00000e+00	5.77547e-01	2.31019e-01	-1.70923e+00	-4.93890e-01	4.24483e-02	-2.86000e-02
8.05060e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.75062e-01	2.30025e-01	-1.74030e+00	-4.92852e-01	4.33992e-02	-2.86000e-02
8.01702e-01	6.93982e-18	0.00000e+00	0.00000e+00	5.72663e-01	2.29065e-01	-1.77028e+00	-4.91794e-01	4.43419e-02	-2.86000e-02
7.98458e-01	6.93834e-18	0.00000e+00	0.00000e+00	5.70346e-01	2.28139e-01	-1.79924e+00	-4.90713e-01	4.52773e-02	-2.86000e-02
7.95328e-01	-6.93945e-18	0.00000e+00	0.00000e+00	5.68110e-01	2.27244e-01	-1.82719e+00	-4.89611e-01	4.62063e-02	-2.86000e-02
7.92303e-01	6.93945e-18	0.00000e+00	0.00000e+00	5.65950e-01	2.26380e-01	-1.85420e+00	-4.88486e-01	4.71296e-02	-2.86000e-02
7.89386e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.63867e-01	2.25547e-01	-1.88024e+00	-4.87337e-01	4.80476e-02	-2.86000e-02
7.86577e-01	-6.93908e-18	0.00000e+00	0.00000e+00	5.61860e-01	2.24744e-01	-1.90532e+00	-4.86163e-01	4.89610e-02	-2.86000e-02
7.83878e-01	1.38770e-17	0.00000e+00	0.00000e+00	5.59932e-01	2.23973e-01	-1.92942e+00	-4.84965e-01	4.98702e-02	-2.86000e-02
7.81295e-01	-6.93834e-18	0.00000e+00	0.00000e+00	5.58086e-01	2.23234e-01	-1.95249e+00	-4.83740e-01	5.07755e-02	-2.86000e-02
7.78830e-01	1.38774e-17	0.00000e+00	0.00000e+00	5.56325e-01	2.22530e-01	-1.97451e+00	-4.82490e-01	5.16773e-02	-2.86000e-02
7.76489e-01	3.70084e-22	0.00000e+00	0.00000e+00	5.54653e-01	2.21861e-01	-1.99541e+00	-4.81213e-01	5.25759e-02	-2.86000e-02
7.74278e-01	-1.38774e-17	0.00000e+00	0.00000e+00	5.53073e-01	2.21229e-01	-2.01516e+00	-4.79908e-01	5.34714e-02	-2.86000e-02
7.72200e-01	-1.38782e-17	0.00000e+00	0.00000e+00	5.51588e-01	2.20635e-01	-2.03372e+00	-4.78575e-01	5.43641e-02	-2.86000e-02
7.70260e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.50201e-01	2.20080e-01	-2.05106e+00	-4.77213e-01	5.52541e-02	-2.86000e-02
7.68458e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.48913e-01	2.19565e-01	-2.06716e+00	-4.75822e-01	5.61416e-02	-2.86000e-02
7.66796e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.47725e-01	2.19090e-01	-2.08201e+00	-4.74402e-01	5.70264e-02	-2.86000e-02
7.65272e-01	-1.38774e-17	0.00000e+00	0.00000e+00	5.46636e-01	2.18654e-01	-2.09562e+00	-4.72951e-01	5.79088e-02	-2.86000e-02
7.63884e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.45643e-01	2.18257e-01	-2.10803e+00	-4.71470e-01	5.87888e-02	-2.86000e-02
7.62626e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.44743e-01	2.17897e-01	-2.11928e+00	-4.69957e-01	5.96662e-02	-2.86000e-02
7.61489e-01	-6.93834e-18	0.00000e+00	0.00000e+00	5.43931e-01	2.17572e-01	-2.12943e+00	-4.68413e-01	6.05411e-02	-2.86000e-02
7.60464e-01	-6.93834e-18	0.00000e+00	0.00000e+00	5.43199e-01	2.17279e-01	-2.13859e+00	-4.66837e-01	6.14134e-02	-2.86000e-02
7.59539e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.42537e-01	2.17015e-01	-2.14686e+00	-4.65228e-01	6.22830e-02	-2.86000e-02
7.58699e-01	6.93982e-18	0.00000e+00	0.00000e+00	5.41937e-01	2.16775e-01	-2.15436e+00	-4.63586e-01	6.31499e-02	-2.86000e-02
7.57931e-01	-6.93908e-18	0.00000e+00	0.00000e+00	5.41388e-01	2.16555e-01	-2.16122e+00	-4.61912e-01	6.40139e-02	-2.86000e-02
7.57222e-01	1.38782e-17	0.00000e+00	0.00000e+00	5.40882e-01	2.16353e-01	-2.16755e+00	-4.60203e-01	6.48749e-02	-2.86000e-02
7.56560e-01	6.93834e-18	0.00000e+00	0.00000e+00	5.40409e-01	2.16164e-01	-2.17345e+00	-4.58461e-01	6.57328e-02	-2.86000e-02
7.55939e-01	-6.93945e-18	0.00000e+00	0.00000e+00	5.39966e-01	2.15986e-01	-2.17900e+00	-4.56684e-01	6.65874e-02	-2.86000e-02
7.55349e-01	1.38778e-17	0.00000e+00	0.00000e+00	5.39544e-01	2.15818e-01	-2.18427e+00	-4.54873e-01	6.74386e-02	-2.86000e-02
7.54783e-01	1.38778e-17	0.00000e+00	0.00000e+00	5.39141e-01	2.15656e-01	-2.18931e+00	-4.53026e-01	6.82861e-02	-2.86000e-02
7.54232e-01	-2.08158e-17	0.00000e+00	0.00000e+00	5.38747e-01	2.15499e-01	-2.19423e+00	-4.51145e-01	6.91297e-02	-2.86000e-02
7.53687e-01	1.38763e-17	0.00000e+00	0.00000e+00	5.38358e-01	2.15343e-01	-2.19909e+00	-4.49228e-01	6.99694e-02	-2.86000e-02
7.53142e-01	-1.38774e-17	0.00000e+00	0.00000e+00	5.37969e-01	2.15188e-01	-2.20396e+00	-4.47275e-01	7.08049e-02	-2.86000e-02
7.52595e-01	2.08165e-17	0.00000e+00	0.00000e+00	5.37579e-01	2.15031e-01	-2.20884e+00	-4.45286e-01	7.16359e-02	-2.86000e-02
7.52056e-01	-6.93945e-18	0.00000e+00	0.00000e+00	5.37193e-01	2.14877e-01	-2.21366e+00	-4.43261e-01	7.24623e-02	-2.86000e-02
7.51538e-01	6.93797e-18	0.00000e+00	0.00000e+00	5.36823e-01	2.14729e-01	-2.21828e+00	-4.41199e-01	7.32838e-02	-2.86000e-02
7.51061e-01	-2.77552e-17	0.00000e+00	0.00000e+00	5.36482e-01	2.14593e-01	-2.22255e+00	-4.39101e-01	7.41003e-02	-2.86000e-02
7.50639e-01	6.93945e-18	0.00000e+00	0.00000e+00	5.36180e-01	2.14472e-01	-2.22632e+00	-4.36966e-01	7.49114e-02	-2.86000e-02
7.50277e-01	2.08161e-17	0.00000e+00	0.00000e+00	5.35921e-01	2.14369e-01	-2.22955e+00	-4.34794e-01	7.57170e-02	-2.86000e-02
