"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.43659e-01	1.04083e-02	7.79457e-02	-5.68323e-04	6.78808e-01	2.70213e-01	-4.43466e-01	-4.85030e-01	0.00000e+00	2.64000e-02
8.97769e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.42135e-01	2.56854e-01	-9.01882e-01	-4.84976e-01	2.24936e-03	2.64000e-02
8.95954e-01	6.93797e-18	0.00000e+00	0.00000e+00	6.39039e-01	2.55615e-01	-9.40588e-01	-4.84814e-01	4.49354e-03	2.64000e-02
8.71451e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.23417e-01	2.49367e-01	-1.13586e+00	-4.84543e-01	6.72720e-03	2.64000e-02
8.61796e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14817e-01	2.45927e-01	-1.24336e+00	-4.84165e-01	8.94507e-03	2.64000e-02
8.35558e-01	2.77556e-17	0.00000e+00	0.00000e+00	5.97447e-01	2.38979e-01	-1.46048e+00	-4.83679e-01	1.11420e-02	2.64000e-02
8.14505e-01	6.93834e-18	0.00000e+00	0.00000e+00	5.81465e-01	2.32586e-01	-1.66026e+00	-4.83088e-01	1.33132e-02	2.64000e-02
7.96360e-01	6.93908e-18	0.00000e+00	0.00000e+00	5.68993e-01	2.27597e-01	-1.81616e+00	-4.82397e-01	1.54543e-02	2.64000e-02
7.72929e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.52137e-01	2.20855e-01	-2.02686e+00	-4.81608e-01	1.75614e-02	2.64000e-02
7.57926e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.41301e-01	2.16520e-01	-2.16231e+00	-4.80771e-01	1.95303e-02	2.64000e-02
7.43242e-01	1.38789e-17	0.00000e+00	0.00000e+00	5.31023e-01	2.12409e-01	-2.29078e+00	-4.79934e-01	2.13046e-02	2.64000e-02
7.31254e-01	6.93797e-18	0.00000e+00	0.00000e+00	5.22248e-01	2.08899e-01	-2.40047e+00	-4.79094e-01	2.29329e-02	2.64000e-02
7.22726e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.16310e-01	2.06524e-01	-2.47469e+00	-4.78251e-01	2.44469e-02	2.64000e-02
7.14720e-01	2.08165e-17	0.00000e+00	0.00000e+00	5.10498e-01	2.04199e-01	-2.54735e+00	-4.77403e-01	2.58689e-02	2.64000e-02
7.09281e-01	-6.93834e-18	0.00000e+00	0.00000e+00	5.06652e-01	2.02661e-01	-2.59542e+00	-4.76550e-01	2.72154e-02	2.64000e-02
7.04911e-01	1.38778e-17	0.00000e+00	0.00000e+00	5.03521e-01	2.01408e-01	-2.63456e+00	-4.75691e-01	2.84988e-02	2.64000e-02
7.01769e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.01269e-01	2.00507e-01	-2.66271e+00	-4.74824e-01	2.97288e-02	2.64000e-02
6.99902e-01	6.93908e-18	0.00000e+00	0.00000e+00	4.99945e-01	1.99978e-01	-2.67926e+00	-4.73949e-01	3.09132e-02	2.64000e-02
6.98783e-01	1.38782e-17	0.00000e+00	0.00000e+00	4.99135e-01	1.99654e-01	-2.68938e+00	-4.73064e-01	3.20584e-02	2.64000e-02
6.98610e-01	-1.38782e-17	0.00000e+00	0.00000e+00	4.99018e-01	1.99607e-01	-2.69085e+00	-4.72168e-01	3.31694e-02	2.64000e-02
6.99080e-01	6.93834e-18	0.00000e+00	0.00000e+00	4.99348e-01	1.99739e-01	-2.68672e+00	-4.71262e-01	3.42507e-02	2.64000e-02
7.00142e-01	6.93945e-18	0.00000e+00	0.00000e+00	5.00107e-01	2.00043e-01	-2.67723e+00	-4.70343e-01	3.53060e-02	2.64000e-02
7.01708e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.01223e-01	2.00489e-01	-2.66328e+00	-4.69411e-01	3.63384e-02	2.64000e-02
7.03631e-01	3.46950e-17	0.00000e+00	0.00000e+00	5.02596e-01	2.01038e-01	-2.64613e+00	-4.68465e-01	3.73506e-02	2.64000e-02
7.05847e-01	6.93945e-18	0.00000e+00	0.00000e+00	5.04176e-01	2.01670e-01	-2.62637e+00	-4.67504e-01	3.83449e-02	2.64000e-02
7.08236e-01	-1.38778e-17	0.00000e+00	0.00000e+00	5.05881e-01	2.02352e-01	-2.60506e+00	-4.66528e-01	3.93233e-02	2.64000e-02
7.10706e-01	2.08176e-17	0.00000e+00	0.00000e+00	5.07644e-01	2.03058e-01	-2.58302e+00	-4.65535e-01	4.02876e-02	2.64000e-02
7.13182e-01	0.00000e+00	0.00000e+00	0.00000e+00	5.09411e-01	2.03764e-01	-2.56094e+00	-4.64525e-01	4.12393e-02	2.64000e-02
7.15579e-01	-1.38774e-17	0.00000e+00	0.00000e+00	5.11123e-01	2.04449e-01	-2.53954e+00	-4.63497e-01	4.21798e-02	2.64000e-02
7.17853e-01	-3.70084e-22	0.00000e+00	0.00000e+00	5.12746e-01	2.05098e-01	-2.51924e+00	-4.62449e-01	4.31102e-02	2.64000e-02
7.19960e-01	2.08169e-17	0.00000e+00	0.00000e+00	5.14252e-01	2.05701e-01	-2.50043e+00	-4.61383e-01	4.40315e-02	2.64000e-02
