"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
9.79062e-01	5.52187e-03	4.24688e-02	3.29785e-03	7.00295e-01	2.79741e-01	2.23410e-02	-5.00000e-01	0.00000e+00	5.50000e-02
9.54600e-01	0.00000e+00	-1.98243e-18	0.00000e+00	6.82464e-01	2.72986e-01	1.22106e-02	-4.99947e-01	2.24938e-03	5.50000e-02
9.55461e-01	0.00000e+00	-1.98253e-18	0.00000e+00	6.81853e-01	2.72741e-01	1.40272e-02	-4.99788e-01	4.49373e-03	5.50000e-02
9.39960e-01	0.00000e+00	-1.98243e-18	0.00000e+00	6.72064e-01	2.68826e-01	1.75789e-02	-4.99521e-01	6.72789e-03	5.50000e-02
9.38132e-01	0.00000e+00	-1.98253e-18	0.00000e+00	6.69560e-01	2.67824e-01	1.79387e-02	-4.99148e-01	8.94671e-03	5.50000e-02
9.24187e-01	-3.96486e-18	-1.98253e-18	0.00000e+00	6.60599e-01	2.64240e-01	1.97477e-02	-4.98669e-01	1.11452e-02	5.50000e-02
9.15158e-01	-1.98233e-18	0.00000e+00	0.00000e+00	6.53422e-01	2.61369e-01	2.00316e-02	-4.98087e-01	1.33187e-02	5.50000e-02
9.07175e-01	3.96486e-18	-9.91263e-19	0.00000e+00	6.48136e-01	2.59254e-01	2.03238e-02	-4.97406e-01	1.54629e-02	5.50000e-02
8.95988e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.40001e-01	2.56001e-01	2.04857e-02	-4.96627e-01	1.75740e-02	5.50000e-02
8.89752e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.35502e-01	2.54201e-01	2.00947e-02	-4.95802e-01	1.95471e-02	5.50000e-02
8.82585e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.30518e-01	2.52207e-01	1.98659e-02	-4.94976e-01	2.13254e-02	5.50000e-02
8.77079e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.26430e-01	2.50572e-01	1.93939e-02	-4.94147e-01	2.29575e-02	5.50000e-02
8.72905e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.23575e-01	2.49430e-01	1.88634e-02	-4.93315e-01	2.44754e-02	5.50000e-02
8.68725e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.20503e-01	2.48201e-01	1.83645e-02	-4.92478e-01	2.59015e-02	5.50000e-02
8.65834e-01	3.96486e-18	0.00000e+00	0.00000e+00	6.18482e-01	2.47393e-01	1.77559e-02	-4.91636e-01	2.72523e-02	5.50000e-02
8.63147e-01	7.93011e-18	0.00000e+00	0.00000e+00	6.16545e-01	2.46618e-01	1.71820e-02	-4.90787e-01	2.85402e-02	5.50000e-02
8.61033e-01	-5.94758e-18	0.00000e+00	0.00000e+00	6.15034e-01	2.46014e-01	1.65767e-02	-4.89930e-01	2.97751e-02	5.50000e-02
8.59417e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.13884e-01	2.45554e-01	1.59514e-02	-4.89064e-01	3.09647e-02	5.50000e-02
8.58036e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.12890e-01	2.45156e-01	1.53473e-02	-4.88189e-01	3.21153e-02	5.50000e-02
8.57093e-01	7.93090e-18	0.00000e+00	0.00000e+00	6.12220e-01	2.44888e-01	1.47183e-02	-4.87303e-01	3.32323e-02	5.50000e-02
8.56357e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.11691e-01	2.44676e-01	1.41071e-02	-4.86406e-01	3.43199e-02	5.50000e-02
8.55888e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.11357e-01	2.44543e-01	1.34993e-02	-4.85496e-01	3.53819e-02	5.50000e-02
8.55634e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.11173e-01	2.44469e-01	1.28969e-02	-4.84572e-01	3.64215e-02	5.50000e-02
8.55539e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.11105e-01	2.44442e-01	1.23181e-02	-4.83634e-01	3.74412e-02	5.50000e-02
8.55613e-01	-7.93050e-18	0.00000e+00	0.00000e+00	6.11156e-01	2.44463e-01	1.17387e-02	-4.82680e-01	3.84435e-02	5.50000e-02
8.55802e-01	-5.94778e-18	0.00000e+00	0.00000e+00	6.11291e-01	2.44516e-01	1.11802e-02	-4.81711e-01	3.94304e-02	5.50000e-02
8.56094e-01	-5.94758e-18	0.00000e+00	0.00000e+00	6.11498e-01	2.44599e-01	1.06411e-02	-4.80724e-01	4.04036e-02	5.50000e-02
8.56467e-01	-7.92991e-18	0.00000e+00	0.00000e+00	6.11764e-01	2.44706e-01	1.01154e-02	-4.79720e-01	4.13646e-02	5.50000e-02
8.56891e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.12067e-01	2.44827e-01	9.60926e-03	-4.78697e-01	4.23149e-02	5.50000e-02
8.57358e-01	5.94778e-18	0.00000e+00	0.00000e+00	6.12399e-01	2.44959e-01	9.12392e-03	-4.77654e-01	4.32555e-02	5.50000e-02
8.57840e-01	-1.98273e-18	0.00000e+00	0.00000e+00	6.12743e-01	2.45097e-01	8.65966e-03	-4.76592e-01	4.41875e-02	5.50000e-02
8.58326e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.13089e-01	2.45236e-01	8.22296e-03	-4.75508e-01	4.51118e-02	5.50000e-02
8.58800e-01	3.96545e-18	0.00000e+00	0.00000e+00	6.13428e-01	2.45371e-01	7.80581e-03	-4.74403e-01	4.60293e-02	5.50000e-02
8.59249e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.13748e-01	2.45499e-01	7.41239e-03	-4.73276e-01	4.69405e-02	5.50000e-02
8.59663e-01	5.94778e-18	0.00000e+00	0.00000e+00	6.14044e-01	2.45618e-01	7.04485e-03	-4.72126e-01	4.78462e-02	5.50000e-02
8.60032e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.14307e-01	2.45723e-01	6.70739e-03	-4.70952e-01	4.87467e-02	5.50000e-02
8.60350e-01	3.96486e-18	0.00000e+00	0.00000e+00	6.14535e-01	2.45814e-01	6.38916e-03	-4.69753e-01	4.96427e-02	5.50000e-02
8.60613e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.14722e-01	2.45889e-01	6.10124e-03	-4.68530e-01	5.05344e-02	5.50000e-02
8.60818e-01	7.92991e-18	0.00000e+00	0.00000e+00	6.14869e-01	2.45947e-01	5.83857e-03	-4.67281e-01	5.14223e-02	5.50000e-02
8.60965e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14974e-01	2.45989e-01	5.60255e-03	-4.66007e-01	5.23065e-02	5.50000e-02
8.61055e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.15038e-01	2.46015e-01	5.39027e-03	-4.64705e-01	5.31874e-02	5.50000e-02
8.61093e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.15065e-01	2.46026e-01	5.20297e-03	-4.63376e-01	5.40651e-02	5.50000e-02
8.61083e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.15058e-01	2.46023e-01	5.03540e-03	-4.62019e-01	5.49397e-02	5.50000e-02
8.61031e-01	-7.93070e-18	0.00000e+00	0.00000e+00	6.15021e-01	2.46008e-01	4.88826e-03	-4.60634e-01	5.58114e-02	5.50000e-02
8.60944e-01	7.93011e-18	0.00000e+00	0.00000e+00	6.14959e-01	2.45983e-01	4.75851e-03	-4.59220e-01	5.66803e-02	5.50000e-02
8.60825e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.14874e-01	2.45949e-01	4.64236e-03	-4.57777e-01	5.75464e-02	5.50000e-02
8.60681e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.14770e-01	2.45908e-01	4.54102e-03	-4.56304e-01	5.84098e-02	5.50000e-02
8.60515e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14652e-01	2.45861e-01	4.44550e-03	-4.54800e-01	5.92704e-02	5.50000e-02
