"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.85583e-01	4.36332e-03	4.41389e-02	-2.64464e-03	7.04971e-01	2.81588e-01	-1.16440e-01	-5.00000e-01	0.00000e+00	1.10000e-01
9.64267e-01	1.38781e-17	4.95632e-18	0.00000e+00	6.89255e-01	2.75702e-01	-3.12882e-01	-4.99947e-01	2.24938e-03	1.10000e-01
9.64625e-01	3.96466e-18	7.93011e-18	0.00000e+00	6.88531e-01	2.75412e-01	-3.21935e-01	-4.99788e-01	4.49373e-03	1.10000e-01
9.51065e-01	1.98253e-22	2.97349e-18	0.00000e+00	6.79865e-01	2.71946e-01	-4.30261e-01	-4.99521e-01	6.72789e-03	1.10000e-01
9.49569e-01	-7.93031e-18	1.98263e-18	0.00000e+00	6.77839e-01	2.71135e-01	-4.55590e-01	-4.99148e-01	8.94671e-03	1.10000e-01
9.37412e-01	-1.38781e-17	-3.96505e-18	0.00000e+00	6.69966e-01	2.67986e-01	-5.53995e-01	-4.98669e-01	1.11452e-02	1.10000e-01
9.29911e-01	-9.91244e-18	0.00000e+00	0.00000e+00	6.64008e-01	2.65603e-01	-6.28469e-01	-4.98087e-01	1.33187e-02	1.10000e-01
9.23365e-01	1.18954e-17	3.96555e-18	0.00000e+00	6.59681e-01	2.63872e-01	-6.82565e-01	-4.97406e-01	1.54629e-02	1.10000e-01
9.14263e-01	-7.92931e-18	1.98253e-22	0.00000e+00	6.53055e-01	2.61222e-01	-7.65381e-01	-4.96627e-01	1.75740e-02	1.10000e-01
9.09705e-01	-3.96505e-22	-5.94778e-18	0.00000e+00	6.49764e-01	2.59906e-01	-8.06524e-01	-4.95802e-01	1.95471e-02	1.10000e-01
9.04395e-01	5.94718e-18	2.97389e-18	0.00000e+00	6.46083e-01	2.58433e-01	-8.52538e-01	-4.94976e-01	2.13254e-02	1.10000e-01
9.00681e-01	3.96525e-18	1.98253e-18	0.00000e+00	6.43299e-01	2.57320e-01	-8.87328e-01	-4.94147e-01	2.29575e-02	1.10000e-01
8.98196e-01	-7.93050e-18	1.98253e-18	0.00000e+00	6.41630e-01	2.56652e-01	-9.08198e-01	-4.93315e-01	2.44754e-02	1.10000e-01
8.95788e-01	1.38775e-17	9.91164e-19	0.00000e+00	6.39837e-01	2.55935e-01	-9.30606e-01	-4.92478e-01	2.59015e-02	1.10000e-01
8.94583e-01	-7.93011e-18	1.98243e-18	0.00000e+00	6.39012e-01	2.55605e-01	-9.40919e-01	-4.91636e-01	2.72523e-02	1.10000e-01
8.93609e-01	7.93031e-18	0.00000e+00	0.00000e+00	6.38301e-01	2.55320e-01	-9.49809e-01	-4.90787e-01	2.85402e-02	1.10000e-01
8.93194e-01	1.98273e-18	-3.96515e-18	0.00000e+00	6.38004e-01	2.55201e-01	-9.53527e-01	-4.89930e-01	2.97751e-02	1.10000e-01
8.93260e-01	1.18944e-17	1.98253e-18	0.00000e+00	6.38054e-01	2.55222e-01	-9.52899e-01	-4.89064e-01	3.09647e-02	1.10000e-01
8.93561e-01	-3.96525e-18	5.94768e-18	0.00000e+00	6.38262e-01	2.55305e-01	-9.50298e-01	-4.88189e-01	3.21153e-02	1.10000e-01
8.94270e-01	7.93070e-18	0.00000e+00	0.00000e+00	6.38771e-01	2.55508e-01	-9.43940e-01	-4.87303e-01	3.32323e-02	1.10000e-01
8.95155e-01	5.94798e-18	-1.98233e-18	0.00000e+00	6.39399e-01	2.55760e-01	-9.36086e-01	-4.86406e-01	3.43199e-02	1.10000e-01
8.96251e-01	-3.96486e-18	1.98263e-18	0.00000e+00	6.40182e-01	2.56073e-01	-9.26302e-01	-4.85496e-01	3.53819e-02	1.10000e-01
8.97482e-01	-3.96505e-18	-3.96495e-18	0.00000e+00	6.41059e-01	2.56424e-01	-9.15336e-01	-4.84572e-01	3.64215e-02	1.10000e-01
8.98766e-01	-1.58604e-17	-3.96505e-18	0.00000e+00	6.41976e-01	2.56790e-01	-9.03874e-01	-4.83634e-01	3.74412e-02	1.10000e-01
9.00084e-01	-1.98213e-18	-1.98253e-18	0.00000e+00	6.42915e-01	2.57166e-01	-8.92129e-01	-4.82680e-01	3.84435e-02	1.10000e-01
9.01350e-01	9.91184e-18	0.00000e+00	0.00000e+00	6.43819e-01	2.57528e-01	-8.80834e-01	-4.81711e-01	3.94304e-02	1.10000e-01
9.02535e-01	-1.18952e-17	0.00000e+00	0.00000e+00	6.44665e-01	2.57866e-01	-8.70260e-01	-4.80724e-01	4.04036e-02	1.10000e-01
9.03605e-01	-1.98312e-18	-1.98253e-18	0.00000e+00	6.45429e-01	2.58171e-01	-8.60714e-01	-4.79720e-01	4.13646e-02	1.10000e-01
9.04533e-01	-3.96466e-18	1.98253e-18	0.00000e+00	6.46092e-01	2.58437e-01	-8.52424e-01	-4.78697e-01	4.23149e-02	1.10000e-01
9.05323e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.46657e-01	2.58663e-01	-8.45359e-01	-4.77654e-01	4.32555e-02	1.10000e-01
9.05974e-01	1.98253e-18	9.91263e-19	0.00000e+00	6.47123e-01	2.58849e-01	-8.39537e-01	-4.76592e-01	4.41875e-02	1.10000e-01
9.06502e-01	3.96505e-18	-3.96515e-18	0.00000e+00	6.47501e-01	2.59000e-01	-8.34812e-01	-4.75508e-01	4.51118e-02	1.10000e-01
9.06922e-01	3.96545e-18	1.98253e-18	0.00000e+00	6.47802e-01	2.59121e-01	-8.31052e-01	-4.74403e-01	4.60293e-02	1.10000e-01
9.07248e-01	3.96486e-18	-2.97389e-18	0.00000e+00	6.48035e-01	2.59214e-01	-8.28136e-01	-4.73276e-01	4.69405e-02	1.10000e-01
9.07498e-01	1.98253e-18	-1.98253e-18	0.00000e+00	6.48213e-01	2.59285e-01	-8.25906e-01	-4.72126e-01	4.78462e-02	1.10000e-01
9.07684e-01	3.96486e-18	2.97389e-18	0.00000e+00	6.48347e-01	2.59339e-01	-8.24238e-01	-4.70952e-01	4.87467e-02	1.10000e-01
9.07825e-01	-1.98245e-17	-6.93875e-18	0.00000e+00	6.48448e-01	2.59379e-01	-8.22978e-01	-4.69753e-01	4.96427e-02	1.10000e-01
9.07928e-01	5.94738e-18	-1.98263e-18	0.00000e+00	6.48521e-01	2.59408e-01	-8.22062e-01	-4.68530e-01	5.05344e-02	1.10000e-01
9.07994e-01	-7.93031e-18	-5.94768e-18	0.00000e+00	6.48568e-01	2.59427e-01	-8.21474e-01	-4.67281e-01	5.14223e-02	1.10000e-01
9.08027e-01	-7.92991e-18	-9.91263e-19	0.00000e+00	6.48591e-01	2.59437e-01	-8.21180e-01	-4.66007e-01	5.23065e-02	1.10000e-01
9.08033e-01	-5.94798e-18	9.91363e-19	0.00000e+00	6.48596e-01	2.59438e-01	-8.21128e-01	-4.64705e-01	5.31874e-02	1.10000e-01
9.08022e-01	-1.18946e-17	3.96515e-18	0.00000e+00	6.48588e-01	2.59435e-01	-8.21225e-01	-4.63376e-01	5.40651e-02	1.10000e-01
9.08004e-01	-1.38785e-17	9.91164e-19	0.00000e+00	6.48575e-01	2.59430e-01	-8.21389e-01	-4.62019e-01	5.49397e-02	1.10000e-01
9.07982e-01	3.96525e-18	-9.91263e-19	0.00000e+00	6.48559e-01	2.59424e-01	-8.21586e-01	-4.60634e-01	5.58114e-02	1.10000e-01
9.07950e-01	1.38781e-17	-9.91164e-19	0.00000e+00	6.48536e-01	2.59414e-01	-8.21869e-01	-4.59220e-01	5.66803e-02	1.10000e-01
9.07887e-01	-1.38771e-17	-1.98243e-18	0.00000e+00	6.48491e-01	2.59396e-01	-8.22434e-01	-4.57777e-01	5.75464e-02	1.10000e-01
9.07761e-01	-3.96545e-18	-5.94768e-18	0.00000e+00	6.48401e-01	2.59361e-01	-8.23554e-01	-4.56304e-01	5.84098e-02	1.10000e-01
9.07567e-01	1.18950e-17	3.96505e-18	0.00000e+00	6.48263e-01	2.59305e-01	-8.25283e-01	-4.54800e-01	5.92704e-02	1.10000e-01
9.07343e-01	-5.94798e-18	1.98282e-18	0.00000e+00	6.48103e-01	2.59241e-01	-8.27279e-01	-4.53266e-01	6.01282e-02	1.10000e-01
9.07136e-01	-3.96486e-18	-2.97359e-18	0.00000e+00	6.47956e-01	2.59182e-01	-8.29127e-01	-4.51701e-01	6.09832e-02	1.10000e-01
9.06952e-01	-3.96466e-18	-2.97389e-18	0.00000e+00	6.47824e-01	2.59130e-01	-8.30770e-01	-4.50104e-01	6.18353e-02	1.10000e-01
9.06762e-01	1.58604e-17	8.92147e-18	0.00000e+00	6.47688e-01	2.59075e-01	-8.32470e-01	-4.48476e-01	6.26844e-02	1.10000e-01
9.06530e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.47523e-01	2.59009e-01	-8.34539e-01	-4.46815e-01	6.35304e-02	1.10000e-01
9.06229e-01	3.96505e-22	-1.98253e-18	0.00000e+00	6.47307e-01	2.58923e-01	-8.37230e-01	-4.45121e-01	6.43733e-02	1.10000e-01
9.05843e-01	1.18954e-17	-9.91263e-23	0.00000e+00	6.47031e-01	2.58813e-01	-8.40679e-01	-4.43394e-01	6.52129e-02	1.10000e-01
9.05391e-01	3.96525e-18	9.91065e-19	0.00000e+00	6.46709e-01	2.58684e-01	-8.44712e-01	-4.41634e-01	6.60490e-02	1.10000e-01
9.04917e-01	3.96545e-18	0.00000e+00	0.00000e+00	6.46371e-01	2.58548e-01	-8.48934e-01	-4.39840e-01	6.68815e-02	1.10000e-01
9.04438e-01	9.91244e-18	3.96505e-18	0.00000e+00	6.46029e-01	2.58412e-01	-8.53207e-01	-4.38013e-01	6.77103e-02	1.10000e-01
9.03974e-01	1.58600e-17	0.00000e+00	0.00000e+00	6.45698e-01	2.58279e-01	-8.57343e-01	-4.36151e-01	6.85351e-02	1.10000e-01
9.03629e-01	-1.58606e-17	0.00000e+00	0.00000e+00	6.45451e-01	2.58181e-01	-8.60428e-01	-4.34254e-01	6.93558e-02	1.10000e-01
9.03492e-01	5.94738e-18	-9.91164e-19	0.00000e+00	6.45353e-01	2.58141e-01	-8.61660e-01	-4.32323e-01	7.01722e-02	1.10000e-01
9.03522e-01	7.93031e-18	1.98253e-18	0.00000e+00	6.45374e-01	2.58150e-01	-8.61399e-01	-4.30357e-01	7.09841e-02	1.10000e-01
9.03575e-01	-1.58602e-17	9.91263e-23	0.00000e+00	6.45412e-01	2.58165e-01	-8.60927e-01	-4.28356e-01	7.17913e-02	1.10000e-01
9.03523e-01	-9.91263e-18	-9.91263e-23	0.00000e+00	6.45374e-01	2.58150e-01	-8.61395e-01	-4.26319e-01	7.25936e-02	1.10000e-01
9.03397e-01	-5.94758e-22	4.95652e-18	0.00000e+00	6.45285e-01	2.58114e-01	-8.62515e-01	-4.24247e-01	7.33908e-02	1.10000e-01
9.03293e-01	3.96505e-18	9.91263e-19	0.00000e+00	6.45211e-01	2.58084e-01	-8.63434e-01	-4.22139e-01	7.41826e-02	1.10000e-01
9.03128e-01	-1.98292e-18	1.98253e-18	0.00000e+00	6.45093e-01	2.58037e-01	-8.64908e-01	-4.19995e-01	7.49689e-02	1.10000e-01
9.02745e-01	-7.92991e-18	0.00000e+00	0.00000e+00	6.44820e-01	2.57928e-01	-8.68317e-01	-4.17814e-01	7.57494e-02	1.10000e-01
9.02130e-01	1.98312e-18	9.91263e-23	0.00000e+00	6.44380e-01	2.57752e-01	-8.73816e-01	-4.15598e-01	7.65239e-02	1.10000e-01
9.01357e-01	1.58602e-17	2.97399e-18	0.00000e+00	6.43826e-01	2.57530e-01	-8.80747e-01	-4.13345e-01	7.72921e-02	1.10000e-01
9.00590e-01	-3.96466e-18	9.91462e-19	0.00000e+00	6.43275e-01	2.57310e-01	-8.87630e-01	-4.11056e-01	7.80538e-02	1.10000e-01
9.00028e-01	-7.92971e-18	-3.96495e-18	0.00000e+00	6.42874e-01	2.57150e-01	-8.92646e-01	-4.08730e-01	7.88089e-02	1.10000e-01
8.99658e-01	3.96466e-18	3.96505e-18	0.00000e+00	6.42611e-01	2.57044e-01	-8.95934e-01	-4.06368e-01	7.95570e-02	1.10000e-01
