"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
1.00718e+00	5.43559e-03	4.66339e-02	-1.67453e-04	7.21615e-01	2.88208e-01	9.16118e-02	-5.14970e-01	0.00000e+00	8.14000e-02
9.87222e-01	-3.96486e-18	0.00000e+00	0.00000e+00	7.05701e-01	2.82281e-01	-1.07304e-01	-5.14918e-01	2.24940e-03	8.14000e-02
9.90027e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.06576e-01	2.82630e-01	-9.63693e-02	-5.14761e-01	4.49391e-03	8.14000e-02
9.78126e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.99298e-01	2.79719e-01	-1.87351e-01	-5.14499e-01	6.72854e-03	8.14000e-02
9.78635e-01	0.00000e+00	-9.91263e-19	0.00000e+00	6.98498e-01	2.79399e-01	-1.97351e-01	-5.14131e-01	8.94828e-03	8.14000e-02
9.66491e-01	0.00000e+00	-1.98243e-18	0.00000e+00	6.90787e-01	2.76315e-01	-2.93737e-01	-5.13659e-01	1.11483e-02	8.14000e-02
9.59060e-01	0.00000e+00	1.98253e-18	0.00000e+00	6.84792e-01	2.73917e-01	-3.68673e-01	-5.13086e-01	1.33239e-02	8.14000e-02
9.52549e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.80512e-01	2.72205e-01	-4.22173e-01	-5.12413e-01	1.54711e-02	8.14000e-02
9.41905e-01	0.00000e+00	-9.91263e-19	0.00000e+00	6.72809e-01	2.69124e-01	-5.18457e-01	-5.11645e-01	1.75860e-02	8.14000e-02
9.36630e-01	-3.96486e-18	-3.96515e-18	0.00000e+00	6.68959e-01	2.67584e-01	-5.66578e-01	-5.10831e-01	1.95632e-02	8.14000e-02
9.29678e-01	0.00000e+00	-1.98253e-18	0.00000e+00	6.64155e-01	2.65662e-01	-6.26640e-01	-5.10015e-01	2.13453e-02	8.14000e-02
9.24213e-01	7.93031e-18	1.98233e-18	0.00000e+00	6.60087e-01	2.64035e-01	-6.77479e-01	-5.09197e-01	2.29811e-02	8.14000e-02
9.20140e-01	-3.96545e-18	0.00000e+00	0.00000e+00	6.57300e-01	2.62920e-01	-7.12319e-01	-5.08376e-01	2.45028e-02	8.14000e-02
9.15535e-01	0.00000e+00	1.98253e-18	0.00000e+00	6.53940e-01	2.61576e-01	-7.54315e-01	-5.07550e-01	2.59329e-02	8.14000e-02
9.12366e-01	-1.18948e-17	0.00000e+00	0.00000e+00	6.51704e-01	2.60681e-01	-7.82275e-01	-5.06718e-01	2.72879e-02	8.14000e-02
9.09114e-01	-7.92991e-18	0.00000e+00	0.00000e+00	6.49381e-01	2.59752e-01	-8.11307e-01	-5.05879e-01	2.85803e-02	8.14000e-02
9.06349e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.47394e-01	2.58957e-01	-8.36152e-01	-5.05032e-01	2.98199e-02	8.14000e-02
9.04041e-01	-5.94758e-22	9.91263e-19	0.00000e+00	6.45758e-01	2.58303e-01	-8.56596e-01	-5.04177e-01	3.10146e-02	8.14000e-02
9.01815e-01	9.91244e-18	0.00000e+00	0.00000e+00	6.44159e-01	2.57663e-01	-8.76589e-01	-5.03311e-01	3.21707e-02	8.14000e-02
9.00027e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.42886e-01	2.57154e-01	-8.92495e-01	-5.02434e-01	3.32936e-02	8.14000e-02
8.98377e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.41706e-01	2.56682e-01	-9.07252e-01	-5.01545e-01	3.43875e-02	8.14000e-02
8.96966e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.40697e-01	2.56279e-01	-9.19854e-01	-5.00643e-01	3.54562e-02	8.14000e-02
8.95774e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.39845e-01	2.55938e-01	-9.30503e-01	-4.99728e-01	3.65028e-02	8.14000e-02
8.94725e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.39096e-01	2.55638e-01	-9.39874e-01	-4.98797e-01	3.75302e-02	8.14000e-02
8.93873e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.38487e-01	2.55395e-01	-9.47486e-01	-4.97851e-01	3.85405e-02	8.14000e-02
8.93160e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.37977e-01	2.55191e-01	-9.53860e-01	-4.96888e-01	3.95358e-02	8.14000e-02
8.92590e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.37570e-01	2.55028e-01	-9.58951e-01	-4.95907e-01	4.05179e-02	8.14000e-02
8.92160e-01	-7.92991e-18	0.00000e+00	0.00000e+00	6.37262e-01	2.54905e-01	-9.62797e-01	-4.94908e-01	4.14883e-02	8.14000e-02
8.91844e-01	3.96505e-22	0.00000e+00	0.00000e+00	6.37036e-01	2.54814e-01	-9.65619e-01	-4.93890e-01	4.24483e-02	8.14000e-02
8.91650e-01	1.98253e-18	0.00000e+00	0.00000e+00	6.36897e-01	2.54759e-01	-9.67355e-01	-4.92852e-01	4.33992e-02	8.14000e-02
8.91561e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.36834e-01	2.54734e-01	-9.68150e-01	-4.91794e-01	4.43419e-02	8.14000e-02
8.91574e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.36842e-01	2.54737e-01	-9.68044e-01	-4.90713e-01	4.52773e-02	8.14000e-02
