"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Points:0"	"Points:1"	"Points:2"
9.72786e-01	6.56520e-03	6.32614e-02	9.85606e-07	6.97761e-01	2.78273e-01	-2.37459e-03	2.03093e-03	-3.80259e-07	2.54316e-02	-2.06564e-01	-5.00000e-01	0.00000e+00	1.10000e-01
9.42591e-01	6.93057e-19	-1.10988e-18	0.00000e+00	6.73922e-01	2.69569e-01	-7.31814e-05	1.02571e-03	4.40350e-08	1.27636e-02	-5.04543e-01	-4.99947e-01	2.24938e-03	1.10000e-01
9.45487e-01	-3.74707e-18	-7.63105e-19	0.00000e+00	6.74680e-01	2.69872e-01	1.74618e-04	1.13383e-03	5.44496e-08	1.43157e-02	-4.95077e-01	-4.99788e-01	4.49373e-03	1.10000e-01
9.31457e-01	3.05346e-18	-2.77209e-19	0.00000e+00	6.66033e-01	2.66413e-01	1.52701e-04	1.51654e-03	6.54815e-08	1.90354e-02	-6.03159e-01	-4.99521e-01	6.72789e-03	1.10000e-01
9.30909e-01	3.33074e-18	1.59626e-18	0.00000e+00	6.64371e-01	2.65748e-01	3.36005e-04	1.55574e-03	7.35568e-08	1.98903e-02	-6.23935e-01	-4.99148e-01	8.94671e-03	1.10000e-01
9.17611e-01	2.35929e-18	2.08149e-18	0.00000e+00	6.55902e-01	2.62361e-01	3.74415e-04	1.73562e-03	7.89515e-08	2.21870e-02	-7.29792e-01	-4.98669e-01	1.11452e-02	1.10000e-01
9.09108e-01	-2.35929e-18	3.46875e-19	0.00000e+00	6.49105e-01	2.59642e-01	5.12278e-04	1.72235e-03	8.46278e-08	2.24612e-02	-8.14755e-01	-4.98087e-01	1.33187e-02	1.10000e-01
9.02762e-01	-1.38292e-19	6.24570e-19	0.00000e+00	6.44953e-01	2.57981e-01	5.67567e-04	1.71827e-03	8.91651e-08	2.26181e-02	-8.66655e-01	-4.97406e-01	1.54629e-02	1.10000e-01
8.92428e-01	-1.94351e-18	-8.32737e-19	0.00000e+00	6.37476e-01	2.54991e-01	6.44215e-04	1.67295e-03	9.31038e-08	2.24080e-02	-9.60118e-01	-4.96627e-01	1.75740e-02	1.10000e-01
8.88344e-01	-5.13437e-18	-6.24466e-19	0.00000e+00	6.34466e-01	2.53786e-01	6.86966e-04	1.56912e-03	9.64093e-08	2.14112e-02	-9.97744e-01	-4.95802e-01	1.95471e-02	1.10000e-01
8.83265e-01	-1.66499e-18	-9.71306e-19	0.00000e+00	6.31008e-01	2.52403e-01	7.04558e-04	1.48767e-03	9.84948e-08	2.05747e-02	-1.04098e+00	-4.94976e-01	2.13254e-02	1.10000e-01
8.79913e-01	-4.16299e-18	-5.55146e-19	0.00000e+00	6.28442e-01	2.51377e-01	7.20600e-04	1.37372e-03	1.00297e-07	1.93905e-02	-1.07305e+00	-4.94147e-01	2.29575e-02	1.10000e-01
8.78474e-01	1.38771e-18	5.55007e-19	0.00000e+00	6.27540e-01	2.51016e-01	7.04533e-04	1.26556e-03	1.02106e-07	1.81050e-02	-1.08433e+00	-4.93315e-01	2.44754e-02	1.10000e-01
8.76777e-01	1.94261e-18	-4.85653e-19	0.00000e+00	6.26254e-01	2.50501e-01	6.92615e-04	1.15595e-03	1.04089e-07	1.68444e-02	-1.10040e+00	-4.92478e-01	2.59015e-02	1.10000e-01
8.76731e-01	5.55458e-19	-6.93820e-19	0.00000e+00	6.26249e-01	2.50500e-01	6.60859e-04	1.04239e-03	1.06008e-07	1.54276e-02	-1.10046e+00	-4.91636e-01	2.72523e-02	1.10000e-01
8.76848e-01	-3.74638e-18	-1.66527e-18	0.00000e+00	6.26330e-01	2.50532e-01	6.24864e-04	9.33809e-04	1.07638e-07	1.40447e-02	-1.09944e+00	-4.90787e-01	2.85402e-02	1.10000e-01
8.77553e-01	3.46972e-18	4.85792e-19	0.00000e+00	6.26823e-01	2.50729e-01	5.82525e-04	8.25725e-04	1.08603e-07	1.26315e-02	-1.09329e+00	-4.89930e-01	2.97751e-02	1.10000e-01
8.78809e-01	-1.80432e-18	1.38917e-19	0.00000e+00	6.27731e-01	2.51092e-01	5.31808e-04	7.21120e-04	1.08317e-07	1.12000e-02	-1.08193e+00	-4.89064e-01	3.09647e-02	1.10000e-01
8.80183e-01	2.35922e-18	9.01917e-19	0.00000e+00	6.28702e-01	2.51481e-01	4.80728e-04	6.21974e-04	1.06886e-07	9.82620e-03	-1.06980e+00	-4.88189e-01	3.21153e-02	1.10000e-01
8.81954e-01	2.49800e-18	6.93855e-19	0.00000e+00	6.29971e-01	2.51988e-01	4.24349e-04	5.27476e-04	1.03750e-07	8.46222e-03	-1.05394e+00	-4.87303e-01	3.32323e-02	1.10000e-01
8.83786e-01	5.13457e-18	2.77417e-19	0.00000e+00	6.31276e-01	2.52510e-01	3.68670e-04	4.39909e-04	9.90844e-08	7.17456e-03	-1.03762e+00	-4.86406e-01	3.43199e-02	1.10000e-01
8.85718e-01	8.32945e-19	6.93855e-19	0.00000e+00	6.32655e-01	2.53062e-01	3.12755e-04	3.59651e-04	9.28361e-08	5.95771e-03	-1.02038e+00	-4.85496e-01	3.53819e-02	1.10000e-01
8.87676e-01	-1.24914e-18	6.93855e-19	0.00000e+00	6.34052e-01	2.53621e-01	2.58093e-04	2.86416e-04	8.48940e-08	4.81933e-03	-1.00292e+00	-4.84572e-01	3.64215e-02	1.10000e-01
8.89548e-01	2.77584e-18	-1.38743e-19	0.00000e+00	6.35388e-01	2.54155e-01	2.06073e-04	2.21238e-04	7.56830e-08	3.77929e-03	-9.86219e-01	-4.83634e-01	3.74412e-02	1.10000e-01
8.91346e-01	-5.41282e-18	-6.93889e-23	0.00000e+00	6.36671e-01	2.54668e-01	1.56122e-04	1.62606e-04	6.53195e-08	2.81775e-03	-9.70183e-01	-4.82680e-01	3.84435e-02	1.10000e-01
8.92988e-01	-1.52683e-18	-2.08167e-22	0.00000e+00	6.37844e-01	2.55138e-01	1.09677e-04	1.11127e-04	5.47658e-08	1.95166e-03	-9.55525e-01	-4.81711e-01	3.94304e-02	1.10000e-01
8.94473e-01	3.47028e-18	-1.24876e-18	0.00000e+00	6.38904e-01	2.55562e-01	6.69834e-05	6.64203e-05	4.49260e-08	1.17908e-03	-9.42268e-01	-4.80724e-01	4.04036e-02	1.10000e-01
8.95794e-01	-2.77695e-19	6.93889e-23	0.00000e+00	6.39848e-01	2.55939e-01	2.90850e-05	2.86837e-05	3.63104e-08	5.10490e-04	-9.30468e-01	-4.79720e-01	4.13646e-02	1.10000e-01
8.96941e-01	4.17166e-19	6.24743e-19	0.00000e+00	6.40669e-01	2.56267e-01	-3.02163e-06	-1.63116e-06	2.97467e-08	-4.16273e-05	-9.20215e-01	-4.78697e-01	4.23149e-02	1.10000e-01
8.97939e-01	-1.80335e-18	-4.16160e-19	0.00000e+00	6.41382e-01	2.56553e-01	-2.87892e-05	-2.47369e-05	2.59128e-08	-4.74392e-04	-9.11297e-01	-4.77654e-01	4.32555e-02	1.10000e-01
8.98789e-01	-1.80432e-18	6.94098e-19	0.00000e+00	6.41990e-01	2.56796e-01	-4.80555e-05	-4.09216e-05	2.41435e-08	-7.88954e-04	-9.03692e-01	-4.76592e-01	4.41875e-02	1.10000e-01
8.99512e-01	1.38500e-19	5.55146e-19	0.00000e+00	6.42507e-01	2.57003e-01	-6.14545e-05	-5.12929e-05	1.85712e-08	-1.00059e-03	-8.97229e-01	-4.75508e-01	4.51118e-02	1.10000e-01
9.00123e-01	-1.52621e-18	5.55077e-19	0.00000e+00	6.42945e-01	2.57178e-01	-6.98325e-05	-5.69450e-05	-8.25023e-09	-1.12634e-03	-8.91765e-01	-4.74403e-01	4.60293e-02	1.10000e-01
9.00634e-01	5.55320e-19	4.85723e-19	0.00000e+00	6.43310e-01	2.57324e-01	-7.42873e-05	-5.91036e-05	-8.86134e-08	-1.18663e-03	-8.87199e-01	-4.73276e-01	4.69405e-02	1.10000e-01
9.01063e-01	-1.66554e-18	4.16160e-19	0.00000e+00	6.43616e-01	2.57447e-01	-7.58740e-05	-5.88863e-05	-2.64055e-07	-1.20055e-03	-8.83365e-01	-4.72126e-01	4.78462e-02	1.10000e-01
9.01420e-01	-2.49842e-18	-9.71410e-19	0.00000e+00	6.43872e-01	2.57549e-01	-7.54587e-05	-5.70997e-05	-5.69784e-07	-1.18285e-03	-8.80176e-01	-4.70952e-01	4.87467e-02	1.10000e-01
9.01718e-01	-5.54556e-19	-1.04066e-18	0.00000e+00	6.44085e-01	2.57634e-01	-7.35754e-05	-5.42980e-05	-1.01163e-06	-1.14302e-03	-8.77513e-01	-4.69753e-01	4.96427e-02	1.10000e-01
9.01968e-01	5.54556e-19	2.77521e-19	0.00000e+00	6.44263e-01	2.57705e-01	-7.08340e-05	-5.09811e-05	-1.55580e-06	-1.09091e-03	-8.75287e-01	-4.68530e-01	5.05344e-02	1.10000e-01
9.02175e-01	2.35860e-18	-1.66533e-18	0.00000e+00	6.44411e-01	2.57764e-01	-6.75024e-05	-4.73901e-05	-2.13478e-06	-1.03096e-03	-8.73433e-01	-4.67281e-01	5.14223e-02	1.10000e-01
9.02350e-01	-2.08222e-18	5.54973e-19	0.00000e+00	6.44536e-01	2.57814e-01	-6.38578e-05	-4.37423e-05	-2.67796e-06	-9.67536e-04	-8.71873e-01	-4.66007e-01	5.23065e-02	1.10000e-01
9.02497e-01	-4.16542e-19	1.94299e-18	0.00000e+00	6.44641e-01	2.57856e-01	-6.00507e-05	-4.01390e-05	-3.13389e-06	-9.02880e-04	-8.70564e-01	-4.64705e-01	5.31874e-02	1.10000e-01
9.02621e-01	-1.11001e-18	1.31846e-18	0.00000e+00	6.44729e-01	2.57892e-01	-5.62421e-05	-3.66945e-05	-3.48217e-06	-8.39425e-04	-8.69456e-01	-4.63376e-01	5.40651e-02	1.10000e-01
9.02726e-01	-2.77833e-19	1.38771e-18	0.00000e+00	6.44805e-01	2.57922e-01	-5.24767e-05	-3.34229e-05	-3.72133e-06	-7.77706e-04	-8.68512e-01	-4.62019e-01	5.49397e-02	1.10000e-01
