"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
9.79073e-01	5.52204e-03	4.24670e-02	-3.29777e-03	7.00303e-01	2.79745e-01	2.23402e-02	-5.00000e-01	0.00000e+00	0.00000e+00
9.54624e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.82481e-01	2.72993e-01	1.22069e-02	-4.99947e-01	2.24938e-03	0.00000e+00
9.55500e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.81880e-01	2.72752e-01	1.40220e-02	-4.99788e-01	4.49373e-03	0.00000e+00
9.40014e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.72102e-01	2.68841e-01	1.75734e-02	-4.99521e-01	6.72789e-03	0.00000e+00
9.38202e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.69609e-01	2.67844e-01	1.79329e-02	-4.99148e-01	8.94671e-03	0.00000e+00
9.24271e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.60659e-01	2.64263e-01	1.97420e-02	-4.98669e-01	1.11452e-02	0.00000e+00
9.15253e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.53490e-01	2.61396e-01	2.00261e-02	-4.98087e-01	1.33187e-02	0.00000e+00
9.07277e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.48209e-01	2.59284e-01	2.03185e-02	-4.97406e-01	1.54629e-02	0.00000e+00
8.96096e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.40079e-01	2.56031e-01	2.04807e-02	-4.96627e-01	1.75740e-02	0.00000e+00
8.89862e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.35581e-01	2.54232e-01	2.00903e-02	-4.95802e-01	1.95471e-02	0.00000e+00
8.82694e-01	-5.94798e-18	0.00000e+00	0.00000e+00	6.30596e-01	2.52238e-01	1.98626e-02	-4.94976e-01	2.13254e-02	0.00000e+00
8.77182e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.26503e-01	2.50601e-01	1.93920e-02	-4.94147e-01	2.29575e-02	0.00000e+00
8.72997e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.23641e-01	2.49456e-01	1.88633e-02	-4.93315e-01	2.44754e-02	0.00000e+00
8.68803e-01	-5.94798e-18	0.00000e+00	0.00000e+00	6.20559e-01	2.48224e-01	1.83663e-02	-4.92478e-01	2.59015e-02	0.00000e+00
8.65896e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.18527e-01	2.47411e-01	1.77595e-02	-4.91636e-01	2.72523e-02	0.00000e+00
8.63191e-01	5.94778e-18	0.00000e+00	0.00000e+00	6.16577e-01	2.46631e-01	1.71874e-02	-4.90787e-01	2.85402e-02	0.00000e+00
8.61059e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.15053e-01	2.46021e-01	1.65836e-02	-4.89930e-01	2.97751e-02	0.00000e+00
8.59426e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.13891e-01	2.45556e-01	1.59593e-02	-4.89064e-01	3.09647e-02	0.00000e+00
