"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
1.00748e+00	5.40839e-03	4.65585e-02	1.08685e-04	7.21822e-01	2.88293e-01	2.20922e-02	-5.14970e-01	0.00000e+00	-2.86000e-02
9.87574e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.05951e-01	2.82380e-01	1.04192e-02	-5.14918e-01	2.24940e-03	-2.86000e-02
9.90380e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.06829e-01	2.82732e-01	1.27498e-02	-5.14761e-01	4.49391e-03	-2.86000e-02
9.78511e-01	-5.94778e-18	0.00000e+00	0.00000e+00	6.99572e-01	2.79829e-01	1.75738e-02	-5.14499e-01	6.72854e-03	-2.86000e-02
9.79041e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.98787e-01	2.79515e-01	1.88320e-02	-5.14131e-01	8.94828e-03	-2.86000e-02
9.66930e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.91100e-01	2.76440e-01	2.15451e-02	-5.13659e-01	1.11483e-02	-2.86000e-02
9.59531e-01	-1.98253e-22	-1.98253e-18	0.00000e+00	6.85128e-01	2.74051e-01	2.23845e-02	-5.13086e-01	1.33239e-02	-2.86000e-02
9.53048e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.80868e-01	2.72347e-01	2.32103e-02	-5.12413e-01	1.54711e-02	-2.86000e-02
9.42437e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.73189e-01	2.69275e-01	2.36649e-02	-5.11645e-01	1.75860e-02	-2.86000e-02
9.37189e-01	7.93011e-18	-2.97399e-18	0.00000e+00	6.69359e-01	2.67744e-01	2.34622e-02	-5.10831e-01	1.95632e-02	-2.86000e-02
9.30266e-01	3.96486e-18	1.98243e-18	0.00000e+00	6.64575e-01	2.65830e-01	2.34215e-02	-5.10015e-01	2.13453e-02	-2.86000e-02
9.24831e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.60529e-01	2.64211e-01	2.30251e-02	-5.09197e-01	2.29811e-02	-2.86000e-02
9.20786e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.57762e-01	2.63105e-01	2.25879e-02	-5.08376e-01	2.45028e-02	-2.86000e-02
9.16210e-01	0.00000e+00	9.91263e-19	0.00000e+00	6.54423e-01	2.61769e-01	2.22216e-02	-5.07550e-01	2.59329e-02	-2.86000e-02
9.13070e-01	1.98273e-18	-1.98243e-18	0.00000e+00	6.52206e-01	2.60882e-01	2.16619e-02	-5.06718e-01	2.72879e-02	-2.86000e-02
9.09846e-01	0.00000e+00	-1.98253e-18	0.00000e+00	6.49903e-01	2.59961e-01	2.11869e-02	-5.05879e-01	2.85803e-02	-2.86000e-02
9.07107e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.47935e-01	2.59174e-01	2.06787e-02	-5.05032e-01	2.98199e-02	-2.86000e-02
9.04826e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.46319e-01	2.58527e-01	2.01495e-02	-5.04177e-01	3.10146e-02	-2.86000e-02
9.02627e-01	3.96505e-22	0.00000e+00	0.00000e+00	6.44739e-01	2.57895e-01	1.96305e-02	-5.03311e-01	3.21707e-02	-2.86000e-02
