"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.72786e-01	6.56520e-03	6.32614e-02	9.85606e-07	6.97761e-01	2.78273e-01	-2.06564e-01	-5.00000e-01	0.00000e+00	1.10000e-01
9.42591e-01	6.93057e-19	-1.10988e-18	0.00000e+00	6.73922e-01	2.69569e-01	-5.04543e-01	-4.99947e-01	2.24938e-03	1.10000e-01
9.45487e-01	-3.74707e-18	-7.63105e-19	0.00000e+00	6.74680e-01	2.69872e-01	-4.95077e-01	-4.99788e-01	4.49373e-03	1.10000e-01
9.31457e-01	3.05346e-18	-2.77209e-19	0.00000e+00	6.66033e-01	2.66413e-01	-6.03159e-01	-4.99521e-01	6.72789e-03	1.10000e-01
9.30909e-01	3.33074e-18	1.59626e-18	0.00000e+00	6.64371e-01	2.65748e-01	-6.23935e-01	-4.99148e-01	8.94671e-03	1.10000e-01
9.17611e-01	2.35929e-18	2.08149e-18	0.00000e+00	6.55902e-01	2.62361e-01	-7.29792e-01	-4.98669e-01	1.11452e-02	1.10000e-01
9.09108e-01	-2.35929e-18	3.46875e-19	0.00000e+00	6.49105e-01	2.59642e-01	-8.14755e-01	-4.98087e-01	1.33187e-02	1.10000e-01
9.02762e-01	-1.38292e-19	6.24570e-19	0.00000e+00	6.44953e-01	2.57981e-01	-8.66655e-01	-4.97406e-01	1.54629e-02	1.10000e-01
8.92428e-01	-1.94351e-18	-8.32737e-19	0.00000e+00	6.37476e-01	2.54991e-01	-9.60118e-01	-4.96627e-01	1.75740e-02	1.10000e-01
8.88344e-01	-5.13437e-18	-6.24466e-19	0.00000e+00	6.34466e-01	2.53786e-01	-9.97744e-01	-4.95802e-01	1.95471e-02	1.10000e-01
8.83265e-01	-1.66499e-18	-9.71306e-19	0.00000e+00	6.31008e-01	2.52403e-01	-1.04098e+00	-4.94976e-01	2.13254e-02	1.10000e-01
8.79913e-01	-4.16299e-18	-5.55146e-19	0.00000e+00	6.28442e-01	2.51377e-01	-1.07305e+00	-4.94147e-01	2.29575e-02	1.10000e-01
8.78474e-01	1.38771e-18	5.55007e-19	0.00000e+00	6.27540e-01	2.51016e-01	-1.08433e+00	-4.93315e-01	2.44754e-02	1.10000e-01
8.76777e-01	1.94261e-18	-4.85653e-19	0.00000e+00	6.26254e-01	2.50501e-01	-1.10040e+00	-4.92478e-01	2.59015e-02	1.10000e-01
8.76731e-01	5.55458e-19	-6.93820e-19	0.00000e+00	6.26249e-01	2.50500e-01	-1.10046e+00	-4.91636e-01	2.72523e-02	1.10000e-01
8.76848e-01	-3.74638e-18	-1.66527e-18	0.00000e+00	6.26330e-01	2.50532e-01	-1.09944e+00	-4.90787e-01	2.85402e-02	1.10000e-01
8.77553e-01	3.46972e-18	4.85792e-19	0.00000e+00	6.26823e-01	2.50729e-01	-1.09329e+00	-4.89930e-01	2.97751e-02	1.10000e-01
8.78809e-01	-1.80432e-18	1.38917e-19	0.00000e+00	6.27731e-01	2.51092e-01	-1.08193e+00	-4.89064e-01	3.09647e-02	1.10000e-01
8.80183e-01	2.35922e-18	9.01917e-19	0.00000e+00	6.28702e-01	2.51481e-01	-1.06980e+00	-4.88189e-01	3.21153e-02	1.10000e-01
8.81954e-01	2.49800e-18	6.93855e-19	0.00000e+00	6.29971e-01	2.51988e-01	-1.05394e+00	-4.87303e-01	3.32323e-02	1.10000e-01
8.83786e-01	5.13457e-18	2.77417e-19	0.00000e+00	6.31276e-01	2.52510e-01	-1.03762e+00	-4.86406e-01	3.43199e-02	1.10000e-01
8.85718e-01	8.32945e-19	6.93855e-19	0.00000e+00	6.32655e-01	2.53062e-01	-1.02038e+00	-4.85496e-01	3.53819e-02	1.10000e-01
8.87676e-01	-1.24914e-18	6.93855e-19	0.00000e+00	6.34052e-01	2.53621e-01	-1.00292e+00	-4.84572e-01	3.64215e-02	1.10000e-01
8.89548e-01	2.77584e-18	-1.38743e-19	0.00000e+00	6.35388e-01	2.54155e-01	-9.86219e-01	-4.83634e-01	3.74412e-02	1.10000e-01
8.91346e-01	-5.41282e-18	-6.93889e-23	0.00000e+00	6.36671e-01	2.54668e-01	-9.70183e-01	-4.82680e-01	3.84435e-02	1.10000e-01
8.92988e-01	-1.52683e-18	-2.08167e-22	0.00000e+00	6.37844e-01	2.55138e-01	-9.55525e-01	-4.81711e-01	3.94304e-02	1.10000e-01
8.94473e-01	3.47028e-18	-1.24876e-18	0.00000e+00	6.38904e-01	2.55562e-01	-9.42268e-01	-4.80724e-01	4.04036e-02	1.10000e-01
8.95794e-01	-2.77695e-19	6.93889e-23	0.00000e+00	6.39848e-01	2.55939e-01	-9.30469e-01	-4.79720e-01	4.13646e-02	1.10000e-01
8.96941e-01	4.17166e-19	6.24743e-19	0.00000e+00	6.40669e-01	2.56267e-01	-9.20215e-01	-4.78697e-01	4.23149e-02	1.10000e-01
8.97939e-01	-1.80335e-18	-4.16160e-19	0.00000e+00	6.41382e-01	2.56553e-01	-9.11297e-01	-4.77654e-01	4.32555e-02	1.10000e-01
8.98789e-01	-1.80432e-18	6.94098e-19	0.00000e+00	6.41990e-01	2.56796e-01	-9.03692e-01	-4.76592e-01	4.41875e-02	1.10000e-01
8.99512e-01	1.38500e-19	5.55146e-19	0.00000e+00	6.42507e-01	2.57003e-01	-8.97229e-01	-4.75508e-01	4.51118e-02	1.10000e-01
9.00123e-01	-1.52621e-18	5.55077e-19	0.00000e+00	6.42945e-01	2.57178e-01	-8.91765e-01	-4.74403e-01	4.60293e-02	1.10000e-01
9.00634e-01	5.55320e-19	4.85723e-19	0.00000e+00	6.43310e-01	2.57324e-01	-8.87199e-01	-4.73276e-01	4.69405e-02	1.10000e-01
9.01063e-01	-1.66554e-18	4.16160e-19	0.00000e+00	6.43616e-01	2.57447e-01	-8.83365e-01	-4.72126e-01	4.78462e-02	1.10000e-01
9.01420e-01	-2.49842e-18	-9.71410e-19	0.00000e+00	6.43872e-01	2.57549e-01	-8.80176e-01	-4.70952e-01	4.87467e-02	1.10000e-01
9.01718e-01	-5.54556e-19	-1.04066e-18	0.00000e+00	6.44085e-01	2.57634e-01	-8.77514e-01	-4.69753e-01	4.96427e-02	1.10000e-01
9.01968e-01	5.54556e-19	2.77521e-19	0.00000e+00	6.44263e-01	2.57705e-01	-8.75287e-01	-4.68530e-01	5.05344e-02	1.10000e-01
9.02175e-01	2.35860e-18	-1.66533e-18	0.00000e+00	6.44411e-01	2.57764e-01	-8.73433e-01	-4.67281e-01	5.14223e-02	1.10000e-01
9.02350e-01	-2.08222e-18	5.54973e-19	0.00000e+00	6.44536e-01	2.57814e-01	-8.71873e-01	-4.66007e-01	5.23065e-02	1.10000e-01
9.02497e-01	-4.16542e-19	1.94299e-18	0.00000e+00	6.44641e-01	2.57856e-01	-8.70564e-01	-4.64705e-01	5.31874e-02	1.10000e-01
9.02621e-01	-1.11001e-18	1.31846e-18	0.00000e+00	6.44729e-01	2.57892e-01	-8.69456e-01	-4.63376e-01	5.40651e-02	1.10000e-01
9.02726e-01	-2.77833e-19	1.38771e-18	0.00000e+00	6.44805e-01	2.57922e-01	-8.68512e-01	-4.62019e-01	5.49397e-02	1.10000e-01
9.02817e-01	3.74686e-18	1.38757e-18	0.00000e+00	6.44869e-01	2.57948e-01	-8.67707e-01	-4.60634e-01	5.58114e-02	1.10000e-01
9.02895e-01	-3.33074e-18	-2.08132e-19	0.00000e+00	6.44925e-01	2.57970e-01	-8.67011e-01	-4.59220e-01	5.66803e-02	1.10000e-01
9.02962e-01	8.32806e-19	-2.77660e-19	0.00000e+00	6.44973e-01	2.57989e-01	-8.66411e-01	-4.57777e-01	5.75464e-02	1.10000e-01
9.03020e-01	1.38750e-18	-6.93924e-19	0.00000e+00	6.45015e-01	2.58006e-01	-8.65889e-01	-4.56304e-01	5.84098e-02	1.10000e-01
9.03071e-01	1.38362e-19	-1.38778e-18	0.00000e+00	6.45051e-01	2.58020e-01	-8.65438e-01	-4.54800e-01	5.92704e-02	1.10000e-01
9.03114e-01	1.94234e-18	-2.08167e-22	0.00000e+00	6.45082e-01	2.58033e-01	-8.65049e-01	-4.53266e-01	6.01282e-02	1.10000e-01
9.03152e-01	-5.55389e-19	9.71306e-19	0.00000e+00	6.45109e-01	2.58043e-01	-8.64712e-01	-4.51701e-01	6.09832e-02	1.10000e-01
9.03185e-01	4.57981e-18	4.85688e-19	0.00000e+00	6.45132e-01	2.58053e-01	-8.64421e-01	-4.50104e-01	6.18353e-02	1.10000e-01
9.03213e-01	3.05284e-18	-4.85619e-19	0.00000e+00	6.45153e-01	2.58061e-01	-8.64165e-01	-4.48476e-01	6.26844e-02	1.10000e-01
9.03239e-01	1.66471e-18	-2.77521e-19	0.00000e+00	6.45171e-01	2.58068e-01	-8.63939e-01	-4.46815e-01	6.35304e-02	1.10000e-01
9.03261e-01	1.39957e-19	-4.85688e-19	0.00000e+00	6.45187e-01	2.58075e-01	-8.63737e-01	-4.45121e-01	6.43733e-02	1.10000e-01
9.03282e-01	-5.54903e-19	-2.07993e-19	0.00000e+00	6.45201e-01	2.58081e-01	-8.63555e-01	-4.43394e-01	6.52129e-02	1.10000e-01
9.03300e-01	-1.38785e-18	-6.24466e-19	0.00000e+00	6.45214e-01	2.58086e-01	-8.63395e-01	-4.41634e-01	6.60490e-02	1.10000e-01
9.03315e-01	-1.10960e-18	1.11033e-18	0.00000e+00	6.45225e-01	2.58090e-01	-8.63262e-01	-4.39840e-01	6.68815e-02	1.10000e-01
9.03326e-01	1.39055e-19	-4.16611e-19	0.00000e+00	6.45233e-01	2.58093e-01	-8.63157e-01	-4.38013e-01	6.77103e-02	1.10000e-01
9.03335e-01	-2.91378e-18	4.16264e-19	0.00000e+00	6.45239e-01	2.58096e-01	-8.63079e-01	-4.36151e-01	6.85351e-02	1.10000e-01
9.03341e-01	1.38757e-18	1.73458e-18	0.00000e+00	6.45244e-01	2.58098e-01	-8.63021e-01	-4.34254e-01	6.93558e-02	1.10000e-01
9.03347e-01	-2.35957e-18	4.85757e-19	0.00000e+00	6.45248e-01	2.58099e-01	-8.62974e-01	-4.32323e-01	7.01722e-02	1.10000e-01
9.03352e-01	1.52579e-18	-6.97359e-20	0.00000e+00	6.45252e-01	2.58101e-01	-8.62927e-01	-4.30357e-01	7.09841e-02	1.10000e-01
9.03358e-01	2.77417e-19	4.16368e-19	0.00000e+00	6.45256e-01	2.58102e-01	-8.62877e-01	-4.28356e-01	7.17913e-02	1.10000e-01
9.03363e-01	6.93612e-19	-4.16542e-19	0.00000e+00	6.45259e-01	2.58104e-01	-8.62831e-01	-4.26319e-01	7.25936e-02	1.10000e-01
9.03366e-01	1.80501e-18	2.08167e-22	0.00000e+00	6.45262e-01	2.58105e-01	-8.62800e-01	-4.24247e-01	7.33908e-02	1.10000e-01
9.03367e-01	8.32182e-19	-9.02091e-19	0.00000e+00	6.45262e-01	2.58105e-01	-8.62799e-01	-4.22139e-01	7.41826e-02	1.10000e-01
