"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.85002e-01	5.03529e-03	4.04842e-02	-3.16890e-03	7.04360e-01	2.81404e-01	-1.24071e-01	-5.00000e-01	0.00000e+00	0.00000e+00
9.61930e-01	3.77766e-19	3.81559e-19	0.00000e+00	6.87676e-01	2.75070e-01	-3.32623e-01	-4.99947e-01	2.24938e-03	0.00000e+00
9.63103e-01	7.55162e-19	-9.40251e-19	0.00000e+00	6.87335e-01	2.74934e-01	-3.36881e-01	-4.99788e-01	4.49373e-03	0.00000e+00
9.48650e-01	-1.49543e-18	9.32757e-19	0.00000e+00	6.78247e-01	2.71299e-01	-4.50482e-01	-4.99521e-01	6.72789e-03	0.00000e+00
9.47621e-01	-1.11775e-18	3.83225e-19	0.00000e+00	6.76353e-01	2.70541e-01	-4.74161e-01	-4.99148e-01	8.94671e-03	0.00000e+00
9.34993e-01	-1.88744e-19	8.42086e-19	0.00000e+00	6.68301e-01	2.67320e-01	-5.74814e-01	-4.98669e-01	1.11452e-02	0.00000e+00
9.27325e-01	1.73756e-19	-2.81312e-19	0.00000e+00	6.62118e-01	2.64847e-01	-6.52095e-01	-4.98087e-01	1.33187e-02	0.00000e+00
9.20780e-01	-3.77673e-19	3.69948e-19	0.00000e+00	6.57846e-01	2.63139e-01	-7.05491e-01	-4.97406e-01	1.54629e-02	0.00000e+00
9.11322e-01	2.43970e-18	3.73741e-19	0.00000e+00	6.50950e-01	2.60380e-01	-7.91698e-01	-4.96627e-01	1.75740e-02	0.00000e+00
9.06747e-01	-1.85043e-22	1.85043e-19	0.00000e+00	6.47639e-01	2.59056e-01	-8.33084e-01	-4.95802e-01	1.95471e-02	0.00000e+00
9.01253e-01	1.67659e-18	0.00000e+00	0.00000e+00	6.43846e-01	2.57539e-01	-8.80491e-01	-4.94976e-01	2.13254e-02	0.00000e+00
8.97417e-01	-1.50635e-18	0.00000e+00	0.00000e+00	6.40954e-01	2.56382e-01	-9.16646e-01	-4.94147e-01	2.29575e-02	0.00000e+00
8.94868e-01	-1.51069e-18	0.00000e+00	0.00000e+00	6.39257e-01	2.55703e-01	-9.37862e-01	-4.93315e-01	2.44754e-02	0.00000e+00
8.92336e-01	-9.28918e-19	0.00000e+00	0.00000e+00	6.37364e-01	2.54946e-01	-9.61519e-01	-4.92478e-01	2.59015e-02	0.00000e+00
8.91083e-01	1.88189e-19	0.00000e+00	0.00000e+00	6.36512e-01	2.54605e-01	-9.72176e-01	-4.91636e-01	2.72523e-02	0.00000e+00
8.90031e-01	-1.69564e-18	0.00000e+00	0.00000e+00	6.35743e-01	2.54297e-01	-9.81787e-01	-4.90787e-01	2.85402e-02	0.00000e+00
8.89564e-01	5.43565e-19	0.00000e+00	0.00000e+00	6.35408e-01	2.54163e-01	-9.85971e-01	-4.89930e-01	2.97751e-02	0.00000e+00
8.89585e-01	-5.70581e-19	0.00000e+00	0.00000e+00	6.35428e-01	2.54171e-01	-9.85726e-01	-4.89064e-01	3.09647e-02	0.00000e+00
8.89843e-01	-2.99049e-18	0.00000e+00	0.00000e+00	6.35604e-01	2.54242e-01	-9.83522e-01	-4.88189e-01	3.21153e-02	0.00000e+00
8.90526e-01	3.39555e-19	0.00000e+00	0.00000e+00	6.36096e-01	2.54438e-01	-9.77376e-01	-4.87303e-01	3.32323e-02	0.00000e+00
8.91389e-01	-3.96178e-19	0.00000e+00	0.00000e+00	6.36708e-01	2.54683e-01	-9.69718e-01	-4.86406e-01	3.43199e-02	0.00000e+00
8.92479e-01	-2.45876e-18	0.00000e+00	0.00000e+00	6.37487e-01	2.54995e-01	-9.59982e-01	-4.85496e-01	3.53819e-02	0.00000e+00
8.93715e-01	-2.25068e-18	0.00000e+00	0.00000e+00	6.38368e-01	2.55347e-01	-9.48973e-01	-4.84572e-01	3.64215e-02	0.00000e+00
