"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
1.00645e+00	5.45361e-03	4.68749e-02	9.96992e-05	7.21114e-01	2.88003e-01	8.53593e-02	-5.14970e-01	0.00000e+00	8.14000e-02
9.86316e-01	0.00000e+00	0.00000e+00	0.00000e+00	7.05057e-01	2.82023e-01	-1.15355e-01	-5.14918e-01	2.24940e-03	8.14000e-02
9.89148e-01	7.39988e-19	-3.73788e-19	0.00000e+00	7.05945e-01	2.82378e-01	-1.04261e-01	-5.14761e-01	4.49391e-03	8.14000e-02
9.77190e-01	0.00000e+00	6.60882e-19	0.00000e+00	6.98633e-01	2.79453e-01	-1.95664e-01	-5.14499e-01	6.72854e-03	8.14000e-02
9.77684e-01	-3.77581e-19	1.88744e-19	0.00000e+00	6.97816e-01	2.79126e-01	-2.05873e-01	-5.14131e-01	8.94828e-03	8.14000e-02
9.65476e-01	-1.50301e-18	3.79339e-21	0.00000e+00	6.90063e-01	2.76025e-01	-3.02779e-01	-5.13659e-01	1.11483e-02	8.14000e-02
9.57974e-01	-3.77396e-19	7.63304e-21	0.00000e+00	6.84015e-01	2.73606e-01	-3.78378e-01	-5.13086e-01	1.33239e-02	8.14000e-02
9.51411e-01	5.73912e-19	-7.40127e-19	0.00000e+00	6.79699e-01	2.71880e-01	-4.32335e-01	-5.12413e-01	1.54711e-02	8.14000e-02
9.40679e-01	1.12562e-18	7.47991e-19	0.00000e+00	6.71934e-01	2.68774e-01	-5.29391e-01	-5.11645e-01	1.75860e-02	8.14000e-02
9.35339e-01	3.62407e-19	7.47621e-19	0.00000e+00	6.68037e-01	2.67215e-01	-5.78103e-01	-5.10831e-01	1.95632e-02	8.14000e-02
9.28326e-01	1.88420e-18	1.03481e-18	0.00000e+00	6.63190e-01	2.65276e-01	-6.38702e-01	-5.10015e-01	2.13453e-02	8.14000e-02
9.22796e-01	1.12525e-18	-5.66325e-19	0.00000e+00	6.59076e-01	2.63630e-01	-6.90124e-01	-5.09197e-01	2.29811e-02	8.14000e-02
9.18673e-01	5.66510e-19	-7.43920e-19	0.00000e+00	6.56253e-01	2.62501e-01	-7.25412e-01	-5.08376e-01	2.45028e-02	8.14000e-02
9.14013e-01	-7.70520e-19	1.14727e-20	0.00000e+00	6.52854e-01	2.61142e-01	-7.67895e-01	-5.07550e-01	2.59329e-02	8.14000e-02
9.10794e-01	7.55254e-19	-5.58877e-19	0.00000e+00	6.50581e-01	2.60233e-01	-7.96303e-01	-5.06718e-01	2.72879e-02	8.14000e-02
9.07497e-01	-3.47141e-19	-1.88837e-19	0.00000e+00	6.48226e-01	2.59290e-01	-8.25745e-01	-5.05879e-01	2.85803e-02	8.14000e-02
9.04685e-01	-1.66113e-18	-1.85043e-19	0.00000e+00	6.46206e-01	2.58482e-01	-8.51001e-01	-5.05032e-01	2.98199e-02	8.14000e-02
9.02337e-01	1.66909e-18	0.00000e+00	0.00000e+00	6.44541e-01	2.57816e-01	-8.71807e-01	-5.04177e-01	3.10146e-02	8.14000e-02
9.00072e-01	-1.85043e-22	0.00000e+00	0.00000e+00	6.42914e-01	2.57166e-01	-8.92143e-01	-5.03311e-01	3.21707e-02	8.14000e-02
8.98249e-01	-3.17627e-18	0.00000e+00	0.00000e+00	6.41617e-01	2.56647e-01	-9.08365e-01	-5.02434e-01	3.32936e-02	8.14000e-02
8.96568e-01	7.39896e-19	0.00000e+00	0.00000e+00	6.40414e-01	2.56165e-01	-9.23401e-01	-5.01545e-01	3.43875e-02	8.14000e-02
8.95128e-01	-4.08113e-19	0.00000e+00	0.00000e+00	6.39385e-01	2.55754e-01	-9.36263e-01	-5.00643e-01	3.54562e-02	8.14000e-02
8.93910e-01	4.13489e-18	0.00000e+00	0.00000e+00	6.38515e-01	2.55406e-01	-9.47135e-01	-4.99728e-01	3.65028e-02	8.14000e-02
8.92839e-01	-9.28733e-19	0.00000e+00	0.00000e+00	6.37750e-01	2.55100e-01	-9.56701e-01	-4.98797e-01	3.75302e-02	8.14000e-02
8.91970e-01	-1.48044e-18	0.00000e+00	0.00000e+00	6.37128e-01	2.54851e-01	-9.64474e-01	-4.97851e-01	3.85405e-02	8.14000e-02
8.91243e-01	1.68787e-18	0.00000e+00	0.00000e+00	6.36608e-01	2.54643e-01	-9.70968e-01	-4.96888e-01	3.95358e-02	8.14000e-02
8.90664e-01	3.39481e-18	0.00000e+00	0.00000e+00	6.36194e-01	2.54478e-01	-9.76144e-01	-4.95907e-01	4.05179e-02	8.14000e-02
8.90229e-01	-3.56107e-18	0.00000e+00	0.00000e+00	6.35884e-01	2.54353e-01	-9.80027e-01	-4.94908e-01	4.14883e-02	8.14000e-02
8.89915e-01	-7.55162e-19	0.00000e+00	0.00000e+00	6.35659e-01	2.54264e-01	-9.82836e-01	-4.93890e-01	4.24483e-02	8.14000e-02
8.89729e-01	-2.43175e-18	0.00000e+00	0.00000e+00	6.35525e-01	2.54210e-01	-9.84505e-01	-4.92852e-01	4.33992e-02	8.14000e-02
8.89654e-01	1.68019e-18	0.00000e+00	0.00000e+00	6.35472e-01	2.54189e-01	-9.85171e-01	-4.91794e-01	4.43419e-02	8.14000e-02
8.89688e-01	-1.88078e-18	0.00000e+00	0.00000e+00	6.35496e-01	2.54198e-01	-9.84876e-01	-4.90713e-01	4.52773e-02	8.14000e-02
8.89827e-01	-1.48766e-18	0.00000e+00	0.00000e+00	6.35594e-01	2.54238e-01	-9.83646e-01	-4.89611e-01	4.62063e-02	8.14000e-02
8.90059e-01	-9.39928e-19	0.00000e+00	0.00000e+00	6.35760e-01	2.54304e-01	-9.81574e-01	-4.88486e-01	4.71296e-02	8.14000e-02
8.90384e-01	-1.88060e-18	0.00000e+00	0.00000e+00	6.35991e-01	2.54397e-01	-9.78680e-01	-4.87337e-01	4.80476e-02	8.14000e-02
8.90792e-01	-1.96701e-19	0.00000e+00	0.00000e+00	6.36283e-01	2.54513e-01	-9.75040e-01	-4.86163e-01	4.89610e-02	8.14000e-02
8.91277e-01	5.62069e-19	0.00000e+00	0.00000e+00	6.36629e-01	2.54652e-01	-9.70710e-01	-4.84965e-01	4.98702e-02	8.14000e-02
8.91834e-01	1.86579e-18	0.00000e+00	0.00000e+00	6.37026e-01	2.54811e-01	-9.65743e-01	-4.83740e-01	5.07755e-02	8.14000e-02
8.92453e-01	2.62826e-18	0.00000e+00	0.00000e+00	6.37468e-01	2.54987e-01	-9.60217e-01	-4.82490e-01	5.16773e-02	8.14000e-02
8.93128e-01	-1.87699e-18	0.00000e+00	0.00000e+00	6.37950e-01	2.55180e-01	-9.54190e-01	-4.81213e-01	5.25759e-02	8.14000e-02
8.93851e-01	1.51069e-18	0.00000e+00	0.00000e+00	6.38467e-01	2.55387e-01	-9.47738e-01	-4.79908e-01	5.34714e-02	8.14000e-02
8.94613e-01	-3.84890e-19	0.00000e+00	0.00000e+00	6.39010e-01	2.55604e-01	-9.40943e-01	-4.78575e-01	5.43641e-02	8.14000e-02
8.95403e-01	-5.70119e-19	0.00000e+00	0.00000e+00	6.39575e-01	2.55830e-01	-9.33886e-01	-4.77213e-01	5.52541e-02	8.14000e-02
8.96212e-01	3.77581e-19	0.00000e+00	0.00000e+00	6.40152e-01	2.56061e-01	-9.26669e-01	-4.75822e-01	5.61416e-02	8.14000e-02
8.97027e-01	9.58802e-19	0.00000e+00	0.00000e+00	6.40734e-01	2.56294e-01	-9.19394e-01	-4.74402e-01	5.70264e-02	8.14000e-02
8.97836e-01	1.12543e-18	0.00000e+00	0.00000e+00	6.41311e-01	2.56525e-01	-9.12179e-01	-4.72951e-01	5.79088e-02	8.14000e-02
8.98624e-01	-7.62934e-19	0.00000e+00	0.00000e+00	6.41874e-01	2.56750e-01	-9.05142e-01	-4.71470e-01	5.87888e-02	8.14000e-02
8.99379e-01	-1.48803e-18	0.00000e+00	0.00000e+00	6.42413e-01	2.56965e-01	-8.98403e-01	-4.69957e-01	5.96662e-02	8.14000e-02
9.00087e-01	-5.39679e-19	0.00000e+00	0.00000e+00	6.42919e-01	2.57168e-01	-8.92078e-01	-4.68413e-01	6.05411e-02	8.14000e-02
9.00739e-01	-1.11045e-18	1.88790e-19	0.00000e+00	6.43385e-01	2.57354e-01	-8.86261e-01	-4.66837e-01	6.14134e-02	8.14000e-02
9.01325e-01	2.07619e-19	1.88790e-19	0.00000e+00	6.43803e-01	2.57521e-01	-8.81031e-01	-4.65228e-01	6.22830e-02	8.14000e-02
9.01839e-01	-1.15550e-18	4.62608e-23	0.00000e+00	6.44171e-01	2.57668e-01	-8.76439e-01	-4.63586e-01	6.31499e-02	8.14000e-02
9.02278e-01	-7.51554e-19	0.00000e+00	0.00000e+00	6.44484e-01	2.57794e-01	-8.72516e-01	-4.61912e-01	6.40139e-02	8.14000e-02
9.02641e-01	5.43657e-19	-1.85090e-19	0.00000e+00	6.44744e-01	2.57898e-01	-8.69268e-01	-4.60203e-01	6.48749e-02	8.14000e-02
9.02933e-01	-1.32158e-18	0.00000e+00	0.00000e+00	6.44953e-01	2.57981e-01	-8.66662e-01	-4.58461e-01	6.57328e-02	8.14000e-02
9.03155e-01	2.24273e-18	0.00000e+00	0.00000e+00	6.45111e-01	2.58045e-01	-8.64681e-01	-4.56684e-01	6.65874e-02	8.14000e-02
9.03308e-01	-1.52559e-18	-1.85043e-19	0.00000e+00	6.45221e-01	2.58088e-01	-8.63308e-01	-4.54873e-01	6.74386e-02	8.14000e-02
9.03401e-01	-1.48044e-18	-1.84997e-19	0.00000e+00	6.45287e-01	2.58115e-01	-8.62480e-01	-4.53026e-01	6.82861e-02	8.14000e-02
9.03431e-01	-5.44027e-19	-1.85043e-19	0.00000e+00	6.45309e-01	2.58123e-01	-8.62213e-01	-4.51145e-01	6.91297e-02	8.14000e-02
9.03388e-01	2.63585e-18	3.73834e-19	0.00000e+00	6.45278e-01	2.58111e-01	-8.62597e-01	-4.49228e-01	6.99694e-02	8.14000e-02
9.03270e-01	5.59016e-19	1.85043e-19	0.00000e+00	6.45194e-01	2.58077e-01	-8.63651e-01	-4.47275e-01	7.08049e-02	8.14000e-02
9.03081e-01	-1.11026e-18	0.00000e+00	0.00000e+00	6.45059e-01	2.58024e-01	-8.65337e-01	-4.45286e-01	7.16359e-02	8.14000e-02
9.02826e-01	-1.87310e-18	-1.88744e-19	0.00000e+00	6.44877e-01	2.57951e-01	-8.67604e-01	-4.43261e-01	7.24623e-02	8.14000e-02
9.02469e-01	3.85168e-19	0.00000e+00	0.00000e+00	6.44622e-01	2.57849e-01	-8.70798e-01	-4.41199e-01	7.32838e-02	8.14000e-02
9.02012e-01	1.52661e-20	0.00000e+00	0.00000e+00	6.44296e-01	2.57719e-01	-8.74869e-01	-4.39101e-01	7.41003e-02	8.14000e-02
9.01581e-01	1.11812e-18	0.00000e+00	0.00000e+00	6.43989e-01	2.57596e-01	-8.78709e-01	-4.36966e-01	7.49114e-02	8.14000e-02
9.01132e-01	-1.32547e-18	1.88837e-19	0.00000e+00	6.43668e-01	2.57467e-01	-8.82716e-01	-4.34794e-01	7.57170e-02	8.14000e-02
9.00531e-01	3.93125e-19	5.58831e-19	0.00000e+00	6.43239e-01	2.57296e-01	-8.88084e-01	-4.32585e-01	7.65168e-02	8.14000e-02
8.99834e-01	-9.25217e-23	-1.81250e-19	0.00000e+00	6.42740e-01	2.57096e-01	-8.94327e-01	-4.30339e-01	7.73106e-02	8.14000e-02
8.99139e-01	-3.69994e-19	1.88790e-19	0.00000e+00	6.42244e-01	2.56897e-01	-9.00527e-01	-4.28055e-01	7.80981e-02	8.14000e-02
8.98549e-01	4.12388e-18	0.00000e+00	0.00000e+00	6.41823e-01	2.56729e-01	-9.05781e-01	-4.25733e-01	7.88791e-02	8.14000e-02
8.97962e-01	-1.30687e-18	0.00000e+00	0.00000e+00	6.41402e-01	2.56561e-01	-9.11040e-01	-4.23374e-01	7.96533e-02	8.14000e-02
8.97123e-01	-7.24815e-19	-1.88837e-19	0.00000e+00	6.40803e-01	2.56321e-01	-9.18537e-01	-4.20978e-01	8.04205e-02	8.14000e-02
8.96079e-01	-1.52577e-18	3.79339e-21	0.00000e+00	6.40056e-01	2.56022e-01	-9.27877e-01	-4.18543e-01	8.11805e-02	8.14000e-02
8.95074e-01	1.11785e-18	3.73834e-19	0.00000e+00	6.39337e-01	2.55735e-01	-9.36853e-01	-4.16071e-01	8.19329e-02	8.14000e-02
8.94243e-01	-1.31418e-18	-1.85043e-19	0.00000e+00	6.38745e-01	2.55498e-01	-9.44260e-01	-4.13561e-01	8.26776e-02	8.14000e-02
8.93395e-01	-7.49426e-21	0.00000e+00	0.00000e+00	6.38141e-01	2.55256e-01	-9.51809e-01	-4.11013e-01	8.34143e-02	8.14000e-02
8.92367e-01	3.69994e-19	-1.88837e-19	0.00000e+00	6.37408e-01	2.54963e-01	-9.60968e-01	-4.08426e-01	8.41427e-02	8.14000e-02
8.91582e-01	-1.30233e-18	3.79339e-21	0.00000e+00	6.36849e-01	2.54740e-01	-9.67959e-01	-4.05802e-01	8.48626e-02	8.14000e-02
8.91291e-01	7.12417e-21	-1.88744e-19	0.00000e+00	6.36641e-01	2.54656e-01	-9.70557e-01	-4.03141e-01	8.55738e-02	8.14000e-02
8.91060e-01	2.25411e-18	1.85043e-19	0.00000e+00	6.36476e-01	2.54590e-01	-9.72622e-01	-4.00441e-01	8.62759e-02	8.14000e-02
8.90785e-01	3.85538e-19	-1.88837e-19	0.00000e+00	6.36279e-01	2.54512e-01	-9.75079e-01	-3.97703e-01	8.69689e-02	8.14000e-02
8.90714e-01	5.89641e-19	0.00000e+00	0.00000e+00	6.36228e-01	2.54491e-01	-9.75717e-01	-3.94927e-01	8.76523e-02	8.14000e-02
8.90622e-01	-1.11766e-18	0.00000e+00	0.00000e+00	6.36161e-01	2.54464e-01	-9.76558e-01	-3.92114e-01	8.83261e-02	8.14000e-02
8.90226e-01	-9.36874e-19	5.66418e-19	0.00000e+00	6.35878e-01	2.54351e-01	-9.80098e-01	-3.89263e-01	8.89898e-02	8.14000e-02
8.89707e-01	-3.85260e-19	3.70087e-21	0.00000e+00	6.35508e-01	2.54203e-01	-9.84719e-01	-3.86374e-01	8.96434e-02	8.14000e-02
8.89160e-01	1.11748e-18	0.00000e+00	0.00000e+00	6.35114e-01	2.54046e-01	-9.89644e-01	-3.83448e-01	9.02866e-02	8.14000e-02
8.88520e-01	-3.70087e-19	1.88837e-19	0.00000e+00	6.34662e-01	2.53865e-01	-9.95297e-01	-3.80484e-01	9.09192e-02	8.14000e-02
8.87973e-01	-1.68436e-18	4.62608e-23	0.00000e+00	6.34267e-01	2.53707e-01	-1.00023e+00	-3.77483e-01	9.15409e-02	8.14000e-02
8.87512e-01	-9.36412e-19	-1.84997e-19	0.00000e+00	6.33938e-01	2.53575e-01	-1.00435e+00	-3.74445e-01	9.21515e-02	8.14000e-02
8.87121e-01	-1.85043e-22	1.84997e-19	0.00000e+00	6.33657e-01	2.53463e-01	-1.00786e+00	-3.71370e-01	9.27508e-02	8.14000e-02
8.86759e-01	9.33081e-19	0.00000e+00	0.00000e+00	6.33399e-01	2.53360e-01	-1.01109e+00	-3.68258e-01	9.33386e-02	8.14000e-02
8.86453e-01	-3.62315e-19	0.00000e+00	0.00000e+00	6.33181e-01	2.53272e-01	-1.01381e+00	-3.65109e-01	9.39147e-02	8.14000e-02
8.86405e-01	7.44059e-19	-1.85043e-19	0.00000e+00	6.33150e-01	2.53260e-01	-1.01420e+00	-3.61923e-01	9.44789e-02	8.14000e-02
8.86699e-01	-2.33155e-20	0.00000e+00	0.00000e+00	6.33361e-01	2.53344e-01	-1.01156e+00	-3.58701e-01	9.50310e-02	8.14000e-02
8.87078e-01	-2.04103e-19	0.00000e+00	0.00000e+00	6.33630e-01	2.53452e-01	-1.00820e+00	-3.55443e-01	9.55708e-02	8.14000e-02
8.87068e-01	-5.81591e-19	0.00000e+00	0.00000e+00	6.33619e-01	2.53448e-01	-1.00833e+00	-3.52149e-01	9.60980e-02	8.14000e-02
8.86942e-01	2.25050e-18	0.00000e+00	0.00000e+00	6.33533e-01	2.53413e-01	-1.00940e+00	-3.48819e-01	9.66126e-02	8.14000e-02
8.87386e-01	3.89054e-19	-1.84997e-19	0.00000e+00	6.33851e-01	2.53541e-01	-1.00543e+00	-3.45453e-01	9.71144e-02	8.14000e-02
8.87923e-01	-2.06518e-18	-1.88790e-19	0.00000e+00	6.34232e-01	2.53693e-01	-1.00067e+00	-3.42052e-01	9.76031e-02	8.14000e-02
8.88261e-01	-1.85043e-22	0.00000e+00	0.00000e+00	6.34475e-01	2.53790e-01	-9.97633e-01	-3.38616e-01	9.80786e-02	8.14000e-02
8.88868e-01	7.52109e-19	0.00000e+00	0.00000e+00	6.34908e-01	2.53963e-01	-9.92218e-01	-3.35145e-01	9.85408e-02	8.14000e-02
8.89245e-01	-3.85075e-19	0.00000e+00	0.00000e+00	6.35177e-01	2.54071e-01	-9.88862e-01	-3.31640e-01	9.89895e-02	8.14000e-02
8.89285e-01	-7.32772e-19	-1.88837e-19	0.00000e+00	6.35208e-01	2.54083e-01	-9.88469e-01	-3.28100e-01	9.94245e-02	8.14000e-02
8.89817e-01	-3.62777e-19	0.00000e+00	0.00000e+00	6.35589e-01	2.54236e-01	-9.83707e-01	-3.24526e-01	9.98457e-02	8.14000e-02
8.90351e-01	-2.80951e-18	1.88837e-19	0.00000e+00	6.35967e-01	2.54387e-01	-9.78985e-01	-3.20918e-01	1.00253e-01	8.14000e-02
8.90480e-01	-1.11008e-18	1.88837e-19	0.00000e+00	6.36060e-01	2.54424e-01	-9.77819e-01	-3.17277e-01	1.00646e-01	8.14000e-02
8.91072e-01	2.62826e-18	0.00000e+00	0.00000e+00	6.36484e-01	2.54594e-01	-9.72518e-01	-3.13603e-01	1.01025e-01	8.14000e-02
8.91735e-01	7.51368e-19	-6.57224e-33	0.00000e+00	6.36952e-01	2.54781e-01	-9.66670e-01	-3.09896e-01	1.01390e-01	8.14000e-02
8.92000e-01	-2.06194e-18	0.00000e+00	0.00000e+00	6.37145e-01	2.54858e-01	-9.64254e-01	-3.06156e-01	1.01740e-01	8.14000e-02
8.92722e-01	-5.51429e-19	-1.85043e-19	0.00000e+00	6.37658e-01	2.55063e-01	-9.57845e-01	-3.02384e-01	1.02076e-01	8.14000e-02
8.93660e-01	-3.02860e-18	3.79339e-21	0.00000e+00	6.38330e-01	2.55332e-01	-9.49452e-01	-2.98580e-01	1.02397e-01	8.14000e-02
8.94439e-01	3.83040e-20	1.85043e-19	0.00000e+00	6.38889e-01	2.55555e-01	-9.42463e-01	-2.94745e-01	1.02704e-01	8.14000e-02
8.95190e-01	9.47792e-19	0.00000e+00	0.00000e+00	6.39421e-01	2.55769e-01	-9.35803e-01	-2.90879e-01	1.02995e-01	8.14000e-02
8.95494e-01	1.48766e-18	0.00000e+00	0.00000e+00	6.39641e-01	2.55856e-01	-9.33064e-01	-2.86981e-01	1.03272e-01	8.14000e-02
8.95607e-01	3.78044e-19	0.00000e+00	0.00000e+00	6.39718e-01	2.55887e-01	-9.32099e-01	-2.83053e-01	1.03534e-01	8.14000e-02
8.96197e-01	-3.78136e-19	0.00000e+00	0.00000e+00	6.40142e-01	2.56057e-01	-9.26796e-01	-2.79096e-01	1.03780e-01	8.14000e-02
8.97234e-01	1.47988e-18	0.00000e+00	0.00000e+00	6.40882e-01	2.56353e-01	-9.17551e-01	-2.75108e-01	1.04012e-01	8.14000e-02
8.98225e-01	1.96238e-19	1.84997e-19	0.00000e+00	6.41592e-01	2.56637e-01	-9.08669e-01	-2.71091e-01	1.04229e-01	8.14000e-02
8.98920e-01	-3.84983e-19	0.00000e+00	0.00000e+00	6.42087e-01	2.56835e-01	-9.02488e-01	-2.67045e-01	1.04430e-01	8.14000e-02
8.99433e-01	-3.36816e-18	0.00000e+00	0.00000e+00	6.42454e-01	2.56982e-01	-8.97898e-01	-2.62971e-01	1.04616e-01	8.14000e-02
8.99983e-01	3.92940e-19	-3.77627e-19	0.00000e+00	6.42846e-01	2.57138e-01	-8.92995e-01	-2.58869e-01	1.04787e-01	8.14000e-02
9.00587e-01	3.77673e-19	0.00000e+00	0.00000e+00	6.43277e-01	2.57311e-01	-8.87603e-01	-2.54739e-01	1.04943e-01	8.14000e-02
9.01505e-01	1.13274e-18	1.84997e-19	0.00000e+00	6.43936e-01	2.57574e-01	-8.79374e-01	-2.50581e-01	1.05083e-01	8.14000e-02
9.02751e-01	-7.62656e-19	0.00000e+00	0.00000e+00	6.44823e-01	2.57929e-01	-8.68290e-01	-2.46397e-01	1.05208e-01	8.14000e-02
9.03678e-01	-1.10286e-18	-1.84997e-19	0.00000e+00	6.45485e-01	2.58194e-01	-8.60007e-01	-2.42187e-01	1.05318e-01	8.14000e-02
9.04355e-01	-3.60835e-21	0.00000e+00	0.00000e+00	6.45969e-01	2.58388e-01	-8.53957e-01	-2.37950e-01	1.05412e-01	8.14000e-02
9.05195e-01	-7.40081e-19	6.57224e-33	0.00000e+00	6.46568e-01	2.58627e-01	-8.46469e-01	-2.33689e-01	1.05491e-01	8.14000e-02
9.06055e-01	1.51060e-18	5.55038e-19	0.00000e+00	6.47183e-01	2.58873e-01	-8.38782e-01	-2.29402e-01	1.05555e-01	8.14000e-02
9.06995e-01	1.67714e-18	1.92584e-19	0.00000e+00	6.47854e-01	2.59142e-01	-8.30393e-01	-2.25090e-01	1.05604e-01	8.14000e-02
9.08117e-01	-1.88467e-19	0.00000e+00	0.00000e+00	6.48657e-01	2.59463e-01	-8.20362e-01	-2.20754e-01	1.05637e-01	8.14000e-02
9.09150e-01	-5.51152e-19	5.62809e-19	0.00000e+00	6.49393e-01	2.59757e-01	-8.11153e-01	-2.16395e-01	1.05655e-01	8.14000e-02
