"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.48136e-01	9.81883e-03	6.89706e-02	-5.54367e-04	6.80753e-01	2.71277e-01	-4.19165e-01	-4.85030e-01	0.00000e+00	2.64000e-02
9.09476e-01	2.27289e-18	1.84997e-19	0.00000e+00	6.50412e-01	2.60165e-01	-7.98424e-01	-4.84976e-01	2.24936e-03	2.64000e-02
9.13051e-01	1.13311e-18	9.25217e-23	0.00000e+00	6.51332e-01	2.60533e-01	-7.86917e-01	-4.84814e-01	4.49354e-03	2.64000e-02
8.98821e-01	-7.32309e-19	0.00000e+00	0.00000e+00	6.42884e-01	2.57154e-01	-8.92520e-01	-4.84543e-01	6.72720e-03	2.64000e-02
9.00930e-01	7.30921e-21	0.00000e+00	0.00000e+00	6.42810e-01	2.57124e-01	-8.93441e-01	-4.84165e-01	8.94507e-03	2.64000e-02
8.91063e-01	-3.14574e-21	0.00000e+00	0.00000e+00	6.37027e-01	2.54811e-01	-9.65735e-01	-4.83679e-01	1.11420e-02	2.64000e-02
8.88190e-01	3.62222e-19	0.00000e+00	0.00000e+00	6.34089e-01	2.53636e-01	-1.00246e+00	-4.83088e-01	1.33132e-02	2.64000e-02
8.89486e-01	-7.54699e-19	0.00000e+00	0.00000e+00	6.35485e-01	2.54194e-01	-9.85005e-01	-4.82397e-01	1.54543e-02	2.64000e-02
8.87856e-01	-3.77951e-19	0.00000e+00	0.00000e+00	6.34194e-01	2.53678e-01	-1.00115e+00	-4.81608e-01	1.75614e-02	2.64000e-02
8.92513e-01	-1.68408e-18	0.00000e+00	0.00000e+00	6.37421e-01	2.54968e-01	-9.60812e-01	-4.80771e-01	1.95303e-02	2.64000e-02
8.94701e-01	-3.70549e-19	-1.88837e-19	0.00000e+00	6.39183e-01	2.55673e-01	-9.38780e-01	-4.79934e-01	2.13046e-02	2.64000e-02
8.97247e-01	7.36565e-19	0.00000e+00	0.00000e+00	6.40791e-01	2.56316e-01	-9.18689e-01	-4.79094e-01	2.29329e-02	2.64000e-02
8.99834e-01	-1.89614e-18	-1.88837e-19	0.00000e+00	6.42798e-01	2.57119e-01	-8.93600e-01	-4.78251e-01	2.44469e-02	2.64000e-02
