"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
4.76451e-02	-3.95381e-03	4.13113e-03	4.49434e-07	1.14108e-01	4.55060e-02	-5.00000e-01	0.00000e+00	-6.00000e-02
4.92371e-02	1.55059e-03	3.62861e-03	2.89032e-08	-4.32298e-01	-1.72982e-01	-4.98355e-01	5.77005e-03	-6.00000e-02
5.64343e-02	3.12021e-03	3.26453e-03	-2.52949e-08	-1.07840e+00	-4.31434e-01	-4.94914e-01	1.06856e-02	-6.00000e-02
4.47014e-02	2.77580e-03	2.25917e-03	-2.71484e-08	-1.48002e+00	-5.92065e-01	-4.90442e-01	1.46857e-02	-6.00000e-02
3.09390e-02	2.19314e-03	1.15144e-03	1.74431e-07	-1.40080e+00	-5.60361e-01	-4.85421e-01	1.79704e-02	-6.00000e-02
2.58303e-02	1.84261e-03	9.38175e-04	2.62631e-07	-1.41975e+00	-5.67931e-01	-4.80091e-01	2.07246e-02	-6.00000e-02
2.09035e-02	1.56019e-03	6.02007e-04	1.91294e-07	-1.46842e+00	-5.87396e-01	-4.74572e-01	2.30781e-02	-6.00000e-02
1.51344e-02	1.15279e-03	3.70407e-04	1.53382e-07	-1.37869e+00	-5.51496e-01	-4.68929e-01	2.51191e-02	-6.00000e-02
1.18507e-02	9.02599e-04	2.91282e-04	1.53314e-07	-1.33813e+00	-5.35267e-01	-4.63203e-01	2.69091e-02	-6.00000e-02
9.46671e-03	7.37419e-04	1.73237e-04	-7.72410e-08	-1.31438e+00	-5.25763e-01	-4.57448e-01	2.84836e-02	-6.00000e-02
6.87308e-03	5.34349e-04	1.29860e-04	-4.82261e-07	-1.26238e+00	-5.04963e-01	-4.51707e-01	2.98722e-02	-6.00000e-02
5.10918e-03	4.00660e-04	8.08463e-05	-3.85107e-07	-1.22731e+00	-4.90932e-01	-4.45973e-01	3.11070e-02	-6.00000e-02
3.88411e-03	3.05912e-04	5.45130e-05	-1.71027e-07	-1.19686e+00	-4.78749e-01	-4.40242e-01	3.22111e-02	-6.00000e-02
