"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
4.76421e-02	-3.95334e-03	4.13085e-03	-5.60351e-07	1.13995e-01	4.54607e-02	-5.00000e-01	0.00000e+00	6.00000e-02
4.92392e-02	1.55074e-03	3.62873e-03	2.72082e-08	-4.32431e-01	-1.73036e-01	-4.98355e-01	5.77005e-03	6.00000e-02
5.64349e-02	3.12025e-03	3.26456e-03	5.22332e-08	-1.07856e+00	-4.31495e-01	-4.94914e-01	1.06856e-02	6.00000e-02
4.47019e-02	2.77584e-03	2.25919e-03	4.65598e-08	-1.48013e+00	-5.92111e-01	-4.90442e-01	1.46857e-02	6.00000e-02
3.09384e-02	2.19312e-03	1.15137e-03	-1.23788e-07	-1.40090e+00	-5.60398e-01	-4.85421e-01	1.79704e-02	6.00000e-02
2.58278e-02	1.84242e-03	9.38093e-04	-2.33899e-07	-1.41976e+00	-5.67937e-01	-4.80091e-01	2.07246e-02	6.00000e-02
2.08999e-02	1.55993e-03	6.01884e-04	-2.10331e-07	-1.46835e+00	-5.87368e-01	-4.74572e-01	2.30781e-02	6.00000e-02
1.51298e-02	1.15245e-03	3.70284e-04	-1.86117e-07	-1.37856e+00	-5.51444e-01	-4.68929e-01	2.51191e-02	6.00000e-02
1.18459e-02	9.02228e-04	2.91170e-04	-2.08944e-07	-1.33795e+00	-5.35194e-01	-4.63203e-01	2.69091e-02	6.00000e-02
9.46216e-03	7.37068e-04	1.73141e-04	-3.96214e-09	-1.31417e+00	-5.25679e-01	-4.57448e-01	2.84836e-02	6.00000e-02
6.86907e-03	5.34036e-04	1.29790e-04	4.06010e-07	-1.26217e+00	-5.04877e-01	-4.51707e-01	2.98722e-02	6.00000e-02
5.10607e-03	4.00416e-04	8.07972e-05	3.19981e-07	-1.22711e+00	-4.90852e-01	-4.45973e-01	3.11070e-02	6.00000e-02
3.88189e-03	3.05737e-04	5.44867e-05	1.25537e-07	-1.19668e+00	-4.78679e-01	-4.40242e-01	3.22111e-02	6.00000e-02
2.65658e-03	2.09386e-04	3.64663e-05	1.23683e-06	-1.16457e+00	-4.65831e-01	-4.34509e-01	3.32022e-02	6.00000e-02
1.77378e-03	1.40630e-04	1.90318e-05	2.19174e-06	-1.13676e+00	-4.54708e-01	-4.28771e-01	3.40940e-02	6.00000e-02
1.13289e-03	8.96889e-05	1.30878e-05	7.94085e-07	-1.11259e+00	-4.45036e-01	-4.23024e-01	3.48972e-02	6.00000e-02
5.17158e-04	4.11528e-05	4.30004e-06	1.17012e-06	-1.09126e+00	-4.36503e-01	-4.17266e-01	3.56206e-02	6.00000e-02
6.28662e-07	3.23842e-08	1.70623e-07	7.65868e-06	-1.07172e+00	-4.28708e-01	-4.11493e-01	3.62714e-02	6.00000e-02
-2.95609e-04	-2.35708e-05	-1.94171e-06	1.29480e-05	-1.05258e+00	-4.21030e-01	-4.05702e-01	3.68555e-02	6.00000e-02
-4.09384e-04	-3.25941e-05	-3.23406e-06	8.45130e-06	-1.03466e+00	-4.13863e-01	-3.99892e-01	3.73778e-02	6.00000e-02
-5.54816e-04	-4.42673e-05	-3.23446e-06	-5.82021e-07	-1.02076e+00	-4.08303e-01	-3.94060e-01	3.78426e-02	6.00000e-02
-8.53687e-04	-6.81387e-05	-4.62052e-06	-5.50474e-06	-1.00990e+00	-4.03959e-01	-3.88204e-01	3.82534e-02	6.00000e-02
-1.14862e-03	-9.17485e-05	-5.09540e-06	-6.93416e-06	-9.98956e-01	-3.99581e-01	-3.82323e-01	3.86134e-02	6.00000e-02
-1.23614e-03	-9.87813e-05	-4.66060e-06	-7.62013e-06	-9.87033e-01	-3.94811e-01	-3.76413e-01	3.89251e-02	6.00000e-02
-1.13847e-03	-9.10006e-05	-3.73760e-06	-4.26589e-06	-9.75643e-01	-3.90256e-01	-3.70475e-01	3.91908e-02	6.00000e-02
-1.02884e-03	-8.22577e-05	-2.85631e-06	5.62199e-06	-9.66578e-01	-3.86630e-01	-3.64505e-01	3.94126e-02	6.00000e-02
-1.01775e-03	-8.13883e-05	-2.27469e-06	1.67504e-05	-9.59667e-01	-3.83865e-01	-3.58503e-01	3.95923e-02	6.00000e-02
-1.08084e-03	-8.64502e-05	-1.72363e-06	2.00651e-05	-9.53249e-01	-3.81298e-01	-3.52468e-01	3.97314e-02	6.00000e-02
-1.12781e-03	-9.02174e-05	-1.17229e-06	1.27908e-05	-9.46318e-01	-3.78526e-01	-3.46398e-01	3.98313e-02	6.00000e-02
-1.12943e-03	-9.03522e-05	-6.00020e-07	2.89764e-06	-9.39246e-01	-3.75697e-01	-3.40292e-01	3.98931e-02	6.00000e-02
-1.11462e-03	-8.91697e-05	-1.18220e-09	1.08889e-08	-9.32358e-01	-3.72942e-01	-3.34150e-01	3.99181e-02	6.00000e-02
-1.07871e-03	-8.62958e-05	4.88276e-07	5.01473e-06	-9.25538e-01	-3.70214e-01	-3.27970e-01	3.99072e-02	6.00000e-02
-9.95402e-04	-7.96278e-05	8.33847e-07	1.13675e-05	-9.19384e-01	-3.67752e-01	-3.21752e-01	3.98612e-02	6.00000e-02
-9.05227e-04	-7.24099e-05	1.09265e-06	1.28725e-05	-9.15036e-01	-3.66013e-01	-3.15495e-01	3.97809e-02	6.00000e-02
-8.97846e-04	-7.18144e-05	1.38601e-06	7.62680e-06	-9.12744e-01	-3.65097e-01	-3.09198e-01	3.96672e-02	6.00000e-02
-9.98262e-04	-7.98382e-05	1.91361e-06	-9.82225e-07	-9.11321e-01	-3.64527e-01	-3.02861e-01	3.95206e-02	6.00000e-02
-1.11338e-03	-8.90302e-05	2.67813e-06	-5.62818e-06	-9.08859e-01	-3.63542e-01	-2.96484e-01	3.93418e-02	6.00000e-02
-1.12833e-03	-9.02084e-05	3.24427e-06	-2.52672e-06	-9.04355e-01	-3.61741e-01	-2.90066e-01	3.91312e-02	6.00000e-02
