"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Points:0"	"Points:1"	"Points:2"
4.77405e-02	-3.95884e-03	4.13917e-03	-3.91367e-06	1.14924e-01	4.58321e-02	-5.00000e-01	0.00000e+00	-2.00000e-02
4.92085e-02	1.54835e-03	3.62717e-03	-8.67369e-07	-4.33139e-01	-1.73319e-01	-4.98355e-01	5.77005e-03	-2.00000e-02
5.64228e-02	3.12008e-03	3.26340e-03	-6.94073e-07	-1.07771e+00	-4.31158e-01	-4.94914e-01	1.06856e-02	-2.00000e-02
4.47227e-02	2.77666e-03	2.26086e-03	-9.91400e-07	-1.48016e+00	-5.92121e-01	-4.90442e-01	1.46857e-02	-2.00000e-02
3.09503e-02	2.19391e-03	1.15191e-03	-7.25196e-07	-1.40121e+00	-5.60524e-01	-4.85421e-01	1.79704e-02	-2.00000e-02
2.58355e-02	1.84300e-03	9.38309e-04	6.28364e-07	-1.41965e+00	-5.67893e-01	-4.80091e-01	2.07246e-02	-2.00000e-02
2.09190e-02	1.56122e-03	6.02762e-04	2.45983e-07	-1.46869e+00	-5.87502e-01	-4.74572e-01	2.30781e-02	-2.00000e-02
1.51514e-02	1.15418e-03	3.70551e-04	-3.95097e-07	-1.37892e+00	-5.51589e-01	-4.68929e-01	2.51191e-02	-2.00000e-02
1.18581e-02	9.03134e-04	2.91562e-04	4.15731e-07	-1.33804e+00	-5.35232e-01	-4.63203e-01	2.69091e-02	-2.00000e-02
9.47253e-03	7.37877e-04	1.73323e-04	1.76959e-07	-1.31421e+00	-5.25696e-01	-4.57448e-01	2.84836e-02	-2.00000e-02
6.87922e-03	5.34848e-04	1.29883e-04	-8.39691e-07	-1.26182e+00	-5.04736e-01	-4.51707e-01	2.98722e-02	-2.00000e-02
5.10160e-03	4.00063e-04	8.07376e-05	-9.45023e-07	-1.22647e+00	-4.90595e-01	-4.45973e-01	3.11070e-02	-2.00000e-02
3.85935e-03	3.03977e-04	5.40866e-05	-1.41502e-06	-1.19570e+00	-4.78287e-01	-4.40242e-01	3.22111e-02	-2.00000e-02
2.64255e-03	2.08268e-04	3.63424e-05	-3.50584e-06	-1.16283e+00	-4.65134e-01	-4.34509e-01	3.32022e-02	-2.00000e-02
1.78757e-03	1.41740e-04	1.90655e-05	-6.44873e-06	-1.13488e+00	-4.53954e-01	-4.28771e-01	3.40940e-02	-2.00000e-02
1.14769e-03	9.08593e-05	1.32740e-05	-8.06104e-06	-1.11136e+00	-4.44544e-01	-4.23024e-01	3.48972e-02	-2.00000e-02
5.65776e-04	4.49953e-05	4.92556e-06	-7.27237e-06	-1.08980e+00	-4.35919e-01	-4.17266e-01	3.56206e-02	-2.00000e-02
2.09313e-04	1.66564e-05	1.72183e-06	-4.88055e-06	-1.07010e+00	-4.28041e-01	-4.11493e-01	3.62714e-02	-2.00000e-02
4.93232e-05	3.90971e-06	5.66999e-07	-1.54612e-06	-1.05405e+00	-4.21619e-01	-4.05702e-01	3.68555e-02	-2.00000e-02
-1.72020e-04	-1.36903e-05	-1.42398e-06	2.07187e-06	-1.04072e+00	-4.16289e-01	-3.99892e-01	3.73778e-02	-2.00000e-02
-5.76554e-04	-4.60028e-05	-3.34723e-06	6.10681e-06	-1.02809e+00	-4.11236e-01	-3.94060e-01	3.78426e-02	-2.00000e-02
-9.79640e-04	-7.81941e-05	-5.26779e-06	1.20555e-05	-1.01474e+00	-4.05893e-01	-3.88204e-01	3.82534e-02	-2.00000e-02
-1.14006e-03	-9.10638e-05	-5.07429e-06	1.67546e-05	-1.00033e+00	-4.00131e-01	-3.82323e-01	3.86134e-02	-2.00000e-02
-1.05340e-03	-8.41798e-05	-3.94304e-06	1.50046e-05	-9.85913e-01	-3.94364e-01	-3.76413e-01	3.89251e-02	-2.00000e-02
-8.89070e-04	-7.10724e-05	-2.75414e-06	1.08227e-05	-9.73148e-01	-3.89258e-01	-3.70475e-01	3.91908e-02	-2.00000e-02
-7.65589e-04	-6.12185e-05	-1.88019e-06	1.07752e-05	-9.63012e-01	-3.85204e-01	-3.64505e-01	3.94126e-02	-2.00000e-02
-7.10340e-04	-5.68072e-05	-1.50722e-06	8.36048e-06	-9.55772e-01	-3.82308e-01	-3.58503e-01	3.95923e-02	-2.00000e-02
-7.72669e-04	-6.17948e-05	-1.56007e-06	-6.20166e-06	-9.51536e-01	-3.80613e-01	-3.52468e-01	3.97314e-02	-2.00000e-02
-9.96621e-04	-7.97206e-05	-1.21507e-06	-2.36176e-05	-9.48553e-01	-3.79420e-01	-3.46398e-01	3.98313e-02	-2.00000e-02
-1.25230e-03	-1.00183e-04	-4.90296e-07	-2.47042e-05	-9.43240e-01	-3.77294e-01	-3.40292e-01	3.98931e-02	-2.00000e-02
-1.30438e-03	-1.04351e-04	1.79088e-07	-1.28542e-05	-9.34572e-01	-3.73827e-01	-3.34150e-01	3.99181e-02	-2.00000e-02
-1.13251e-03	-9.05992e-05	6.11295e-07	-7.39873e-06	-9.25550e-01	-3.70218e-01	-3.27970e-01	3.99072e-02	-2.00000e-02
-9.35105e-04	-7.48036e-05	8.49430e-07	-1.10421e-05	-9.19165e-01	-3.67665e-01	-3.21752e-01	3.98612e-02	-2.00000e-02
-8.75084e-04	-7.00001e-05	9.68839e-07	-1.22355e-05	-9.16056e-01	-3.66421e-01	-3.15495e-01	3.97809e-02	-2.00000e-02
-9.72912e-04	-7.78204e-05	1.41217e-06	-5.08086e-06	-9.14859e-01	-3.65942e-01	-3.09198e-01	3.96672e-02	-2.00000e-02
-1.12455e-03	-8.99344e-05	2.30383e-06	6.70612e-06	-9.12732e-01	-3.65091e-01	-3.02861e-01	3.95206e-02	-2.00000e-02
-1.17289e-03	-9.37830e-05	3.00378e-06	1.54369e-05	-9.07970e-01	-3.63186e-01	-2.96484e-01	3.93418e-02	-2.00000e-02
-1.07297e-03	-8.57818e-05	3.10477e-06	1.47688e-05	-9.02136e-01	-3.60853e-01	-2.90066e-01	3.91312e-02	-2.00000e-02
-9.31551e-04	-7.44636e-05	3.00287e-06	5.63062e-06	-8.97405e-01	-3.58961e-01	-2.83608e-01	3.88896e-02	-2.00000e-02
-8.46607e-04	-6.76609e-05	3.02799e-06	-4.13108e-06	-8.93769e-01	-3.57507e-01	-2.77108e-01	3.86173e-02	-2.00000e-02
