x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	
-5.000000e-01 	 1.679730e-02 	-5.149700e-01 	 1.795260e-02 	-5.000000e-01 	 1.865390e-02 	-4.850300e-01 	 2.721970e-02 	-5.000000e-01 	 1.928730e-02 	-5.149700e-01 	 1.900580e-02 	-5.000000e-01 	 1.921890e-02 	-4.850300e-01 	 2.717670e-02 	-5.000000e-01 	 1.930920e-02 	-5.149700e-01 	 1.901730e-02 	-5.000000e-01 	 1.922090e-02 	-4.850300e-01 	 2.724620e-02 	-5.000000e-01 	 1.875620e-02 	-5.149700e-01 	 1.792590e-02 	-5.000000e-01 	 1.695190e-02 	-4.850300e-01 	 2.210550e-02 	-5.000000e-01 	 1.679580e-02 	 
-4.999470e-01 	 3.462360e-03 	-5.149180e-01 	 -6.099930e-04 	-4.999470e-01 	 3.443560e-03 	-4.849760e-01 	 5.769230e-04 	-4.999470e-01 	 3.603560e-03 	-5.149180e-01 	 -5.368330e-04 	-4.999470e-01 	 3.556330e-03 	-4.849760e-01 	 2.744560e-04 	-4.999470e-01 	 3.563020e-03 	-5.149180e-01 	 -5.303290e-04 	-4.999470e-01 	 3.603860e-03 	-4.849760e-01 	 5.928030e-04 	-4.999470e-01 	 3.455680e-03 	-5.149180e-01 	 -5.985490e-04 	-4.999470e-01 	 2.990350e-03 	-4.849760e-01 	 -1.259520e-03 	-4.999470e-01 	 3.462350e-03 	 
-4.997880e-01 	 7.594790e-03 	-5.147610e-01 	 3.999790e-03 	-4.997880e-01 	 8.567680e-03 	-4.848140e-01 	 5.601120e-03 	-4.997880e-01 	 8.910490e-03 	-5.147610e-01 	 4.379480e-03 	-4.997880e-01 	 8.805490e-03 	-4.848140e-01 	 4.999530e-03 	-4.997880e-01 	 8.821120e-03 	-5.147610e-01 	 4.391540e-03 	-4.997880e-01 	 8.908730e-03 	-4.848140e-01 	 5.633620e-03 	-4.997880e-01 	 8.592640e-03 	-5.147610e-01 	 4.001190e-03 	-4.997880e-01 	 7.537020e-03 	-4.848140e-01 	 1.848710e-03 	-4.997880e-01 	 7.594800e-03 	 
-4.995210e-01 	 1.243030e-02 	-5.144990e-01 	 1.169010e-02 	-4.995210e-01 	 1.426280e-02 	-4.845430e-01 	 1.388590e-02 	-4.995210e-01 	 1.485200e-02 	-5.144990e-01 	 1.259960e-02 	-4.995210e-01 	 1.467600e-02 	-4.845430e-01 	 1.292660e-02 	-4.995210e-01 	 1.470480e-02 	-5.144990e-01 	 1.261970e-02 	-4.995210e-01 	 1.484550e-02 	-4.845430e-01 	 1.394220e-02 	-4.995210e-01 	 1.430520e-02 	-5.144990e-01 	 1.167990e-02 	-4.995210e-01 	 1.255540e-02 	-4.845430e-01 	 7.321800e-03 	-4.995210e-01 	 1.243030e-02 	 
-4.991480e-01 	 1.348680e-02 	-5.141310e-01 	 1.479490e-02 	-4.991480e-01 	 1.559140e-02 	-4.841650e-01 	 1.541320e-02 	-4.991480e-01 	 1.632040e-02 	-5.141310e-01 	 1.601670e-02 	-4.991480e-01 	 1.608260e-02 	-4.841650e-01 	 1.406040e-02 	-4.991480e-01 	 1.610860e-02 	-5.141310e-01 	 1.604340e-02 	-4.991480e-01 	 1.632080e-02 	-4.841650e-01 	 1.549260e-02 	-4.991480e-01 	 1.563240e-02 	-5.141310e-01 	 1.478250e-02 	-4.991480e-01 	 1.355680e-02 	-4.841650e-01 	 6.852720e-03 	-4.991480e-01 	 1.348680e-02 	 
-4.986690e-01 	 1.505530e-02 	-5.136590e-01 	 1.809580e-02 	-4.986690e-01 	 1.755700e-02 	-4.836790e-01 	 1.685320e-02 	-4.986690e-01 	 1.843610e-02 	-5.136590e-01 	 1.960170e-02 	-4.986690e-01 	 1.813290e-02 	-4.836790e-01 	 1.508580e-02 	-4.986690e-01 	 1.816230e-02 	-5.136590e-01 	 1.963340e-02 	-4.986690e-01 	 1.843740e-02 	-4.836790e-01 	 1.695870e-02 	-4.986690e-01 	 1.760300e-02 	-5.136590e-01 	 1.807810e-02 	-4.986690e-01 	 1.516430e-02 	-4.836790e-01 	 6.528910e-03 	-4.986690e-01 	 1.505530e-02 	 
-4.980870e-01 	 1.602150e-02 	-5.130860e-01 	 2.062140e-02 	-4.980870e-01 	 1.882250e-02 	-4.830880e-01 	 1.712960e-02 	-4.980870e-01 	 1.983520e-02 	-5.130860e-01 	 2.236420e-02 	-4.980870e-01 	 1.946470e-02 	-4.830880e-01 	 1.490350e-02 	-4.980870e-01 	 1.949630e-02 	-5.130860e-01 	 2.239970e-02 	-4.980870e-01 	 1.983820e-02 	-4.830880e-01 	 1.726490e-02 	-4.980870e-01 	 1.887200e-02 	-5.130860e-01 	 2.059720e-02 	-4.980870e-01 	 1.610490e-02 	-4.830880e-01 	 5.435800e-03 	-4.980870e-01 	 1.602150e-02 	 
-4.974060e-01 	 1.626730e-02 	-5.124130e-01 	 2.202940e-02 	-4.974060e-01 	 1.936320e-02 	-4.823970e-01 	 1.589120e-02 	-4.974060e-01 	 2.049020e-02 	-5.124130e-01 	 2.395850e-02 	-4.974060e-01 	 2.005330e-02 	-4.823970e-01 	 1.319110e-02 	-4.974060e-01 	 2.008390e-02 	-5.124130e-01 	 2.399700e-02 	-4.974060e-01 	 2.049750e-02 	-4.823970e-01 	 1.605820e-02 	-4.974060e-01 	 1.941240e-02 	-5.124130e-01 	 2.199850e-02 	-4.974060e-01 	 1.634770e-02 	-4.823970e-01 	 3.518950e-03 	-4.974060e-01 	 1.626730e-02 	 
-4.966270e-01 	 1.629380e-02 	-5.116450e-01 	 2.296220e-02 	-4.966270e-01 	 1.970290e-02 	-4.816080e-01 	 1.415380e-02 	-4.966270e-01 	 2.094050e-02 	-5.116450e-01 	 2.506350e-02 	-4.966270e-01 	 2.043510e-02 	-4.816080e-01 	 1.101670e-02 	-4.966270e-01 	 2.046380e-02 	-5.116450e-01 	 2.510440e-02 	-4.966270e-01 	 2.095300e-02 	-4.816080e-01 	 1.435250e-02 	-4.966270e-01 	 1.975090e-02 	-5.116450e-01 	 2.292370e-02 	-4.966270e-01 	 1.636360e-02 	-4.816080e-01 	 1.878430e-03 	-4.966270e-01 	 1.629380e-02 	 
-4.958010e-01 	 1.585510e-02 	-5.108300e-01 	 2.323020e-02 	-4.958010e-01 	 1.957530e-02 	-4.807700e-01 	 1.174260e-02 	-4.958010e-01 	 2.091250e-02 	-5.108300e-01 	 2.548290e-02 	-4.958010e-01 	 2.033520e-02 	-4.807700e-01 	 8.291260e-03 	-4.958010e-01 	 2.036400e-02 	-5.108300e-01 	 2.552590e-02 	-4.958010e-01 	 2.092820e-02 	-4.807700e-01 	 1.196710e-02 	-4.958010e-01 	 1.962390e-02 	-5.108300e-01 	 2.318450e-02 	-4.958010e-01 	 1.591120e-02 	-4.807700e-01 	 4.347690e-04 	-4.958010e-01 	 1.585510e-02 	 
-4.949670e-01 	 1.524960e-02 	-5.100070e-01 	 2.315370e-02 	-4.949670e-01 	 1.929740e-02 	-4.799260e-01 	 9.252150e-03 	-4.949670e-01 	 2.072070e-02 	-5.100070e-01 	 2.553910e-02 	-4.949670e-01 	 2.007590e-02 	-4.799260e-01 	 5.702880e-03 	-4.949670e-01 	 2.010230e-02 	-5.100070e-01 	 2.558400e-02 	-4.949670e-01 	 2.074190e-02 	-4.799260e-01 	 9.490560e-03 	-4.949670e-01 	 1.934370e-02 	-5.100070e-01 	 2.310140e-02 	-4.949670e-01 	 1.530070e-02 	-4.799260e-01 	 -4.304470e-04 	-4.949670e-01 	 1.524960e-02 	 
-4.941200e-01 	 1.446940e-02 	-5.091700e-01 	 2.287030e-02 	-4.941200e-01 	 1.885250e-02 	-4.790670e-01 	 6.870240e-03 	-4.941200e-01 	 2.035540e-02 	-5.091700e-01 	 2.538550e-02 	-4.941200e-01 	 1.964160e-02 	-4.790670e-01 	 3.463460e-03 	-4.941200e-01 	 1.966700e-02 	-5.091700e-01 	 2.543200e-02 	-4.941200e-01 	 2.038090e-02 	-4.790670e-01 	 7.109100e-03 	-4.941200e-01 	 1.889770e-02 	-5.091700e-01 	 2.281110e-02 	-4.941200e-01 	 1.450400e-02 	-4.790670e-01 	 -9.302420e-04 	-4.941200e-01 	 1.446940e-02 	 
-4.932510e-01 	 1.353070e-02 	-5.083110e-01 	 2.239920e-02 	-4.932510e-01 	 1.828260e-02 	-4.781880e-01 	 4.602700e-03 	-4.932510e-01 	 1.985890e-02 	-5.083110e-01 	 2.504190e-02 	-4.932510e-01 	 1.907380e-02 	-4.781880e-01 	 1.593930e-03 	-4.932510e-01 	 1.909920e-02 	-5.083110e-01 	 2.509000e-02 	-4.932510e-01 	 1.988790e-02 	-4.781880e-01 	 4.827730e-03 	-4.932510e-01 	 1.832740e-02 	-5.083110e-01 	 2.233340e-02 	-4.932510e-01 	 1.355790e-02 	-4.781880e-01 	 -1.258260e-03 	-4.932510e-01 	 1.353070e-02 	 
-4.923540e-01 	 1.251450e-02 	-5.074240e-01 	 2.182970e-02 	-4.923540e-01 	 1.766940e-02 	-4.772810e-01 	 2.740810e-03 	-4.923540e-01 	 1.931360e-02 	-5.074240e-01 	 2.459890e-02 	-4.923540e-01 	 1.845590e-02 	-4.772810e-01 	 3.424790e-04 	-4.923540e-01 	 1.848040e-02 	-5.074240e-01 	 2.464830e-02 	-4.923540e-01 	 1.934700e-02 	-4.772810e-01 	 2.942730e-03 	-4.923540e-01 	 1.771280e-02 	-5.074240e-01 	 2.175660e-02 	-4.923540e-01 	 1.252980e-02 	-4.772810e-01 	 -1.316560e-03 	-4.923540e-01 	 1.251450e-02 	 
-4.914230e-01 	 1.135820e-02 	-5.065020e-01 	 2.115660e-02 	-4.914230e-01 	 1.695370e-02 	-4.763410e-01 	 1.224750e-03 	-4.914230e-01 	 1.866150e-02 	-5.065020e-01 	 2.405930e-02 	-4.914230e-01 	 1.772620e-02 	-4.763410e-01 	 -4.444540e-04 	-4.914230e-01 	 1.775170e-02 	-5.065020e-01 	 2.411000e-02 	-4.914230e-01 	 1.869780e-02 	-4.763410e-01 	 1.401860e-03 	-4.914230e-01 	 1.699750e-02 	-5.065020e-01 	 2.107550e-02 	-4.914230e-01 	 1.136130e-02 	-4.763410e-01 	 -1.250760e-03 	-4.914230e-01 	 1.135820e-02 	 
-4.904520e-01 	 1.013090e-02 	-5.055390e-01 	 2.042270e-02 	-4.904520e-01 	 1.621210e-02 	-4.753620e-01 	 1.682200e-04 	-4.904520e-01 	 1.797750e-02 	-5.055390e-01 	 2.346430e-02 	-4.904520e-01 	 1.696120e-02 	-4.753620e-01 	 -8.438830e-04 	-4.904520e-01 	 1.698700e-02 	-5.055390e-01 	 2.351610e-02 	-4.904520e-01 	 1.801720e-02 	-4.753620e-01 	 3.278630e-04 	-4.904520e-01 	 1.625600e-02 	-5.055390e-01 	 2.033250e-02 	-4.904520e-01 	 1.012550e-02 	-4.753620e-01 	 -1.054580e-03 	-4.904520e-01 	 1.013090e-02 	 
-4.894340e-01 	 8.819660e-03 	-5.045290e-01 	 1.964800e-02 	-4.894340e-01 	 1.541120e-02 	-4.743370e-01 	 -4.783240e-04 	-4.894340e-01 	 1.722710e-02 	-5.045290e-01 	 2.284150e-02 	-4.894340e-01 	 1.612520e-02 	-4.743370e-01 	 -1.135890e-03 	-4.894340e-01 	 1.615140e-02 	-5.045290e-01 	 2.289450e-02 	-4.894340e-01 	 1.727020e-02 	-4.743370e-01 	 -3.186260e-04 	-4.894340e-01 	 1.545580e-02 	-5.045290e-01 	 1.954730e-02 	-4.894340e-01 	 8.802360e-03 	-4.743370e-01 	 -8.583950e-04 	-4.894340e-01 	 8.819660e-03 	 
