x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	
-5.000000e-01 	 -2.711560e-01 	-5.149700e-01 	 -5.931420e-02 	-5.000000e-01 	 -4.431630e-01 	-4.850300e-01 	 -8.855700e-01 	-5.000000e-01 	 -4.713680e-01 	-5.149700e-01 	 -1.312970e-01 	-5.000000e-01 	 -4.846070e-01 	-4.850300e-01 	 -8.935170e-01 	-5.000000e-01 	 -4.827970e-01 	-5.149700e-01 	 -1.309250e-01 	-5.000000e-01 	 -4.750090e-01 	-4.850300e-01 	 -8.873790e-01 	-5.000000e-01 	 -4.427040e-01 	-5.149700e-01 	 -5.347690e-02 	-5.000000e-01 	 -2.807590e-01 	-4.850300e-01 	 -5.233390e-01 	-5.000000e-01 	 -2.712780e-01 	 
-4.999470e-01 	 -4.950610e-01 	-5.149180e-01 	 -3.649230e-01 	-4.999470e-01 	 -6.870030e-01 	-4.849760e-01 	 -1.401610e+00 	-4.999470e-01 	 -7.273580e-01 	-5.149180e-01 	 -4.574890e-01 	-4.999470e-01 	 -7.359250e-01 	-4.849760e-01 	 -1.405970e+00 	-4.999470e-01 	 -7.381250e-01 	-5.149180e-01 	 -4.573380e-01 	-4.999470e-01 	 -7.273710e-01 	-4.849760e-01 	 -1.404090e+00 	-4.999470e-01 	 -6.907150e-01 	-5.149180e-01 	 -3.583330e-01 	-4.999470e-01 	 -4.938720e-01 	-4.849760e-01 	 -9.174130e-01 	-4.999470e-01 	 -4.950610e-01 	 
-4.997880e-01 	 -4.226640e-01 	-5.147610e-01 	 -2.486070e-01 	-4.997880e-01 	 -6.115370e-01 	-4.848140e-01 	 -1.254010e+00 	-4.997880e-01 	 -6.485220e-01 	-5.147610e-01 	 -3.341590e-01 	-4.997880e-01 	 -6.583170e-01 	-4.848140e-01 	 -1.256030e+00 	-4.997880e-01 	 -6.587650e-01 	-5.147610e-01 	 -3.338940e-01 	-4.997880e-01 	 -6.502290e-01 	-4.848140e-01 	 -1.256450e+00 	-4.997880e-01 	 -6.135180e-01 	-5.147610e-01 	 -2.420250e-01 	-4.997880e-01 	 -4.224960e-01 	-4.848140e-01 	 -7.862220e-01 	-4.997880e-01 	 -4.226640e-01 	 
-4.995210e-01 	 -4.984280e-01 	-5.144990e-01 	 -3.072890e-01 	-4.995210e-01 	 -7.018810e-01 	-4.845430e-01 	 -1.358260e+00 	-4.995210e-01 	 -7.433500e-01 	-5.144990e-01 	 -3.975000e-01 	-4.995210e-01 	 -7.517430e-01 	-4.845430e-01 	 -1.353270e+00 	-4.995210e-01 	 -7.525170e-01 	-5.144990e-01 	 -3.972660e-01 	-4.995210e-01 	 -7.449120e-01 	-4.845430e-01 	 -1.361060e+00 	-4.995210e-01 	 -7.043000e-01 	-5.144990e-01 	 -3.002530e-01 	-4.995210e-01 	 -4.980820e-01 	-4.845430e-01 	 -8.440690e-01 	-4.995210e-01 	 -4.984280e-01 	 
-4.991480e-01 	 -5.173320e-01 	-5.141310e-01 	 -3.138170e-01 	-4.991480e-01 	 -7.316810e-01 	-4.841650e-01 	 -1.380330e+00 	-4.991480e-01 	 -7.768600e-01 	-5.141310e-01 	 -4.080160e-01 	-4.991480e-01 	 -7.835110e-01 	-4.841650e-01 	 -1.365320e+00 	-4.991480e-01 	 -7.843640e-01 	-5.141310e-01 	 -4.078600e-01 	-4.991480e-01 	 -7.784880e-01 	-4.841650e-01 	 -1.383520e+00 	-4.991480e-01 	 -7.342720e-01 	-5.141310e-01 	 -3.067160e-01 	-4.991480e-01 	 -5.159880e-01 	-4.841650e-01 	 -8.191530e-01 	-4.991480e-01 	 -5.173320e-01 	 
-4.986690e-01 	 -5.749740e-01 	-5.136590e-01 	 -3.628850e-01 	-4.986690e-01 	 -8.094210e-01 	-4.836790e-01 	 -1.437640e+00 	-4.986690e-01 	 -8.596220e-01 	-5.136590e-01 	 -4.642830e-01 	-4.986690e-01 	 -8.648290e-01 	-4.836790e-01 	 -1.409700e+00 	-4.986690e-01 	 -8.650130e-01 	-5.136590e-01 	 -4.642470e-01 	-4.986690e-01 	 -8.621370e-01 	-4.836790e-01 	 -1.441400e+00 	-4.986690e-01 	 -8.114890e-01 	-5.136590e-01 	 -3.555480e-01 	-4.986690e-01 	 -5.759800e-01 	-4.836790e-01 	 -8.186350e-01 	-4.986690e-01 	 -5.749740e-01 	 
-4.980870e-01 	 -6.408040e-01 	-5.130860e-01 	 -4.417970e-01 	-4.980870e-01 	 -8.944270e-01 	-4.830880e-01 	 -1.524750e+00 	-4.980870e-01 	 -9.520780e-01 	-5.130860e-01 	 -5.534640e-01 	-4.980870e-01 	 -9.539680e-01 	-4.830880e-01 	 -1.480390e+00 	-4.980870e-01 	 -9.547920e-01 	-5.130860e-01 	 -5.535970e-01 	-4.980870e-01 	 -9.542080e-01 	-4.830880e-01 	 -1.529280e+00 	-4.980870e-01 	 -8.972810e-01 	-5.130860e-01 	 -4.342490e-01 	-4.980870e-01 	 -6.401910e-01 	-4.830880e-01 	 -8.350630e-01 	-4.980870e-01 	 -6.408040e-01 	 
-4.974060e-01 	 -6.815300e-01 	-5.124130e-01 	 -4.874360e-01 	-4.974060e-01 	 -9.561850e-01 	-4.823970e-01 	 -1.542460e+00 	-4.974060e-01 	 -1.020210e+00 	-5.124130e-01 	 -6.080320e-01 	-4.974060e-01 	 -1.019330e+00 	-4.823970e-01 	 -1.480080e+00 	-4.974060e-01 	 -1.019800e+00 	-5.124130e-01 	 -6.083290e-01 	-4.974060e-01 	 -1.022930e+00 	-4.823970e-01 	 -1.547800e+00 	-4.974060e-01 	 -9.588420e-01 	-5.124130e-01 	 -4.797350e-01 	-4.974060e-01 	 -6.818700e-01 	-4.823970e-01 	 -7.996250e-01 	-4.974060e-01 	 -6.815300e-01 	 
-4.966270e-01 	 -7.435620e-01 	-5.116450e-01 	 -5.695180e-01 	-4.966270e-01 	 -1.042500e+00 	-4.816080e-01 	 -1.594220e+00 	-4.966270e-01 	 -1.114620e+00 	-5.116450e-01 	 -7.018690e-01 	-4.966270e-01 	 -1.110050e+00 	-4.816080e-01 	 -1.512840e+00 	-4.966270e-01 	 -1.110620e+00 	-5.116450e-01 	 -7.023580e-01 	-4.966270e-01 	 -1.117530e+00 	-4.816080e-01 	 -1.600510e+00 	-4.966270e-01 	 -1.045430e+00 	-5.116450e-01 	 -5.615850e-01 	-4.966270e-01 	 -7.440170e-01 	-4.816080e-01 	 -8.016900e-01 	-4.966270e-01 	 -7.435620e-01 	 
-4.958010e-01 	 -7.790430e-01 	-5.108300e-01 	 -6.236260e-01 	-4.958010e-01 	 -1.099880e+00 	-4.807700e-01 	 -1.598630e+00 	-4.958010e-01 	 -1.179600e+00 	-5.108300e-01 	 -7.666050e-01 	-4.958010e-01 	 -1.171020e+00 	-4.807700e-01 	 -1.500260e+00 	-4.958010e-01 	 -1.171750e+00 	-5.108300e-01 	 -7.672780e-01 	-4.958010e-01 	 -1.182620e+00 	-4.807700e-01 	 -1.605800e+00 	-4.958010e-01 	 -1.103130e+00 	-5.108300e-01 	 -6.155020e-01 	-4.958010e-01 	 -7.787990e-01 	-4.807700e-01 	 -7.787960e-01 	-4.958010e-01 	 -7.790430e-01 	 
-4.949670e-01 	 -8.115000e-01 	-5.100070e-01 	 -6.749560e-01 	-4.949670e-01 	 -1.155480e+00 	-4.799260e-01 	 -1.594560e+00 	-4.949670e-01 	 -1.242250e+00 	-5.100070e-01 	 -8.282110e-01 	-4.949670e-01 	 -1.229920e+00 	-4.799260e-01 	 -1.483850e+00 	-4.949670e-01 	 -1.230530e+00 	-5.100070e-01 	 -8.290550e-01 	-4.949670e-01 	 -1.245660e+00 	-4.799260e-01 	 -1.602420e+00 	-4.949670e-01 	 -1.158760e+00 	-5.100070e-01 	 -6.666320e-01 	-4.949670e-01 	 -8.119760e-01 	-4.799260e-01 	 -7.672110e-01 	-4.949670e-01 	 -8.115000e-01 	 
-4.941200e-01 	 -8.372210e-01 	-5.091700e-01 	 -7.242710e-01 	-4.941200e-01 	 -1.202900e+00 	-4.790670e-01 	 -1.588990e+00 	-4.941200e-01 	 -1.296770e+00 	-5.091700e-01 	 -8.879390e-01 	-4.941200e-01 	 -1.280310e+00 	-4.790670e-01 	 -1.470250e+00 	-4.941200e-01 	 -1.281090e+00 	-5.091700e-01 	 -8.889520e-01 	-4.941200e-01 	 -1.300270e+00 	-4.790670e-01 	 -1.597340e+00 	-4.941200e-01 	 -1.206490e+00 	-5.091700e-01 	 -7.157330e-01 	-4.941200e-01 	 -8.371400e-01 	-4.790670e-01 	 -7.637670e-01 	-4.941200e-01 	 -8.372210e-01 	 
-4.932510e-01 	 -8.507570e-01 	-5.083110e-01 	 -7.586570e-01 	-4.932510e-01 	 -1.238220e+00 	-4.781880e-01 	 -1.565380e+00 	-4.932510e-01 	 -1.338580e+00 	-5.083110e-01 	 -9.320330e-01 	-4.932510e-01 	 -1.318080e+00 	-4.781880e-01 	 -1.443490e+00 	-4.932510e-01 	 -1.318840e+00 	-5.083110e-01 	 -9.332070e-01 	-4.932510e-01 	 -1.342340e+00 	-4.781880e-01 	 -1.574000e+00 	-4.932510e-01 	 -1.241940e+00 	-5.083110e-01 	 -7.499200e-01 	-4.932510e-01 	 -8.507870e-01 	-4.781880e-01 	 -7.526470e-01 	-4.932510e-01 	 -8.507570e-01 	 
