t     p     U
  0.3200002E+03       0.7049790E+00       0.3607487E+00
  0.3201252E+03       0.7045887E+00       0.3607788E+00
  0.3202502E+03       0.7043793E+00       0.3608521E+00
  0.3203753E+03       0.7045289E+00       0.3604244E+00
  0.3205003E+03       0.7042634E+00       0.3605002E+00
  0.3206253E+03       0.7038411E+00       0.3608655E+00
  0.3207502E+03       0.7030141E+00       0.3618428E+00
  0.3208752E+03       0.7021932E+00       0.3630501E+00
  0.3210003E+03       0.7005435E+00       0.3650876E+00
  0.3211253E+03       0.6986843E+00       0.3678156E+00
  0.3212502E+03       0.6967725E+00       0.3708248E+00
  0.3213752E+03       0.6955155E+00       0.3732710E+00
  0.3215003E+03       0.6951553E+00       0.3743530E+00
  0.3216252E+03       0.6938212E+00       0.3764330E+00
  0.3217502E+03       0.6922295E+00       0.3790607E+00
  0.3218753E+03       0.6907404E+00       0.3814377E+00
  0.3220003E+03       0.6890414E+00       0.3843100E+00
  0.3221253E+03       0.6870987E+00       0.3874520E+00
  0.3222502E+03       0.6851578E+00       0.3908422E+00
  0.3223752E+03       0.6838977E+00       0.3934212E+00
  0.3225003E+03       0.6821828E+00       0.3965760E+00
  0.3226253E+03       0.6810335E+00       0.3992525E+00
  0.3227503E+03       0.6801547E+00       0.4014015E+00
  0.3228752E+03       0.6794648E+00       0.4032890E+00
  0.3230003E+03       0.6785694E+00       0.4053650E+00
  0.3231252E+03       0.6781055E+00       0.4069198E+00
  0.3232502E+03       0.6782898E+00       0.4076757E+00
  0.3233753E+03       0.6783636E+00       0.4082711E+00
  0.3235003E+03       0.6782096E+00       0.4090657E+00
  0.3236252E+03       0.6785682E+00       0.4091155E+00
  0.3237503E+03       0.6794935E+00       0.4083228E+00
  0.3238752E+03       0.6801292E+00       0.4075818E+00
  0.3240003E+03       0.6805187E+00       0.4070694E+00
  0.3241253E+03       0.6808595E+00       0.4066967E+00
  0.3242502E+03       0.6820036E+00       0.4053237E+00
  0.3243752E+03       0.6832805E+00       0.4035158E+00
  0.3245003E+03       0.6846608E+00       0.4015442E+00
  0.3246253E+03       0.6866428E+00       0.3986450E+00
  0.3247502E+03       0.6881531E+00       0.3960949E+00
  0.3248752E+03       0.6898577E+00       0.3932403E+00
  0.3250002E+03       0.6909598E+00       0.3909835E+00
  0.3251253E+03       0.6919022E+00       0.3891246E+00
  0.3252503E+03       0.6931509E+00       0.3868532E+00
  0.3253753E+03       0.6943341E+00       0.3845688E+00
  0.3255002E+03       0.6951402E+00       0.3827032E+00
  0.3256252E+03       0.6953034E+00       0.3816943E+00
  0.3257502E+03       0.6954587E+00       0.3809392E+00
  0.3258752E+03       0.6956321E+00       0.3802436E+00
