   n        time         Cl         Cd
       0    90.00120   0.6452943   0.3275164
       1    90.20110   0.6468204   0.3262665
       2    90.40110   0.6425421   0.3256585
       3    90.60110   0.6447954   0.3262675
       4    90.80110   0.6365640   0.3242151
       5    91.00100   0.6285840   0.3206504
       6    91.20090   0.6217054   0.3170205
       7    91.40090   0.6214897   0.3166547
       8    91.60100   0.6186692   0.3164683
       9    91.80090   0.6125837   0.3146614
      10    92.00090   0.6010622   0.3100237
      11    92.20090   0.5902817   0.3069080
      12    92.40090   0.5760466   0.3027611
      13    92.60080   0.5718814   0.2991649
      14    92.80080   0.5607435   0.2963208
      15    93.00080   0.5534401   0.2949258
      16    93.20070   0.5534819   0.2940750
      17    93.40080   0.5451400   0.2924374
      18    93.60070   0.5411757   0.2907172
      19    93.80080   0.5417288   0.2915252
      20    94.00070   0.5451479   0.2930873
      21    94.20070   0.5560250   0.2979188
      22    94.40060   0.5676021   0.3009049
      23    94.60060   0.5823683   0.3043950
      24    94.80060   0.5885846   0.3049094
      25    95.00060   0.5968652   0.3052567
      26    95.20060   0.6013458   0.3032790
      27    95.40050   0.6068923   0.3022761
      28    95.60060   0.6104975   0.3014079
      29    95.80050   0.6079861   0.2991970
      30    96.00050   0.6098653   0.3001688
      31    96.20050   0.6103529   0.3007653
      32    96.40050   0.6065970   0.2989605
      33    96.60040   0.5976120   0.2948283
      34    96.80050   0.5946031   0.2935891
      35    97.00040   0.5889164   0.2934552
      36    97.20040   0.5804457   0.2897459
      37    97.40030   0.5765944   0.2881790
      38    97.60030   0.5739807   0.2881846
      39    97.80030   0.5783494   0.2879920
      40    98.00020   0.5866976   0.2903826
      41    98.20030   0.5937669   0.2928519
      42    98.40020   0.6100161   0.2986496
      43    98.60020   0.6297812   0.3055075
      44    98.80020   0.6458999   0.3106245
      45    99.00020   0.6518179   0.3098746
      46    99.20010   0.6448434   0.3043418
      47    99.40020   0.6319296   0.2951028
      48    99.60020   0.6297982   0.2930788
      49    99.80020   0.6304136   0.2930610
      50   100.00010   0.6284412   0.2959755
      51   100.20430   0.6276600   0.3007463
      52   100.40830   0.6306616   0.3066166
      53   100.61250   0.6343259   0.3128016
      54   100.81650   0.6290917   0.3149241
      55   101.02060   0.6310011   0.3207427
      56   101.22460   0.6326294   0.3273818
      57   101.42870   0.6366826   0.3336830
      58   101.63290   0.6403073   0.3370617
      59   101.83690   0.6507548   0.3433231
      60   102.04090   0.6613639   0.3463805
      61   102.24510   0.6718211   0.3479145
      62   102.44920   0.6731113   0.3439853
      63   102.65320   0.6665630   0.3378188
      64   102.85720   0.6510580   0.3278521
      65   103.06140   0.6489682   0.3220936
      66   103.26540   0.6436847   0.3190044
      67   103.46960   0.6401447   0.3181622
      68   103.67360   0.6397885   0.3209179
      69   103.87770   0.6269064   0.3192938
      70   104.08170   0.6190959   0.3189120
      71   104.28590   0.6101270   0.3178609
      72   104.48990   0.5918145   0.3149026
      73   104.69410   0.5848114   0.3160769
      74   104.89810   0.5731654   0.3162543
      75   105.10220   0.5647320   0.3156091
      76   105.30620   0.5550118   0.3103429
      77   105.51020   0.5544871   0.3078310
      78   105.71440   0.5497433   0.3028489
      79   105.91840   0.5536181   0.2988700
      80   106.12260   0.5548346   0.2915622
      81   106.32660   0.5619059   0.2868821
      82   106.53080   0.5603795   0.2771653
      83   106.73480   0.5656538   0.2728567
      84   106.93890   0.5775696   0.2745644
      85   107.14290   0.5976147   0.2821353
      86   107.34700   0.6248499   0.2938001
      87   107.55110   0.6534449   0.3066066
      88   107.75520   0.6792808   0.3166071
      89   107.95930   0.7024776   0.3263885
      90   108.16330   0.7166272   0.3322045
      91   108.36750   0.7217684   0.3353233
      92   108.57150   0.7258089   0.3386707
      93   108.77550   0.7241029   0.3404368
      94   108.97970   0.7194552   0.3401883
      95   109.18370   0.7155261   0.3418090
      96   109.38790   0.7062333   0.3411974
      97   109.59200   0.7044740   0.3448095
      98   109.79590   0.7039728   0.3449945
      99   110.00000   0.6909453   0.3387681
     100   110.20410   0.6803592   0.3307282
     101   110.40820   0.6835612   0.3276652
     102   110.40840   0.6835801   0.3276702
     103   110.61240   0.6880786   0.3295012
     104   110.81650   0.6941494   0.3314638
     105   111.02060   0.6949884   0.3308694
     106   111.22460   0.7006107   0.3312063
     107   111.42870   0.7041442   0.3320048
     108   111.63270   0.7004294   0.3331161
     109   111.83690   0.6969129   0.3372370
     110   112.04100   0.6874039   0.3398755
     111   112.24510   0.6753729   0.3407685
     112   112.44910   0.6606454   0.3391709
     113   112.65320   0.6431419   0.3374464
     114   112.85730   0.6241673   0.3348320
     115   113.06130   0.6133311   0.3342638
     116   113.26540   0.5983326   0.3320513
     117   113.46950   0.5893499   0.3281860
     118   113.67360   0.5867911   0.3244423
     119   113.87770   0.5972063   0.3246768
     120   114.08180   0.5979116   0.3199591
     121   114.28580   0.5993963   0.3122934
     122   114.48990   0.6097479   0.3079203
     123   114.69390   0.6275710   0.3091489
     124   114.89800   0.6555863   0.3171506
     125   115.10210   0.6678941   0.3169565
     126   115.30620   0.6730305   0.3145873
     127   115.51030   0.6773399   0.3116025
     128   115.71440   0.6822261   0.3106301
     129   115.91850   0.6960517   0.3168006
     130   116.12260   0.7051158   0.3229071
     131   116.32660   0.7154206   0.3275266
     132   116.53070   0.7171766   0.3299779
     133   116.73480   0.7082119   0.3271300
     134   116.93880   0.6932203   0.3227968
     135   117.14300   0.6722789   0.3166696
     136   117.34700   0.6535818   0.3117686
     137   117.55120   0.6353335   0.3096814
     138   117.75530   0.6229981   0.3093768
     139   117.95930   0.6146637   0.3086035
     140   118.16330   0.6062367   0.3074123
     141   118.36750   0.6061222   0.3057690
     142   118.57160   0.6048947   0.3036780
     143   118.77560   0.6139178   0.3058878
     144   118.97960   0.6354480   0.3091779
     145   119.18370   0.6651837   0.3165222
     146   119.38780   0.6939959   0.3263611
     147   119.59190   0.7158053   0.3289338
     148   119.79610   0.7380367   0.3298569
     149   120.00020   0.7595116   0.3336024
