   n        time         Cl         Cd
       0    90.00120   0.6344908   0.3372119
       1    90.20110   0.6229704   0.3329723
       2    90.40110   0.6255547   0.3337768
       3    90.60110   0.6224076   0.3337678
       4    90.80110   0.6194799   0.3331666
       5    91.00100   0.6070685   0.3295666
       6    91.20090   0.5989275   0.3256082
       7    91.40090   0.5976839   0.3249658
       8    91.60100   0.5895055   0.3214699
       9    91.80090   0.5907318   0.3202590
      10    92.00090   0.5819429   0.3176674
      11    92.20090   0.5739605   0.3148007
      12    92.40090   0.5654028   0.3128597
      13    92.60080   0.5537461   0.3093002
      14    92.80080   0.5435165   0.3061344
      15    93.00080   0.5398491   0.3057707
      16    93.20070   0.5335859   0.3040608
      17    93.40080   0.5286622   0.3031213
      18    93.60070   0.5246143   0.3018819
      19    93.80080   0.5278421   0.3036937
      20    94.00070   0.5308514   0.3038866
      21    94.20070   0.5448871   0.3083143
      22    94.40060   0.5519899   0.3110145
      23    94.60060   0.5620967   0.3135820
      24    94.80060   0.5700477   0.3134676
      25    95.00060   0.5736080   0.3127262
      26    95.20060   0.5753143   0.3092465
      27    95.40050   0.5778671   0.3063385
      28    95.60060   0.5833755   0.3047404
      29    95.80050   0.5835124   0.3029596
      30    96.00050   0.5895087   0.3057643
      31    96.20050   0.5938877   0.3083600
      32    96.40050   0.5926627   0.3081340
      33    96.60040   0.5834829   0.3052410
      34    96.80050   0.5750281   0.3020098
      35    97.00040   0.5702930   0.3020632
      36    97.20040   0.5607538   0.2988919
      37    97.40030   0.5614774   0.2985613
      38    97.60030   0.5590552   0.2971452
      39    97.80030   0.5575374   0.2943110
      40    98.00020   0.5679215   0.2960865
      41    98.20030   0.5777578   0.2995549
      42    98.40020   0.5901843   0.3052870
      43    98.60020   0.6043813   0.3116078
      44    98.80020   0.6152868   0.3151834
      45    99.00020   0.6243942   0.3155045
      46    99.20010   0.6253553   0.3126390
      47    99.40020   0.6181548   0.3065638
      48    99.60020   0.6172394   0.3045811
      49    99.80020   0.6118398   0.3017991
      50   100.00010   0.6119747   0.3037951
      51   100.20430   0.6113001   0.3086130
      52   100.40830   0.6106710   0.3146243
      53   100.61250   0.6082772   0.3196979
      54   100.81650   0.6064598   0.3234404
      55   101.02060   0.6082603   0.3297855
      56   101.22460   0.6092874   0.3348343
      57   101.42870   0.6132224   0.3398987
      58   101.63290   0.6197683   0.3450227
      59   101.83690   0.6319820   0.3525509
      60   102.04090   0.6392631   0.3557662
      61   102.24510   0.6457077   0.3557999
      62   102.44920   0.6476956   0.3515092
      63   102.65320   0.6460232   0.3453763
      64   102.85720   0.6417452   0.3382972
      65   103.06140   0.6317348   0.3296779
      66   103.26540   0.6233568   0.3248760
      67   103.46960   0.6239178   0.3261081
      68   103.67360   0.6140090   0.3250869
      69   103.87770   0.6029381   0.3247590
      70   104.08170   0.5939163   0.3252951
      71   104.28590   0.5807165   0.3229771
      72   104.48990   0.5704918   0.3219163
      73   104.69410   0.5559779   0.3207148
      74   104.89810   0.5472800   0.3210589
      75   105.10220   0.5409119   0.3189861
      76   105.30620   0.5324311   0.3136922
      77   105.51020   0.5326268   0.3118632
      78   105.71440   0.5351344   0.3079411
      79   105.91840   0.5399757   0.3037444
      80   106.12260   0.5409158   0.2966326
      81   106.32660   0.5425784   0.2912993
      82   106.53080   0.5383652   0.2822252
      83   106.73480   0.5435214   0.2778375
      84   106.93890   0.5567386   0.2795058
      85   107.14290   0.5850293   0.2904840
      86   107.34700   0.6152071   0.3041630
      87   107.55110   0.6425064   0.3164241
      88   107.75520   0.6640363   0.3258437
      89   107.95930   0.6822572   0.3343462
      90   108.16330   0.6966555   0.3394019
      91   108.36750   0.7003016   0.3429668
      92   108.57150   0.7013960   0.3458430
      93   108.77550   0.6977721   0.3479464
      94   108.97970   0.6973068   0.3507862
      95   109.18370   0.6898392   0.3510229
      96   109.38790   0.6806884   0.3499714
      97   109.59200   0.6803014   0.3522916
      98   109.79590   0.6755098   0.3514111
      99   110.00000   0.6703238   0.3476135
     100   110.20410   0.6599149   0.3395619
     101   110.40820   0.6607565   0.3363130
     102   110.40840   0.6607505   0.3363111
     103   110.61240   0.6667082   0.3386501
     104   110.81650   0.6709484   0.3417983
     105   111.02060   0.6763410   0.3424589
     106   111.22460   0.6760473   0.3409829
     107   111.42870   0.6761819   0.3399598
     108   111.63270   0.6795456   0.3418450
     109   111.83690   0.6803591   0.3452750
     110   112.04100   0.6676894   0.3461963
     111   112.24510   0.6556212   0.3477151
     112   112.44910   0.6377781   0.3470069
     113   112.65320   0.6218769   0.3469494
     114   112.85730   0.5976170   0.3429724
     115   113.06130   0.5883019   0.3430479
     116   113.26540   0.5760206   0.3411773
     117   113.46950   0.5644942   0.3347343
     118   113.67360   0.5634257   0.3299609
     119   113.87770   0.5773002   0.3313578
     120   114.08180   0.5819377   0.3275221
     121   114.28580   0.5860838   0.3211199
     122   114.48990   0.5896260   0.3143130
     123   114.69390   0.5990870   0.3113574
     124   114.89800   0.6180745   0.3153455
     125   115.10210   0.6359312   0.3184349
     126   115.30620   0.6454704   0.3168957
     127   115.51030   0.6535456   0.3160088
     128   115.71440   0.6648122   0.3194697
     129   115.91850   0.6769532   0.3276140
     130   116.12260   0.6841696   0.3316507
     131   116.32660   0.6924870   0.3371161
     132   116.53070   0.6969185   0.3402315
     133   116.73480   0.6910205   0.3390910
     134   116.93880   0.6796470   0.3353828
     135   117.14300   0.6615176   0.3294433
     136   117.34700   0.6415687   0.3247594
     137   117.55120   0.6229987   0.3221057
     138   117.75530   0.5999434   0.3175026
     139   117.95930   0.5850175   0.3131332
     140   118.16330   0.5735451   0.3099524
     141   118.36750   0.5721269   0.3097250
     142   118.57160   0.5735292   0.3084434
     143   118.77560   0.5871876   0.3108241
     144   118.97960   0.6067030   0.3125033
     145   119.18370   0.6410164   0.3230096
     146   119.38780   0.6785014   0.3346337
     147   119.59190   0.7022871   0.3383786
     148   119.79610   0.7176923   0.3385354
     149   120.00020   0.7358555   0.3415726
